,IR US Equity,IR US Equity,IR US Equity,IR US Equity,IR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,36.3337,36.832,36.1344,36.553,1035489.0
2020-01-02,36.7523,36.9017,36.2839,36.7523,917086.0
2020-01-03,36.3835,36.7124,36.1643,36.5928,694531.0
2020-01-04,36.3835,36.7124,36.1643,36.5928,694531.0
2020-01-05,36.3835,36.7124,36.1643,36.5928,694531.0
2020-01-06,36.3736,36.4732,35.9849,36.1543,807321.0
2020-01-07,36.0447,36.2739,35.7806,35.8853,839463.0
2020-01-08,35.9451,36.4035,35.5564,35.6262,1131695.0
2020-01-09,35.8454,35.9351,35.4717,35.676,648790.0
2020-01-10,35.6062,35.7557,34.7492,35.0183,985709.0
2020-01-11,35.6062,35.7557,34.7492,35.0183,985709.0
2020-01-12,35.6062,35.7557,34.7492,35.0183,985709.0
2020-01-13,35.1678,35.4269,35.0083,35.3172,508758.0
2020-01-14,35.2276,35.402,34.657,34.809,911138.0
2020-01-15,34.7393,35.0183,34.1463,34.3805,2566975.0
2020-01-16,34.6197,35.1379,34.6197,34.9884,762364.0
2020-01-17,35.0781,35.6013,34.8489,35.3571,578873.0
2020-01-18,35.0781,35.6013,34.8489,35.3571,578873.0
2020-01-19,35.0781,35.6013,34.8489,35.3571,578873.0
2020-01-20,35.0781,35.6013,34.8489,35.3571,578873.0
2020-01-21,34.9784,35.3372,34.4303,34.4403,1096383.0
2020-01-22,34.6695,34.8588,34.3506,34.3805,443550.0
2020-01-23,34.0516,34.9386,33.8125,34.7492,884221.0
2020-01-24,34.7791,34.7791,34.1513,34.54,773834.0
2020-01-25,34.7791,34.7791,34.1513,34.54,773834.0
2020-01-26,34.7791,34.7791,34.1513,34.54,773834.0
2020-01-27,33.942,35.2176,33.8125,34.4004,1406242.0
2020-01-28,34.5798,35.6461,34.4802,35.4568,1319389.0
2020-01-29,35.6262,36.2141,35.3471,35.975,906413.0
2020-01-30,35.676,36.4035,35.4767,36.0846,740491.0
2020-01-31,35.7657,35.965,34.9734,35.1877,935962.0
2020-02-01,35.7657,35.965,34.9734,35.1877,935962.0
2020-02-02,35.7657,35.965,34.9734,35.1877,935962.0
2020-02-03,35.4468,36.3038,35.2674,35.6461,583727.0
2020-02-04,36.3835,37.0911,36.1793,36.4334,1085455.0
2020-02-05,36.9516,36.9516,36.3437,36.6227,842241.0
2020-02-06,36.6626,36.9516,36.1743,36.8918,1151950.0
2020-02-07,37.0811,37.4897,36.5031,36.9615,2812087.0
2020-02-08,37.0811,37.4897,36.5031,36.9615,2812087.0
2020-02-09,37.0811,37.4897,36.5031,36.9615,2812087.0
2020-02-10,36.832,37.4498,36.7323,37.4299,1764635.0
2020-02-11,37.6691,38.0777,37.41,37.6093,1271965.0
2020-02-12,37.8684,38.7453,37.8285,38.3467,1770848.0
2020-02-13,38.1474,38.4364,37.3303,37.4199,1065239.0
2020-02-14,37.5196,37.5794,36.6127,36.7024,2220326.0
2020-02-15,37.5196,37.5794,36.6127,36.7024,2220326.0
2020-02-16,37.5196,37.5794,36.6127,36.7024,2220326.0
2020-02-17,37.5196,37.5794,36.6127,36.7024,2220326.0
2020-02-18,36.3437,37.7887,36.0248,37.4199,3619936.0
2020-02-19,37.5694,38.0777,37.0811,37.5296,1948430.0
2020-02-20,37.3203,38.556,37.2406,38.5161,1834064.0
2020-02-21,38.2471,38.8251,38.1474,38.4763,2869873.0
2020-02-22,38.2471,38.8251,38.1474,38.4763,2869873.0
