,VRTX US Equity,VRTX US Equity,VRTX US Equity,VRTX US Equity,VRTX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,218.6,219.81,216.7,218.95,1036437.0
2020-01-02,220.24,220.6541,216.95,219.45,1303850.0
2020-01-03,216.16,219.8865,214.55,217.98,943577.0
2020-01-04,216.16,219.8865,214.55,217.98,943577.0
2020-01-05,216.16,219.8865,214.55,217.98,943577.0
2020-01-06,217.73,224.35,216.91,224.03,1436623.0
2020-01-07,224.26,225.92,222.14,223.79,1028630.0
2020-01-08,225.89,232.7,224.91,231.09,1802743.0
2020-01-09,233.08,233.255,227.27,230.26,1435381.0
2020-01-10,231.69,231.69,228.07,228.95,1017426.0
2020-01-11,231.69,231.69,228.07,228.95,1017426.0
2020-01-12,231.69,231.69,228.07,228.95,1017426.0
2020-01-13,229.38,230.0,224.56,226.49,1031533.0
2020-01-14,226.44,229.8,225.53,229.75,1042036.0
2020-01-15,229.88,234.33,228.78,234.15,1741525.0
2020-01-16,234.27,235.78,233.27,235.5,2124025.0
2020-01-17,236.51,236.51,232.82,235.83,1599342.0
2020-01-18,236.51,236.51,232.82,235.83,1599342.0
2020-01-19,236.51,236.51,232.82,235.83,1599342.0
2020-01-20,236.51,236.51,232.82,235.83,1599342.0
2020-01-21,235.84,237.2,233.13,233.99,1399779.0
2020-01-22,234.94,237.47,234.4,234.61,1133969.0
2020-01-23,235.0,235.63,231.38,233.91,977959.0
2020-01-24,234.07,235.18,228.415,229.06,904271.0
2020-01-25,234.07,235.18,228.415,229.06,904271.0
2020-01-26,234.07,235.18,228.415,229.06,904271.0
2020-01-27,226.51,228.79,226.07,227.37,802283.0
2020-01-28,228.53,232.295,227.57,231.97,861813.0
2020-01-29,231.72,233.5929,230.57,232.41,893569.0
2020-01-30,230.84,231.7499,228.6795,230.31,1169453.0
2020-01-31,238.65,239.4,223.01,227.05,3373655.0
2020-02-01,238.65,239.4,223.01,227.05,3373655.0
2020-02-02,238.65,239.4,223.01,227.05,3373655.0
2020-02-03,230.76,233.7789,225.01,230.51,1988059.0
2020-02-04,233.35,241.23,233.29,239.66,1485889.0
2020-02-05,241.61,244.41,240.0,240.76,1951742.0
2020-02-06,242.13,244.65,238.01,239.12,1320423.0
2020-02-07,237.66,240.344,234.1,240.06,1443319.0
2020-02-08,237.66,240.344,234.1,240.06,1443319.0
2020-02-09,237.66,240.344,234.1,240.06,1443319.0
2020-02-10,239.22,244.89,237.0001,244.75,1273055.0
2020-02-11,245.0,249.0,242.775,247.81,2280049.0
2020-02-12,247.61,248.795,240.7,242.21,1805742.0
2020-02-13,241.41,245.385,239.73,240.09,1329205.0
2020-02-14,241.24,244.45,238.55,243.82,1354016.0
2020-02-15,241.24,244.45,238.55,243.82,1354016.0
2020-02-16,241.24,244.45,238.55,243.82,1354016.0
2020-02-17,241.24,244.45,238.55,243.82,1354016.0
2020-02-18,244.92,246.0,241.09,245.93,1305401.0
2020-02-19,249.85,249.85,245.24,247.78,947716.0
2020-02-20,247.29,247.7,242.585,245.1,1524832.0
2020-02-21,247.3,247.5,243.27,246.29,1365436.0
2020-02-22,247.3,247.5,243.27,246.29,1365436.0
2020-02-23,247.3,247.5,243.27,246.29,1365436.0
2020-02-24,241.44,242.76,235.7,237.01,1659510.0
2020-02-25,238.18,239.99,228.5,230.0,1581236.0
2020-02-26,232.41,237.37,229.49,232.04,1578570.0
2020-02-27,228.48,231.63,218.01,223.3,1972989.0
2020-02-28,215.57,224.54,215.5,224.03,2491476.0
2020-02-29,215.57,224.54,215.5,224.03,2491476.0
2020-03-01,215.57,224.54,215.5,224.03,2491476.0
2020-03-02,224.43,232.98,223.14,232.29,2406547.0
2020-03-03,230.27,237.55,226.67,228.26,2093182.0
2020-03-04,232.29,246.06,230.9,245.32,1971889.0
2020-03-05,239.24,242.18,235.285,237.31,1518316.0
2020-03-06,227.65,234.48,226.6138,233.5,1872612.0
2020-03-07,227.65,234.48,226.6138,233.5,1872612.0
2020-03-08,227.65,234.48,226.6138,233.5,1872612.0
2020-03-09,218.07,227.61,214.08,219.65,2034532.0
2020-03-10,226.21,231.41,216.47,230.51,2024555.0
2020-03-11,225.63,230.83,218.7,220.34,1733873.0
2020-03-12,206.59,215.36,201.5,204.06,3758168.0
2020-03-13,218.23,221.47,200.76,220.86,3813367.0
2020-03-14,218.23,221.47,200.76,220.86,3813367.0
2020-03-15,218.23,221.47,200.76,220.86,3813367.0
2020-03-16,201.6,219.0,199.16,199.77,2521430.0
2020-03-17,203.97,230.0649,202.5,210.44,4447501.0
2020-03-18,200.6,224.99,197.47,212.98,3406379.0
2020-03-19,215.15,223.9313,202.01,215.69,3118569.0
2020-03-20,217.7,227.425,204.16,206.0,2764731.0
2020-03-21,217.7,227.425,204.16,206.0,2764731.0
2020-03-22,217.7,227.425,204.16,206.0,2764731.0
2020-03-23,210.5,218.1,199.52,202.21,2801959.0
