,LE US Equity,LE US Equity,LE US Equity,LE US Equity,LE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,16.85,17.27,16.75,16.8,355176.0
2020-01-02,17.05,17.08,15.19,15.6,472205.0
2020-01-03,15.39,15.81,15.06,15.4,403103.0
2020-01-04,15.39,15.81,15.06,15.4,403103.0
2020-01-05,15.39,15.81,15.06,15.4,403103.0
2020-01-06,15.17,15.52,15.08,15.47,230081.0
2020-01-07,15.39,15.92,15.36,15.76,259459.0
2020-01-08,15.74,16.12,15.67,15.74,259758.0
2020-01-09,15.73,15.88,14.78,15.31,348071.0
2020-01-10,15.23,15.39,14.89,15.12,214860.0
2020-01-11,15.23,15.39,14.89,15.12,214860.0
2020-01-12,15.23,15.39,14.89,15.12,214860.0
2020-01-13,15.13,15.54,14.67,15.52,211964.0
2020-01-14,15.5,15.98,15.37,15.94,285453.0
2020-01-15,15.99,16.11,15.22,15.45,191853.0
2020-01-16,15.58,15.7,14.86,14.91,175278.0
2020-01-17,14.96,15.1476,14.19,14.67,205182.0
2020-01-18,14.96,15.1476,14.19,14.67,205182.0
2020-01-19,14.96,15.1476,14.19,14.67,205182.0
2020-01-20,14.96,15.1476,14.19,14.67,205182.0
2020-01-21,14.56,14.99,14.225,14.83,223650.0
2020-01-22,14.83,14.8817,14.11,14.41,176648.0
2020-01-23,14.27,14.27,13.78,13.93,181236.0
2020-01-24,13.99,14.0,13.6087,13.79,178578.0
2020-01-25,13.99,14.0,13.6087,13.79,178578.0
2020-01-26,13.99,14.0,13.6087,13.79,178578.0
2020-01-27,13.51,13.76,13.26,13.26,215190.0
2020-01-28,13.33,13.39,12.8,12.81,169783.0
2020-01-29,12.83,12.9,12.42,12.44,250077.0
2020-01-30,12.23,12.43,12.03,12.2,297657.0
2020-01-31,12.17,12.19,11.395,11.65,303144.0
2020-02-01,12.17,12.19,11.395,11.65,303144.0
2020-02-02,12.17,12.19,11.395,11.65,303144.0
2020-02-03,11.77,12.2,11.7,11.72,227726.0
2020-02-04,11.94,12.03,11.5,11.73,141713.0
2020-02-05,11.85,12.21,11.65,12.1,171689.0
2020-02-06,12.24,12.32,11.755,11.95,152654.0
2020-02-07,11.86,11.9,11.23,11.27,138587.0
2020-02-08,11.86,11.9,11.23,11.27,138587.0
2020-02-09,11.86,11.9,11.23,11.27,138587.0
2020-02-10,11.24,11.28,10.98,11.12,113051.0
2020-02-11,11.22,11.7,10.94,11.56,198950.0
2020-02-12,11.68,11.99,11.51,11.81,143927.0
2020-02-13,11.69,11.84,10.86,10.93,113291.0
2020-02-14,10.92,11.1,10.57,10.69,115451.0
2020-02-15,10.92,11.1,10.57,10.69,115451.0
2020-02-16,10.92,11.1,10.57,10.69,115451.0
2020-02-17,10.92,11.1,10.57,10.69,115451.0
2020-02-18,10.65,11.1,10.65,11.01,92740.0
2020-02-19,11.0,11.65,11.0,11.62,396241.0
2020-02-20,11.6,11.99,11.25,11.47,231254.0
2020-02-21,11.42,11.42,10.88,11.06,110415.0
2020-02-22,11.42,11.42,10.88,11.06,110415.0
2020-02-23,11.42,11.42,10.88,11.06,110415.0
2020-02-24,10.6,10.74,10.19,10.46,133479.0
2020-02-25,10.5,10.81,9.81,9.89,171044.0
2020-02-26,9.98,10.47,9.91,10.42,279834.0
2020-02-27,10.11,10.35,9.78,9.86,245331.0
2020-02-28,9.5,10.58,9.5,10.54,212289.0
2020-02-29,9.5,10.58,9.5,10.54,212289.0
2020-03-01,9.5,10.58,9.5,10.54,212289.0
2020-03-02,10.61,10.61,9.15,9.32,198999.0
2020-03-03,9.35,9.59,8.69,8.75,214400.0
2020-03-04,8.9,9.11,8.3672,9.01,227311.0
2020-03-05,8.78,9.02,8.64,8.75,194177.0
2020-03-06,8.5,8.8,8.1,8.23,197377.0
2020-03-07,8.5,8.8,8.1,8.23,197377.0
2020-03-08,8.5,8.8,8.1,8.23,197377.0
2020-03-09,7.83,8.01,7.3,7.43,191625.0
2020-03-10,7.7,7.8043,6.46,7.17,497347.0
2020-03-11,7.11,7.5488,6.72,6.96,271423.0
2020-03-12,6.36,6.505,5.5,5.56,246891.0
2020-03-13,5.57,6.31,5.49,6.29,356506.0
2020-03-14,5.57,6.31,5.49,6.29,356506.0
2020-03-15,5.57,6.31,5.49,6.29,356506.0
2020-03-16,5.37,5.42,4.5,4.55,403124.0
2020-03-17,4.55,7.4,4.55,7.29,778990.0
2020-03-18,6.61,6.93,5.89,6.11,633397.0
2020-03-19,6.19,7.0,6.19,6.84,459286.0
2020-03-20,7.0,7.86,6.59,6.63,556290.0
2020-03-21,7.0,7.86,6.59,6.63,556290.0
2020-03-22,7.0,7.86,6.59,6.63,556290.0
2020-03-23,6.55,6.64,4.785,5.14,548506.0
2020-03-24,5.42,5.83,5.0001,5.33,516282.0
2020-03-25,5.4,6.74,4.96,6.04,456692.0
2020-03-26,6.15,7.0,6.15,6.71,309387.0
