,CLB US Equity,CLB US Equity,CLB US Equity,CLB US Equity,CLB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,56.5098,56.8321,54.8793,56.5572,575153.0
2019-01-02,55.4291,58.3489,54.8319,56.7942,927964.0
2019-01-03,56.87,58.567,55.6892,57.2587,1351076.0
2019-01-04,58.9651,60.8516,57.856,59.6761,985792.0
2019-01-05,58.9651,60.8516,57.856,59.6761,985792.0
2019-01-06,58.9651,60.8516,57.856,59.6761,985792.0
2019-01-07,59.951,63.2595,59.4486,62.8803,941954.0
2019-01-08,63.8283,64.0369,62.5201,63.6008,581585.0
2019-01-09,64.8142,66.2173,64.3971,64.8806,736298.0
2019-01-10,64.1317,66.9567,63.98,66.2741,567074.0
2019-01-11,65.8001,65.8001,63.762,65.3261,587023.0
2019-01-12,65.8001,65.8001,63.762,65.3261,587023.0
2019-01-13,65.8001,65.8001,63.762,65.3261,587023.0
2019-01-14,64.5488,65.9234,64.4255,64.9469,445880.0
2019-01-15,65.1081,65.7622,64.3213,64.8711,332787.0
2019-01-16,64.7858,66.1035,64.4445,65.1934,242811.0
2019-01-17,64.5488,65.1365,63.0936,64.7289,827013.0
2019-01-18,65.6295,67.7435,65.1081,66.8334,558874.0
2019-01-19,65.6295,67.7435,65.1081,66.8334,558874.0
2019-01-20,65.6295,67.7435,65.1081,66.8334,558874.0
2019-01-21,65.6295,67.7435,65.1081,66.8334,558874.0
2019-01-22,65.639,65.639,63.3638,64.3592,697007.0
2019-01-23,64.5393,64.9754,62.1788,62.5296,506218.0
2019-01-24,62.7876,64.212,62.4577,63.2752,697388.0
2019-01-25,64.0782,66.1909,63.9635,65.082,798085.0
2019-01-26,64.0782,66.1909,63.9635,65.082,798085.0
2019-01-27,64.0782,66.1909,63.9635,65.082,798085.0
2019-01-28,63.8583,64.6613,63.237,64.0782,636300.0
2019-01-29,64.8716,65.8754,64.1069,64.2025,368493.0
2019-01-30,64.7569,65.6077,63.323,65.2062,401959.0
2019-01-31,65.8181,67.8925,62.281,64.4893,1188703.0
2019-02-01,64.4701,65.732,64.2312,64.6231,1022900.0
2019-02-02,64.4701,65.732,64.2312,64.6231,1022900.0
2019-02-03,64.4701,65.732,64.2312,64.6231,1022900.0
2019-02-04,64.5275,64.9672,64.2885,64.7665,620138.0
2019-02-05,64.1164,66.4394,64.1164,65.2349,542978.0
2019-02-06,65.2636,65.7416,64.7713,64.8908,274067.0
2019-02-07,64.5466,64.6231,60.3117,60.8279,772489.0
2019-02-08,60.4264,61.803,60.3308,61.0574,441468.0
2019-02-09,60.4264,61.803,60.3308,61.0574,441468.0
2019-02-10,60.4264,61.803,60.3308,61.0574,441468.0
2019-02-11,61.153,62.4148,61.153,62.042,453099.0
2019-02-12,63.1414,63.7723,61.8986,62.4817,782345.0
2019-02-13,62.7685,63.366,62.3097,63.0744,610417.0
2019-02-14,62.9597,63.1318,61.9942,62.2236,566565.0
2019-02-15,62.8832,65.2158,62.8832,64.9672,494915.0
2019-02-16,62.8832,65.2158,62.8832,64.9672,494915.0
2019-02-17,62.8832,65.2158,62.8832,64.9672,494915.0
2019-02-18,62.8832,65.2158,62.8832,64.9672,494915.0
2019-02-19,64.3554,65.7416,64.1165,64.8047,491206.0
2019-02-20,64.929,65.5121,64.0782,64.2312,651041.0
2019-02-21,63.7818,63.9826,61.4684,61.8412,436355.0
2019-02-22,62.1663,62.3766,61.1625,61.4206,313983.0
2019-02-23,62.1663,62.3766,61.1625,61.4206,313983.0
2019-02-24,62.1663,62.3766,61.1625,61.4206,313983.0
2019-02-25,62.2905,62.5773,61.6118,61.8986,553621.0
2019-02-26,62.1376,62.9693,60.2926,60.3213,394543.0
2019-02-27,60.5029,63.1127,60.2639,62.52,579147.0
2019-02-28,62.3957,62.3957,61.086,61.956,476177.0
2019-03-01,62.6443,64.4606,62.6443,64.4032,549295.0
2019-03-02,62.6443,64.4606,62.6443,64.4032,549295.0
2019-03-03,62.6443,64.4606,62.6443,64.4032,549295.0
2019-03-04,64.9194,65.2827,62.5104,63.5907,567109.0
2019-03-05,63.7149,64.6231,62.8928,64.1547,593665.0
2019-03-06,63.7341,63.7341,61.4493,62.7685,694329.0
2019-03-07,62.8832,63.1366,61.4493,63.0075,608221.0
2019-03-08,61.8604,63.1222,60.436,62.52,575767.0
2019-03-09,61.8604,63.1222,60.436,62.52,575767.0
2019-03-10,61.8604,63.1222,60.436,62.52,575767.0
2019-03-11,63.0649,65.3175,62.7303,64.5849,905781.0
2019-03-12,64.6327,65.6938,64.4634,64.9768,304698.0
2019-03-13,65.7703,66.2674,65.1489,66.0092,439810.0
2019-03-14,66.0475,66.6736,65.2923,65.6173,333957.0
2019-03-15,65.7703,65.9328,64.8908,65.4548,1233099.0
2019-03-16,65.7703,65.9328,64.8908,65.4548,1233099.0
2019-03-17,65.7703,65.9328,64.8908,65.4548,1233099.0
2019-03-18,65.5313,67.9976,65.4452,67.816,374592.0
2019-03-19,67.9976,68.6764,67.3572,68.3705,984480.0
2019-03-20,68.3514,69.4507,67.969,68.7337,506318.0
2019-03-21,68.7337,69.3073,67.6344,68.2653,306777.0
2019-03-22,67.4623,67.5866,64.126,64.2503,425616.0
