,HD US Equity,HD US Equity,HD US Equity,HD US Equity,HD US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,150.699,152.255,149.979,151.007,4206020.0
2019-01-02,149.153,152.202,148.572,151.525,4242898.0
2019-01-03,151.025,151.025,147.834,148.186,4810468.0
2019-01-04,149.566,153.573,148.986,152.589,4762627.0
2019-01-05,149.566,153.573,148.986,152.589,4762627.0
2019-01-06,149.566,153.573,148.986,152.589,4762627.0
2019-01-07,152.773,156.597,152.773,155.595,4928789.0
2019-01-08,156.939,157.836,154.338,156.342,4722367.0
2019-01-09,156.324,159.312,155.647,157.959,4922046.0
2019-01-10,156.465,157.528,154.979,157.37,3605294.0
2019-01-11,156.377,158.425,155.665,157.678,3285063.0
2019-01-12,156.377,158.425,155.665,157.678,3285063.0
2019-01-13,156.377,158.425,155.665,157.678,3285063.0
2019-01-14,156.078,157.519,155.472,157.15,3871399.0
2019-01-15,154.751,156.281,153.978,155.094,5016065.0
2019-01-16,155.639,156.377,154.558,155.595,4075410.0
2019-01-17,152.932,154.206,151.165,153.687,6499188.0
2019-01-18,155.542,158.231,154.839,157.827,6371422.0
2019-01-19,155.542,158.231,154.839,157.827,6371422.0
2019-01-20,155.542,158.231,154.839,157.827,6371422.0
2019-01-21,155.542,158.231,154.839,157.827,6371422.0
2019-01-22,155.99,156.97,154.12,155.656,6272715.0
2019-01-23,155.199,156.491,153.389,155.463,4910402.0
2019-01-24,155.559,156.025,154.065,155.814,3860309.0
2019-01-25,158.003,158.961,156.974,158.548,4502516.0
2019-01-26,158.003,158.961,156.974,158.548,4502516.0
2019-01-27,158.003,158.961,156.974,158.548,4502516.0
2019-01-28,157.291,158.187,155.92,158.047,4091373.0
2019-01-29,157.282,158.328,156.517,157.924,3686877.0
2019-01-30,158.609,161.887,158.003,160.112,5197765.0
2019-01-31,159.514,162.3,159.128,161.298,5138001.0
2019-02-01,161.738,162.722,160.683,162.037,4513184.0
2019-02-02,161.738,162.722,160.683,162.037,4513184.0
2019-02-03,161.738,162.722,160.683,162.037,4513184.0
2019-02-04,161.975,163.847,161.571,163.847,3050201.0
2019-02-05,164.251,164.339,162.318,163.812,4135159.0
2019-02-06,164.076,164.076,161.764,162.344,3072472.0
2019-02-07,161.483,162.523,160.349,161.773,2793487.0
2019-02-08,160.877,162.221,160.587,162.186,2792477.0
2019-02-09,160.877,162.221,160.587,162.186,2792477.0
2019-02-10,160.877,162.221,160.587,162.186,2792477.0
2019-02-11,162.59,162.96,160.613,160.762,3729222.0
2019-02-12,161.571,163.821,161.29,163.047,3773229.0
2019-02-13,163.733,165.825,163.399,165.587,4147029.0
2019-02-14,164.788,166.044,163.471,164.972,2600831.0
2019-02-15,166.871,169.287,166.15,169.085,4997891.0
2019-02-16,166.871,169.287,166.15,169.085,4997891.0
2019-02-17,166.871,169.287,166.15,169.085,4997891.0
2019-02-18,166.871,169.287,166.15,169.085,4997891.0
2019-02-19,168.488,169.788,168.11,169.033,3828464.0
2019-02-20,169.085,169.094,167.96,168.611,3970075.0
2019-02-21,168.611,169.068,167.521,168.584,3094240.0
2019-02-22,168.47,169.217,168.409,169.085,3321635.0
2019-02-23,168.47,169.217,168.409,169.085,3321635.0
2019-02-24,168.47,169.217,168.409,169.085,3321635.0
2019-02-25,169.402,169.99,166.95,166.967,6190665.0
2019-02-26,163.109,165.64,160.657,165.491,13635082.0
2019-02-27,165.139,165.666,161.017,161.422,8766217.0
2019-02-28,161.36,162.757,160.929,162.713,8060552.0
2019-03-01,163.311,163.961,160.711,162.74,5481417.0
2019-03-02,163.311,163.961,160.711,162.74,5481417.0
2019-03-03,163.311,163.961,160.711,162.74,5481417.0
2019-03-04,163.645,163.68,160.044,161.545,5046772.0
2019-03-05,161.922,162.696,161.052,161.712,3690994.0
2019-03-06,162.177,162.564,161.571,162.107,4460878.0
2019-03-07,162.054,162.256,159.585,160.402,4122194.0
2019-03-08,159.506,159.875,157.774,159.277,3867055.0
2019-03-09,159.506,159.875,157.774,159.277,3867055.0
2019-03-10,159.506,159.875,157.774,159.277,3867055.0
2019-03-11,159.954,161.005,159.251,160.341,3866236.0
2019-03-12,161.211,161.949,160.244,161.712,3776971.0
2019-03-13,162.243,162.721,160.33,160.383,4528250.0
2019-03-14,160.507,160.915,159.817,160.8,4393038.0
2019-03-15,161.41,161.579,158.993,161.348,8059489.0
2019-03-16,161.41,161.579,158.993,161.348,8059489.0
2019-03-17,161.41,161.579,158.993,161.348,8059489.0
2019-03-18,161.614,162.455,161.437,162.402,4395846.0
2019-03-19,163.084,164.527,162.455,163.031,4437087.0
2019-03-20,163.181,165.678,162.411,164.775,4772648.0
2019-03-21,164.244,168.228,164.244,168.202,4756126.0
2019-03-22,167.617,170.043,167.051,167.121,5173899.0
2019-03-23,167.617,170.043,167.051,167.121,5173899.0
2019-03-24,167.617,170.043,167.051,167.121,5173899.0
2019-03-25,167.121,169.742,166.909,167.945,3845892.0
2019-03-26,168.839,170.167,167.113,167.644,4143254.0
2019-03-27,167.918,169.654,166.803,167.564,4298373.0
2019-03-28,168.148,169.468,167.484,168.281,3326131.0
2019-03-29,168.981,170.034,168.352,169.902,4674122.0
2019-03-30,168.981,170.034,168.352,169.902,4674122.0
2019-03-31,168.981,170.034,168.352,169.902,4674122.0
2019-04-01,170.876,173.452,170.752,173.222,5381379.0
2019-04-02,173.098,173.098,171.783,172.044,2717818.0
2019-04-03,172.637,176.006,171.867,175.852,4581479.0
2019-04-04,176.197,177.516,175.329,177.481,3138816.0
2019-04-05,177.844,179.854,177.622,178.906,3615266.0
2019-04-06,177.844,179.854,177.622,178.906,3615266.0
2019-04-07,177.844,179.854,177.622,178.906,3615266.0
2019-04-08,178.295,180.438,178.18,180.225,3040935.0
