,SON US Equity,SON US Equity,SON US Equity,SON US Equity,SON US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,53.7734,54.0608,53.5818,53.756,331607.0
2020-01-02,54.1305,54.4092,52.8676,53.0244,298440.0
2020-01-03,52.3712,52.8105,52.1621,52.5541,421019.0
2020-01-04,52.3712,52.8105,52.1621,52.5541,421019.0
2020-01-05,52.3712,52.8105,52.1621,52.5541,421019.0
2020-01-06,52.467,52.467,51.5699,51.6221,373014.0
2020-01-07,50.9776,50.9776,50.3113,50.7076,472068.0
2020-01-08,50.7425,51.1867,50.3157,50.4986,383520.0
2020-01-09,50.6292,50.8383,50.4202,50.5073,442887.0
2020-01-10,50.5073,51.0212,50.455,50.6641,257178.0
2020-01-11,50.5073,51.0212,50.455,50.6641,257178.0
2020-01-12,50.5073,51.0212,50.455,50.6641,257178.0
2020-01-13,50.786,51.4392,50.5857,51.3609,348613.0
2020-01-14,51.265,51.866,51.1779,51.8225,496529.0
2020-01-15,51.7354,52.1709,51.657,51.8573,540424.0
2020-01-16,52.1447,52.7631,52.0925,52.4496,392620.0
2020-01-17,52.5192,52.6325,51.94,52.0228,386263.0
2020-01-18,52.5192,52.6325,51.94,52.0228,386263.0
2020-01-19,52.5192,52.6325,51.94,52.0228,386263.0
2020-01-20,52.5192,52.6325,51.94,52.0228,386263.0
2020-01-21,51.7702,51.9444,51.1605,51.8225,427400.0
2020-01-22,52.0663,52.2405,51.326,51.3957,335803.0
2020-01-23,51.1344,51.9879,50.7947,51.7354,418869.0
2020-01-24,51.8747,51.8747,50.9776,51.1867,244301.0
2020-01-25,51.8747,51.8747,50.9776,51.1867,244301.0
2020-01-26,51.8747,51.8747,50.9776,51.1867,244301.0
2020-01-27,50.6728,51.2999,50.0109,51.0734,349604.0
2020-01-28,51.2825,51.3563,50.7686,50.847,204032.0
2020-01-29,51.0473,51.1605,50.6728,50.7338,346497.0
2020-01-30,50.4376,50.8209,49.8759,50.6467,280583.0
2020-01-31,50.3331,50.3592,49.5928,49.767,698916.0
2020-02-01,50.3331,50.3592,49.5928,49.767,698916.0
2020-02-02,50.3331,50.3592,49.5928,49.767,698916.0
2020-02-03,50.0109,50.5857,49.8367,50.3418,432050.0
2020-02-04,50.9863,51.2389,50.6946,50.9167,253125.0
2020-02-05,51.4218,51.8834,51.1257,51.7179,387186.0
2020-02-06,51.8747,52.0764,51.2563,51.4044,325992.0
2020-02-07,51.117,51.3609,50.1938,50.455,408444.0
2020-02-08,51.117,51.3609,50.1938,50.455,408444.0
2020-02-09,51.117,51.3609,50.1938,50.455,408444.0
2020-02-10,50.2112,50.5683,49.558,49.6189,413417.0
2020-02-11,49.6799,50.1067,49.2967,49.3663,465245.0
2020-02-12,49.5057,49.6451,48.9265,49.4709,574294.0
2020-02-13,50.2634,50.3418,48.9657,50.1763,738894.0
