,MMM US Equity,MMM US Equity,MMM US Equity,MMM US Equity,MMM US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,128.013,128.894,126.776,128.148,1804618.0
2019-01-02,126.318,128.45,125.565,128.423,2475193.0
2019-01-03,126.628,126.628,123.003,123.588,3358241.0
2019-01-04,125.599,129.116,125.114,128.672,2995052.0
2019-01-05,125.599,129.116,125.114,128.672,2995052.0
2019-01-06,125.599,129.116,125.114,128.672,2995052.0
2019-01-07,128.699,129.331,126.883,128.376,2162158.0
2019-01-08,129.802,130.549,127.502,128.914,2479787.0
2019-01-09,129.97,130.434,128.714,129.331,2163815.0
2019-01-10,128.37,130.347,127.381,130.206,1939317.0
2019-01-11,129.022,129.594,128.363,129.271,2360186.0
2019-01-12,129.022,129.594,128.363,129.271,2360186.0
2019-01-13,129.022,129.594,128.363,129.271,2360186.0
2019-01-14,128.215,129.688,127.65,129.244,1914426.0
2019-01-15,127.004,128.239,126.345,127.072,2737349.0
2019-01-16,126.782,128.08,126.722,127.435,2492126.0
2019-01-17,126.816,129.735,126.369,128.934,1978891.0
2019-01-18,130.703,132.089,129.372,131.726,2746603.0
2019-01-19,130.703,132.089,129.372,131.726,2746603.0
2019-01-20,130.703,132.089,129.372,131.726,2746603.0
2019-01-21,130.703,132.089,129.372,131.726,2746603.0
2019-01-22,130.623,130.804,128.074,129.304,2709562.0
2019-01-23,129.553,130.475,127.969,129.325,1653006.0
2019-01-24,129.304,129.913,128.8,129.479,1582949.0
2019-01-25,130.959,132.6,130.784,131.752,2320397.0
2019-01-26,130.959,132.6,130.784,131.752,2320397.0
2019-01-27,130.959,132.6,130.784,131.752,2320397.0
2019-01-28,129.896,130.105,128.504,129.937,3156986.0
2019-01-29,131.154,134.436,130.609,132.459,4311097.0
2019-01-30,133.313,134.584,130.898,134.019,2168133.0
2019-01-31,133.703,135.108,132.99,134.712,3338363.0
2019-02-01,135.512,135.7,133.36,133.945,2239400.0
2019-02-02,135.512,135.7,133.36,133.945,2239400.0
2019-02-03,135.512,135.7,133.36,133.945,2239400.0
2019-02-04,133.844,134.685,131.988,134.651,1973572.0
2019-02-05,134.994,135.27,134.325,135.263,2036879.0
2019-02-06,135.33,136.581,134.678,136.238,1672422.0
2019-02-07,135.196,136.124,133.74,134.402,1949371.0
2019-02-08,133.985,134.409,133.098,134.389,1451833.0
2019-02-09,133.985,134.409,133.098,134.389,1451833.0
2019-02-10,133.985,134.409,133.098,134.389,1451833.0
2019-02-11,135.135,135.317,134.268,135.122,1513457.0
2019-02-12,136.44,139.077,135.983,138.929,2622973.0
2019-02-13,139.278,141.504,138.942,141.047,2967332.0
2019-02-14,139.903,140.262,138.183,138.778,2229753.0
2019-02-15,139.815,141.514,139.503,141.44,2000378.0
2019-02-16,139.815,141.514,139.503,141.44,2000378.0
2019-02-17,139.815,141.514,139.503,141.44,2000378.0
2019-02-18,139.815,141.514,139.503,141.44,2000378.0
2019-02-19,140.797,141.636,140.444,141.135,1534457.0
2019-02-20,141.487,141.514,140.397,141.216,1879145.0
2019-02-21,140.966,141.609,140.35,140.702,1737687.0
2019-02-22,140.702,141.982,140.282,141.772,1534158.0
