,KO US Equity,KO US Equity,KO US Equity,KO US Equity,KO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,40.3041,40.3465,39.8543,40.1852,10576275.0
2019-01-02,39.8373,40.0707,39.5105,39.8288,11603715.0
2019-01-03,39.7354,40.2022,39.4893,39.5827,14714413.0
2019-01-04,39.676,40.372,39.5827,40.372,13013814.0
2019-01-05,39.676,40.372,39.5827,40.372,13013814.0
2019-01-06,39.676,40.372,39.5827,40.372,13013814.0
2019-01-07,40.372,40.5247,39.7991,39.8458,13135484.0
2019-01-08,40.1004,40.372,39.9179,40.2956,15420735.0
2019-01-09,39.9561,40.1258,39.4045,39.5233,18032543.0
2019-01-10,39.5997,39.9646,39.3281,39.9476,15976608.0
2019-01-11,40.1343,40.1895,39.8627,40.1768,11088619.0
2019-01-12,40.1343,40.1895,39.8627,40.1768,11088619.0
2019-01-13,40.1343,40.1895,39.8627,40.1768,11088619.0
2019-01-14,40.1004,40.2248,39.8797,40.0155,11514288.0
2019-01-15,39.7948,40.3974,39.727,40.372,11342944.0
2019-01-16,40.2277,40.2871,39.7694,39.8203,16907780.0
2019-01-17,39.8203,40.0057,39.7864,39.9391,12044612.0
2019-01-18,40.1004,40.4738,39.99,40.4059,12760779.0
2019-01-19,40.1004,40.4738,39.99,40.4059,12760779.0
2019-01-20,40.1004,40.4738,39.99,40.4059,12760779.0
2019-01-21,40.1004,40.4738,39.99,40.4059,12760779.0
2019-01-22,40.4823,40.5587,40.0622,40.4993,11700444.0
2019-01-23,40.5841,40.983,40.4399,40.966,12058273.0
2019-01-24,40.8302,40.8302,40.2065,40.4738,10271980.0
2019-01-25,40.635,40.7581,40.0919,40.2022,12066683.0
2019-01-26,40.635,40.7581,40.0919,40.2022,12066683.0
2019-01-27,40.635,40.7581,40.0919,40.2022,12066683.0
2019-01-28,40.0749,40.1428,39.8373,40.0325,9966925.0
2019-01-29,40.0579,40.4229,39.9985,40.2277,11998597.0
2019-01-30,40.1004,40.6435,40.0495,40.6181,12952455.0
2019-01-31,40.6096,41.3989,40.2871,40.8472,32181497.0
2019-02-01,41.1443,41.3989,41.0764,41.331,19130144.0
2019-02-02,41.1443,41.3989,41.0764,41.331,19130144.0
2019-02-03,41.1443,41.3989,41.0764,41.331,19130144.0
2019-02-04,41.331,41.9675,41.1952,41.7977,15105741.0
2019-02-05,41.8656,41.9802,41.6704,41.8062,12651851.0
2019-02-06,41.7638,41.8911,41.6025,41.8062,8689408.0
2019-02-07,41.7299,41.976,41.5877,41.942,10047848.0
2019-02-08,41.8996,42.0099,41.6789,42.0099,9813297.0
2019-02-09,41.8996,42.0099,41.6789,42.0099,9813297.0
2019-02-10,41.8996,42.0099,41.6789,42.0099,9813297.0
2019-02-11,42.0693,42.3324,41.9887,42.1033,9369282.0
2019-02-12,42.1712,42.2645,41.976,42.1457,10983477.0
2019-02-13,42.1033,42.3833,42.0608,42.256,12748849.0
2019-02-14,39.6336,39.8543,38.6152,38.6916,58905402.0
2019-02-15,38.9547,39.2559,38.3606,38.3945,35701558.0
2019-02-16,38.9547,39.2559,38.3606,38.3945,35701558.0
2019-02-17,38.9547,39.2559,38.3606,38.3945,35701558.0
2019-02-18,38.9547,39.2559,38.3606,38.3945,35701558.0
2019-02-19,38.4624,38.6916,37.9956,38.0466,25511303.0
2019-02-20,38.1145,38.3906,38.0211,38.2757,27463983.0
2019-02-21,38.1908,38.9631,38.1569,38.9207,23121168.0
2019-02-22,38.8358,38.9971,38.3606,38.4285,24728388.0
2019-02-23,38.8358,38.9971,38.3606,38.4285,24728388.0
2019-02-24,38.8358,38.9971,38.3606,38.4285,24728388.0
2019-02-25,38.5643,38.6746,38.055,38.1399,23774351.0
2019-02-26,38.2757,38.3097,37.9023,37.9277,20463228.0
2019-02-27,37.8514,38.2078,37.6986,38.1399,17827613.0
2019-02-28,38.2927,38.7072,38.2842,38.4794,22533939.0
2019-03-01,38.5897,38.734,38.3606,38.5133,16291591.0
2019-03-02,38.5897,38.734,38.3606,38.5133,16291591.0
2019-03-03,38.5897,38.734,38.3606,38.5133,16291591.0
2019-03-04,38.6406,38.7595,38.4454,38.7425,15973822.0
2019-03-05,38.7425,38.7849,38.5303,38.7,13062286.0
2019-03-06,38.7595,38.8571,38.5643,38.5727,14232155.0
2019-03-07,38.6067,38.6406,38.2969,38.4285,12083997.0
2019-03-08,38.3181,38.403,37.8598,38.055,15579292.0
2019-03-09,38.3181,38.403,37.8598,38.055,15579292.0
2019-03-10,38.3181,38.403,37.8598,38.055,15579292.0
2019-03-11,38.3097,39.239,38.2757,39.1923,22126902.0
2019-03-12,38.9971,39.2517,38.9547,39.082,19348467.0
2019-03-13,39.1498,39.3281,38.9631,39.2262,16222517.0
2019-03-14,39.2433,39.4745,39.0636,39.1235,18504233.0
2019-03-15,39.1406,39.2904,38.6441,38.7811,47254492.0
2019-03-16,39.1406,39.2904,38.6441,38.7811,47254492.0
2019-03-17,39.1406,39.2904,38.6441,38.7811,47254492.0
2019-03-18,38.8923,39.1064,38.8324,38.8752,24006385.0
