,TERP US Equity,TERP US Equity,TERP US Equity,TERP US Equity,TERP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,15.0438,15.1175,14.9023,15.0243,649547.0
2020-01-02,15.0829,15.1512,14.8681,14.9853,710649.0
2020-01-03,14.9267,15.1122,14.8925,15.0878,921404.0
2020-01-04,14.9267,15.1122,14.8925,15.0878,921404.0
2020-01-05,14.9267,15.1122,14.8925,15.0878,921404.0
2020-01-06,15.1317,15.2098,14.9365,14.9853,800373.0
2020-01-07,14.9072,15.0585,14.8925,14.9755,677315.0
2020-01-08,14.956,15.161,14.9462,15.0927,947922.0
2020-01-09,15.1317,15.2586,15.078,15.1512,935377.0
2020-01-10,15.2,15.3758,15.1414,15.2293,786087.0
2020-01-11,15.2,15.3758,15.1414,15.2293,786087.0
2020-01-12,15.2,15.3758,15.1414,15.2293,786087.0
2020-01-13,16.7913,16.8792,16.6742,16.7523,7589469.0
2020-01-14,16.7132,16.928,16.6937,16.8011,2705862.0
2020-01-15,16.8499,16.9768,16.762,16.9377,1798278.0
2020-01-16,16.9377,17.1232,16.7718,16.8645,1318532.0
2020-01-17,16.8889,16.928,16.7718,16.8792,1619585.0
2020-01-18,16.8889,16.928,16.7718,16.8792,1619585.0
2020-01-19,16.8889,16.928,16.7718,16.8792,1619585.0
2020-01-20,16.8889,16.928,16.7718,16.8792,1619585.0
2020-01-21,16.7913,17.0891,16.7815,16.8987,1528376.0
2020-01-22,16.9475,16.9963,16.7718,16.8206,1158216.0
2020-01-23,16.8108,16.9377,16.7767,16.8889,1185499.0
2020-01-24,16.8889,17.0256,16.8548,16.8987,779928.0
2020-01-25,16.8889,17.0256,16.8548,16.8987,779928.0
2020-01-26,16.8889,17.0256,16.8548,16.8987,779928.0
2020-01-27,16.8401,16.9182,16.6888,16.762,1014152.0
2020-01-28,16.7815,17.1525,16.762,17.0939,1103881.0
2020-01-29,17.1037,17.2599,17.0354,17.2306,873727.0
2020-01-30,17.2111,17.5333,17.2111,17.5137,907023.0
2020-01-31,17.5333,17.6992,17.4552,17.6602,837798.0
2020-02-01,17.5333,17.6992,17.4552,17.6602,837798.0
2020-02-02,17.5333,17.6992,17.4552,17.6602,837798.0
2020-02-03,17.6309,17.9335,17.6309,17.8164,952926.0
2020-02-04,18.0018,18.0409,17.8066,17.8945,1359694.0
2020-02-05,17.8359,18.2947,17.8262,18.2459,1013278.0
2020-02-06,18.324,19.3491,18.2752,18.8121,1896507.0
2020-02-07,18.8121,18.9781,18.6169,18.9195,821174.0
2020-02-08,18.8121,18.9781,18.6169,18.9195,821174.0
2020-02-09,18.8121,18.9781,18.6169,18.9195,821174.0
2020-02-10,18.9293,19.2856,18.9293,19.2807,605956.0
2020-02-11,19.3491,19.4955,19.2612,19.4857,1119463.0
2020-02-12,19.5541,19.7298,19.4272,19.6322,728443.0
2020-02-13,19.6615,19.886,19.5443,19.8567,890089.0
2020-02-14,19.9055,20.1105,19.7786,20.0715,667568.0
2020-02-15,19.9055,20.1105,19.7786,20.0715,667568.0
2020-02-16,19.9055,20.1105,19.7786,20.0715,667568.0
