,SCS US Equity,SCS US Equity,SCS US Equity,SCS US Equity,SCS US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,17.2313,17.34,17.1059,17.1059,648795.0
2020-01-02,17.2564,17.2564,16.9052,17.0724,1055858.0
2020-01-03,16.8634,17.0724,16.7798,16.9638,602223.0
2020-01-04,16.8634,17.0724,16.7798,16.9638,602223.0
2020-01-05,16.8634,17.0724,16.7798,16.9638,602223.0
2020-01-06,16.8049,16.922,16.6544,16.83,644283.0
2020-01-07,16.7798,16.8216,16.6293,16.7547,889322.0
2020-01-08,16.7297,16.8969,16.6837,16.7297,978429.0
2020-01-09,16.7715,16.7715,16.2489,16.2949,949849.0
2020-01-10,16.228,16.228,15.8936,16.0608,851331.0
2020-01-11,16.228,16.228,15.8936,16.0608,851331.0
2020-01-12,16.228,16.228,15.8936,16.0608,851331.0
2020-01-13,16.1277,16.2029,16.019,16.0859,748648.0
2020-01-14,16.0441,16.3451,15.9521,16.2698,960893.0
2020-01-15,16.2197,16.3618,16.1653,16.2782,1097537.0
2020-01-16,16.3618,16.5708,16.2531,16.2949,536819.0
2020-01-17,16.3534,16.3534,16.111,16.1695,591793.0
2020-01-18,16.3534,16.3534,16.111,16.1695,591793.0
2020-01-19,16.3534,16.3534,16.111,16.1695,591793.0
2020-01-20,16.3534,16.3534,16.111,16.1695,591793.0
2020-01-21,16.0775,16.2029,15.9354,16.0775,705864.0
2020-01-22,16.111,16.2865,15.9521,16.0859,618296.0
2020-01-23,16.0106,16.1988,15.7765,16.0943,616537.0
2020-01-24,16.1277,16.2113,15.8602,16.0023,464546.0
2020-01-25,16.1277,16.2113,15.8602,16.0023,464546.0
2020-01-26,16.1277,16.2113,15.8602,16.0023,464546.0
2020-01-27,15.7849,15.927,15.5926,15.8852,816302.0
2020-01-28,15.9856,16.0943,15.8351,15.9688,324551.0
2020-01-29,15.9939,16.0525,15.7598,15.8016,541322.0
2020-01-30,15.6929,15.9354,15.6344,15.927,517165.0
2020-01-31,15.8267,15.9103,15.5425,15.5592,999843.0
2020-02-01,15.8267,15.9103,15.5425,15.5592,999843.0
2020-02-02,15.8267,15.9103,15.5425,15.5592,999843.0
2020-02-03,15.6511,15.902,15.5592,15.6762,712048.0
2020-02-04,15.8602,15.8979,15.5257,15.6261,689898.0
2020-02-05,15.7765,16.019,15.6929,15.9438,605462.0
2020-02-06,15.9939,16.2447,15.9688,16.1528,483782.0
2020-02-07,16.1026,16.1361,15.927,15.9688,480756.0
2020-02-08,16.1026,16.1361,15.927,15.9688,480756.0
2020-02-09,16.1026,16.1361,15.927,15.9688,480756.0
2020-02-10,15.902,16.0357,15.8058,15.9521,442526.0
2020-02-11,16.0357,16.1193,15.8769,16.0106,539515.0
2020-02-12,16.1277,16.2364,16.0608,16.2113,597386.0
2020-02-13,16.0859,16.1779,15.764,15.8267,937656.0
2020-02-14,15.8602,15.927,15.5508,15.9187,398152.0
2020-02-15,15.8602,15.927,15.5508,15.9187,398152.0
2020-02-16,15.8602,15.927,15.5508,15.9187,398152.0
2020-02-17,15.8602,15.927,15.5508,15.9187,398152.0
2020-02-18,15.8685,15.8936,15.6511,15.8351,583078.0
2020-02-19,15.7264,15.9521,15.6846,15.7431,448620.0
2020-02-20,15.7347,16.0357,15.7097,15.8602,472087.0
2020-02-21,15.8267,15.8602,15.6595,15.7264,411594.0
2020-02-22,15.8267,15.8602,15.6595,15.7264,411594.0
2020-02-23,15.8267,15.8602,15.6595,15.7264,411594.0
2020-02-24,15.3084,15.3836,14.8652,15.1077,692670.0
2020-02-25,15.091,15.1328,14.5225,14.581,786351.0
2020-02-26,14.6479,14.7816,14.2549,14.2549,424647.0
2020-02-27,14.0041,14.3385,13.7198,13.7282,1042329.0
2020-02-28,13.3269,13.7198,13.0426,13.561,1276942.0
2020-02-29,13.3269,13.7198,13.0426,13.561,1276942.0
2020-03-01,13.3269,13.7198,13.0426,13.561,1276942.0
2020-03-02,13.6362,13.7533,13.3352,13.6529,1449126.0
2020-03-03,13.6279,14.2465,13.2266,13.3185,787946.0
2020-03-04,13.561,13.7867,13.3854,13.6697,805841.0
2020-03-05,13.3185,13.4774,12.9005,13.0761,824440.0
2020-03-06,12.6831,13.0761,12.4239,12.7918,971932.0
2020-03-07,12.6831,13.0761,12.4239,12.7918,971932.0
2020-03-08,12.6831,13.0761,12.4239,12.7918,971932.0
2020-03-09,11.9557,12.2233,11.4792,11.8721,942147.0
2020-03-10,12.1397,12.1982,11.2409,11.5962,1032853.0
2020-03-11,11.3203,11.5941,11.1029,11.22,1059012.0
2020-03-12,10.4675,10.5846,9.481,9.6315,948424.0
2020-03-13,10.0579,10.317,9.4643,10.317,1159008.0
2020-03-14,10.0579,10.317,9.4643,10.317,1159008.0
2020-03-15,10.0579,10.317,9.4643,10.317,1159008.0
2020-03-16,9.3472,10.2561,8.4861,8.6616,1731862.0
2020-03-17,8.7954,8.7954,7.742,7.9761,1401302.0
2020-03-18,7.4744,7.558,5.8692,6.1284,1059879.0
2020-03-19,6.12,7.3741,5.8943,7.3239,1390201.0
2020-03-20,7.3657,8.3105,7.2111,8.0262,1867484.0
2020-03-21,7.3657,8.3105,7.2111,8.0262,1867484.0
2020-03-22,7.3657,8.3105,7.2111,8.0262,1867484.0
2020-03-23,8.0011,8.1349,7.2069,7.9092,1113508.0
2020-03-24,8.3021,8.6157,8.1098,8.3857,955568.0
2020-03-25,9.1131,10.0746,8.7954,9.6566,1868971.0
2020-03-26,9.7067,10.292,9.1967,9.3556,1180906.0
2020-03-27,8.8874,9.2469,8.5111,8.9041,1448094.0
2020-03-28,8.8874,9.2469,8.5111,8.9041,1448094.0
2020-03-29,8.8874,9.2469,8.5111,8.9041,1448094.0
2020-03-30,8.9626,9.0462,8.5697,8.7536,1097186.0
2020-03-31,8.6867,8.9877,8.0513,8.252,1666523.0
2020-04-01,7.8674,8.0011,7.2654,7.3574,1234756.0
2020-04-02,7.3405,7.7535,6.9571,7.1045,966127.0
2020-04-03,7.1045,7.1804,6.6958,6.9276,882849.0
2020-04-04,7.1045,7.1804,6.6958,6.9276,882849.0
2020-04-05,7.1045,7.1804,6.6958,6.9276,882849.0
2020-04-06,7.2562,7.7998,7.2478,7.6945,995630.0
2020-04-07,8.04,8.4951,7.7198,7.8377,1076939.0
2020-04-08,8.0653,8.3687,7.8799,8.2591,814446.0
2020-04-09,8.5541,8.9081,8.4698,8.8069,782478.0
2020-04-10,8.5541,8.9081,8.4698,8.8069,782478.0
2020-04-11,8.5541,8.9081,8.4698,8.8069,782478.0
2020-04-12,8.5541,8.9081,8.4698,8.8069,782478.0
2020-04-13,8.7648,8.7648,8.2928,8.5372,595010.0
2020-04-14,8.7564,8.9081,8.2928,8.3687,919724.0
2020-04-15,7.9979,7.9979,7.6102,7.6523,874120.0
2020-04-16,7.6186,7.6355,7.2057,7.4164,810909.0
2020-04-17,7.7282,8.217,7.6777,8.1159,910430.0
2020-04-18,7.7282,8.217,7.6777,8.1159,910430.0
2020-04-19,7.7282,8.217,7.6777,8.1159,910430.0
2020-04-20,7.9052,8.1074,7.745,7.7956,678165.0
2020-04-21,7.6692,7.8125,7.5091,7.6776,842444.0
2020-04-22,7.8377,7.8883,7.6018,7.6608,564784.0
2020-04-23,7.6776,8.1285,7.6776,7.9979,573034.0
2020-04-24,8.0316,8.099,7.8209,8.0569,675334.0
2020-04-25,8.0316,8.099,7.8209,8.0569,675334.0
2020-04-26,8.0316,8.099,7.8209,8.0569,675334.0
2020-04-27,8.158,8.6468,8.1074,8.4867,722678.0
2020-04-28,8.8996,9.2199,8.8154,8.8491,1010401.0
2020-04-29,9.1188,9.5233,9.0682,9.3716,1019772.0
2020-04-30,9.144,9.3126,8.828,9.2283,679654.0
2020-05-01,8.9165,9.0429,8.6455,8.8912,760439.0
2020-05-02,8.9165,9.0429,8.6455,8.8912,760439.0
2020-05-03,8.9165,9.0429,8.6455,8.8912,760439.0
2020-05-04,8.6637,8.9755,8.5789,8.9418,817672.0
2020-05-05,9.1272,9.4137,9.1103,9.2283,1265017.0
2020-05-06,9.1777,9.2199,8.4867,8.5035,678760.0
2020-05-07,8.6047,9.0513,8.6047,8.8491,514659.0
2020-05-08,9.0935,9.4053,9.0598,9.3884,594253.0
2020-05-09,9.0935,9.4053,9.0598,9.3884,594253.0
2020-05-10,9.0935,9.4053,9.0598,9.3884,594253.0
2020-05-11,9.1525,9.1862,8.8406,9.0176,572756.0
2020-05-12,9.0261,9.1272,8.4277,8.4277,720807.0
2020-05-13,8.4277,8.5035,8.0737,8.1833,595035.0
2020-05-14,7.9557,8.1959,7.6692,8.158,572301.0
2020-05-15,8.099,8.2507,7.9726,8.1917,371574.0
2020-05-16,8.099,8.2507,7.9726,8.1917,371574.0
2020-05-17,8.099,8.2507,7.9726,8.1917,371574.0
2020-05-18,8.6889,9.5064,8.6805,9.3632,1030724.0
2020-05-19,9.2452,9.4474,8.934,9.0766,458419.0
2020-05-20,9.2536,9.557,9.2536,9.3379,503502.0
2020-05-21,9.2705,9.5739,9.2705,9.3716,510253.0
2020-05-22,9.675,9.9615,9.4222,9.7003,994143.0
2020-05-23,9.675,9.9615,9.4222,9.7003,994143.0
2020-05-24,9.675,9.9615,9.4222,9.7003,994143.0
2020-05-25,9.675,9.9615,9.4222,9.7003,994143.0
2020-05-26,10.1975,11.1288,10.0964,10.8127,1563051.0
2020-05-27,11.2088,11.4785,10.5599,10.8717,1387076.0
2020-05-28,11.015,11.015,10.2396,10.2649,670194.0
2020-05-29,10.1301,10.1726,9.675,9.7593,881284.0
2020-05-30,10.1301,10.1726,9.675,9.7593,881284.0
2020-05-31,10.1301,10.1726,9.675,9.7593,881284.0
2020-06-01,9.8772,10.0627,9.7255,9.7761,998390.0
2020-06-02,9.9025,10.1174,9.8098,9.9025,1416611.0
2020-06-03,10.0964,10.7116,10.0964,10.602,2166535.0
2020-06-04,10.4419,10.7959,10.2818,10.7369,1086642.0
2020-06-05,11.3774,11.6513,11.1667,11.1751,1064467.0
2020-06-06,11.3774,11.6513,11.1667,11.1751,1064467.0
2020-06-07,11.3774,11.6513,11.1667,11.1751,1064467.0
2020-06-08,11.4279,11.7903,11.3689,11.7566,1108595.0
2020-06-09,11.6302,11.7988,11.3437,11.6555,718161.0
2020-06-10,11.5544,11.5544,10.7284,10.8549,1091893.0
2020-06-11,10.1216,10.1806,9.4811,9.5991,765557.0
2020-06-12,10.1554,10.3408,9.691,10.0037,610289.0
2020-06-13,10.1554,10.3408,9.691,10.0037,610289.0
2020-06-14,10.1554,10.3408,9.691,10.0037,610289.0
2020-06-15,9.5654,10.2818,9.4053,10.2818,906504.0
2020-06-16,10.8717,10.8717,10.4461,10.5683,870330.0
2020-06-17,10.7032,10.7032,10.2481,10.3071,647672.0
2020-06-18,10.1385,10.425,9.9952,10.1975,505356.0
2020-06-19,10.3323,10.3829,9.8688,9.9447,1558730.0
2020-06-20,10.3323,10.3829,9.8688,9.9447,1558730.0
2020-06-21,10.3323,10.3829,9.8688,9.9447,1558730.0
2020-06-22,9.8688,10.0879,9.7087,10.0289,720242.0
2020-06-23,10.2228,10.3408,9.9868,10.2228,901900.0
2020-06-24,10.0711,10.0964,9.5401,9.8351,894158.0
2020-06-25,9.7255,9.9353,9.4811,9.7171,735700.0
2020-06-26,9.6328,9.7466,9.3632,9.6666,1357504.0
2020-06-27,9.6328,9.7466,9.3632,9.6666,1357504.0
2020-06-28,9.6328,9.7466,9.3632,9.6666,1357504.0
2020-06-29,9.852,10.3155,9.8435,10.2986,869190.0
2020-06-30,10.2986,10.484,10.0627,10.1638,1436822.0
2020-07-01,9.2789,10.5767,8.6384,8.7395,4249797.0
2020-07-02,8.9671,9.262,8.6552,8.7142,1852024.0
2020-07-03,8.9671,9.262,8.6552,8.7142,1852024.0
2020-07-04,8.9671,9.262,8.6552,8.7142,1852024.0
2020-07-05,8.9671,9.262,8.6552,8.7142,1852024.0
2020-07-06,8.8828,9.3042,8.8238,9.2367,1313473.0
2020-07-07,9.1347,9.1517,8.8327,8.9306,1209636.0
2020-07-08,8.9731,9.0496,8.7775,8.9306,929014.0
2020-07-09,8.854,8.9986,8.7179,8.8625,971417.0
2020-07-10,8.8455,8.9646,8.6839,8.9306,874547.0
2020-07-11,8.8455,8.9646,8.6839,8.9306,874547.0
