,WAL US Equity,WAL US Equity,WAL US Equity,WAL US Equity,WAL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,35.4185,35.7905,34.7103,35.4006,1056493.0
2019-01-02,34.7372,35.9295,34.7372,35.7681,1267159.0
2019-01-03,35.5619,36.4942,35.3109,35.6605,834843.0
2019-01-04,36.3418,36.9604,35.9564,36.8169,1017310.0
2019-01-05,36.3418,36.9604,35.9564,36.8169,1017310.0
2019-01-06,36.3418,36.9604,35.9564,36.8169,1017310.0
2019-01-07,36.6825,37.552,36.1446,37.0321,660360.0
2019-01-08,37.1128,37.2921,36.557,37.2472,878811.0
2019-01-09,37.4803,37.7941,37.1486,37.6506,686444.0
2019-01-10,37.3727,37.9465,37.2044,37.8299,665869.0
2019-01-11,37.6506,38.2781,37.0052,38.054,677245.0
2019-01-12,37.6506,38.2781,37.0052,38.054,677245.0
2019-01-13,37.6506,38.2781,37.0052,38.054,677245.0
2019-01-14,37.6417,38.5202,37.6417,38.2154,1141031.0
2019-01-15,38.8519,38.8519,37.7268,38.4754,825533.0
2019-01-16,39.0043,40.0352,38.807,39.838,1443458.0
2019-01-17,39.5869,39.8917,39.1835,39.7573,775050.0
2019-01-18,40.0172,40.7344,39.3718,40.6268,823436.0
2019-01-19,40.0172,40.7344,39.3718,40.6268,823436.0
2019-01-20,40.0172,40.7344,39.3718,40.6268,823436.0
2019-01-21,40.0172,40.7344,39.3718,40.6268,823436.0
2019-01-22,40.2682,40.5641,39.7662,39.8648,1086759.0
2019-01-23,40.0979,40.2741,39.4973,39.8111,649240.0
2019-01-24,39.4973,40.1517,38.2548,40.071,1725674.0
2019-01-25,41.075,41.1961,38.8788,40.833,2741855.0
2019-01-26,41.075,41.1961,38.8788,40.833,2741855.0
2019-01-27,41.075,41.1961,38.8788,40.833,2741855.0
2019-01-28,40.5551,41.6129,40.5013,41.4784,1010145.0
2019-01-29,41.3171,41.7922,40.8151,40.8151,675819.0
2019-01-30,40.8689,41.084,40.4475,40.5641,789467.0
2019-01-31,40.2414,40.5461,39.0491,39.6945,776050.0
2019-02-01,39.8021,40.2772,39.5601,39.9366,726058.0
2019-02-02,39.8021,40.2772,39.5601,39.9366,726058.0
2019-02-03,39.8021,40.2772,39.5601,39.9366,726058.0
2019-02-04,40.0352,40.582,39.6228,40.4924,692819.0
2019-02-05,40.5282,40.7792,39.9814,40.4565,1125248.0
2019-02-06,40.1607,40.8151,39.9724,40.2055,607668.0
2019-02-07,40.573,41.1826,40.2682,40.322,937374.0
2019-02-08,40.1876,40.3937,39.4883,39.7035,566307.0
2019-02-09,40.1876,40.3937,39.4883,39.7035,566307.0
2019-02-10,40.1876,40.3937,39.4883,39.7035,566307.0
2019-02-11,39.8111,40.1965,39.6766,39.8648,1391003.0
2019-02-12,40.1965,41.1557,40.1965,40.7165,805386.0
2019-02-13,40.8868,41.1288,40.6089,40.842,470592.0
2019-02-14,40.34,40.6179,40.089,40.3758,463748.0
2019-02-15,40.842,41.5143,40.6179,41.2364,413096.0
2019-02-16,40.842,41.5143,40.6179,41.2364,413096.0
2019-02-17,40.842,41.5143,40.6179,41.2364,413096.0
2019-02-18,40.842,41.5143,40.6179,41.2364,413096.0
2019-02-19,40.9047,41.8639,40.8509,41.6936,857482.0
2019-02-20,41.7384,42.2942,41.3529,42.2584,505969.0
2019-02-21,42.2584,42.3121,41.5053,41.6936,278452.0
2019-02-22,41.5681,41.9715,41.5681,41.9087,412215.0
2019-02-23,41.5681,41.9715,41.5681,41.9087,412215.0
2019-02-24,41.5681,41.9715,41.5681,41.9087,412215.0
2019-02-25,42.2673,42.6886,42.0701,42.0791,791500.0
2019-02-26,41.8639,42.1418,41.1019,41.2454,1243703.0
2019-02-27,41.3978,41.7832,41.0571,41.5502,1153437.0
2019-02-28,41.5143,41.6846,41.2812,41.4784,692974.0
2019-03-01,41.8012,42.1328,41.3081,41.5502,340745.0
2019-03-02,41.8012,42.1328,41.3081,41.5502,340745.0
2019-03-03,41.8012,42.1328,41.3081,41.5502,340745.0
2019-03-04,41.5412,41.8281,41.1109,41.4964,554109.0
2019-03-05,41.3888,41.6577,40.8151,41.4874,711899.0
2019-03-06,41.3798,41.5053,40.1517,40.2234,909898.0
2019-03-07,39.9276,39.9276,39.1298,39.3449,782909.0
2019-03-08,38.8788,39.5869,38.7057,39.4346,486377.0
2019-03-09,38.8788,39.5869,38.7057,39.4346,486377.0
2019-03-10,38.8788,39.5869,38.7057,39.4346,486377.0
2019-03-11,39.6407,39.7842,39.4346,39.6138,613721.0
2019-03-12,39.5869,39.9007,39.2373,39.7035,696437.0
2019-03-13,39.9186,40.1517,39.6407,39.9455,612837.0
2019-03-14,40.0262,40.1786,39.7931,39.9366,311349.0
2019-03-15,39.9903,40.4206,39.8738,40.1607,690271.0
2019-03-16,39.9903,40.4206,39.8738,40.1607,690271.0
2019-03-17,39.9903,40.4206,39.8738,40.1607,690271.0
2019-03-18,40.1338,40.9585,40.1338,40.8599,717143.0
2019-03-19,41.2095,41.2095,39.7662,39.8738,728847.0
2019-03-20,39.7304,40.1069,37.8478,37.8927,1090218.0
2019-03-21,37.5879,37.6686,36.8528,37.0231,1500454.0
2019-03-22,36.4763,36.5211,34.5579,35.0241,2015802.0
2019-03-23,36.4763,36.5211,34.5579,35.0241,2015802.0
2019-03-24,36.4763,36.5211,34.5579,35.0241,2015802.0
2019-03-25,35.2123,36.0729,34.7193,35.284,1794162.0
2019-03-26,35.6067,36.6645,35.3468,36.6376,1382327.0
2019-03-27,36.2163,36.8976,35.9115,36.4853,1417942.0
2019-03-28,36.3149,37.041,36.0908,37.0052,828832.0
2019-03-29,37.4086,37.4086,36.5301,36.79,1072202.0
2019-03-30,37.4086,37.4086,36.5301,36.79,1072202.0
2019-03-31,37.4086,37.4086,36.5301,36.79,1072202.0
2019-04-01,37.5162,37.9823,37.0859,37.8927,1570340.0
2019-04-02,37.6955,38.2333,37.6596,38.0271,1623323.0
2019-04-03,38.5381,38.9057,38.4036,38.6278,1120302.0
2019-04-04,38.5471,39.3808,38.5471,39.1118,645044.0
2019-04-05,39.1925,39.5152,38.9594,39.318,592287.0
2019-04-06,39.1925,39.5152,38.9594,39.318,592287.0
2019-04-07,39.1925,39.5152,38.9594,39.318,592287.0
2019-04-08,39.1835,39.5869,39.0894,39.4614,483818.0
2019-04-09,39.2194,39.2284,38.6009,38.6546,683709.0
2019-04-10,38.6278,38.9415,38.1885,38.8339,748921.0
2019-04-11,39.0491,39.4435,38.7801,39.1656,945304.0
2019-04-12,39.82,40.4117,39.3987,40.2145,917442.0
2019-04-13,39.82,40.4117,39.3987,40.2145,917442.0
2019-04-14,39.82,40.4117,39.3987,40.2145,917442.0
2019-04-15,40.1965,40.2772,39.2911,39.5152,603039.0
2019-04-16,39.6228,40.2862,39.3359,40.2682,902050.0
2019-04-17,40.34,40.591,39.7528,40.5103,731021.0
2019-04-18,40.34,40.4117,39.5332,39.7125,918896.0
2019-04-19,40.34,40.4117,39.5332,39.7125,918896.0
2019-04-20,40.34,40.4117,39.5332,39.7125,918896.0
2019-04-21,40.34,40.4117,39.5332,39.7125,918896.0
2019-04-22,39.5152,39.7035,38.7533,38.8788,1370051.0
2019-04-23,40.2682,42.3301,39.7662,42.1239,2819888.0
2019-04-24,42.5542,42.7424,41.3888,42.348,1132662.0
2019-04-25,42.2225,42.6707,42.0118,42.3121,669926.0
2019-04-26,42.1777,42.9665,42.0792,42.85,603692.0
2019-04-27,42.1777,42.9665,42.0792,42.85,603692.0
2019-04-28,42.1777,42.9665,42.0792,42.85,603692.0
2019-04-29,42.8321,43.7464,42.8321,43.5044,785913.0
2019-04-30,43.6658,43.6658,42.6976,42.8321,840986.0
2019-05-01,42.8231,43.2355,42.106,42.3928,763496.0
2019-05-02,42.4376,43.2982,42.4018,43.0562,647124.0
2019-05-03,43.1548,44.0378,43.0248,43.9706,733352.0
2019-05-04,43.1548,44.0378,43.0248,43.9706,733352.0
2019-05-05,43.1548,44.0378,43.0248,43.9706,733352.0
2019-05-06,42.9665,43.8002,42.7335,43.603,822175.0
2019-05-07,42.9755,43.2588,42.4018,42.7424,684099.0
2019-05-08,42.59,42.8141,42.1418,42.1597,333643.0
2019-05-09,41.5681,42.5362,41.344,42.3749,669980.0
2019-05-10,42.1418,42.8321,41.8191,42.6976,537154.0
2019-05-11,42.1418,42.8321,41.8191,42.6976,537154.0
2019-05-12,42.1418,42.8321,41.8191,42.6976,537154.0
2019-05-13,41.7384,41.8729,40.0531,40.3041,581294.0
2019-05-14,40.3669,41.1557,39.9814,40.7792,1194052.0
2019-05-15,40.331,40.331,39.4615,40.0621,409411.0
2019-05-16,40.2503,40.8868,40.2503,40.4296,405619.0
2019-05-17,39.9545,40.7882,39.8648,39.9455,407558.0
2019-05-18,39.9545,40.7882,39.8648,39.9455,407558.0
2019-05-19,39.9545,40.7882,39.8648,39.9455,407558.0
2019-05-20,39.8021,40.4744,39.5332,40.2503,339446.0
2019-05-21,40.4565,40.8509,40.4386,40.5641,873706.0
