,ARCH US Equity,ARCH US Equity,ARCH US Equity,ARCH US Equity,ARCH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,62.605,63.5799,61.7581,62.477,188691.0
2019-01-02,61.807,64.2612,61.1822,63.93,197654.0
2019-01-03,63.6364,64.0203,61.3252,61.4532,264331.0
2019-01-04,62.0254,64.1182,62.0254,63.4106,167033.0
2019-01-05,62.0254,64.1182,62.0254,63.4106,167033.0
2019-01-06,62.0254,64.1182,62.0254,63.4106,167033.0
2019-01-07,63.6289,63.787,62.0028,62.1834,254314.0
2019-01-08,62.605,63.7644,61.5511,62.3867,288261.0
2019-01-09,62.5448,64.5586,62.0178,64.3591,387826.0
2019-01-10,63.9752,65.0517,63.1395,64.7882,143537.0
2019-01-11,64.5022,65.4281,63.6138,64.7581,209689.0
2019-01-12,64.5022,65.4281,63.6138,64.7581,209689.0
2019-01-13,64.5022,65.4281,63.6138,64.7581,209689.0
2019-01-14,64.3441,65.3378,63.2826,64.4118,170482.0
2019-01-15,64.4043,64.999,60.2788,60.7455,360965.0
2019-01-16,60.8434,61.9124,60.1885,61.1972,302016.0
2019-01-17,60.9865,64.9388,60.9865,64.6979,212873.0
2019-01-18,64.7431,65.27,64.2763,65.0668,196541.0
2019-01-19,64.7431,65.27,64.2763,65.0668,196541.0
2019-01-20,64.7431,65.27,64.2763,65.0668,196541.0
2019-01-21,64.7431,65.27,64.2763,65.0668,196541.0
2019-01-22,64.9764,65.7142,63.9225,64.7882,180536.0
2019-01-23,65.1872,65.6916,64.7807,65.0969,232644.0
2019-01-24,65.127,65.4808,64.3524,64.3817,99158.0
2019-01-25,65.1345,65.8045,64.7054,65.4733,180440.0
2019-01-26,65.1345,65.8045,64.7054,65.4733,180440.0
2019-01-27,65.1345,65.8045,64.7054,65.4733,180440.0
2019-01-28,65.0592,65.3867,64.0128,64.9011,115047.0
2019-01-29,65.4206,65.4658,64.3968,64.4796,137504.0
2019-01-30,65.2023,65.9325,64.0806,65.2173,247622.0
2019-01-31,65.4432,66.6778,65.0818,66.3466,287135.0
2019-02-01,66.2337,66.994,65.9927,66.4143,194679.0
2019-02-02,66.2337,66.994,65.9927,66.4143,194679.0
2019-02-03,66.2337,66.994,65.9927,66.4143,194679.0
2019-02-04,65.9024,66.4143,65.3453,66.2713,204802.0
2019-02-05,66.1508,67.4457,65.5185,66.4444,210962.0
2019-02-06,66.0379,66.7493,65.4884,65.782,273207.0
2019-02-07,65.8723,66.5047,64.1784,64.6828,385445.0
2019-02-08,64.5022,65.1044,61.3026,61.4607,651655.0
2019-02-09,64.5022,65.1044,61.3026,61.4607,651655.0
2019-02-10,64.5022,65.1044,61.3026,61.4607,651655.0
2019-02-11,61.3553,61.4156,59.8572,60.8359,314751.0
2019-02-12,61.5887,62.0103,61.1822,61.7694,207671.0
2019-02-13,61.9576,63.3503,61.7769,62.6728,318034.0
2019-02-14,64.7506,67.5737,61.6791,67.2876,884120.0
2019-02-15,68.447,68.5524,65.1533,66.5273,366568.0
2019-02-16,68.447,68.5524,65.1533,66.5273,366568.0
2019-02-17,68.447,68.5524,65.1533,66.5273,366568.0
2019-02-18,68.447,68.5524,65.1533,66.5273,366568.0
2019-02-19,65.9175,67.8334,65.9175,67.6414,251889.0
2019-02-20,67.6791,69.0116,67.1145,68.4545,309001.0
2019-02-21,68.4771,69.1019,67.6189,69.0417,348686.0
2019-02-22,69.26,70.7657,68.2738,68.4018,215888.0
2019-02-23,69.26,70.7657,68.2738,68.4018,215888.0
2019-02-24,69.26,70.7657,68.2738,68.4018,215888.0
2019-02-25,68.4018,69.0567,67.9802,68.4771,344286.0
2019-02-26,68.4771,69.9978,68.4771,69.2073,285768.0
2019-02-27,69.245,70.6302,69.132,70.4269,298297.0
2019-02-28,70.3516,70.8372,69.7268,70.1333,289203.0
2019-03-01,70.2462,70.9162,69.6138,70.4946,337401.0
2019-03-02,70.2462,70.9162,69.6138,70.4946,337401.0
2019-03-03,70.2462,70.9162,69.6138,70.4946,337401.0
2019-03-04,70.419,70.9183,68.1345,68.596,216855.0
2019-03-05,68.5279,69.9727,68.5279,69.5037,262794.0
2019-03-06,69.6247,69.6247,67.3327,67.3705,190369.0
2019-03-07,67.5218,68.2631,66.2585,67.4688,201937.0
2019-03-08,66.788,67.5823,66.3871,66.9998,201909.0
2019-03-09,66.788,67.5823,66.3871,66.9998,201909.0
2019-03-10,66.788,67.5823,66.3871,66.9998,201909.0
2019-03-11,67.2797,68.9515,66.9242,68.6565,252904.0
2019-03-12,68.6338,69.7306,68.195,69.2616,192405.0
2019-03-13,69.6474,70.2772,69.065,69.9651,314708.0
2019-03-14,69.9198,70.2148,69.2995,69.9576,291133.0
2019-03-15,69.8366,70.3509,68.4674,68.7019,293008.0
2019-03-16,69.8366,70.3509,68.4674,68.7019,293008.0
2019-03-17,69.8366,70.3509,68.4674,68.7019,293008.0
2019-03-18,68.891,69.6777,68.5127,69.065,140488.0
2019-03-19,69.4205,70.0257,68.9326,69.3449,253096.0
2019-03-20,69.1028,69.1557,67.7109,67.9303,197399.0
2019-03-21,67.8773,70.0181,67.8773,69.4734,262066.0
2019-03-22,69.0952,69.9727,68.4825,68.5203,279330.0
2019-03-23,69.0952,69.9727,68.4825,68.5203,279330.0
2019-03-24,69.0952,69.9727,68.4825,68.5203,279330.0
2019-03-25,68.3917,68.63,67.1814,67.8698,202538.0
2019-03-26,68.717,69.655,68.3085,68.8305,249142.0
2019-03-27,68.7246,69.1633,67.3629,67.6428,253887.0
2019-03-28,67.6504,69.9008,67.5483,69.8592,212883.0
2019-03-29,70.4493,70.6006,68.6867,69.0423,304169.0
