,CHRW US Equity,CHRW US Equity,CHRW US Equity,CHRW US Equity,CHRW US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,73.6301,74.203,73.26,74.106,702841.0
2019-01-02,72.8546,73.8504,72.458,73.1278,937169.0
2019-01-03,72.3875,72.8899,70.343,70.4311,1127410.0
2019-01-04,71.33,73.2864,71.3124,72.8722,1724728.0
2019-01-05,71.33,73.2864,71.3124,72.8722,1724728.0
2019-01-06,71.33,73.2864,71.3124,72.8722,1724728.0
2019-01-07,72.5638,73.705,71.894,73.2247,1311580.0
2019-01-08,73.6566,74.0796,73.1542,73.8152,1085771.0
2019-01-09,74.2382,74.9873,73.6125,74.6612,743617.0
2019-01-10,74.5907,75.3486,73.8152,75.2957,955704.0
2019-01-11,74.7317,75.7628,74.3307,75.4632,613221.0
2019-01-12,74.7317,75.7628,74.3307,75.4632,613221.0
2019-01-13,74.7317,75.7628,74.3307,75.4632,613221.0
2019-01-14,74.7053,75.7804,74.4101,75.6571,784841.0
2019-01-15,75.5513,75.8509,74.6788,75.1107,1037069.0
2019-01-16,75.2429,75.7452,74.6788,74.9256,843273.0
2019-01-17,74.8022,76.1197,74.5951,75.8245,1085009.0
2019-01-18,77.0847,78.2039,76.5648,78.1422,3483345.0
2019-01-19,77.0847,78.2039,76.5648,78.1422,3483345.0
2019-01-20,77.0847,78.2039,76.5648,78.1422,3483345.0
2019-01-21,77.0847,78.2039,76.5648,78.1422,3483345.0
2019-01-22,77.6663,78.1114,76.0977,76.6265,2219942.0
2019-01-23,76.697,76.8291,75.4896,76.6529,1282649.0
2019-01-24,76.8732,77.0235,75.9919,76.2651,1013986.0
2019-01-25,76.9437,77.2962,76.4194,76.7146,1460937.0
2019-01-26,76.9437,77.2962,76.4194,76.7146,1460937.0
2019-01-27,76.9437,77.2962,76.4194,76.7146,1460937.0
2019-01-28,76.8203,76.9437,75.7981,76.4678,1163861.0
2019-01-29,76.3268,76.8732,75.9743,76.3268,1538711.0
2019-01-30,77.12,77.3138,74.908,76.4326,4158203.0
2019-01-31,76.318,77.0935,75.5161,76.4678,1767473.0
2019-02-01,76.3797,77.5077,75.9919,77.305,1279313.0
2019-02-02,76.3797,77.5077,75.9919,77.305,1279313.0
