,TX US Equity,TX US Equity,TX US Equity,TX US Equity,TX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2010-01-01,20.492,20.8315,20.3423,20.3826,137237.0
2010-01-02,20.492,20.8315,20.3423,20.3826,137237.0
2010-01-03,20.492,20.8315,20.3423,20.3826,137237.0
2010-01-04,20.8718,21.3494,20.7912,21.3494,505024.0
2010-01-05,21.3695,21.5796,21.1019,21.5796,360280.0
2010-01-06,21.6659,21.7407,21.2401,21.4875,455442.0
2010-01-07,21.3551,21.7292,21.0386,21.3609,154840.0
2010-01-08,21.3609,21.6544,21.2918,21.453,154312.0
2010-01-09,21.3609,21.6544,21.2918,21.453,154312.0
2010-01-10,21.3609,21.6544,21.2918,21.453,154312.0
2010-01-11,21.6659,21.8385,21.2055,21.2516,118972.0
2010-01-12,21.0041,21.0041,20.1582,20.3654,334526.0
2010-01-13,20.4229,21.0674,20.2503,21.0271,249015.0
2010-01-14,21.148,21.6947,20.9696,21.6486,291061.0
2010-01-15,21.781,22.063,21.0617,21.3667,351375.0
2010-01-16,21.781,22.063,21.0617,21.3667,351375.0
2010-01-17,21.781,22.063,21.0617,21.3667,351375.0
2010-01-18,21.781,22.063,21.0617,21.3667,351375.0
2010-01-19,21.499,21.8846,21.3321,21.4875,198127.0
2010-01-20,21.1307,21.2861,20.7509,21.2746,303818.0
2010-01-21,21.125,21.3667,20.1582,20.4862,713983.0
2010-01-22,20.164,20.2675,19.5252,19.554,886130.0
2010-01-23,20.164,20.2675,19.5252,19.554,886130.0
2010-01-24,20.164,20.2675,19.5252,19.554,886130.0
2010-01-25,19.8532,19.8532,18.8001,18.8577,549040.0
2010-01-26,18.4836,18.8059,17.9715,18.1786,389964.0
2010-01-27,18.357,18.357,17.4018,17.678,410834.0
2010-01-28,18.052,18.052,17.5744,17.6837,392322.0
2010-01-29,17.5744,17.7758,17.022,17.1256,760979.0
2010-01-30,17.5744,17.7758,17.022,17.1256,760979.0
2010-01-31,17.5744,17.7758,17.022,17.1256,760979.0
2010-02-01,17.1256,18.3628,16.8839,18.357,425019.0
2010-02-02,18.5987,18.7081,18.1384,18.5987,420394.0
2010-02-03,18.4146,18.6908,18.1786,18.2132,286283.0
2010-02-04,17.8909,17.9887,16.6709,16.7803,374840.0
2010-02-05,16.7112,17.2406,16.2566,17.0623,385285.0
2010-02-06,16.7112,17.2406,16.2566,17.0623,385285.0
2010-02-07,16.7112,17.2406,16.2566,17.0623,385285.0
2010-02-08,17.2522,17.6722,16.7573,16.9874,251136.0
