,HOG US Equity,HOG US Equity,HOG US Equity,HOG US Equity,HOG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,30.5238,30.7475,30.1749,30.5238,1773155.0
2019-01-02,30.0944,30.8817,29.6918,30.488,1975334.0
2019-01-03,30.4254,30.5149,29.5755,29.6471,1887822.0
2019-01-04,30.0049,31.3469,29.826,31.0248,2004790.0
2019-01-05,30.0049,31.3469,29.826,31.0248,2004790.0
2019-01-06,30.0049,31.3469,29.826,31.0248,2004790.0
2019-01-07,31.2216,32.2325,30.7296,31.9462,3019242.0
2019-01-08,32.2862,32.6619,31.8389,32.5903,1724993.0
2019-01-09,32.7782,33.0332,32.5277,32.6351,1681641.0
2019-01-10,32.4383,32.8945,32.2772,32.7424,1049210.0
2019-01-11,32.483,32.9303,32.483,32.6977,1217785.0
2019-01-12,32.483,32.9303,32.483,32.6977,1217785.0
2019-01-13,32.483,32.9303,32.483,32.6977,1217785.0
2019-01-14,32.4562,33.3597,32.2862,32.9571,1633433.0
2019-01-15,33.0019,33.1987,32.6261,33.0824,2124308.0
2019-01-16,32.8766,33.4939,32.814,33.1629,1749925.0
2019-01-17,32.8945,33.5945,32.5546,33.3508,1852682.0
2019-01-18,33.4134,33.6818,33.2881,33.485,2639808.0
2019-01-19,33.4134,33.6818,33.2881,33.485,2639808.0
2019-01-20,33.4134,33.6818,33.2881,33.485,2639808.0
2019-01-21,33.4134,33.6818,33.2881,33.485,2639808.0
2019-01-22,33.4044,33.4044,32.3041,32.5009,2221878.0
2019-01-23,32.6888,33.0019,31.9328,32.2504,1886674.0
2019-01-24,32.2415,32.8408,31.9731,32.653,1963338.0
2019-01-25,32.8498,33.3508,32.8498,32.9929,1797884.0
2019-01-26,32.8498,33.3508,32.8498,32.9929,1797884.0
2019-01-27,32.8498,33.3508,32.8498,32.9929,1797884.0
2019-01-28,32.5903,32.8945,32.322,32.7514,3413905.0
2019-01-29,29.7008,31.5526,29.6561,31.0964,9943918.0
2019-01-30,30.9622,32.7514,30.5238,32.6351,6550242.0
2019-01-31,32.5635,33.0734,32.313,32.975,4680122.0
2019-02-01,32.6977,33.1805,32.4741,32.7872,2725758.0
2019-02-02,32.6977,33.1805,32.4741,32.7872,2725758.0
2019-02-03,32.6977,33.1805,32.4741,32.7872,2725758.0
2019-02-04,32.5635,32.9929,32.4741,32.7156,1676013.0
2019-02-05,32.814,32.984,32.3935,32.7514,2044367.0
2019-02-06,32.7335,32.8408,32.4159,32.5635,1376104.0
2019-02-07,32.2772,32.2772,31.3558,31.8478,2284563.0
2019-02-08,31.6063,31.66,31.0931,31.5347,1533096.0
2019-02-09,31.6063,31.66,31.0931,31.5347,1533096.0
2019-02-10,31.6063,31.66,31.0931,31.5347,1533096.0
2019-02-11,31.66,31.9949,31.5884,31.9283,1274105.0
2019-02-12,32.2862,32.6351,32.143,32.1878,1662575.0
2019-02-13,32.2415,32.8319,32.2415,32.653,1482310.0
2019-02-14,32.4025,33.0421,32.2146,32.814,2162979.0
2019-02-15,33.1987,33.4939,32.984,33.3687,2225618.0
2019-02-16,33.1987,33.4939,32.984,33.3687,2225618.0
2019-02-17,33.1987,33.4939,32.984,33.3687,2225618.0
2019-02-18,33.1987,33.4939,32.984,33.3687,2225618.0
2019-02-19,33.2971,33.306,32.966,33.1987,1470533.0
2019-02-20,33.1539,33.5386,32.9437,33.3418,1023030.0
2019-02-21,33.315,33.5923,33.2076,33.485,1144562.0
2019-02-22,33.5744,33.5834,32.9035,33.1987,1302563.0
2019-02-23,33.5744,33.5834,32.9035,33.1987,1302563.0
2019-02-24,33.5744,33.5834,32.9035,33.1987,1302563.0
2019-02-25,33.5118,33.839,33.3776,33.6281,1401182.0
2019-02-26,33.5028,33.6639,32.9571,32.975,1052734.0
2019-02-27,32.8677,33.4313,32.7424,33.4044,1512300.0
2019-02-28,33.315,33.646,33.1629,33.2076,1976071.0
2019-03-01,33.5297,34.0217,33.4581,33.8875,1631359.0
2019-03-02,33.5297,34.0217,33.4581,33.8875,1631359.0
2019-03-03,33.5297,34.0217,33.4581,33.8875,1631359.0
2019-03-04,34.0396,34.1917,33.3329,33.5834,1979107.0
2019-03-05,33.807,35.3189,33.4492,34.7106,3777874.0
2019-03-06,34.6748,34.9432,34.138,34.1559,1888973.0
2019-03-07,34.0396,34.147,33.1808,33.5118,2624612.0
2019-03-08,33.2076,33.7533,33.1808,33.6907,1788911.0
2019-03-09,33.2076,33.7533,33.1808,33.6907,1788911.0
2019-03-10,33.2076,33.7533,33.1808,33.6907,1788911.0
2019-03-11,33.8786,33.9233,33.3687,33.4044,2023813.0
2019-03-12,33.6191,33.637,32.8319,32.9303,2830823.0
2019-03-13,33.0161,33.2692,32.8625,32.971,2381415.0
2019-03-14,32.8806,32.971,32.4919,32.9348,2076626.0
2019-03-15,32.9529,33.3325,32.8806,33.0794,5821143.0
2019-03-16,32.9529,33.3325,32.8806,33.0794,5821143.0
2019-03-17,32.9529,33.3325,32.8806,33.0794,5821143.0
2019-03-18,33.215,33.2782,32.51,32.6456,2567907.0
2019-03-19,32.8986,33.3686,32.7314,32.8444,1825255.0
2019-03-20,32.7992,32.8896,31.2356,31.6152,2689385.0
2019-03-21,31.5068,31.9496,31.3441,31.7779,2030705.0
2019-03-22,31.5881,31.6152,30.5668,30.5849,2525529.0
2019-03-23,31.5881,31.6152,30.5668,30.5849,2525529.0
2019-03-24,31.5881,31.6152,30.5668,30.5849,2525529.0
2019-03-25,30.5578,31.1181,30.3996,30.7295,2766101.0
2019-03-26,30.9555,31.5158,30.9012,31.4797,1825278.0
2019-03-27,31.5972,32.3112,31.4164,32.1304,2785670.0
2019-03-28,32.0852,32.6637,32.031,32.2027,2630212.0
2019-03-29,32.4016,32.7812,32.144,32.2298,1954750.0
2019-03-30,32.4016,32.7812,32.144,32.2298,1954750.0
2019-03-31,32.4016,32.7812,32.144,32.2298,1954750.0
2019-04-01,32.6004,33.4138,32.4467,33.4048,1684458.0
2019-04-02,33.4319,34.164,33.1246,34.1459,2253693.0
