,CBSH US Equity,CBSH US Equity,CBSH US Equity,CBSH US Equity,CBSH US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,52.1383,52.2532,51.878,52.0158,501983.0
2020-01-02,52.2073,52.2455,51.6407,52.0618,448938.0
2020-01-03,51.4493,51.9699,51.1775,51.8551,351472.0
2020-01-04,51.4493,51.9699,51.1775,51.8551,351472.0
2020-01-05,51.4493,51.9699,51.1775,51.8551,351472.0
2020-01-06,51.1584,51.5335,50.967,51.5259,581056.0
2020-01-07,51.4493,51.5105,51.0435,51.143,320310.0
2020-01-08,51.3804,51.7938,51.1345,51.633,502194.0
2020-01-09,51.8551,51.9355,51.6262,51.7862,295013.0
2020-01-10,51.7862,51.7862,51.3957,51.5412,449025.0
2020-01-11,51.7862,51.7862,51.3957,51.5412,449025.0
2020-01-12,51.7862,51.7862,51.3957,51.5412,449025.0
2020-01-13,51.7632,51.7632,51.3804,51.7019,418139.0
2020-01-14,51.7019,51.8474,51.4072,51.5641,782994.0
2020-01-15,51.2655,51.6981,50.8827,51.1124,922092.0
2020-01-16,51.4034,51.6866,51.3268,51.6254,579372.0
2020-01-17,51.7096,51.8398,51.6101,51.7632,659452.0
2020-01-18,51.7096,51.8398,51.6101,51.7632,659452.0
2020-01-19,51.7096,51.8398,51.6101,51.7632,659452.0
2020-01-20,51.7096,51.8398,51.6101,51.7632,659452.0
2020-01-21,51.656,51.7555,51.1737,51.3345,952361.0
2020-01-22,51.8398,53.1967,51.3498,52.5977,1235928.0
2020-01-23,52.5977,52.5977,51.8551,52.2608,742271.0
2020-01-24,52.2838,52.2838,51.633,52.0924,535631.0
2020-01-25,52.2838,52.2838,51.633,52.0924,535631.0
2020-01-26,52.2838,52.2838,51.633,52.0924,535631.0
2020-01-27,51.2043,51.878,51.0435,51.6177,587190.0
2020-01-28,51.8704,52.5901,51.6407,52.2915,446246.0
2020-01-29,52.3221,52.7049,51.8841,52.1307,444058.0
2020-01-30,51.7938,52.7662,51.7709,52.7355,330010.0
2020-01-31,52.4293,52.4752,51.7594,51.8015,1444282.0
2020-02-01,52.4293,52.4752,51.7594,51.8015,1444282.0
2020-02-02,52.4293,52.4752,51.7594,51.8015,1444282.0
2020-02-03,52.2073,52.7891,52.1154,52.5824,631990.0
2020-02-04,53.0571,54.0064,52.9652,53.5777,827089.0
2020-02-05,54.1289,54.573,54.0945,54.3127,694747.0
2020-02-06,54.573,55.063,53.6849,53.7844,567973.0
2020-02-07,53.5011,53.6925,53.2332,53.3404,445928.0
2020-02-08,53.5011,53.6925,53.2332,53.3404,445928.0
2020-02-09,53.5011,53.6925,53.2332,53.3404,445928.0
2020-02-10,53.149,53.9605,53.149,53.9146,247093.0
2020-02-11,54.1136,54.6572,53.7538,54.4352,457667.0
2020-02-12,54.4964,54.5347,53.9825,54.2055,387816.0
