,ALXN US Equity,ALXN US Equity,ALXN US Equity,ALXN US Equity,ALXN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-06-11,117.45,118.4,115.655,117.14,1326598.0
2019-06-12,117.11,121.77,116.55,120.65,1644887.0
2019-06-13,120.93,122.9289,116.21,117.24,1893376.0
2019-06-14,117.34,118.97,116.77,117.93,981564.0
2019-06-15,117.34,118.97,116.77,117.93,981564.0
2019-06-16,117.34,118.97,116.77,117.93,981564.0
2019-06-17,118.29,122.08,118.29,120.14,1064016.0
2019-06-18,122.85,124.53,121.905,122.37,1271473.0
2019-06-19,122.22,124.04,120.9135,123.77,807807.0
2019-06-20,124.78,129.76,124.78,128.83,2412813.0
2019-06-21,129.11,132.74,125.54,132.39,3357821.0
2019-06-22,129.11,132.74,125.54,132.39,3357821.0
2019-06-23,129.11,132.74,125.54,132.39,3357821.0
2019-06-24,132.45,132.77,126.35,126.98,1972317.0
2019-06-25,128.51,129.0,124.82,125.15,1717476.0
2019-06-26,125.39,126.74,123.1,125.34,1620181.0
2019-06-27,125.64,127.2,124.31,126.11,1021104.0
2019-06-28,126.64,131.21,126.64,130.98,2159433.0
2019-06-29,126.64,131.21,126.64,130.98,2159433.0
2019-06-30,126.64,131.21,126.64,130.98,2159433.0
2019-07-01,132.78,132.98,129.76,131.28,1204817.0
2019-07-02,131.33,134.2,130.3,134.08,1389200.0
2019-07-03,134.25,134.84,132.28,133.35,1017115.0
2019-07-04,134.25,134.84,132.28,133.35,1017115.0
2019-07-05,132.71,133.53,129.92,130.3,1239532.0
2019-07-06,132.71,133.53,129.92,130.3,1239532.0
2019-07-07,132.71,133.53,129.92,130.3,1239532.0
2019-07-08,129.47,129.47,124.27,125.3,1841109.0
2019-07-09,124.5,126.48,123.34,125.72,1384316.0
2019-07-10,125.62,127.735,123.2,124.37,1740591.0
2019-07-11,124.2,124.2,120.02,121.49,1618327.0
2019-07-12,121.53,122.03,119.53,120.82,1340037.0
2019-07-13,121.53,122.03,119.53,120.82,1340037.0
2019-07-14,121.53,122.03,119.53,120.82,1340037.0
2019-07-15,120.72,123.16,120.59,123.04,928973.0
2019-07-16,123.59,124.81,122.65,122.82,1532898.0
2019-07-17,122.79,125.14,122.485,123.41,1706526.0
2019-07-18,123.01,124.2671,121.77,123.26,1114031.0
2019-07-19,124.12,124.2,120.77,120.8,1521159.0
2019-07-20,124.12,124.2,120.77,120.8,1521159.0
2019-07-21,124.12,124.2,120.77,120.8,1521159.0
2019-07-22,121.49,123.63,121.25,122.32,1680952.0
2019-07-23,122.42,123.08,121.52,122.42,1544614.0
2019-07-24,125.0,125.46,116.21,120.97,3518759.0
2019-07-25,120.48,121.81,117.82,118.03,2861272.0
2019-07-26,118.97,119.905,113.9,114.63,3412551.0
2019-07-27,118.97,119.905,113.9,114.63,3412551.0
2019-07-28,118.97,119.905,113.9,114.63,3412551.0
2019-07-29,114.65,114.865,109.83,112.36,5524324.0
2019-07-30,111.69,115.62,110.84,114.45,3102987.0
2019-07-31,114.81,115.62,111.7,113.29,2517044.0
2019-08-01,113.5,116.98,113.5,114.91,2204987.0
2019-08-02,113.96,114.31,110.76,112.34,1692035.0
2019-08-03,113.96,114.31,110.76,112.34,1692035.0
2019-08-04,113.96,114.31,110.76,112.34,1692035.0
2019-08-05,110.45,110.6838,106.79,107.9,2680421.0
2019-08-06,108.95,110.31,107.51,109.39,1831961.0
2019-08-07,107.92,109.89,106.89,108.91,1998137.0
2019-08-08,109.52,112.16,108.91,112.11,1529842.0
2019-08-09,111.16,112.46,108.87,109.98,1345664.0
2019-08-10,111.16,112.46,108.87,109.98,1345664.0
2019-08-11,111.16,112.46,108.87,109.98,1345664.0
2019-08-12,109.07,109.66,107.39,108.69,1607325.0
2019-08-13,108.95,112.6,108.47,111.47,2064259.0
2019-08-14,110.04,110.81,107.61,107.65,1766520.0
2019-08-15,107.84,110.01,107.61,109.04,1728310.0
2019-08-16,110.27,111.41,109.57,110.85,1254773.0
2019-08-17,110.27,111.41,109.57,110.85,1254773.0
2019-08-18,110.27,111.41,109.57,110.85,1254773.0
2019-08-19,113.06,114.15,111.7,112.68,2026729.0
2019-08-20,112.56,113.91,111.4,111.43,1837091.0
2019-08-21,112.5,114.93,112.23,114.84,2556973.0
2019-08-22,115.16,125.52,112.57,123.49,7289754.0
2019-08-23,123.12,124.02,114.93,115.33,5246754.0
2019-08-24,123.12,124.02,114.93,115.33,5246754.0
2019-08-25,123.12,124.02,114.93,115.33,5246754.0
2019-08-26,112.0,113.38,109.6,111.66,4041005.0
2019-08-27,112.78,113.5,109.94,110.16,1790663.0
2019-08-28,109.53,113.29,109.53,111.27,1561300.0
2019-08-29,112.99,114.21,110.86,112.17,1600056.0
2019-08-30,103.0,104.925,98.94,100.76,8547570.0
2019-08-31,103.0,104.925,98.94,100.76,8547570.0
2019-09-01,103.0,104.925,98.94,100.76,8547570.0
2019-09-02,103.0,104.925,98.94,100.76,8547570.0
2019-09-03,100.26,100.38,94.93,95.18,6286935.0
2019-09-04,95.95,100.05,95.56,97.53,3706946.0
2019-09-05,98.68,101.64,98.41,100.28,2509607.0
2019-09-06,100.1,104.07,100.1,103.84,3046106.0
2019-09-07,100.1,104.07,100.1,103.84,3046106.0
2019-09-08,100.1,104.07,100.1,103.84,3046106.0
2019-09-09,103.95,106.75,102.5,106.4,2493527.0
2019-09-10,106.02,110.24,106.02,109.6,3798300.0
2019-09-11,109.87,110.365,106.495,108.9,1952522.0
2019-09-12,110.14,110.64,107.91,108.26,2358301.0
2019-09-13,109.33,109.74,107.23,107.4,1891446.0
2019-09-14,109.33,109.74,107.23,107.4,1891446.0
2019-09-15,109.33,109.74,107.23,107.4,1891446.0
2019-09-16,106.66,109.42,106.45,108.54,2062567.0
2019-09-17,108.86,109.235,107.73,107.83,1450230.0
2019-09-18,106.9,107.82,102.17,102.98,3527070.0
2019-09-19,103.65,106.26,103.26,105.67,2216602.0
2019-09-20,105.15,106.96,104.07,106.32,2598280.0
2019-09-21,105.15,106.96,104.07,106.32,2598280.0
2019-09-22,105.15,106.96,104.07,106.32,2598280.0
2019-09-23,106.39,107.0,104.52,104.62,1949802.0
2019-09-24,105.44,105.915,100.16,100.32,2376078.0
2019-09-25,100.26,101.95,99.0,100.4,1639879.0
2019-09-26,101.6,101.6,96.55,98.7,1968144.0
2019-09-27,98.76,100.77,97.44,97.77,1521414.0
2019-09-28,98.76,100.77,97.44,97.77,1521414.0
2019-09-29,98.76,100.77,97.44,97.77,1521414.0
2019-09-30,98.27,99.0699,97.51,97.94,1425051.0
2019-10-01,98.58,98.99,96.41,97.79,1854847.0
2019-10-02,97.26,98.52,95.02,97.48,1432702.0
2019-10-03,97.01,99.4,96.63,99.17,1547676.0
2019-10-04,99.26,99.85,96.68,98.03,1510400.0
2019-10-05,99.26,99.85,96.68,98.03,1510400.0
2019-10-06,99.26,99.85,96.68,98.03,1510400.0
2019-10-07,98.17,98.87,96.62,97.35,1274581.0
2019-10-08,97.16,97.18,95.5,95.8,1487281.0
2019-10-09,96.46,96.99,94.59,94.84,1741075.0
2019-10-10,95.3,98.46,94.66,98.35,1373724.0
2019-10-11,99.13,101.1608,98.92,99.25,1181591.0
