,MBUU US Equity,MBUU US Equity,MBUU US Equity,MBUU US Equity,MBUU US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,35.01,35.27,34.4912,34.8,205036.0
2019-01-02,34.32,35.21,33.64,34.85,277222.0
2019-01-03,34.69,34.74,32.97,33.05,151347.0
2019-01-04,33.72,34.74,32.91,34.58,208346.0
2019-01-05,33.72,34.74,32.91,34.58,208346.0
2019-01-06,33.72,34.74,32.91,34.58,208346.0
2019-01-07,34.58,36.49,34.58,35.71,170100.0
2019-01-08,36.07,36.66,35.21,36.44,147210.0
2019-01-09,36.39,38.36,34.62,38.2,346504.0
2019-01-10,37.74,38.41,37.22,38.22,154583.0
2019-01-11,38.08,39.11,37.8,38.88,130932.0
2019-01-12,38.08,39.11,37.8,38.88,130932.0
2019-01-13,38.08,39.11,37.8,38.88,130932.0
2019-01-14,38.58,38.76,37.26,37.55,157361.0
2019-01-15,37.59,38.29,37.08,38.22,102088.0
2019-01-16,38.47,39.36,38.47,38.79,86178.0
2019-01-17,38.54,39.28,38.54,38.68,69988.0
2019-01-18,38.88,39.46,38.64,38.91,75261.0
2019-01-19,38.88,39.46,38.64,38.91,75261.0
2019-01-20,38.88,39.46,38.64,38.91,75261.0
2019-01-21,38.88,39.46,38.64,38.91,75261.0
2019-01-22,38.72,38.79,37.84,38.33,133558.0
2019-01-23,38.56,38.88,37.01,37.04,145979.0
2019-01-24,37.15,38.32,36.88,38.27,93187.0
2019-01-25,38.36,39.08,37.8,38.7,109656.0
2019-01-26,38.36,39.08,37.8,38.7,109656.0
2019-01-27,38.36,39.08,37.8,38.7,109656.0
2019-01-28,38.36,39.23,38.07,39.16,154676.0
2019-01-29,38.93,39.7,38.63,39.45,199857.0
2019-01-30,39.66,40.67,39.225,40.11,169508.0
2019-01-31,40.21,40.67,39.82,40.55,172784.0
2019-02-01,40.76,41.2,40.12,41.0,218380.0
2019-02-02,40.76,41.2,40.12,41.0,218380.0
2019-02-03,40.76,41.2,40.12,41.0,218380.0
2019-02-04,40.97,42.36,40.67,41.43,363396.0
2019-02-05,41.62,43.11,41.61,42.72,333378.0
2019-02-06,46.01,47.95,42.28,45.04,766224.0
2019-02-07,44.94,45.61,44.0469,44.77,379590.0
2019-02-08,44.58,45.47,43.85,44.45,264504.0
2019-02-09,44.58,45.47,43.85,44.45,264504.0
2019-02-10,44.58,45.47,43.85,44.45,264504.0
2019-02-11,44.72,45.25,44.39,44.66,206428.0
2019-02-12,44.66,44.66,41.96,42.99,392752.0
2019-02-13,43.35,43.76,41.84,42.38,175798.0
2019-02-14,42.13,42.5,40.8492,41.63,211921.0
2019-02-15,42.0,43.1,41.7935,42.91,134592.0
2019-02-16,42.0,43.1,41.7935,42.91,134592.0
2019-02-17,42.0,43.1,41.7935,42.91,134592.0
2019-02-18,42.0,43.1,41.7935,42.91,134592.0
2019-02-19,42.87,44.33,42.47,44.09,198088.0
2019-02-20,44.07,44.38,43.43,44.32,271364.0
2019-02-21,44.26,45.58,44.26,45.37,159231.0
2019-02-22,45.58,46.36,44.6542,46.0,258925.0
2019-02-23,45.58,46.36,44.6542,46.0,258925.0
2019-02-24,45.58,46.36,44.6542,46.0,258925.0
2019-02-25,46.28,47.25,46.12,46.42,345517.0
2019-02-26,46.21,46.87,45.85,46.18,189477.0
2019-02-27,46.03,46.41,45.7045,46.11,175242.0
2019-02-28,46.07,46.51,45.725,46.21,140727.0
2019-03-01,46.5,46.96,46.11,46.46,191345.0
2019-03-02,46.5,46.96,46.11,46.46,191345.0
2019-03-03,46.5,46.96,46.11,46.46,191345.0
2019-03-04,46.54,46.92,46.1,46.55,287950.0
2019-03-05,46.58,47.17,46.38,46.9,149019.0
2019-03-06,46.89,46.89,46.09,46.37,328221.0
2019-03-07,46.36,46.36,45.44,45.47,226253.0
2019-03-08,45.17,45.38,43.34,43.69,111543.0
2019-03-09,45.17,45.38,43.34,43.69,111543.0
2019-03-10,45.17,45.38,43.34,43.69,111543.0
