,AGCO US Equity,AGCO US Equity,AGCO US Equity,AGCO US Equity,AGCO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,67.3927,67.9407,67.1143,67.2013,299737.0
2020-01-02,67.7841,68.0538,67.0969,68.0451,264228.0
2020-01-03,66.8359,67.1491,66.3488,67.1056,334798.0
2020-01-04,66.8359,67.1491,66.3488,67.1056,334798.0
2020-01-05,66.8359,67.1491,66.3488,67.1056,334798.0
2020-01-06,66.5228,66.5532,65.9051,66.4445,372364.0
2020-01-07,65.9573,66.5315,65.7833,65.8268,376135.0
2020-01-08,65.8964,66.1487,65.3919,65.9486,346407.0
2020-01-09,66.2792,66.4271,65.6876,65.9486,295571.0
2020-01-10,66.0791,66.0791,64.0783,64.1914,318838.0
2020-01-11,66.0791,66.0791,64.0783,64.1914,318838.0
2020-01-12,66.0791,66.0791,64.0783,64.1914,318838.0
2020-01-13,64.1044,64.8612,63.6172,64.8177,494630.0
2020-01-14,64.7133,65.0134,64.2262,64.8438,299804.0
2020-01-15,64.4175,64.9917,64.1479,64.4175,435285.0
2020-01-16,64.8438,65.157,64.4089,65.157,377695.0
2020-01-17,65.418,65.5136,64.7829,65.0352,281403.0
2020-01-18,65.418,65.5136,64.7829,65.0352,281403.0
2020-01-19,65.418,65.5136,64.7829,65.0352,281403.0
2020-01-20,65.418,65.5136,64.7829,65.0352,281403.0
2020-01-21,64.7133,64.7264,63.5476,63.5911,360494.0
2020-01-22,63.7303,63.9391,62.856,63.278,279997.0
2020-01-23,62.9474,63.3823,62.1123,63.1127,383588.0
2020-01-24,63.1214,63.3823,62.0949,62.4689,293599.0
2020-01-25,63.1214,63.3823,62.0949,62.4689,293599.0
2020-01-26,63.1214,63.3823,62.0949,62.4689,293599.0
2020-01-27,61.773,61.773,59.9201,60.1201,351091.0
2020-01-28,60.4594,61.2728,60.0158,61.0684,291843.0
2020-01-29,61.4772,61.8948,61.0423,61.2336,444800.0
2020-01-30,60.5812,61.9557,60.5812,61.8426,377154.0
2020-01-31,61.3554,61.8252,60.6595,61.0162,617102.0
2020-02-01,61.3554,61.8252,60.6595,61.0162,617102.0
2020-02-02,61.3554,61.8252,60.6595,61.0162,617102.0
2020-02-03,61.3815,62.4602,61.3467,61.9557,575472.0
2020-02-04,62.7473,63.5824,62.6342,63.2171,533426.0
2020-02-05,63.9826,64.1914,63.0692,63.6955,607067.0
2020-02-06,60.5116,61.9209,58.2063,60.1027,1668222.0
2020-02-07,59.5895,60.2506,57.8149,58.1541,730695.0
2020-02-08,59.5895,60.2506,57.8149,58.1541,730695.0
2020-02-09,59.5895,60.2506,57.8149,58.1541,730695.0
2020-02-10,57.7192,58.2368,57.1363,58.0932,584152.0
2020-02-11,58.4934,59.1371,58.2063,58.5804,505100.0
2020-02-12,59.2067,59.9723,59.1545,59.9288,468599.0
2020-02-13,59.2138,59.2138,57.9931,58.2023,538726.0
2020-02-14,58.2459,58.7865,58.1239,58.2111,370316.0
2020-02-15,58.2459,58.7865,58.1239,58.2111,370316.0
2020-02-16,58.2459,58.7865,58.1239,58.2111,370316.0
2020-02-17,58.2459,58.7865,58.1239,58.2111,370316.0
2020-02-18,57.9582,58.5162,57.592,58.0803,363672.0
2020-02-19,58.1151,58.2198,57.5484,57.871,492487.0
2020-02-20,57.7141,59.2574,57.7141,58.8301,474301.0
2020-02-21,59.519,59.9811,58.7953,59.798,688194.0
2020-02-22,59.519,59.9811,58.7953,59.798,688194.0
2020-02-23,59.519,59.9811,58.7953,59.798,688194.0
2020-02-24,58.0541,59.1353,57.592,58.865,713143.0
2020-02-25,58.9173,59.0743,55.9527,55.9789,784487.0
2020-02-26,56.502,56.8072,54.3047,54.3047,578996.0
2020-02-27,53.2671,55.386,52.3603,53.52,905564.0
2020-02-28,51.872,52.9445,51.5058,52.6916,961168.0
2020-02-29,51.872,52.9445,51.5058,52.6916,961168.0
2020-03-01,51.872,52.9445,51.5058,52.6916,961168.0
2020-03-02,53.0317,55.4766,52.3298,55.4557,686632.0
2020-03-03,55.4644,56.0748,52.8748,53.2148,445691.0
2020-03-04,54.0432,54.8628,53.0884,54.7582,553863.0
2020-03-05,53.0927,54.1391,52.7091,53.1625,815343.0
2020-03-06,51.4186,53.7903,51.2704,53.5462,638793.0
2020-03-07,51.4186,53.7903,51.2704,53.5462,638793.0
2020-03-08,51.4186,53.7903,51.2704,53.5462,638793.0
2020-03-09,49.5788,50.7908,48.5412,49.6834,775695.0
2020-03-10,51.3401,52.0377,49.4654,51.9331,981181.0
2020-03-11,50.3897,51.0001,48.2186,49.0208,819125.0
2020-03-12,45.6463,46.1521,42.6904,43.8588,1087736.0
2020-03-13,46.3352,48.2534,44.2338,48.2447,905681.0
2020-03-14,46.3352,48.2534,44.2338,48.2447,905681.0
2020-03-15,46.3352,48.2534,44.2338,48.2447,905681.0
2020-03-16,43.3444,47.4338,41.5351,41.8272,1245273.0
2020-03-17,42.4114,43.0828,39.3465,39.6909,1278429.0
2020-03-18,36.9269,39.098,30.8058,32.2358,1491608.0
2020-03-19,31.5034,39.3901,30.8669,38.6882,1191316.0
2020-03-20,39.0283,39.7171,34.8168,35.1394,953170.0
2020-03-21,39.0283,39.7171,34.8168,35.1394,953170.0
2020-03-22,39.0283,39.7171,34.8168,35.1394,953170.0
2020-03-23,35.1394,35.8631,32.323,34.4244,702093.0
