,IPG US Equity,IPG US Equity,IPG US Equity,IPG US Equity,IPG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,16.6426,16.7479,16.5293,16.6993,3064994.0
2019-01-02,16.4726,16.6426,16.3027,16.3836,6891011.0
2019-01-03,16.3188,16.6345,16.2055,16.5131,6612073.0
2019-01-04,16.6993,16.8814,16.6426,16.7802,3853603.0
2019-01-05,16.6993,16.8814,16.6426,16.7802,3853603.0
2019-01-06,16.6993,16.8814,16.6426,16.7802,3853603.0
2019-01-07,16.8207,17.3266,16.8207,17.1931,8319053.0
2019-01-08,17.4359,17.7718,17.3226,17.7192,6203288.0
2019-01-09,17.8002,18.0794,17.6707,17.9621,4986097.0
2019-01-10,17.8649,18.0187,17.5735,18.0106,3395767.0
2019-01-11,17.9378,18.0511,17.8123,18.0349,2145893.0
2019-01-12,17.9378,18.0511,17.8123,18.0349,2145893.0
2019-01-13,17.9378,18.0511,17.8123,18.0349,2145893.0
2019-01-14,17.8649,18.0835,17.8568,18.0592,4484622.0
2019-01-15,18.0511,18.1563,17.9297,18.0268,2559134.0
2019-01-16,18.0754,18.124,17.9216,17.9783,3728941.0
2019-01-17,17.8811,18.0835,17.8811,18.0835,2377127.0
2019-01-18,18.0916,18.1401,17.8649,18.0106,3434572.0
2019-01-19,18.0916,18.1401,17.8649,18.0106,3434572.0
2019-01-20,18.0916,18.1401,17.8649,18.0106,3434572.0
2019-01-21,18.0916,18.1401,17.8649,18.0106,3434572.0
2019-01-22,17.954,17.9863,17.3873,17.525,6260673.0
2019-01-23,17.5897,17.7837,17.4642,17.7273,3091586.0
2019-01-24,17.7192,18.039,17.6545,18.0025,3637951.0
2019-01-25,18.1725,18.2616,17.8366,18.1401,3010760.0
2019-01-26,18.1725,18.2616,17.8366,18.1401,3010760.0
2019-01-27,18.1725,18.2616,17.8366,18.1401,3010760.0
2019-01-28,17.9944,18.2413,17.8973,18.213,3126288.0
2019-01-29,18.1968,18.472,18.1806,18.4235,3488500.0
2019-01-30,18.4316,18.4801,18.1563,18.3911,2225256.0
2019-01-31,18.3425,18.4882,18.2778,18.4154,7414020.0
2019-02-01,18.5044,18.5044,18.2211,18.3506,2853935.0
2019-02-02,18.5044,18.5044,18.2211,18.3506,2853935.0
2019-02-03,18.5044,18.5044,18.2211,18.3506,2853935.0
2019-02-04,18.2778,18.4719,18.1806,18.3749,4451147.0
2019-02-05,18.3992,18.6218,18.2616,18.5368,4037350.0
2019-02-06,18.5368,18.5449,17.355,17.4926,9771685.0
2019-02-07,17.2659,17.8245,17.104,17.7192,7057465.0
2019-02-08,17.6626,17.8973,17.6261,17.8973,4391662.0
2019-02-09,17.6626,17.8973,17.6261,17.8973,4391662.0
2019-02-10,17.6626,17.8973,17.6261,17.8973,4391662.0
2019-02-11,17.9702,18.043,17.6383,17.6545,5382133.0
2019-02-12,17.9054,18.0025,17.533,17.5411,8900767.0
2019-02-13,18.4154,18.6177,17.8083,18.3749,9876287.0
2019-02-14,18.3344,18.7837,18.2939,18.642,4858184.0
2019-02-15,18.7634,19.0144,18.7311,18.9253,4453767.0
2019-02-16,18.7634,19.0144,18.7311,18.9253,4453767.0
2019-02-17,18.7634,19.0144,18.7311,18.9253,4453767.0
2019-02-18,18.7634,19.0144,18.7311,18.9253,4453767.0
2019-02-19,18.9172,18.9415,18.6784,18.8525,4688855.0
