,BSIG US Equity,BSIG US Equity,BSIG US Equity,BSIG US Equity,BSIG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,9.9594,10.2986,9.8934,10.063,689716.0
2019-01-02,9.9028,10.5624,9.8934,10.5153,542603.0
2019-01-03,10.4493,10.7367,10.3645,10.4964,570283.0
2019-01-04,10.5624,10.9016,10.4116,10.6189,577146.0
2019-01-05,10.5624,10.9016,10.4116,10.6189,577146.0
2019-01-06,10.5624,10.9016,10.4116,10.6189,577146.0
2019-01-07,10.5624,10.9251,10.5153,10.7979,491316.0
2019-01-08,10.8827,10.9214,10.5907,10.6095,739099.0
2019-01-09,10.4493,10.666,10.03,10.4587,665866.0
2019-01-10,10.3834,10.8074,10.3739,10.7414,482635.0
2019-01-11,10.6001,10.8592,10.3363,10.6755,663943.0
2019-01-12,10.6001,10.8592,10.3363,10.6755,663943.0
2019-01-13,10.6001,10.8592,10.3363,10.6755,663943.0
2019-01-14,10.5153,10.8168,10.3457,10.6189,663272.0
2019-01-15,10.553,10.7131,10.4776,10.7037,597952.0
2019-01-16,10.7226,11.156,10.7226,11.0429,477714.0
2019-01-17,10.9016,11.0806,10.8168,10.9299,608834.0
2019-01-18,10.9864,11.2125,10.9864,11.2031,642651.0
2019-01-19,10.9864,11.2125,10.9864,11.2031,642651.0
2019-01-20,10.9864,11.2125,10.9864,11.2031,642651.0
2019-01-21,10.9864,11.2125,10.9864,11.2031,642651.0
2019-01-22,11.0995,11.3821,11.0995,11.3444,844549.0
2019-01-23,11.4481,11.5988,11.3916,11.5235,681798.0
2019-01-24,11.514,11.8061,11.514,11.6177,446366.0
2019-01-25,11.6271,11.7213,11.5517,11.6554,383597.0
2019-01-26,11.6271,11.7213,11.5517,11.6554,383597.0
2019-01-27,11.6271,11.7213,11.5517,11.6554,383597.0
2019-01-28,11.6083,11.8815,11.5612,11.646,596963.0
2019-01-29,11.7025,11.7967,11.5235,11.7402,735203.0
2019-01-30,11.8344,11.8438,11.58,11.6648,577433.0
2019-01-31,11.5612,11.7873,11.3209,11.6554,617064.0
2019-02-01,11.6836,11.8862,11.6836,11.7213,548864.0
2019-02-02,11.6836,11.8862,11.6836,11.7213,548864.0
2019-02-03,11.6836,11.8862,11.6836,11.7213,548864.0
2019-02-04,11.7308,11.8344,11.6554,11.7779,612976.0
2019-02-05,11.8061,11.8297,11.6554,11.6836,678089.0
2019-02-06,11.7025,11.9475,11.58,11.6083,1620130.0
2019-02-07,11.4952,12.4657,11.3162,12.1171,1121518.0
2019-02-08,12.2396,12.5976,12.1972,12.5882,1269450.0
2019-02-09,12.2396,12.5976,12.1972,12.5882,1269450.0
2019-02-10,12.2396,12.5976,12.1972,12.5882,1269450.0
2019-02-11,12.6636,12.8049,12.5693,12.7861,737782.0
2019-02-12,12.8426,13.2949,12.8426,13.2572,729048.0
2019-02-13,13.276,13.4786,13.2289,13.3797,658149.0
2019-02-14,13.3702,13.4645,13.0593,13.0687,752395.0
2019-02-15,13.097,13.2949,13.0028,13.0593,985848.0
2019-02-16,13.097,13.2949,13.0028,13.0593,985848.0
2019-02-17,13.097,13.2949,13.0028,13.0593,985848.0
2019-02-18,13.097,13.2949,13.0028,13.0593,985848.0
2019-02-19,12.9839,13.0876,12.9651,12.9745,813072.0
2019-02-20,12.9745,13.097,12.9085,13.0876,596394.0
2019-02-21,13.1347,13.2854,12.9745,13.1629,523880.0
2019-02-22,13.1912,13.2666,13.097,13.2195,992382.0
2019-02-23,13.1912,13.2666,13.097,13.2195,992382.0
2019-02-24,13.1912,13.2666,13.097,13.2195,992382.0
2019-02-25,13.4268,13.7,13.3702,13.3702,1072045.0
2019-02-26,13.4079,13.455,13.2101,13.342,878791.0
2019-02-27,13.3231,13.455,13.2949,13.4268,342354.0
2019-02-28,13.5869,13.7283,13.3231,13.3325,597817.0
2019-03-01,13.3985,13.5587,13.2289,13.3231,594537.0
2019-03-02,13.3985,13.5587,13.2289,13.3231,594537.0
2019-03-03,13.3985,13.5587,13.2289,13.3231,594537.0
2019-03-04,13.3891,13.5398,13.276,13.3702,824951.0
2019-03-05,13.4645,13.4645,13.2195,13.3797,640246.0
2019-03-06,13.3797,13.3891,13.1064,13.1441,301421.0
2019-03-07,13.1158,13.1347,12.8143,12.8332,326862.0
2019-03-08,12.8049,12.8803,12.7389,12.7766,333817.0
2019-03-09,12.8049,12.8803,12.7389,12.7766,333817.0
2019-03-10,12.8049,12.8803,12.7389,12.7766,333817.0
2019-03-11,12.8709,13.1347,12.7672,12.918,296146.0
2019-03-12,12.9557,12.9698,12.8049,12.8897,538117.0
2019-03-13,12.8991,13.0876,12.8332,12.9651,381601.0
2019-03-14,12.9841,13.0885,12.8085,12.8417,264016.0
2019-03-15,12.8037,12.8322,12.6803,12.7373,971802.0
2019-03-16,12.8037,12.8322,12.6803,12.7373,971802.0
2019-03-17,12.8037,12.8322,12.6803,12.7373,971802.0
2019-03-18,12.7468,13.1359,12.7468,13.1264,763986.0
2019-03-19,13.2213,13.3827,12.9176,12.9271,363973.0
2019-03-20,12.8986,12.9366,12.6139,12.6424,336070.0
2019-03-21,12.5759,12.6898,12.5,12.5664,454596.0
2019-03-22,12.4051,12.4478,11.8166,11.902,514352.0
2019-03-23,12.4051,12.4478,11.8166,11.902,514352.0
2019-03-24,12.4051,12.4478,11.8166,11.902,514352.0
2019-03-25,11.921,12.1061,11.8736,11.9875,1177733.0
2019-03-26,12.0539,12.3956,12.0539,12.2912,510093.0
2019-03-27,12.3007,12.481,12.2058,12.3386,1200615.0
2019-03-28,12.3292,12.6329,12.3292,12.6234,608696.0
2019-03-29,12.7278,12.8796,12.6329,12.8702,651165.0
2019-03-30,12.7278,12.8796,12.6329,12.8702,651165.0
2019-03-31,12.7278,12.8796,12.6329,12.8702,651165.0
2019-04-01,12.9366,13.1169,12.8512,13.1169,646406.0
2019-04-02,13.1074,13.1359,12.9413,13.022,310521.0
2019-04-03,13.1264,13.2308,13.06,13.1454,286363.0
2019-04-04,13.1549,13.2973,13.1287,13.2973,524262.0
2019-04-05,13.3068,13.3542,13.1739,13.3352,468341.0
2019-04-06,13.3068,13.3542,13.1739,13.3352,468341.0
2019-04-07,13.3068,13.3542,13.1739,13.3352,468341.0
2019-04-08,13.2783,13.3352,13.1786,13.3257,320030.0
2019-04-09,13.3068,13.3068,13.0742,13.2593,398989.0
2019-04-10,13.2593,13.601,13.2118,13.5915,650201.0
2019-04-11,13.7149,13.8952,13.6105,13.8572,683324.0
2019-04-12,13.3827,13.8667,13.3827,13.8003,722940.0
2019-04-13,13.3827,13.8667,13.3827,13.8003,722940.0
2019-04-14,13.3827,13.8667,13.3827,13.8003,722940.0
2019-04-15,13.7908,13.8974,13.5915,13.6674,358460.0
2019-04-16,13.7149,13.7861,13.639,13.7623,616777.0
2019-04-17,13.7718,13.8762,13.7339,13.8098,372106.0
2019-04-18,13.7339,13.8098,13.6627,13.8003,350625.0
2019-04-19,13.7339,13.8098,13.6627,13.8003,350625.0
2019-04-20,13.7339,13.8098,13.6627,13.8003,350625.0
2019-04-21,13.7339,13.8098,13.6627,13.8003,350625.0
2019-04-22,13.7434,13.8098,13.6579,13.7149,225670.0
2019-04-23,13.7434,14.0186,13.7054,13.9427,377024.0
2019-04-24,13.9427,13.9711,13.7908,13.8478,193460.0
2019-04-25,13.8193,13.8952,13.5915,13.8478,312089.0
2019-04-26,13.8288,13.9237,13.6959,13.9237,238315.0
2019-04-27,13.8288,13.9237,13.6959,13.9237,238315.0
2019-04-28,13.8288,13.9237,13.6959,13.9237,238315.0
2019-04-29,13.8857,14.0661,13.8857,14.0471,400238.0
2019-04-30,14.0661,14.1135,13.8288,13.9142,362858.0
2019-05-01,13.9237,14.0091,13.7528,13.8003,439393.0
2019-05-02,13.3352,13.7149,13.1549,13.2783,746069.0
2019-05-03,13.1359,13.4776,12.9271,13.3352,712705.0
2019-05-04,13.1359,13.4776,12.9271,13.3352,712705.0
2019-05-05,13.1359,13.4776,12.9271,13.3352,712705.0
2019-05-06,13.1169,13.2783,12.9651,13.1739,474726.0
2019-05-07,12.9935,13.1786,12.9935,13.1169,498777.0
2019-05-08,13.1169,13.1834,12.9935,13.0979,321940.0
2019-05-09,12.9746,13.022,12.8322,12.9366,239740.0
2019-05-10,12.8512,12.9556,12.7373,12.9081,499269.0
2019-05-11,12.8512,12.9556,12.7373,12.9081,499269.0
2019-05-12,12.8512,12.9556,12.7373,12.9081,499269.0
2019-05-13,12.6614,12.6614,11.7122,11.7787,825560.0
2019-05-14,11.7976,12.0444,11.7787,11.8166,864942.0
2019-05-15,11.7787,11.7882,11.4417,11.5699,830453.0
2019-05-16,11.5414,11.7787,11.4655,11.6743,1074216.0
2019-05-17,11.5414,11.7597,11.4939,11.4939,452884.0
2019-05-18,11.5414,11.7597,11.4939,11.4939,452884.0
2019-05-19,11.5414,11.7597,11.4939,11.4939,452884.0
2019-05-20,11.3895,11.4085,11.2329,11.2756,354460.0
2019-05-21,11.3136,11.4844,11.3088,11.3421,315834.0
2019-05-22,11.2946,11.3231,11.1143,11.1333,455865.0
2019-05-23,11.0099,11.0668,10.82,10.9339,404778.0
2019-05-24,10.9719,11.1522,10.9434,11.1143,397583.0
2019-05-25,10.9719,11.1522,10.9434,11.1143,397583.0
2019-05-26,10.9719,11.1522,10.9434,11.1143,397583.0
2019-05-27,10.9719,11.1522,10.9434,11.1143,397583.0
2019-05-28,11.0763,11.2092,11.0573,11.1143,563086.0
2019-05-29,11.0573,11.0573,10.7441,10.8485,426441.0
