,HES US Equity,HES US Equity,HES US Equity,HES US Equity,HES US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,61.5206,62.7214,61.2814,62.6745,1516723.0
2020-01-02,63.3311,63.8002,62.984,63.5281,1493762.0
2020-01-03,64.6069,65.939,64.2786,65.5169,2925555.0
2020-01-04,64.6069,65.939,64.2786,65.5169,2925555.0
2020-01-05,64.6069,65.939,64.2786,65.5169,2925555.0
2020-01-06,65.8828,66.6332,65.3949,66.4738,2116815.0
2020-01-07,65.9953,66.5676,65.2824,66.5488,1733901.0
2020-01-08,66.53,66.6051,63.8189,64.2786,2376952.0
2020-01-09,63.8002,64.9165,62.9277,64.8133,1487233.0
2020-01-10,64.7664,64.8039,63.8846,64.2692,1223199.0
2020-01-11,64.7664,64.8039,63.8846,64.2692,1223199.0
2020-01-12,64.7664,64.8039,63.8846,64.2692,1223199.0
2020-01-13,64.1473,65.2542,64.0281,65.0103,1655884.0
2020-01-14,65.0666,65.7983,64.6538,65.7233,2509840.0
2020-01-15,65.3105,65.7796,64.8885,65.742,1108893.0
2020-01-16,66.1267,67.2242,65.5919,65.9578,1803827.0
2020-01-17,66.0329,66.3612,65.4325,65.5732,1602829.0
2020-01-18,66.0329,66.3612,65.4325,65.5732,1602829.0
2020-01-19,66.0329,66.3612,65.4325,65.5732,1602829.0
2020-01-20,66.0329,66.3612,65.4325,65.5732,1602829.0
2020-01-21,64.9728,65.3002,64.2036,64.2505,2058587.0
2020-01-22,63.8565,64.4775,62.9277,63.0403,2165162.0
2020-01-23,61.8395,63.1435,60.6951,62.4118,2114490.0
2020-01-24,62.1585,62.2711,59.635,60.423,2117054.0
2020-01-25,62.1585,62.2711,59.635,60.423,2117054.0
2020-01-26,62.1585,62.2711,59.635,60.423,2117054.0
2020-01-27,58.6688,59.3302,58.0965,58.3029,4966555.0
2020-01-28,58.8939,60.1088,57.8995,58.2748,11483702.0
2020-01-29,58.3873,58.3873,53.9595,54.2409,6557621.0
2020-01-30,53.922,55.2916,53.6499,54.9351,4376702.0
2020-01-31,54.0533,54.119,52.6368,53.0683,3553914.0
2020-02-01,54.0533,54.119,52.6368,53.0683,3553914.0
2020-02-02,54.0533,54.119,52.6368,53.0683,3553914.0
2020-02-03,53.3779,54.4286,52.7681,52.937,3345808.0
2020-02-04,54.1284,54.8788,53.3591,54.1002,2953986.0
2020-02-05,55.2635,55.8638,54.4286,55.6387,3132223.0
2020-02-06,55.5355,55.6387,53.4905,53.4998,3005693.0
2020-02-07,52.7963,53.1434,51.5861,52.0176,3073148.0
2020-02-08,52.7963,53.1434,51.5861,52.0176,3073148.0
2020-02-09,52.7963,53.1434,51.5861,52.0176,3073148.0
2020-02-10,51.5204,51.7456,50.6011,51.5486,2620095.0
2020-02-11,52.5617,53.1434,52.1959,52.6837,1784662.0
2020-02-12,53.8282,55.3385,53.7437,55.1321,4015978.0
2020-02-13,54.5974,56.3259,54.3254,56.2766,3838322.0
2020-02-14,56.5862,58.1997,56.1171,56.6049,7043102.0
2020-02-15,56.5862,58.1997,56.1171,56.6049,7043102.0
2020-02-16,56.5862,58.1997,56.1171,56.6049,7043102.0
2020-02-17,56.5862,58.1997,56.1171,56.6049,7043102.0
2020-02-18,55.7607,57.5712,55.5168,57.3554,2558350.0
2020-02-19,58.0215,60.029,57.74,59.635,3994076.0
2020-02-20,59.8508,60.9577,59.1847,60.7138,2546037.0
2020-02-21,59.9446,60.6951,59.1941,60.4324,1937226.0
2020-02-22,59.9446,60.6951,59.1941,60.4324,1937226.0
2020-02-23,59.9446,60.6951,59.1941,60.4324,1937226.0
2020-02-24,57.4961,57.9746,55.7044,56.4924,2693793.0
2020-02-25,56.6519,56.7738,53.0965,53.8376,3143953.0
2020-02-26,54.0627,54.5787,52.421,52.421,3338118.0
2020-02-27,50.5448,53.7062,48.6686,51.6143,5813441.0
2020-02-28,48.7906,52.7118,48.7906,52.7025,6072469.0
2020-02-29,48.7906,52.7118,48.7906,52.7025,6072469.0
2020-03-01,48.7906,52.7118,48.7906,52.7025,6072469.0
2020-03-02,53.3591,53.8751,51.2859,53.6499,4752106.0
2020-03-03,53.8094,54.982,52.5617,54.1284,4212805.0
2020-03-04,55.3948,55.3948,52.5055,53.4717,3358730.0
2020-03-05,51.6893,52.0927,50.179,51.1077,4912666.0
2020-03-06,49.1189,50.1508,45.3477,46.6423,10523841.0
2020-03-07,49.1189,50.1508,45.3477,46.6423,10523841.0
2020-03-08,49.1189,50.1508,45.3477,46.6423,10523841.0
2020-03-09,33.0211,34.0483,25.8916,30.9385,14243019.0
2020-03-10,34.4376,37.4114,30.4789,37.2238,9583436.0
2020-03-11,35.5446,36.4452,33.1431,34.4189,8035076.0
2020-03-12,31.614,33.0586,30.1974,30.8072,8121233.0
2020-03-13,33.2744,35.2028,29.3042,33.0098,6294548.0
2020-03-14,33.2744,35.2028,29.3042,33.0098,6294548.0
2020-03-15,33.2744,35.2028,29.3042,33.0098,6294548.0
2020-03-16,29.3042,31.8659,28.8032,29.3515,7196241.0
2020-03-17,29.2475,32.6033,28.1698,28.945,7519317.0
2020-03-18,26.837,28.7654,24.6344,28.4912,8249810.0
2020-03-19,28.737,31.8848,27.5283,29.4271,4651651.0
2020-03-20,30.2778,31.0246,27.9713,29.0111,5850487.0
2020-03-21,30.2778,31.0246,27.9713,29.0111,5850487.0
2020-03-22,30.2778,31.0246,27.9713,29.0111,5850487.0
2020-03-23,29.0206,29.5878,26.2509,27.3285,5407142.0
2020-03-24,29.5216,32.9908,28.7206,32.6316,4222011.0
2020-03-25,32.8585,35.1367,30.9206,32.8396,4065460.0
2020-03-26,32.9152,35.5621,32.6223,34.6735,4157306.0
2020-03-27,32.9908,33.8889,31.9085,32.1684,3161660.0
2020-03-28,32.9908,33.8889,31.9085,32.1684,3161660.0
2020-03-29,32.9908,33.8889,31.9085,32.1684,3161660.0
2020-03-30,30.9679,31.3744,28.1982,30.1833,7572470.0
2020-03-31,31.4689,33.4068,30.8379,31.4784,3576542.0
2020-04-01,30.4291,30.7552,28.9072,30.2306,3881256.0
2020-04-02,31.8848,35.4486,30.3913,33.369,5309190.0
2020-04-03,34.9382,35.373,29.3515,31.6863,5668095.0
2020-04-04,34.9382,35.373,29.3515,31.6863,5668095.0
2020-04-05,34.9382,35.373,29.3515,31.6863,5668095.0
2020-04-06,32.0928,33.6809,30.8072,33.2083,3551718.0
2020-04-07,35.7984,36.8571,33.0759,33.2177,3681715.0
2020-04-08,34.0023,37.2163,33.8322,37.0367,3078567.0
2020-04-09,39.0596,41.404,36.4412,38.1711,5153242.0
2020-04-10,39.0596,41.404,36.4412,38.1711,5153242.0
2020-04-11,39.0596,41.404,36.4412,38.1711,5153242.0
2020-04-12,39.0596,41.404,36.4412,38.1711,5153242.0
2020-04-13,39.485,39.9577,37.1691,37.7268,2542011.0
2020-04-14,37.2636,37.3959,35.9685,36.4884,3109211.0
2020-04-15,34.0307,34.6735,32.1637,33.4824,4694451.0
2020-04-16,32.953,32.9814,30.6371,30.7599,4296450.0
2020-04-17,31.1853,35.4864,30.8356,35.3068,4443695.0
2020-04-18,31.1853,35.4864,30.8356,35.3068,4443695.0
2020-04-19,31.1853,35.4864,30.8356,35.3068,4443695.0
2020-04-20,32.1023,35.373,31.847,33.9645,4413199.0
2020-04-21,32.263,35.1487,31.8896,34.3804,4213256.0
2020-04-22,36.4506,37.3487,35.0705,37.2258,3213695.0
2020-04-23,39.3811,40.3358,38.4074,39.3905,3646872.0
2020-04-24,40.3074,40.9691,38.483,40.1373,3974176.0
2020-04-25,40.3074,40.9691,38.483,40.1373,3974176.0
2020-04-26,40.3074,40.9691,38.483,40.1373,3974176.0
2020-04-27,39.1069,41.1015,38.2278,40.8084,2386329.0
2020-04-28,41.7537,42.2264,40.487,41.8766,2632203.0
2020-04-29,44.0319,46.5748,43.304,46.329,3982401.0
2020-04-30,46.9056,47.6429,44.8733,45.9792,3869061.0
2020-05-01,44.6936,45.1285,41.5647,41.8577,2821595.0
2020-05-02,44.6936,45.1285,41.5647,41.8577,2821595.0
2020-05-03,44.6936,45.1285,41.5647,41.8577,2821595.0
2020-05-04,40.7706,44.1643,40.3736,43.7578,3527472.0
2020-05-05,46.3195,46.4897,43.3768,43.616,2746984.0
2020-05-06,43.5782,44.0981,42.113,42.5478,2690615.0
2020-05-07,44.3344,46.0359,43.2095,43.8618,2997374.0
2020-05-08,45.0812,45.8563,44.5329,45.828,2087924.0
2020-05-09,45.0812,45.8563,44.5329,45.828,2087924.0
2020-05-10,45.0812,45.8563,44.5329,45.828,2087924.0
2020-05-11,45.1285,45.6578,44.2588,44.5518,2038495.0
2020-05-12,44.9016,45.1379,42.1508,42.3493,2496372.0
2020-05-13,42.6329,43.5498,39.589,40.0428,2757510.0
2020-05-14,39.2676,41.4891,38.0954,40.4303,2829577.0
2020-05-15,40.1278,42.7558,40.0191,41.6592,2604936.0
2020-05-16,40.1278,42.7558,40.0191,41.6592,2604936.0
2020-05-17,40.1278,42.7558,40.0191,41.6592,2604936.0
2020-05-18,44.6369,47.3121,44.3534,46.4235,3063371.0
2020-05-19,46.6031,46.6031,43.2568,43.3513,1896216.0
2020-05-20,44.5991,45.724,44.4289,44.7503,1616846.0
2020-05-21,45.0434,45.5633,43.9657,44.6558,1320797.0
2020-05-22,44.0886,44.6085,43.7294,44.5235,1884288.0
2020-05-23,44.0886,44.6085,43.7294,44.5235,1884288.0
2020-05-24,44.0886,44.6085,43.7294,44.5235,1884288.0
2020-05-25,44.0886,44.6085,43.7294,44.5235,1884288.0
2020-05-26,46.3857,46.8962,45.4499,45.9698,1934745.0
2020-05-27,46.726,46.8583,44.7503,46.6882,1450810.0
2020-05-28,46.8489,47.0662,45.6863,45.7902,2185881.0
2020-05-29,46.0832,46.0832,43.9374,44.8732,2653364.0
2020-05-30,46.0832,46.0832,43.9374,44.8732,2653364.0
2020-05-31,46.0832,46.0832,43.9374,44.8732,2653364.0
2020-06-01,44.9867,46.2628,44.5329,46.0359,2458389.0
