,TJX US Equity,TJX US Equity,TJX US Equity,TJX US Equity,TJX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-03-12,49.3455,49.507,45.5935,46.8853,13572812.0
2020-03-13,49.279,49.5165,45.2136,48.9845,11254542.0
2020-03-14,49.279,49.5165,45.2136,48.9845,11254542.0
2020-03-15,49.279,49.5165,45.2136,48.9845,11254542.0
2020-03-16,43.6178,43.6273,38.764,38.992,13684055.0
2020-03-17,39.5524,41.5139,37.0447,40.3788,18604451.0
2020-03-18,37.3012,38.992,35.107,38.802,18300949.0
2020-03-19,38.4125,40.8442,32.6374,39.5619,22567073.0
2020-03-20,40.5877,40.6067,35.145,35.4965,13402009.0
2020-03-21,40.5877,40.6067,35.145,35.4965,13402009.0
2020-03-22,40.5877,40.6067,35.145,35.4965,13402009.0
2020-03-23,34.1002,35.373,31.0796,34.917,21304038.0
2020-03-24,37.4722,39.6569,36.9118,38.9825,14467633.0
2020-03-25,40.2838,44.6627,40.1318,41.8701,14332165.0
2020-03-26,42.383,46.3169,42.003,45.5555,17080416.0
2020-03-27,43.8458,45.8595,42.383,44.4537,12743187.0
2020-03-28,43.8458,45.8595,42.383,44.4537,12743187.0
2020-03-29,43.8458,45.8595,42.383,44.4537,12743187.0
2020-03-30,44.8051,45.7645,43.1239,45.1661,12442798.0
2020-03-31,44.9286,46.2489,44.1307,45.4131,18381131.0
2020-04-01,42.06,44.3112,41.7276,42.383,8810194.0
2020-04-02,42.2595,43.2569,39.8183,41.5946,9665248.0
2020-04-03,41.0817,41.1672,38.6785,38.9065,12141243.0
2020-04-04,41.0817,41.1672,38.6785,38.9065,12141243.0
2020-04-05,41.0817,41.1672,38.6785,38.9065,12141243.0
2020-04-06,40.8632,44.5012,40.3978,43.7983,12722056.0
2020-04-07,47.1608,47.9017,43.8933,44.3397,14115991.0
2020-04-08,44.9666,47.5408,44.6817,46.6479,9146330.0
2020-04-09,47.5692,48.6711,45.945,46.3629,11109846.0
2020-04-10,47.5692,48.6711,45.945,46.3629,11109846.0
2020-04-11,47.5692,48.6711,45.945,46.3629,11109846.0
2020-04-12,47.5692,48.6711,45.945,46.3629,11109846.0
2020-04-13,46.1729,46.3249,44.8954,45.451,10381422.0
2020-04-14,46.1445,47.8542,46.002,47.7022,8871240.0
2020-04-15,45.4036,46.5054,44.9191,45.869,10240433.0
2020-04-16,45.8405,45.8405,43.9693,44.1212,13209893.0
2020-04-17,45.2516,47.4695,45.2136,47.2368,15547262.0
2020-04-18,45.2516,47.4695,45.2136,47.2368,15547262.0
2020-04-19,45.2516,47.4695,45.2136,47.2368,15547262.0
2020-04-20,46.5244,46.5339,45.3181,45.3941,8325559.0
2020-04-21,43.8458,44.6057,43.3518,43.7413,9508713.0
2020-04-22,44.6342,44.8051,43.708,44.0547,7716192.0
2020-04-23,44.5202,44.6152,43.4183,43.4468,8092649.0
2020-04-24,43.8648,44.2162,42.6205,43.7413,9493476.0
2020-04-25,43.8648,44.2162,42.6205,43.7413,9493476.0
2020-04-26,43.8648,44.2162,42.6205,43.7413,9493476.0
2020-04-27,44.1877,45.812,43.6558,45.4415,10028227.0
2020-04-28,47.0848,48.2599,46.4294,46.6289,14079480.0
2020-04-29,49.621,50.1624,47.9777,48.9561,10941152.0
2020-04-30,47.9872,48.2721,46.4199,46.5909,14765448.0
2020-05-01,45.5935,46.0115,45.0901,45.831,5910266.0
2020-05-02,45.5935,46.0115,45.0901,45.831,5910266.0
2020-05-03,45.5935,46.0115,45.0901,45.831,5910266.0
2020-05-04,45.0521,45.8025,44.3777,45.3086,10082678.0
2020-05-05,45.85,46.4912,45.5508,45.755,7951015.0
2020-05-06,46.0875,46.4864,45.0996,45.2896,5804130.0
2020-05-07,46.2014,46.9803,46.04,46.0685,9375470.0
2020-05-08,46.7239,46.9423,45.831,46.078,5587076.0
2020-05-09,46.7239,46.9423,45.831,46.078,5587076.0
2020-05-10,46.7239,46.9423,45.831,46.078,5587076.0
2020-05-11,45.4605,46.5244,44.9856,45.926,6726102.0
