,NWBI US Equity,NWBI US Equity,NWBI US Equity,NWBI US Equity,NWBI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,12.753,12.8294,12.7071,12.7147,494583.0
2020-01-02,12.7224,12.7453,12.516,12.6077,560867.0
2020-01-03,12.5083,12.6918,12.5007,12.6459,588329.0
2020-01-04,12.5083,12.6918,12.5007,12.6459,588329.0
2020-01-05,12.5083,12.6918,12.5007,12.6459,588329.0
2020-01-06,12.6153,12.6459,12.5236,12.623,592264.0
2020-01-07,12.5618,12.6459,12.4624,12.4701,532965.0
2020-01-08,12.516,12.6689,12.516,12.6306,809719.0
2020-01-09,12.6536,12.6803,12.5389,12.5465,550151.0
2020-01-10,12.5083,12.5771,12.451,12.5045,375268.0
2020-01-11,12.5083,12.5771,12.451,12.5045,375268.0
2020-01-12,12.5083,12.5771,12.451,12.5045,375268.0
2020-01-13,12.5007,12.6765,12.4624,12.5695,368037.0
2020-01-14,12.5389,12.5962,12.4854,12.5848,390022.0
2020-01-15,12.5695,12.5695,12.4624,12.5312,334899.0
2020-01-16,12.5771,12.6842,12.5236,12.6077,381087.0
2020-01-17,12.6995,12.6995,12.5007,12.5312,402330.0
2020-01-18,12.6995,12.6995,12.5007,12.5312,402330.0
2020-01-19,12.6995,12.6995,12.5007,12.5312,402330.0
2020-01-20,12.6995,12.6995,12.5007,12.5312,402330.0
2020-01-21,12.5007,12.5312,12.3936,12.3936,462328.0
2020-01-22,12.4166,12.4892,12.3248,12.3554,408082.0
2020-01-23,12.3478,12.493,12.2751,12.4739,1028295.0
2020-01-24,12.4777,12.5389,12.2713,12.363,429337.0
2020-01-25,12.4777,12.5389,12.2713,12.363,429337.0
2020-01-26,12.4777,12.5389,12.2713,12.363,429337.0
2020-01-27,12.3478,12.3554,11.9349,11.9425,837701.0
2020-01-28,11.9425,12.1184,11.9196,12.019,733689.0
2020-01-29,11.9884,12.0496,11.8508,11.8967,1174223.0
2020-01-30,11.8508,12.113,11.8508,12.1031,678851.0
2020-01-31,12.0266,12.1031,11.824,12.0228,1611422.0
2020-02-01,12.0266,12.1031,11.824,12.0228,1611422.0
2020-02-02,12.0266,12.1031,11.824,12.0228,1611422.0
2020-02-03,12.0649,12.1413,11.9884,12.0266,770105.0
2020-02-04,12.1031,12.1872,12.0266,12.0496,538068.0
2020-02-05,12.127,12.1811,12.0883,12.1734,558526.0
2020-02-06,12.2276,12.2972,12.0728,12.096,474546.0
2020-02-07,12.0805,12.1889,12.0264,12.1424,739910.0
2020-02-08,12.0805,12.1889,12.0264,12.1424,739910.0
2020-02-09,12.0805,12.1889,12.0264,12.1424,739910.0
2020-02-10,12.1502,12.2198,12.1115,12.1424,476463.0
2020-02-11,12.1502,12.3359,12.1502,12.2237,409890.0
2020-02-12,12.2972,12.3669,12.2121,12.243,390754.0
2020-02-13,12.2353,12.332,12.2276,12.305,250795.0
2020-02-14,12.3437,12.3746,12.2353,12.243,368405.0
2020-02-15,12.3437,12.3746,12.2353,12.243,368405.0
2020-02-16,12.3437,12.3746,12.2353,12.243,368405.0
2020-02-17,12.3437,12.3746,12.2353,12.243,368405.0
2020-02-18,12.1966,12.2508,12.0728,12.1424,244041.0
2020-02-19,12.1347,12.2005,12.1037,12.1115,244896.0
2020-02-20,12.0728,12.243,12.0728,12.2044,380276.0
2020-02-21,12.2121,12.2276,12.096,12.1657,438836.0
2020-02-22,12.2121,12.2276,12.096,12.1657,438836.0
2020-02-23,12.2121,12.2276,12.096,12.1657,438836.0
2020-02-24,11.9722,12.0573,11.9451,12.0109,401918.0
2020-02-25,11.9567,11.9567,11.562,11.6085,593559.0
2020-02-26,11.6626,11.7942,11.5078,11.5233,721312.0
2020-02-27,11.3685,11.5698,11.1596,11.1596,610993.0
2020-02-28,10.9506,11.1132,10.556,10.7494,1094933.0
2020-02-29,10.9506,11.1132,10.556,10.7494,1094933.0
2020-03-01,10.9506,11.1132,10.556,10.7494,1094933.0
2020-03-02,10.7649,11.3376,10.7209,11.3337,788394.0
2020-03-03,11.2679,11.5156,10.9661,11.1364,755724.0
2020-03-04,11.2447,11.4111,11.0125,11.3918,535666.0
2020-03-05,11.1441,11.1905,10.8965,11.0899,939249.0
2020-03-06,10.7881,11.0048,10.6643,10.9661,714977.0
2020-03-07,10.7881,11.0048,10.6643,10.9661,714977.0
2020-03-08,10.7881,11.0048,10.6643,10.9661,714977.0
2020-03-09,10.3393,10.4012,9.8308,9.8517,1040052.0
2020-03-10,10.1226,10.6024,9.6041,9.991,564877.0
2020-03-11,9.7434,9.8053,9.2868,9.4028,860054.0
2020-03-12,8.8766,8.9617,8.1569,8.5051,1040067.0
2020-03-13,8.9462,9.1088,8.4316,9.0004,967129.0
2020-03-14,8.9462,9.1088,8.4316,9.0004,967129.0
2020-03-15,8.9462,9.1088,8.4316,9.0004,967129.0
2020-03-16,8.2575,8.9849,8.0795,8.7373,863705.0
2020-03-17,8.8766,9.6273,8.8069,9.488,1067055.0
2020-03-18,9.0236,9.3293,8.4664,8.8921,1568082.0
2020-03-19,8.7218,9.2094,8.1801,8.9385,796211.0
2020-03-20,8.8069,8.954,8.2033,8.2884,1290998.0
2020-03-21,8.8069,8.954,8.2033,8.2884,1290998.0
2020-03-22,8.8069,8.954,8.2033,8.2884,1290998.0
2020-03-23,8.3194,8.4355,7.6771,7.8628,1146021.0
2020-03-24,8.1956,8.5129,8.064,8.4664,1045785.0
2020-03-25,8.5206,9.0855,8.1646,8.6831,1226485.0
2020-03-26,8.7373,9.2635,8.7373,9.1707,916860.0
2020-03-27,8.8379,9.1939,8.6599,8.7837,583289.0
2020-03-28,8.8379,9.1939,8.6599,8.7837,583289.0
2020-03-29,8.8379,9.1939,8.6599,8.7837,583289.0
2020-03-30,8.8921,9.0546,8.5903,9.012,555282.0
2020-03-31,8.8843,9.0469,8.7063,8.954,648947.0
2020-04-01,8.5748,8.7141,8.3503,8.5206,751740.0
2020-04-02,8.4819,8.745,8.273,8.5051,526288.0
2020-04-03,8.5516,8.5516,8.0176,8.242,566703.0
2020-04-04,8.5516,8.5516,8.0176,8.242,566703.0
2020-04-05,8.5516,8.5516,8.0176,8.242,566703.0
2020-04-06,8.5593,8.7528,8.5206,8.6831,549259.0
2020-04-07,8.923,9.0933,8.6212,8.6986,502715.0
2020-04-08,8.7915,8.8456,8.6212,8.6986,512512.0
2020-04-09,8.8766,9.4067,8.7915,9.3874,728595.0
2020-04-10,8.8766,9.4067,8.7915,9.3874,728595.0
2020-04-11,8.8766,9.4067,8.7915,9.3874,728595.0
2020-04-12,8.8766,9.4067,8.7915,9.3874,728595.0
2020-04-13,9.3487,9.4764,8.5903,8.6367,600747.0
2020-04-14,8.8147,8.9385,8.4277,8.6212,579859.0
2020-04-15,8.3349,8.3968,8.033,8.1182,671143.0
2020-04-16,8.0795,8.2596,7.3868,7.5068,1558772.0
2020-04-17,7.6925,8.1743,7.5997,7.7312,1081200.0
2020-04-18,7.6925,8.1743,7.5997,7.7312,1081200.0
2020-04-19,7.6925,8.1743,7.5997,7.7312,1081200.0
2020-04-20,7.5997,7.9634,7.4758,7.9015,1197571.0
2020-04-21,7.5532,7.9054,7.3288,7.6151,2250732.0
2020-04-22,7.7157,8.1491,7.5145,7.8937,5875313.0
2020-04-23,7.9866,8.3581,7.9402,8.033,1808148.0
2020-04-24,8.033,8.2265,7.7428,7.9944,5243807.0
2020-04-25,8.033,8.2265,7.7428,7.9944,5243807.0
2020-04-26,8.033,8.2265,7.7428,7.9944,5243807.0
2020-04-27,8.0021,8.5593,7.8705,8.3736,1206108.0
2020-04-28,8.5516,8.8224,8.451,8.4974,1038984.0
2020-04-29,8.8843,9.1475,8.5593,8.6057,4146094.0
2020-04-30,8.3968,8.4742,8.1336,8.211,1051782.0
2020-05-01,8.0098,8.122,7.7738,7.9092,874285.0
