,YORW US Equity,YORW US Equity,YORW US Equity,YORW US Equity,YORW US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,42.9479,43.0961,42.5128,42.6887,28535.0
2020-01-02,42.8831,42.8831,41.337,41.5592,29513.0
2020-01-03,41.5592,42.3276,41.4759,41.6148,41002.0
2020-01-04,41.5592,42.3276,41.4759,41.6148,41002.0
2020-01-05,41.5592,42.3276,41.4759,41.6148,41002.0
2020-01-06,41.5685,41.9573,41.3833,41.4852,32457.0
2020-01-07,41.4666,41.4666,41.1056,41.3,24919.0
2020-01-08,41.3,41.4111,40.5964,40.8834,47327.0
2020-01-09,40.7908,41.3648,40.7417,41.1148,44217.0
2020-01-10,41.2445,41.5685,40.8649,41.2352,39807.0
2020-01-11,41.2445,41.5685,40.8649,41.2352,39807.0
2020-01-12,41.2445,41.5685,40.8649,41.2352,39807.0
2020-01-13,41.4481,42.161,41.4481,42.0962,41562.0
2020-01-14,42.198,42.3091,41.7012,41.9388,33158.0
2020-01-15,42.1147,42.8183,42.0962,42.6887,34177.0
2020-01-16,42.9202,44.1792,42.9155,43.8274,53031.0
2020-01-17,43.9848,44.4385,43.7441,44.3366,26901.0
2020-01-18,43.9848,44.4385,43.7441,44.3366,26901.0
2020-01-19,43.9848,44.4385,43.7441,44.3366,26901.0
2020-01-20,43.9848,44.4385,43.7441,44.3366,26901.0
2020-01-21,44.2996,45.4013,44.2348,45.2717,51705.0
2020-01-22,45.5494,46.0864,45.2053,45.4383,58791.0
2020-01-23,45.4754,46.1512,45.2254,45.9198,45365.0
2020-01-24,45.892,46.0957,44.828,45.0402,44642.0
2020-01-25,45.892,46.0957,44.828,45.0402,44642.0
2020-01-26,45.892,46.0957,44.828,45.0402,44642.0
2020-01-27,44.8829,45.5895,44.7045,45.1606,23898.0
2020-01-28,45.3828,45.6922,44.9569,45.1328,38725.0
2020-01-29,45.2161,45.2161,44.4939,45.0495,22647.0
2020-01-30,44.994,45.9198,44.707,45.0217,23769.0
2020-01-31,45.0773,45.122,43.7071,43.846,81798.0
2020-02-01,45.0773,45.122,43.7071,43.846,81798.0
2020-02-02,45.0773,45.122,43.7071,43.846,81798.0
2020-02-03,44.0682,45.1236,44.0219,44.6236,31584.0
2020-02-04,44.994,45.0217,44.1978,44.2533,22999.0
2020-02-05,44.494,45.031,44.3274,44.8458,25450.0
2020-02-06,44.8551,44.8551,44.4477,44.5311,20243.0
2020-02-07,44.707,44.7903,44.062,44.6699,71135.0
2020-02-08,44.707,44.7903,44.062,44.6699,71135.0
2020-02-09,44.707,44.7903,44.062,44.6699,71135.0
2020-02-10,44.6792,45.2254,44.5866,45.2254,21231.0
2020-02-11,45.3458,45.5494,44.4477,44.5403,18667.0
2020-02-12,44.5403,45.1657,44.5403,44.9847,26112.0
