,CE US Equity,CE US Equity,CE US Equity,CE US Equity,CE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,79.4339,80.5054,78.5484,79.673,1226005.0
2019-01-02,78.4421,81.0279,77.8045,80.7711,1849679.0
2019-01-03,80.4523,80.5409,77.2466,77.8222,1635043.0
2019-01-04,79.3985,81.3113,78.8672,80.9925,1451228.0
2019-01-05,79.3985,81.3113,78.8672,80.9925,1451228.0
2019-01-06,79.3985,81.3113,78.8672,80.9925,1451228.0
2019-01-07,80.7445,82.4802,79.6376,81.7541,1175656.0
2019-01-08,81.6832,83.0558,81.6744,82.8964,1936048.0
2019-01-09,82.9053,84.1273,82.0729,83.2772,1020183.0
2019-01-10,82.6573,83.9192,82.1216,83.6226,1048076.0
2019-01-11,82.7813,84.3842,82.5599,83.9148,1155819.0
2019-01-12,82.7813,84.3842,82.5599,83.9148,1155819.0
2019-01-13,82.7813,84.3842,82.5599,83.9148,1155819.0
2019-01-14,82.9938,84.4727,82.6573,83.8971,1268722.0
2019-01-15,83.2418,83.844,82.25,83.2152,1214190.0
2019-01-16,83.2064,84.5878,83.2064,83.8174,1349826.0
2019-01-17,83.1621,85.1634,82.7636,85.1546,2102035.0
2019-01-18,85.6682,87.0762,85.0306,86.6157,1345331.0
2019-01-19,85.6682,87.0762,85.0306,86.6157,1345331.0
2019-01-20,85.6682,87.0762,85.0306,86.6157,1345331.0
2019-01-21,85.6682,87.0762,85.0306,86.6157,1345331.0
2019-01-22,86.0578,86.0933,83.7377,84.7738,1240677.0
2019-01-23,84.9775,85.2077,82.2765,82.6839,2010669.0
2019-01-24,82.5953,84.7826,82.5953,84.7295,1185265.0
2019-01-25,85.8896,86.536,85.4512,86.1375,1141386.0
2019-01-26,85.8896,86.536,85.4512,86.1375,1141386.0
2019-01-27,85.8896,86.536,85.4512,86.1375,1141386.0
2019-01-28,85.4557,86.598,84.9598,86.4741,1977895.0
2019-01-29,81.7009,85.4025,81.6921,85.2431,2626887.0
2019-01-30,85.8896,87.1294,84.6941,86.6157,1215915.0
2019-01-31,85.6062,85.6771,84.3664,84.8004,1661283.0
2019-02-01,84.9598,87.5544,84.8182,87.4127,1185452.0
2019-02-02,84.9598,87.5544,84.8182,87.4127,1185452.0
2019-02-03,84.9598,87.5544,84.8182,87.4127,1185452.0
2019-02-04,87.4836,87.9706,86.6157,87.9706,1278246.0
