,NI US Equity,NI US Equity,NI US Equity,NI US Equity,NI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,23.7409,23.9995,23.6548,23.9908,5308187.0
2020-01-02,24.0684,24.1287,23.3359,23.4221,4197853.0
2020-01-03,23.3704,23.6332,23.3618,23.6117,3440360.0
2020-01-04,23.3704,23.6332,23.3618,23.6117,3440360.0
2020-01-05,23.3704,23.6332,23.3618,23.6117,3440360.0
2020-01-06,23.6375,23.7409,23.5858,23.6031,4366865.0
2020-01-07,23.8185,23.8185,23.5944,23.8099,2937083.0
2020-01-08,23.853,24.0425,23.7797,23.8357,4566451.0
2020-01-09,23.8271,24.0081,23.7512,23.9133,3230115.0
2020-01-10,23.9219,24.0081,23.8013,23.8185,2632904.0
2020-01-11,23.9219,24.0081,23.8013,23.8185,2632904.0
2020-01-12,23.9219,24.0081,23.8013,23.8185,2632904.0
2020-01-13,23.7926,24.1718,23.7668,24.0081,3127413.0
2020-01-14,24.0167,24.2838,23.9133,24.2838,2902856.0
2020-01-15,24.4303,24.8914,24.4045,24.7233,3251360.0
2020-01-16,24.7492,24.9215,24.6975,24.8526,2507361.0
2020-01-17,24.956,25.1025,24.8353,25.0249,2226428.0
2020-01-18,24.956,25.1025,24.8353,25.0249,2226428.0
2020-01-19,24.956,25.1025,24.8353,25.0249,2226428.0
2020-01-20,24.956,25.1025,24.8353,25.0249,2226428.0
2020-01-21,25.0077,25.18,24.8138,25.1542,2562161.0
2020-01-22,25.18,25.2059,25.0077,25.0422,2107073.0
2020-01-23,25.0249,25.1628,24.8957,25.1542,3374694.0
2020-01-24,25.1197,25.1671,24.9388,25.0594,3224728.0
2020-01-25,25.1197,25.1671,24.9388,25.0594,3224728.0
2020-01-26,25.1197,25.1671,24.9388,25.0594,3224728.0
2020-01-27,25.1456,25.2835,24.8181,24.8957,2547244.0
2020-01-28,24.9129,25.1973,24.8526,25.0939,2205437.0
2020-01-29,25.0853,25.193,24.9474,25.1542,2303363.0
2020-01-30,25.1111,25.2231,24.8784,25.0766,3215863.0
2020-01-31,24.9905,25.2835,24.956,25.2576,3712437.0
2020-02-01,24.9905,25.2835,24.956,25.2576,3712437.0
2020-02-02,24.9905,25.2835,24.956,25.2576,3712437.0
2020-02-03,25.3352,25.71,25.2576,25.6712,3292506.0
2020-02-04,25.6626,25.779,25.3438,25.4041,3965019.0
2020-02-05,25.3438,25.6971,25.3093,25.654,3080430.0
2020-02-06,25.6799,25.8608,25.5851,25.7229,2680932.0
2020-02-07,25.8091,25.947,25.6454,25.6799,2802245.0
2020-02-08,25.8091,25.947,25.6454,25.6799,2802245.0
2020-02-09,25.8091,25.947,25.6454,25.6799,2802245.0
2020-02-10,25.784,25.9142,25.5931,25.9142,2213719.0
2020-02-11,25.9662,26.1659,25.8968,25.9749,2265494.0
2020-02-12,25.7927,25.9055,25.6712,25.8881,2272376.0
2020-02-13,25.8881,26.2006,25.8447,26.2006,1825317.0
2020-02-14,26.2613,26.2874,26.0877,26.2179,3826172.0
2020-02-15,26.2613,26.2874,26.0877,26.2179,3826172.0
2020-02-16,26.2613,26.2874,26.0877,26.2179,3826172.0
2020-02-17,26.2613,26.2874,26.0877,26.2179,3826172.0
2020-02-18,26.3394,26.4349,26.1398,26.2179,2740977.0
2020-02-19,26.1572,26.244,26.0444,26.053,1511740.0
2020-02-20,26.0183,26.1181,25.9185,26.0791,1998667.0
2020-02-21,26.053,26.2309,25.8621,25.9315,3735244.0
2020-02-22,26.053,26.2309,25.8621,25.9315,3735244.0
2020-02-23,26.053,26.2309,25.8621,25.9315,3735244.0
2020-02-24,25.81,25.8795,25.2589,25.3848,3224675.0
2020-02-25,25.3935,25.4195,24.6298,24.6298,4048250.0
2020-02-26,24.0049,25.3501,23.0069,24.083,10577955.0
2020-02-27,24.0396,24.9335,23.6925,23.6925,6725876.0
2020-02-28,23.4755,23.9181,22.7465,23.4495,12727807.0
2020-02-29,23.4755,23.9181,22.7465,23.4495,12727807.0
2020-03-01,23.4755,23.9181,22.7465,23.4495,12727807.0
2020-03-02,23.4495,24.786,23.3366,24.786,7194574.0
2020-03-03,24.8033,25.2546,24.4215,24.6298,4823067.0
2020-03-04,24.9509,25.9315,24.9161,25.9142,3591575.0
2020-03-05,25.4976,26.1225,25.3327,25.7146,4713423.0
2020-03-06,25.0376,25.7146,24.7512,25.567,6803996.0
2020-03-07,25.0376,25.7146,24.7512,25.567,6803996.0
2020-03-08,25.0376,25.7146,24.7512,25.567,6803996.0
2020-03-09,24.3173,24.7252,23.3019,24.0309,7440055.0
2020-03-10,24.2219,24.838,23.5189,24.7512,7176098.0
2020-03-11,24.2045,24.3434,23.2195,23.5189,4057353.0
2020-03-12,22.1043,22.5816,20.7765,20.8459,5799233.0
2020-03-13,21.8353,21.8613,20.3252,21.8526,3373562.0
2020-03-14,21.8353,21.8613,20.3252,21.8526,3373562.0
2020-03-15,21.8353,21.8613,20.3252,21.8526,3373562.0
2020-03-16,18.0167,20.6029,16.9753,18.1729,5235900.0
2020-03-17,18.6849,21.5923,17.7303,21.3232,6849439.0
2020-03-18,20.2297,20.7678,19.2317,20.4814,5782387.0
2020-03-19,20.464,20.8563,18.4289,20.2731,4183289.0
2020-03-20,20.3859,21.0108,18.0427,18.225,3988134.0
2020-03-21,20.3859,21.0108,18.0427,18.225,3988134.0
2020-03-22,20.3859,21.0108,18.0427,18.225,3988134.0
2020-03-23,18.0688,18.737,17.5741,18.1035,5597879.0
2020-03-24,18.6242,19.2143,17.6956,19.0408,4950834.0
2020-03-25,18.9279,20.3946,17.5828,19.8131,4885522.0
2020-03-26,19.735,21.5315,19.735,21.3059,3938670.0
2020-03-27,20.6463,22.1998,20.5335,21.4881,4955109.0
2020-03-28,20.6463,22.1998,20.5335,21.4881,4955109.0
2020-03-29,20.6463,22.1998,20.5335,21.4881,4955109.0
2020-03-30,21.8179,22.7769,21.4534,22.6337,3376558.0
2020-03-31,22.2605,22.4688,21.5489,21.6704,3857023.0
2020-04-01,20.8199,21.2972,19.5094,20.0128,3460648.0
2020-04-02,19.735,20.7808,19.722,20.3859,4229432.0
2020-04-03,20.1343,20.2775,19.3879,19.5181,4164967.0
2020-04-04,20.1343,20.2775,19.3879,19.5181,4164967.0
2020-04-05,20.1343,20.2775,19.3879,19.5181,4164967.0
2020-04-06,20.2731,21.5966,20.1603,21.3059,2894609.0
2020-04-07,21.7919,21.9394,20.7591,20.924,3168653.0
2020-04-08,21.0368,22.2518,20.7765,22.1043,1920245.0
2020-04-09,22.356,23.4755,22.356,23.0676,2784648.0
2020-04-10,22.356,23.4755,22.356,23.0676,2784648.0
2020-04-11,22.356,23.4755,22.356,23.0676,2784648.0
2020-04-12,22.356,23.4755,22.356,23.0676,2784648.0
2020-04-13,22.7118,22.9461,22.1564,22.3126,1527698.0
2020-04-14,22.7986,23.1457,22.5729,23.1023,2106761.0
2020-04-15,22.625,22.625,21.9915,22.0869,2286696.0
2020-04-16,22.2692,22.7378,21.896,22.5035,4369550.0
2020-04-17,23.0416,23.3193,22.4688,22.894,2435448.0
2020-04-18,23.0416,23.3193,22.4688,22.894,2435448.0
