,AWR US Equity,AWR US Equity,AWR US Equity,AWR US Equity,AWR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,80.8902,81.6047,80.3613,80.3892,203704.0
2020-01-02,80.3521,80.5562,78.8675,79.6376,223392.0
2020-01-03,79.3964,80.751,79.3639,80.2686,273786.0
2020-01-04,79.3964,80.751,79.3639,80.2686,273786.0
2020-01-05,79.3964,80.751,79.3639,80.2686,273786.0
2020-01-06,80.2222,80.584,78.5891,78.7747,388189.0
2020-01-07,78.7747,78.777,77.6056,78.1345,337276.0
2020-01-08,78.1902,78.5288,77.4386,77.5592,316693.0
2020-01-09,77.7077,78.1252,77.3458,77.8561,306703.0
2020-01-10,77.8561,78.2876,77.6427,77.9675,357785.0
2020-01-11,77.8561,78.2876,77.6427,77.9675,357785.0
2020-01-12,77.8561,78.2876,77.6427,77.9675,357785.0
2020-01-13,78.0324,79.3778,78.0139,78.719,343319.0
2020-01-14,78.7933,79.0531,77.9118,78.2551,248247.0
2020-01-15,78.4314,79.5727,78.4314,79.2201,217025.0
2020-01-16,79.4706,80.649,79.1969,80.4727,210309.0
2020-01-17,80.6768,81.1593,80.2593,80.9181,243208.0
2020-01-18,80.6768,81.1593,80.2593,80.9181,243208.0
2020-01-19,80.6768,81.1593,80.2593,80.9181,243208.0
2020-01-20,80.6768,81.1593,80.2593,80.9181,243208.0
2020-01-21,80.8717,82.3191,80.7882,82.2634,343812.0
2020-01-22,82.5975,83.3305,82.4305,82.8294,165462.0
2020-01-23,82.848,83.3861,82.6067,83.3861,226360.0
2020-01-24,83.3026,84.0608,83.0573,83.5903,147533.0
2020-01-25,83.3026,84.0608,83.0573,83.5903,147533.0
2020-01-26,83.3026,84.0608,83.0573,83.5903,147533.0
2020-01-27,83.4325,84.1934,82.8202,83.1171,191573.0
2020-01-28,83.3119,83.8315,82.8573,83.4789,143931.0
2020-01-29,83.4789,84.082,82.8294,83.8872,255335.0
2020-01-30,83.6088,84.3697,83.5903,84.1748,139789.0
2020-01-31,83.9707,84.6202,81.8327,82.1707,415088.0
2020-02-01,83.9707,84.6202,81.8327,82.1707,415088.0
2020-02-02,83.9707,84.6202,81.8327,82.1707,415088.0
2020-02-03,82.3284,83.3769,81.9387,82.8758,273447.0
2020-02-04,83.015,83.3397,82.0779,82.0871,125356.0
2020-02-05,82.3469,82.8387,81.9755,82.7459,197165.0
2020-02-06,82.9129,83.4372,82.6903,83.349,321441.0
2020-02-07,83.7109,84.2212,83.5068,83.7666,147899.0
2020-02-08,83.7109,84.2212,83.5068,83.7666,147899.0
2020-02-09,83.7109,84.2212,83.5068,83.7666,147899.0
2020-02-10,83.8686,84.5923,83.6367,84.5088,146705.0
2020-02-11,84.815,85.3346,84.2676,84.481,243094.0
2020-02-12,84.4346,85.1119,83.3397,84.9078,223773.0
2020-02-13,84.7635,86.5463,84.447,86.1413,276525.0
2020-02-14,86.2996,87.8357,86.0948,87.3702,314783.0
2020-02-15,86.2996,87.8357,86.0948,87.3702,314783.0
2020-02-16,86.2996,87.8357,86.0948,87.3702,314783.0
2020-02-17,86.2996,87.8357,86.0948,87.3702,314783.0
2020-02-18,87.696,89.0645,87.1002,87.1747,319289.0
2020-02-19,87.0909,87.3702,85.0056,85.1825,159572.0
2020-02-20,84.9683,85.0894,82.9948,84.0001,193090.0
2020-02-21,84.2422,84.4098,83.6557,83.935,152359.0
2020-02-22,84.2422,84.4098,83.6557,83.935,152359.0
2020-02-23,84.2422,84.4098,83.6557,83.935,152359.0
2020-02-24,82.7433,83.7872,82.5384,83.153,148939.0
2020-02-25,83.786,84.6704,81.5424,81.6169,232239.0
2020-02-26,81.6448,83.1157,81.1887,81.2817,247618.0
2020-02-27,80.7232,81.1328,76.2732,76.3291,282524.0
2020-02-28,74.8395,74.8395,69.5517,71.3019,488744.0
2020-02-29,74.8395,74.8395,69.5517,71.3019,488744.0
2020-03-01,74.8395,74.8395,69.5517,71.3019,488744.0
2020-03-02,71.3019,75.4074,71.1784,74.9326,454801.0
2020-03-03,75.035,77.7255,74.3834,75.5564,322966.0
2020-03-04,78.0886,81.7379,78.0327,81.3097,249984.0
2020-03-05,79.7364,81.7286,79.4757,81.1142,305936.0
2020-03-06,79.2523,81.98,78.006,81.7193,186497.0
2020-03-07,79.2523,81.98,78.006,81.7193,186497.0
2020-03-08,79.2523,81.98,78.006,81.7193,186497.0
2020-03-09,77.3717,78.7682,72.6146,76.6735,221159.0
2020-03-10,77.772,79.6107,73.8644,77.7069,256530.0
2020-03-11,77.5486,77.5486,72.7076,74.2903,384199.0
2020-03-12,69.5703,71.5533,65.7255,66.9171,359896.0
2020-03-13,70.492,71.4602,65.3438,71.4602,383444.0
2020-03-14,70.492,71.4602,65.3438,71.4602,383444.0
2020-03-15,70.492,71.4602,65.3438,71.4602,383444.0
2020-03-16,63.1933,68.509,60.6145,60.8938,397763.0
2020-03-17,62.0854,73.1266,61.8062,73.0149,495257.0
2020-03-18,69.3097,87.1468,66.3027,86.6068,694686.0
2020-03-19,85.1825,89.9676,84.0932,86.0203,653535.0
2020-03-20,86.4858,87.3702,77.2165,80.0622,1257704.0
2020-03-21,86.4858,87.3702,77.2165,80.0622,1257704.0
2020-03-22,86.4858,87.3702,77.2165,80.0622,1257704.0
2020-03-23,79.1033,79.6014,67.1778,69.7286,773770.0
2020-03-24,71.5905,74.3089,68.2716,74.1134,550024.0
2020-03-25,73.7503,76.6177,68.4252,71.7022,525106.0
2020-03-26,72.2701,77.6138,71.3671,75.3981,470725.0
2020-03-27,73.4524,77.7907,72.3306,75.3888,311027.0
2020-03-28,73.4524,77.7907,72.3306,75.3888,311027.0
2020-03-29,73.4524,77.7907,72.3306,75.3888,311027.0
2020-03-30,76.3011,79.4198,74.8395,78.7589,500376.0
2020-03-31,77.7255,78.6471,73.7596,76.0963,471608.0
2020-04-01,73.3872,73.6386,68.3415,69.7565,230584.0
2020-04-02,69.1514,73.0428,68.3973,72.0932,211573.0
2020-04-03,70.9854,74.1599,70.9854,73.1452,437050.0
2020-04-04,70.9854,74.1599,70.9854,73.1452,437050.0
2020-04-05,70.9854,74.1599,70.9854,73.1452,437050.0
2020-04-06,76.1522,79.5781,75.0164,79.1871,218848.0
2020-04-07,80.0622,80.2018,73.9365,74.5789,251688.0
2020-04-08,75.575,82.3663,74.5416,78.191,414757.0
2020-04-09,78.5075,81.952,78.5075,81.8962,219243.0
2020-04-10,78.5075,81.952,78.5075,81.8962,219243.0
2020-04-11,78.5075,81.952,78.5075,81.8962,219243.0
2020-04-12,78.5075,81.952,78.5075,81.8962,219243.0
2020-04-13,80.8628,81.831,79.4198,80.4532,388170.0
2020-04-14,82.9016,84.8194,81.6076,83.8791,192565.0
2020-04-15,82.613,82.613,79.5316,80.1646,235142.0
2020-04-16,80.5277,81.4493,78.8333,80.2111,224830.0
2020-04-17,81.4121,83.7488,81.3469,82.9389,218962.0
2020-04-18,81.4121,83.7488,81.3469,82.9389,218962.0
2020-04-19,81.4121,83.7488,81.3469,82.9389,218962.0
2020-04-20,82.2965,82.5145,76.4315,77.4462,195973.0
2020-04-21,77.1855,77.5952,75.7891,76.5897,197831.0
2020-04-22,78.07,78.5634,76.7852,77.9303,150525.0
2020-04-23,77.679,78.2674,75.9008,76.1894,200909.0
2020-04-24,76.5246,77.9117,76.1151,76.5153,263780.0
2020-04-25,76.5246,77.9117,76.1151,76.5153,263780.0
