,AIN US Equity,AIN US Equity,AIN US Equity,AIN US Equity,AIN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,72.5479,73.2242,72.2431,72.3193,150618.0
2020-01-02,72.6336,73.2814,72.0811,73.2052,145417.0
2020-01-03,72.1573,74.0148,72.1573,73.9482,326240.0
2020-01-04,72.1573,74.0148,72.1573,73.9482,326240.0
2020-01-05,72.1573,74.0148,72.1573,73.9482,326240.0
2020-01-06,73.5386,73.8434,72.8908,73.1861,179240.0
2020-01-07,72.6527,73.1766,72.4098,72.7479,121819.0
2020-01-08,72.6527,73.4909,72.3955,72.4907,125070.0
2020-01-09,72.586,73.7386,72.4622,73.0623,170485.0
2020-01-10,73.0146,73.1099,71.4334,71.4334,121498.0
2020-01-11,73.0146,73.1099,71.4334,71.4334,121498.0
2020-01-12,73.0146,73.1099,71.4334,71.4334,121498.0
2020-01-13,70.9952,73.6338,70.9571,73.6243,413726.0
2020-01-14,73.1004,73.5902,72.3002,73.529,323947.0
2020-01-15,73.3004,75.0817,73.3004,74.6435,259081.0
2020-01-16,75.196,75.8724,74.634,75.5104,162652.0
2020-01-17,76.0343,76.12,74.4245,74.6721,190197.0
2020-01-18,76.0343,76.12,74.4245,74.6721,190197.0
2020-01-19,76.0343,76.12,74.4245,74.6721,190197.0
2020-01-20,76.0343,76.12,74.4245,74.6721,190197.0
2020-01-21,73.3385,74.9246,71.8049,72.9003,359555.0
2020-01-22,72.9003,72.9003,69.8997,70.2998,490727.0
2020-01-23,70.538,70.9333,69.5473,70.8999,550395.0
2020-01-24,70.9857,71.0333,68.6138,69.7092,245036.0
2020-01-25,70.9857,71.0333,68.6138,69.7092,245036.0
2020-01-26,70.9857,71.0333,68.6138,69.7092,245036.0
2020-01-27,68.4709,69.1853,68.0899,68.8233,171694.0
2020-01-28,69.2901,70.4903,68.7709,69.9664,142893.0
2020-01-29,70.1474,70.3379,69.4139,69.8331,245518.0
2020-01-30,69.3758,70.2427,68.8138,69.1853,124944.0
2020-01-31,68.7948,68.8424,66.1044,66.461,166553.0
2020-02-01,68.7948,68.8424,66.1044,66.461,166553.0
2020-02-02,68.7948,68.8424,66.1044,66.461,166553.0
2020-02-03,66.7658,68.0041,66.7658,66.9753,225677.0
2020-02-04,68.1184,68.6185,67.6469,68.0041,196131.0
2020-02-05,68.6328,69.6902,68.3223,69.6521,189348.0
2020-02-06,69.7473,70.919,69.221,70.1569,198895.0
2020-02-07,69.7283,69.9664,68.3566,68.4423,181436.0
2020-02-08,69.7283,69.9664,68.3566,68.4423,181436.0
2020-02-09,69.7283,69.9664,68.3566,68.4423,181436.0
2020-02-10,68.2232,69.4806,68.0136,68.7281,248440.0
2020-02-11,67.0325,72.0335,66.8801,70.1569,383874.0
2020-02-12,70.195,70.962,69.7187,70.4999,273706.0
2020-02-13,69.9188,70.5665,69.9188,70.2522,204396.0
2020-02-14,70.1569,70.7475,69.7854,70.6523,270285.0
2020-02-15,70.1569,70.7475,69.7854,70.6523,270285.0
2020-02-16,70.1569,70.7475,69.7854,70.6523,270285.0
2020-02-17,70.1569,70.7475,69.7854,70.6523,270285.0
2020-02-18,70.3474,70.6523,69.9664,70.6142,315042.0
2020-02-19,70.6808,70.9952,70.3951,70.4713,271629.0
2020-02-20,70.2522,71.2143,70.2522,71.0905,198149.0
2020-02-21,70.9095,70.9904,70.3093,70.7666,186043.0
2020-02-22,70.9095,70.9904,70.3093,70.7666,186043.0
2020-02-23,70.9095,70.9904,70.3093,70.7666,186043.0
2020-02-24,68.4614,69.071,68.1184,68.4518,310178.0
2020-02-25,68.5185,68.5185,65.8989,66.28,346799.0
2020-02-26,66.8801,67.2992,65.2702,66.2419,225030.0
2020-02-27,64.794,65.6322,63.2705,64.4415,551423.0
2020-02-28,62.5364,63.8557,60.3359,61.0313,521039.0
2020-02-29,62.5364,63.8557,60.3359,61.0313,521039.0
2020-03-01,62.5364,63.8557,60.3359,61.0313,521039.0
2020-03-02,61.3171,64.089,60.1168,64.0605,493271.0
2020-03-03,64.8035,66.68,62.5935,64.1081,309752.0
2020-03-04,65.1845,66.1752,63.97,65.5846,339406.0
2020-03-05,63.7461,64.3081,61.3075,62.2125,489078.0
2020-03-06,59.8215,62.6316,59.7929,62.2315,207941.0
2020-03-07,59.8215,62.6316,59.7929,62.2315,207941.0
2020-03-08,59.8215,62.6316,59.7929,62.2315,207941.0
2020-03-09,60.3264,60.3264,56.2018,56.2684,420218.0
2020-03-10,58.0878,60.7265,55.4968,60.0406,733922.0
2020-03-11,58.2879,58.345,54.7062,54.9634,349445.0
