,AEE US Equity,AEE US Equity,AEE US Equity,AEE US Equity,AEE US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,67.9917,68.4359,67.9473,68.2227,1388933.0
2020-01-02,68.3471,68.4892,67.2988,67.5565,1446270.0
2020-01-03,67.3699,68.0006,67.3699,67.5831,1239926.0
2020-01-04,67.3699,68.0006,67.3699,67.5831,1239926.0
2020-01-05,67.3699,68.0006,67.3699,67.5831,1239926.0
2020-01-06,67.5831,67.854,67.4321,67.6453,1382407.0
2020-01-07,67.4054,67.9029,67.1034,67.894,1227283.0
2020-01-08,68.2316,68.2316,67.6808,67.7785,1034685.0
2020-01-09,67.7252,68.1161,67.5742,68.0362,1460743.0
2020-01-10,68.2227,68.6669,68.1339,68.4092,1073951.0
2020-01-11,68.2227,68.6669,68.1339,68.4092,1073951.0
2020-01-12,68.2227,68.6669,68.1339,68.4092,1073951.0
2020-01-13,68.4181,69.0755,68.4181,68.96,1280756.0
2020-01-14,68.9245,69.1732,68.4936,68.9422,1439745.0
2020-01-15,69.111,69.5774,68.9156,69.4663,1732371.0
2020-01-16,69.9105,70.4435,69.9105,70.3635,2065904.0
2020-01-17,70.3902,70.972,70.3191,70.8432,1552813.0
2020-01-18,70.3902,70.972,70.3191,70.8432,1552813.0
2020-01-19,70.3902,70.972,70.3191,70.8432,1552813.0
2020-01-20,70.3902,70.972,70.3191,70.8432,1552813.0
2020-01-21,70.8432,71.1186,70.4968,71.092,1732705.0
2020-01-22,71.1897,71.4562,70.9587,70.9854,2366319.0
2020-01-23,71.012,71.3895,70.7899,71.3318,1269782.0
2020-01-24,71.2874,71.8026,71.0875,71.4118,1185829.0
2020-01-25,71.2874,71.8026,71.0875,71.4118,1185829.0
2020-01-26,71.2874,71.8026,71.0875,71.4118,1185829.0
2020-01-27,71.3585,71.8115,70.8432,71.163,1774848.0
2020-01-28,71.243,71.6605,71.0387,71.3496,1350689.0
2020-01-29,71.7138,72.0158,71.4562,71.9714,1493356.0
2020-01-30,71.927,72.7886,71.7493,72.7531,1086120.0
2020-01-31,72.6732,73.2062,72.4955,72.8864,2038434.0
2020-02-01,72.6732,73.2062,72.4955,72.8864,2038434.0
2020-02-02,72.6732,73.2062,72.4955,72.8864,2038434.0
2020-02-03,73.0463,73.4682,72.913,73.4016,1105701.0
2020-02-04,73.4193,73.748,72.9352,73.0818,1595503.0
