,CXT US Equity,CXT US Equity,CXT US Equity,CXT US Equity,CXT US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,22.4574,22.7442,22.3471,22.7442,328212.0
2019-01-02,22.3282,22.7158,22.0604,22.6024,275355.0
2019-01-03,22.4322,22.5866,21.7547,21.9501,232650.0
2019-01-04,22.3818,22.9427,22.3818,22.8072,294270.0
2019-01-05,22.3818,22.9427,22.3818,22.8072,294270.0
2019-01-06,22.3818,22.9427,22.3818,22.8072,294270.0
2019-01-07,22.8671,23.3429,22.6685,23.0624,422598.0
2019-01-08,23.3145,23.5823,23.2168,23.5004,221018.0
2019-01-09,23.6832,24.0172,23.5823,23.8502,196847.0
2019-01-10,23.6643,24.0865,23.5571,24.0707,170204.0
2019-01-11,23.9037,24.2378,23.7367,24.2346,176522.0
2019-01-12,23.9037,24.2378,23.7367,24.2346,176522.0
2019-01-13,23.9037,24.2378,23.7367,24.2346,176522.0
2019-01-14,24.0172,24.3417,23.7525,24.118,353323.0
2019-01-15,24.1464,24.2441,23.9479,24.096,111598.0
2019-01-16,24.096,24.3827,24.064,24.2504,363737.0
2019-01-17,24.1054,24.994,24.1054,24.8207,443829.0
2019-01-18,25.0413,25.3501,24.8995,25.161,257131.0
2019-01-19,25.0413,25.3501,24.8995,25.161,257131.0
2019-01-20,25.0413,25.3501,24.8995,25.161,257131.0
2019-01-21,25.0413,25.3501,24.8995,25.161,257131.0
2019-01-22,25.0255,25.0633,24.619,24.8081,510891.0
2019-01-23,24.8648,25.1484,24.3354,24.4363,477907.0
2019-01-24,24.452,24.9247,24.4489,24.5529,363312.0
2019-01-25,24.868,25.2555,24.7309,25.0098,293150.0
2019-01-26,24.868,25.2555,24.7309,25.0098,293150.0
2019-01-27,24.868,25.2555,24.7309,25.0098,293150.0
2019-01-28,24.8522,25.0507,24.6253,24.9373,658213.0
2019-01-29,24.6852,26.8374,24.1936,26.0969,693815.0
2019-01-30,26.516,26.516,25.6778,26.1914,598132.0
2019-01-31,26.1504,26.5033,25.87,26.078,367054.0
