,SNDR US Equity,SNDR US Equity,SNDR US Equity,SNDR US Equity,SNDR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,18.5854,18.9668,18.5854,18.9148,214070.0
2020-01-02,18.9581,19.1662,18.8715,19.1662,405401.0
2020-01-03,18.9928,19.4609,18.8541,19.4089,498855.0
2020-01-04,18.9928,19.4609,18.8541,19.4089,498855.0
2020-01-05,18.9928,19.4609,18.8541,19.4089,498855.0
2020-01-06,19.1662,19.2962,18.8281,19.2615,616529.0
2020-01-07,19.2962,19.5121,19.1315,19.4696,309861.0
2020-01-08,19.3916,19.643,19.2875,19.4262,322746.0
2020-01-09,19.5823,19.6516,19.3656,19.4522,601020.0
2020-01-10,19.5129,19.8077,19.3482,19.6603,453666.0
2020-01-11,19.5129,19.8077,19.3482,19.6603,453666.0
2020-01-12,19.5129,19.8077,19.3482,19.6603,453666.0
2020-01-13,19.643,19.929,19.643,19.9204,294936.0
2020-01-14,19.9377,20.3061,19.799,20.2324,585861.0
2020-01-15,20.3364,20.6312,20.1717,20.5185,940906.0
2020-01-16,20.7005,20.8219,20.5575,20.6052,517904.0
2020-01-17,20.5532,20.6225,20.3191,20.5272,389022.0
2020-01-18,20.5532,20.6225,20.3191,20.5272,389022.0
2020-01-19,20.5532,20.6225,20.3191,20.5272,389022.0
2020-01-20,20.5532,20.6225,20.3191,20.5272,389022.0
2020-01-21,20.3538,20.4665,20.1067,20.1977,464464.0
2020-01-22,20.2151,20.2313,19.9464,19.9984,611841.0
2020-01-23,19.9637,20.059,19.695,19.981,469639.0
2020-01-24,20.0157,20.2151,19.5736,19.7123,300689.0
2020-01-25,20.0157,20.2151,19.5736,19.7123,300689.0
2020-01-26,20.0157,20.2151,19.5736,19.7123,300689.0
2020-01-27,19.3742,19.688,19.3049,19.5563,237599.0
2020-01-28,19.6863,19.8163,19.5303,19.5823,287576.0
2020-01-29,19.3049,20.3278,19.2789,19.8163,619499.0
2020-01-30,19.9117,20.4405,19.8337,20.3278,466088.0
2020-01-31,20.1717,20.2021,19.1575,19.3049,623051.0
2020-02-01,20.1717,20.2021,19.1575,19.3049,623051.0
2020-02-02,20.1717,20.2021,19.1575,19.3049,623051.0
2020-02-03,19.4696,19.877,19.4653,19.8077,425835.0
2020-02-04,20.0417,20.0417,19.5996,19.617,635175.0
2020-02-05,19.9117,20.059,19.7556,19.9377,379205.0
2020-02-06,19.9724,20.1418,19.773,20.0504,367809.0
2020-02-07,19.9897,20.1977,19.773,20.0851,460459.0
2020-02-08,19.9897,20.1977,19.773,20.0851,460459.0
2020-02-09,19.9897,20.1977,19.773,20.0851,460459.0
2020-02-10,19.9897,20.1024,19.4522,19.4696,209901.0
2020-02-11,19.5563,19.7556,19.2529,19.4176,278109.0
2020-02-12,19.5909,19.7383,19.4163,19.5736,429403.0
2020-02-13,19.4349,19.5476,19.3569,19.5043,448048.0
2020-02-14,19.5043,19.5043,19.0882,19.1055,213945.0
2020-02-15,19.5043,19.5043,19.0882,19.1055,213945.0
2020-02-16,19.5043,19.5043,19.0882,19.1055,213945.0
2020-02-17,19.5043,19.5043,19.0882,19.1055,213945.0
2020-02-18,19.0015,19.2269,18.9495,19.0882,381398.0
2020-02-19,19.1835,19.2442,19.0015,19.0275,382331.0
2020-02-20,18.8194,18.9755,18.7501,18.9581,856817.0
2020-02-21,18.9061,19.0102,18.6114,18.7414,647275.0
2020-02-22,18.9061,19.0102,18.6114,18.7414,647275.0
2020-02-23,18.9061,19.0102,18.6114,18.7414,647275.0
2020-02-24,18.2126,18.2777,17.6547,17.9006,889892.0
2020-02-25,17.9873,18.0653,17.1898,17.3371,590472.0
2020-02-26,17.4671,17.4671,16.4356,16.5136,404140.0
2020-02-27,16.0888,16.4096,15.6901,15.6988,776636.0
2020-02-28,15.2653,15.5774,14.8839,15.5254,850748.0
2020-02-29,15.2653,15.5774,14.8839,15.5254,850748.0
2020-03-01,15.2653,15.5774,14.8839,15.5254,850748.0
2020-03-02,15.6381,15.8895,15.2783,15.8808,503050.0
2020-03-03,15.9241,16.4009,15.5514,15.7854,772136.0
2020-03-04,16.0368,16.2709,15.6641,16.2449,328542.0
2020-03-05,15.8115,16.0152,15.482,15.5427,806797.0
2020-03-06,15.0486,15.6641,14.9533,15.5601,735302.0
2020-03-07,15.0486,15.6641,14.9533,15.5601,735302.0
2020-03-08,15.0486,15.6641,14.9533,15.5601,735302.0
2020-03-09,15.5167,15.5167,14.7712,14.8839,1031395.0
2020-03-10,15.2393,15.6034,15.04,15.43,1052778.0
2020-03-11,15.0226,15.2913,14.9099,14.9099,445014.0
2020-03-12,14.0789,15.1144,13.3654,14.5401,734677.0
2020-03-13,14.6619,15.7235,14.4966,15.7235,647169.0
