,AMP US Equity,AMP US Equity,AMP US Equity,AMP US Equity,AMP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,92.738,93.839,91.88,93.409,826217.0
2019-01-02,92.577,97.356,91.995,96.622,1603513.0
2019-01-03,95.655,96.255,93.856,94.062,1065324.0
2019-01-04,96.523,99.522,96.336,99.101,1031093.0
2019-01-05,96.523,99.522,96.336,99.101,1031093.0
2019-01-06,96.523,99.522,96.336,99.101,1031093.0
2019-01-07,98.448,100.544,97.347,99.557,944161.0
2019-01-08,100.98,100.989,98.036,100.184,806767.0
2019-01-09,100.676,101.786,99.477,101.222,808007.0
2019-01-10,100.318,102.063,100.05,101.526,747935.0
2019-01-11,100.461,102.028,98.985,101.526,728587.0
2019-01-12,100.461,102.028,98.985,101.526,728587.0
2019-01-13,100.461,102.028,98.985,101.526,728587.0
2019-01-14,100.086,102.914,99.799,102.063,1076009.0
2019-01-15,101.714,103.146,100.712,103.084,671563.0
2019-01-16,104.176,106.735,103.495,105.84,1044043.0
2019-01-17,104.775,106.995,103.424,106.136,872486.0
2019-01-18,107.621,109.17,106.27,108.391,928099.0
2019-01-19,107.621,109.17,106.27,108.391,928099.0
2019-01-20,107.621,109.17,106.27,108.391,928099.0
2019-01-21,107.621,109.17,106.27,108.391,928099.0
2019-01-22,107.299,107.576,105.948,106.753,1198575.0
2019-01-23,107.451,107.738,104.865,106.332,588722.0
2019-01-24,105.93,108.216,105.876,107.201,882935.0
2019-01-25,108.659,109.411,108.096,108.4,793355.0
2019-01-26,108.659,109.411,108.096,108.4,793355.0
2019-01-27,108.659,109.411,108.096,108.4,793355.0
2019-01-28,107.755,109.071,107.201,109.0,1042045.0
2019-01-29,108.829,109.626,108.14,108.633,786213.0
2019-01-30,108.946,108.946,104.793,107.559,1553206.0
2019-01-31,108.785,113.814,108.785,113.304,1985030.0
2019-02-01,113.877,114.562,112.848,113.564,1689177.0
2019-02-02,113.877,114.562,112.848,113.564,1689177.0
2019-02-03,113.877,114.562,112.848,113.564,1689177.0
2019-02-04,113.716,114.186,113.304,113.743,895994.0
2019-02-05,113.806,114.011,111.604,112.472,938571.0
2019-02-06,111.586,114.181,111.586,113.385,872260.0
2019-02-07,112.696,113.729,109.939,112.069,852149.0
2019-02-08,111.085,112.418,109.205,112.383,1167539.0
2019-02-09,111.085,112.418,109.205,112.383,1167539.0
2019-02-10,111.085,112.418,109.205,112.383,1167539.0
2019-02-11,112.866,113.555,111.805,112.723,974663.0
2019-02-12,113.877,116.209,113.877,115.3,1169843.0
2019-02-13,116.07,117.412,115.255,116.168,790278.0
2019-02-14,115.267,115.7,113.393,114.6,837270.0
2019-02-15,115.754,117.782,115.409,117.773,706071.0
2019-02-16,115.754,117.782,115.409,117.773,706071.0
2019-02-17,115.754,117.782,115.409,117.773,706071.0
2019-02-18,115.754,117.782,115.409,117.773,706071.0
2019-02-19,116.763,119.404,115.528,118.926,909238.0
2019-02-20,118.656,119.89,118.187,119.764,941874.0
2019-02-21,120.08,120.08,117.998,118.683,736289.0
2019-02-22,119.278,121.711,118.71,121.567,1004504.0
2019-02-23,119.278,121.711,118.71,121.567,1004504.0
2019-02-24,119.278,121.711,118.71,121.567,1004504.0
2019-02-25,122.198,122.576,118.8,118.908,1423017.0
2019-02-26,117.872,119.845,117.25,118.061,783331.0
2019-02-27,117.854,119.336,117.456,118.845,843577.0
2019-02-28,118.881,119.278,118.007,118.629,976018.0
2019-03-01,119.971,121.098,117.962,119.124,927036.0
2019-03-02,119.971,121.098,117.962,119.124,927036.0
2019-03-03,119.971,121.098,117.962,119.124,927036.0
2019-03-04,119.683,120.729,116.637,117.691,767351.0
2019-03-05,117.754,117.8,115.984,117.277,863332.0
2019-03-06,117.646,117.845,115.042,115.231,605345.0
2019-03-07,114.591,114.591,111.509,112.572,812328.0
2019-03-08,111.293,112.149,110.545,112.068,997676.0
2019-03-09,111.293,112.149,110.545,112.068,997676.0
2019-03-10,111.293,112.149,110.545,112.068,997676.0
2019-03-11,112.437,113.0,111.761,112.077,1228263.0
2019-03-12,112.194,113.226,111.635,112.302,1099869.0
2019-03-13,113.203,113.321,111.996,112.527,1172430.0
2019-03-14,112.581,113.14,112.293,112.717,1294094.0
2019-03-15,113.005,116.322,112.617,116.303,2874950.0
2019-03-16,113.005,116.322,112.617,116.303,2874950.0
2019-03-17,113.005,116.322,112.617,116.303,2874950.0
2019-03-18,116.916,118.466,116.632,117.484,1241538.0
2019-03-19,118.304,118.84,115.826,116.141,763319.0
2019-03-20,115.826,118.638,115.285,116.376,1394275.0
2019-03-21,115.592,117.322,114.564,116.754,1071602.0
2019-03-22,115.574,115.745,110.914,111.869,1237267.0
2019-03-23,115.574,115.745,110.914,111.869,1237267.0
2019-03-24,115.574,115.745,110.914,111.869,1237267.0
2019-03-25,111.752,113.158,110.635,111.572,744392.0
2019-03-26,113.131,113.843,112.122,113.438,666667.0
2019-03-27,113.438,114.303,112.464,113.185,828803.0
2019-03-28,113.546,114.753,113.023,114.447,903417.0
2019-03-29,115.763,116.664,115.105,115.447,846727.0
2019-03-30,115.763,116.664,115.105,115.447,846727.0
2019-03-31,115.763,116.664,115.105,115.447,846727.0
2019-04-01,116.79,119.764,116.781,119.575,961876.0
2019-04-02,123.018,124.442,121.837,122.675,1578162.0
2019-04-03,124.036,124.813,122.459,123.072,833418.0
2019-04-04,123.09,124.613,123.09,123.721,440614.0
2019-04-05,124.351,124.973,123.558,124.315,662458.0
2019-04-06,124.351,124.973,123.558,124.315,662458.0
2019-04-07,124.351,124.973,123.558,124.315,662458.0
2019-04-08,124.054,124.901,123.324,124.856,499978.0
2019-04-09,124.297,124.415,122.405,122.991,584467.0
2019-04-10,123.423,125.199,122.824,124.856,544277.0
2019-04-11,125.415,126.812,125.217,125.857,512793.0
2019-04-12,127.893,129.858,127.118,128.461,885431.0
2019-04-13,127.893,129.858,127.118,128.461,885431.0
2019-04-14,127.893,129.858,127.118,128.461,885431.0
2019-04-15,128.263,128.957,126.789,127.317,692823.0
2019-04-16,127.767,129.849,127.632,129.84,718964.0
2019-04-17,130.182,130.462,128.38,129.101,681875.0
2019-04-18,128.831,129.696,127.794,129.119,1019868.0
2019-04-19,128.831,129.696,127.794,129.119,1019868.0
2019-04-20,128.831,129.696,127.794,129.119,1019868.0
2019-04-21,128.831,129.696,127.794,129.119,1019868.0
2019-04-22,129.254,129.434,128.317,128.975,479341.0
2019-04-23,129.155,131.372,128.258,130.543,845002.0
2019-04-24,129.894,130.813,129.714,129.777,1126600.0
2019-04-25,129.317,132.273,129.317,130.732,1197050.0
2019-04-26,131.048,132.282,130.121,132.147,812715.0
2019-04-27,131.048,132.282,130.121,132.147,812715.0
2019-04-28,131.048,132.282,130.121,132.147,812715.0
2019-04-29,132.769,134.13,131.985,133.129,611987.0
2019-04-30,133.481,133.589,130.647,132.273,1423588.0
2019-05-01,132.381,133.598,131.705,132.12,1139729.0
2019-05-02,131.715,133.517,130.858,132.814,942579.0
2019-05-03,133.313,135.39,133.313,134.129,701669.0
2019-05-04,133.313,135.39,133.313,134.129,701669.0
2019-05-05,133.313,135.39,133.313,134.129,701669.0
2019-05-06,131.979,134.175,130.945,133.612,574238.0
2019-05-07,132.212,132.221,129.593,130.882,801922.0
2019-05-08,130.274,131.433,129.312,129.757,782057.0
2019-05-09,127.688,129.716,127.226,129.575,761514.0
2019-05-10,128.759,131.562,127.452,131.145,855279.0
2019-05-11,128.759,131.562,127.452,131.145,855279.0
2019-05-12,128.759,131.562,127.452,131.145,855279.0
2019-05-13,130.628,130.918,126.32,126.445,1366347.0
2019-05-14,127.008,130.759,126.917,129.294,916783.0
2019-05-15,128.414,129.593,127.017,129.049,781223.0
2019-05-16,129.503,132.496,129.475,131.517,636516.0
2019-05-17,130.047,131.861,129.358,130.446,690956.0
2019-05-18,130.047,131.861,129.358,130.446,690956.0
2019-05-19,130.047,131.861,129.358,130.446,690956.0
2019-05-20,129.63,132.605,129.094,132.342,1024486.0
2019-05-21,133.168,135.073,133.168,134.628,1079277.0
2019-05-22,134.139,135.563,132.76,132.778,1034150.0
2019-05-23,131.444,131.698,130.165,130.963,780916.0
2019-05-24,131.925,133.077,131.517,132.805,480056.0
2019-05-25,131.925,133.077,131.517,132.805,480056.0
2019-05-26,131.925,133.077,131.517,132.805,480056.0
2019-05-27,131.925,133.077,131.517,132.805,480056.0
2019-05-28,132.487,133.313,130.864,130.864,943915.0
2019-05-29,129.811,130.727,128.178,130.664,850236.0
2019-05-30,131.108,132.025,129.902,130.047,536850.0
2019-05-31,127.861,128.387,124.876,125.402,1035404.0
2019-06-01,127.861,128.387,124.876,125.402,1035404.0
2019-06-02,127.861,128.387,124.876,125.402,1035404.0
2019-06-03,125.157,128.124,124.504,127.716,945094.0
2019-06-04,129.358,133.585,129.358,133.286,989528.0
2019-06-05,133.268,133.812,131.045,133.812,1003792.0
2019-06-06,134.002,136.098,133.594,135.853,729459.0
2019-06-07,135.944,136.978,135.554,135.962,629888.0
2019-06-08,135.944,136.978,135.554,135.962,629888.0
2019-06-09,135.944,136.978,135.554,135.962,629888.0
2019-06-10,137.785,138.185,136.751,137.214,948741.0
2019-06-11,138.248,138.802,137.051,137.822,748051.0
2019-06-12,137.395,137.513,135.164,136.434,669417.0
2019-06-13,136.162,137.849,135.917,137.477,414847.0
