,TMX US Equity,TMX US Equity,TMX US Equity,TMX US Equity,TMX US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,38.36,38.75,38.28,38.66,1001324.0
2020-01-02,38.75,38.88,38.23,38.64,1408561.0
2020-01-03,38.14,38.6588,38.03,38.42,1014858.0
2020-01-04,38.14,38.6588,38.03,38.42,1014858.0
2020-01-05,38.14,38.6588,38.03,38.42,1014858.0
2020-01-06,38.09,38.61,37.51,38.37,938931.0
2020-01-07,38.35,38.65,37.75,37.85,932658.0
2020-01-08,37.81,38.08,36.19,36.29,1926845.0
2020-01-09,36.46,37.66,36.29,36.85,1889808.0
2020-01-10,36.84,36.96,36.31,36.81,1441187.0
2020-01-11,36.84,36.96,36.31,36.81,1441187.0
2020-01-12,36.84,36.96,36.31,36.81,1441187.0
2020-01-13,36.71,37.5,36.66,37.16,830784.0
2020-01-14,36.95,37.26,35.76,36.71,1582087.0
2020-01-15,36.75,37.1,36.27,36.28,944798.0
2020-01-16,36.39,36.99,36.2,36.53,764358.0
2020-01-17,36.54,36.76,36.28,36.75,744837.0
2020-01-18,36.54,36.76,36.28,36.75,744837.0
2020-01-19,36.54,36.76,36.28,36.75,744837.0
2020-01-20,36.54,36.76,36.28,36.75,744837.0
2020-01-21,36.06,36.25,34.8,35.8,4406494.0
2020-01-22,36.06,37.66,36.06,37.49,1533366.0
2020-01-23,37.21,37.545,36.8585,37.24,1328652.0
2020-01-24,37.36,37.51,36.72,36.86,1362914.0
2020-01-25,37.36,37.51,36.72,36.86,1362914.0
2020-01-26,37.36,37.51,36.72,36.86,1362914.0
2020-01-27,36.01,37.17,36.01,37.08,1093778.0
2020-01-28,37.18,37.45,36.465,36.92,1104669.0
2020-01-29,37.11,37.18,36.7,36.72,840365.0
2020-01-30,36.54,36.91,36.01,36.75,1763650.0
2020-01-31,36.8,37.05,35.8,36.05,1536188.0
2020-02-01,36.8,37.05,35.8,36.05,1536188.0
2020-02-02,36.8,37.05,35.8,36.05,1536188.0
2020-02-03,36.0,36.915,36.0,36.58,1074230.0
2020-02-04,36.97,37.18,36.26,36.5,1533035.0
2020-02-05,36.6,36.78,36.09,36.46,1381493.0
2020-02-06,36.59,36.59,35.46,35.54,971278.0
2020-02-07,35.38,35.84,35.02,35.07,670667.0
2020-02-08,35.38,35.84,35.02,35.07,670667.0
2020-02-09,35.38,35.84,35.02,35.07,670667.0
2020-02-10,35.09,35.53,34.32,35.5,1303974.0
2020-02-11,35.5,36.24,35.38,36.06,1298032.0
