,TMX US Equity,TMX US Equity,TMX US Equity,TMX US Equity,TMX US Equity
2020-02-12,36.19,36.44,35.85,36.26,1080373.0
2020-02-13,36.07,37.385,36.07,37.02,1828897.0
2020-02-14,37.08,37.92,36.82,37.66,1550418.0
2020-02-15,37.08,37.92,36.82,37.66,1550418.0
2020-02-16,37.08,37.92,36.82,37.66,1550418.0
2020-02-17,37.08,37.92,36.82,37.66,1550418.0
2020-02-18,37.56,37.59,36.495,36.84,1316754.0
2020-02-19,36.98,37.64,36.855,37.49,1664919.0
2020-02-20,37.57,38.11,37.49,37.86,1478257.0
2020-02-21,37.79,38.34,37.1,38.1,2738413.0
2020-02-22,37.79,38.34,37.1,38.1,2738413.0
2020-02-23,37.79,38.34,37.1,38.1,2738413.0
2020-02-24,37.34,37.5,36.68,37.18,3762750.0
2020-02-25,37.19,37.46,36.06,36.37,2154020.0
2020-02-26,36.36,36.65,33.05,33.75,3367595.0
2020-02-27,36.78,39.21,36.71,37.43,6579766.0
2020-02-28,36.48,37.35,35.06,35.77,3697543.0
2020-02-29,36.48,37.35,35.06,35.77,3697543.0
2020-03-01,36.48,37.35,35.06,35.77,3697543.0
2020-03-02,35.95,37.99,35.245,37.89,2406944.0
2020-03-03,37.93,37.99,35.56,36.35,2007408.0
2020-03-04,36.8,37.1,35.83,36.77,1521062.0
2020-03-05,35.86,36.115,35.1204,35.82,1357299.0
2020-03-06,35.37,36.28,34.81,36.14,1716659.0
2020-03-07,35.37,36.28,34.81,36.14,1716659.0
2020-03-08,35.37,36.28,34.81,36.14,1716659.0
2020-03-09,34.2,35.0,33.27,33.67,1804266.0
2020-03-10,34.32,35.0,33.5,33.93,2493365.0
2020-03-11,33.3,33.37,31.91,32.09,2079491.0
2020-03-12,30.08,30.76,28.67,30.02,2431047.0
2020-03-13,31.0,31.4299,26.98,29.5,2220633.0
2020-03-14,31.0,31.4299,26.98,29.5,2220633.0
2020-03-15,31.0,31.4299,26.98,29.5,2220633.0
2020-03-16,27.45,28.77,26.3,26.49,1879106.0
2020-03-17,27.27,28.0729,26.09,26.64,1849387.0
2020-03-18,25.0,25.53,17.63,20.36,2274715.0
2020-03-19,20.12,24.77,18.17,23.95,3758375.0
2020-03-20,24.5,26.72,24.0501,24.91,2119315.0
2020-03-21,24.5,26.72,24.0501,24.91,2119315.0
2020-03-22,24.5,26.72,24.0501,24.91,2119315.0
2020-03-23,24.64,25.4,23.6,24.26,2034374.0
2020-03-24,25.52,26.11,24.53,24.98,2055853.0
2020-03-25,25.09,25.7,23.34,24.12,2154851.0
2020-03-26,24.5,26.21,23.66,25.87,1326213.0
2020-03-27,24.89,27.5299,24.53,26.84,1497311.0
2020-03-28,24.89,27.5299,24.53,26.84,1497311.0
2020-03-29,24.89,27.5299,24.53,26.84,1497311.0
2020-03-30,26.89,27.27,25.0,26.77,954927.0
2020-03-31,26.68,27.335,26.1,27.0,820093.0
2020-04-01,25.99,26.3,25.0,25.42,1102749.0
2020-04-02,25.85,26.79,25.25,25.71,837224.0
2020-04-03,25.68,25.84,23.92,24.73,592862.0
2020-04-04,25.68,25.84,23.92,24.73,592862.0
2020-04-05,25.68,25.84,23.92,24.73,592862.0
2020-04-06,26.17,26.78,25.52,25.94,1220438.0
2020-04-07,27.06,28.22,25.46,25.66,896519.0
2020-04-08,25.68,26.61,25.5,25.64,2017771.0
2020-04-09,26.45,27.78,26.021,27.0,2085715.0
2020-04-10,26.45,27.78,26.021,27.0,2085715.0
2020-04-11,26.45,27.78,26.021,27.0,2085715.0
2020-04-12,26.45,27.78,26.021,27.0,2085715.0
2020-04-13,27.06,27.71,26.1,26.53,2367051.0
2020-04-14,26.95,28.56,26.54,28.22,1008950.0
2020-04-15,27.17,27.95,26.97,27.72,881049.0
2020-04-16,27.64,28.32,27.27,28.07,801607.0
2020-04-17,28.87,29.79,28.41,28.7,587044.0
2020-04-18,28.87,29.79,28.41,28.7,587044.0
2020-04-19,28.87,29.79,28.41,28.7,587044.0
2020-04-20,28.4,28.97,27.94,28.07,451519.0
2020-04-21,27.3,28.24,26.99,28.01,937664.0
2020-04-22,28.41,28.95,27.92,28.06,1604581.0
2020-04-23,28.4,28.65,27.99,28.24,1208630.0
2020-04-24,28.51,29.36,28.16,29.22,772019.0
2020-04-25,28.51,29.36,28.16,29.22,772019.0
2020-04-26,28.51,29.36,28.16,29.22,772019.0
2020-04-27,29.5,30.83,29.5,30.67,729438.0
2020-04-28,31.2,33.11,31.2,32.57,1541170.0
2020-04-29,33.05,34.85,32.23,34.73,1766068.0
2020-04-30,34.23,34.44,33.12,34.05,1487785.0
2020-05-01,33.04,33.61,32.63,33.15,1005453.0
2020-05-02,33.04,33.61,32.63,33.15,1005453.0
2020-05-03,33.04,33.61,32.63,33.15,1005453.0
2020-05-04,32.51,33.69,32.19,33.48,1245432.0
2020-05-05,33.6,33.945,32.81,33.14,820232.0
2020-05-06,33.32,33.63,32.14,32.22,1008297.0
2020-05-07,31.68,33.2029,24.87,24.91,6764307.0
2020-05-08,25.8,29.74,25.11,29.71,4231910.0
2020-05-09,25.8,29.74,25.11,29.71,4231910.0
2020-05-10,25.8,29.74,25.11,29.71,4231910.0
2020-05-11,29.37,29.4,27.11,27.94,2462310.0
2020-05-12,27.78,27.95,27.02,27.05,2287717.0
2020-05-13,27.14,27.2,25.375,26.13,1863135.0
2020-05-14,25.66,26.76,24.94,26.63,1794130.0
2020-05-15,26.34,27.18,25.92,26.91,1461939.0
2020-05-16,26.34,27.18,25.92,26.91,1461939.0
2020-05-17,26.34,27.18,25.92,26.91,1461939.0
2020-05-18,27.79,28.91,27.79,28.26,2331729.0
2020-05-19,28.21,28.3,27.2,27.68,1951253.0
2020-05-20,28.29,28.51,27.78,28.3,1970832.0
2020-05-21,28.28,29.73,28.01,29.21,1281665.0
2020-05-22,29.42,29.55,28.74,29.13,778193.0
2020-05-23,29.42,29.55,28.74,29.13,778193.0
2020-05-24,29.42,29.55,28.74,29.13,778193.0
2020-05-25,29.42,29.55,28.74,29.13,778193.0
2020-05-26,29.76,30.62,29.76,30.12,1709720.0
2020-05-27,30.78,30.92,29.86,30.91,2102959.0
2020-05-28,31.01,31.96,30.59,31.64,1776579.0
2020-05-29,31.24,32.93,31.11,32.9,1646072.0
2020-05-30,31.24,32.93,31.11,32.9,1646072.0
2020-05-31,31.24,32.93,31.11,32.9,1646072.0
2020-06-01,32.88,32.99,31.32,32.66,1723075.0
2020-06-02,32.91,33.67,32.55,32.96,1655262.0
2020-06-03,32.98,34.37,32.98,33.68,2025184.0
2020-06-04,33.56,34.4,33.23,33.61,1616969.0
2020-06-05,34.66,34.9399,32.19,32.29,2270108.0
2020-06-06,34.66,34.9399,32.19,32.29,2270108.0
2020-06-07,34.66,34.9399,32.19,32.29,2270108.0
2020-06-08,32.57,33.77,32.37,33.76,2060799.0
2020-06-09,33.42,33.62,32.4,33.08,1346362.0
2020-06-10,32.85,33.26,31.52,32.56,845218.0
2020-06-11,33.39,36.34,32.47,36.0,3555035.0
2020-06-12,37.22,37.4,34.43,35.65,2469683.0
2020-06-13,37.22,37.4,34.43,35.65,2469683.0
2020-06-14,37.22,37.4,34.43,35.65,2469683.0
2020-06-15,35.0,36.03,34.65,35.13,1569315.0
2020-06-16,35.91,36.27,34.95,35.71,2377887.0
2020-06-17,35.73,36.28,35.23,35.66,2301043.0
2020-06-18,35.08,35.97,35.07,35.72,2642917.0
2020-06-19,36.08,36.27,34.94,35.56,2134106.0
2020-06-20,36.08,36.27,34.94,35.56,2134106.0
2020-06-21,36.08,36.27,34.94,35.56,2134106.0
2020-06-22,35.38,35.48,34.875,35.19,1343750.0
2020-06-23,35.41,35.49,34.67,34.98,1501809.0
2020-06-24,34.8,34.95,33.93,34.2,1409461.0
2020-06-25,34.08,35.19,33.87,35.15,1087087.0
2020-06-26,34.88,35.575,34.61,35.17,1787630.0
2020-06-27,34.88,35.575,34.61,35.17,1787630.0
2020-06-28,34.88,35.575,34.61,35.17,1787630.0
2020-06-29,35.46,36.875,34.6,35.9,1393696.0
2020-06-30,35.69,35.99,35.35,35.69,1111144.0
2020-07-01,35.77,36.69,35.57,35.95,966834.0
2020-07-02,36.32,36.68,35.735,35.86,777851.0
2020-07-03,36.32,36.68,35.735,35.86,777851.0
2020-07-04,36.32,36.68,35.735,35.86,777851.0
2020-07-05,36.32,36.68,35.735,35.86,777851.0
2020-07-06,36.51,36.78,36.01,36.17,846304.0
2020-07-07,35.72,36.8,35.72,36.36,983351.0
2020-07-08,36.35,36.6,35.54,36.19,803558.0
2020-07-09,36.15,36.23,35.54,35.83,649782.0
2020-07-10,35.93,36.71,35.61,36.4,955041.0
2020-07-11,35.93,36.71,35.61,36.4,955041.0
2020-07-12,35.93,36.71,35.61,36.4,955041.0
2020-07-13,36.65,36.67,35.82,35.83,761319.0
2020-07-14,35.74,36.25,35.43,36.21,524405.0
2020-07-15,36.85,37.64,36.69,37.54,889162.0
2020-07-16,37.36,37.81,37.07,37.64,539094.0
2020-07-17,37.94,38.24,37.67,37.86,657807.0
2020-07-18,37.94,38.24,37.67,37.86,657807.0
2020-07-19,37.94,38.24,37.67,37.86,657807.0
2020-07-20,38.0,38.31,37.68,38.11,590596.0
2020-07-21,38.28,38.69,37.75,37.92,550745.0
2020-07-22,37.91,38.31,37.69,37.93,603608.0
2020-07-23,37.88,38.26,37.47,37.71,724776.0
2020-07-24,37.66,38.255,37.2,37.4,586716.0
2020-07-25,37.66,38.255,37.2,37.4,586716.0
2020-07-26,37.66,38.255,37.2,37.4,586716.0
2020-07-27,37.36,38.2399,37.18,38.14,411234.0
2020-07-28,38.0,38.9,37.81,38.19,514486.0
2020-07-29,38.35,39.76,38.24,39.68,1058722.0
2020-07-30,39.39,40.85,39.09,40.82,1187112.0
2020-07-31,40.62,41.04,40.2,40.89,946271.0
2020-08-01,40.62,41.04,40.2,40.89,946271.0
2020-08-02,40.62,41.04,40.2,40.89,946271.0
2020-08-03,41.03,41.76,40.96,41.18,1510079.0
2020-08-04,40.97,41.37,40.665,41.23,948267.0
2020-08-05,41.56,41.87,40.7,41.56,1688128.0
2020-08-06,42.38,45.84,41.2,42.19,2070999.0
2020-08-07,41.44,41.94,40.64,41.22,1743404.0
2020-08-08,41.44,41.94,40.64,41.22,1743404.0
2020-08-09,41.44,41.94,40.64,41.22,1743404.0
2020-08-10,41.52,41.96,40.98,41.23,720665.0
2020-08-11,41.74,42.42,41.38,41.51,1018649.0
2020-08-12,42.0,42.0,41.15,41.41,915810.0
2020-08-13,41.34,41.53,41.03,41.06,775773.0
2020-08-14,41.0,41.16,40.51,40.7,922818.0
2020-08-15,41.0,41.16,40.51,40.7,922818.0
2020-08-16,41.0,41.16,40.51,40.7,922818.0
2020-08-17,40.84,41.28,40.38,40.6,1608759.0
2020-08-18,40.62,41.11,39.94,40.01,779353.0
2020-08-19,40.19,40.21,39.385,39.57,785278.0
2020-08-20,39.53,40.14,39.32,39.92,584669.0
2020-08-21,39.81,40.03,39.64,39.72,838807.0
2020-08-22,39.81,40.03,39.64,39.72,838807.0
2020-08-23,39.81,40.03,39.64,39.72,838807.0
2020-08-24,39.8,39.96,39.58,39.7,1330226.0
2020-08-25,39.83,40.0,38.985,40.0,2165198.0
2020-08-26,39.9,40.74,39.545,39.7,1664957.0
2020-08-27,39.98,40.52,39.61,40.2,969011.0
2020-08-28,40.56,41.08,40.33,40.69,558324.0
2020-08-29,40.56,41.08,40.33,40.69,558324.0
2020-08-30,40.56,41.08,40.33,40.69,558324.0
2020-08-31,40.83,40.83,39.63,39.9,571606.0
2020-09-01,39.58,39.825,39.25,39.38,538780.0
2020-09-02,41.39,43.0,40.793,42.84,2012557.0
2020-09-03,42.69,42.69,40.68,40.9,857882.0
2020-09-04,41.06,42.29,40.645,41.66,1158703.0
2020-09-05,41.06,42.29,40.645,41.66,1158703.0
2020-09-06,41.06,42.29,40.645,41.66,1158703.0
2020-09-07,41.06,42.29,40.645,41.66,1158703.0
2020-09-08,41.17,41.17,40.515,40.59,791312.0
2020-09-09,40.69,41.22,40.42,40.95,470144.0
2020-09-10,40.79,41.335,39.82,39.86,543121.0
2020-09-11,40.16,40.73,39.64,39.99,668328.0
2020-09-12,40.16,40.73,39.64,39.99,668328.0
2020-09-13,40.16,40.73,39.64,39.99,668328.0
2020-09-14,40.36,40.91,40.13,40.67,620929.0
2020-09-15,41.0,41.0,39.91,40.07,717655.0
2020-09-16,40.57,40.57,39.92,40.35,585533.0
2020-09-17,39.78,40.09,38.47,40.02,893271.0
2020-09-18,40.22,40.63,39.31,39.39,1489095.0
2020-09-19,40.22,40.63,39.31,39.39,1489095.0
2020-09-20,40.22,40.63,39.31,39.39,1489095.0
2020-09-21,39.14,39.14,38.21,38.97,811988.0
2020-09-22,38.86,39.4,38.86,39.19,940096.0
2020-09-23,39.23,39.69,38.75,38.82,470944.0
2020-09-24,38.78,39.66,38.11,39.46,843451.0
2020-09-25,39.34,40.57,39.34,40.46,1251497.0
2020-09-26,39.34,40.57,39.34,40.46,1251497.0
2020-09-27,39.34,40.57,39.34,40.46,1251497.0
2020-09-28,40.81,41.63,40.74,41.38,603345.0
2020-09-29,41.36,41.48,40.29,40.42,793933.0
2020-09-30,40.44,40.8,39.65,39.88,540968.0
2020-10-01,40.09,40.89,39.85,40.48,833920.0
2020-10-02,40.0,41.0,39.97,40.91,408531.0
2020-10-03,40.0,41.0,39.97,40.91,408531.0
2020-10-04,40.0,41.0,39.97,40.91,408531.0
2020-10-05,41.52,42.74,41.16,41.97,208154.0
2020-10-06,41.91,43.12,40.93,42.39,2854246.0
2020-10-07,42.44,42.88,42.32,42.62,437314.0
2020-10-08,42.47,42.97,42.405,42.76,493139.0
2020-10-09,42.63,43.77,42.53,43.69,723993.0
2020-10-10,42.63,43.77,42.53,43.69,723993.0
2020-10-11,42.63,43.77,42.53,43.69,723993.0
2020-10-12,43.8,44.49,43.595,44.21,707005.0
2020-10-13,44.09,45.02,43.54,44.99,1578592.0
2020-10-14,45.0,46.179,44.83,45.79,1084613.0
2020-10-15,45.67,46.89,45.0,46.61,823284.0
2020-10-16,47.03,47.53,46.775,47.28,661441.0
2020-10-17,47.03,47.53,46.775,47.28,661441.0
2020-10-18,47.03,47.53,46.775,47.28,661441.0
2020-10-19,47.59,47.6492,46.78,46.96,1203491.0
2020-10-20,47.31,48.425,47.155,47.36,1694708.0
2020-10-21,47.43,48.0,46.98,46.98,905191.0
2020-10-22,46.65,47.44,46.19,47.33,599913.0
2020-10-23,47.68,48.15,47.27,47.69,731211.0
2020-10-24,47.68,48.15,47.27,47.69,731211.0
2020-10-25,47.68,48.15,47.27,47.69,731211.0
2020-10-26,47.5,47.5199,46.81,47.45,562440.0
2020-10-27,47.49,48.05,47.29,47.79,1114191.0
2020-10-28,47.29,48.35,46.969,47.38,883393.0
2020-10-29,47.24,47.87,47.09,47.51,676878.0
2020-10-30,47.34,47.69,46.81,47.09,740998.0
2020-10-31,47.34,47.69,46.81,47.09,740998.0
2020-11-01,47.34,47.69,46.81,47.09,740998.0
2020-11-02,47.27,47.61,46.64,46.75,493462.0
2020-11-03,47.04,48.34,46.97,48.21,482425.0
2020-11-04,48.42,49.74,47.51,48.9,806886.0
2020-11-05,48.96,50.0,48.0317,49.22,675282.0
2020-11-06,50.24,50.24,48.52,48.83,564395.0
2020-11-07,50.24,50.24,48.52,48.83,564395.0
2020-11-08,50.24,50.24,48.52,48.83,564395.0
2020-11-09,50.3,50.68,46.39,46.57,848074.0
2020-11-10,46.57,47.39,45.63,46.98,646984.0
2020-11-11,46.99,48.77,46.5,48.76,876149.0
2020-11-12,48.56,48.99,48.33,48.73,701622.0
2020-11-13,48.95,49.97,48.7801,49.62,429502.0
2020-11-14,48.95,49.97,48.7801,49.62,429502.0
2020-11-15,48.95,49.97,48.7801,49.62,429502.0
2020-11-16,49.97,50.42,49.36,49.98,523362.0
2020-11-17,49.67,49.83,48.74,49.19,394433.0
2020-11-18,49.2,49.5,48.79,48.8,409549.0
2020-11-19,49.0,50.44,48.38,50.22,645064.0
2020-11-20,50.4,50.55,49.83,50.12,584865.0
2020-11-21,50.4,50.55,49.83,50.12,584865.0
2020-11-22,50.4,50.55,49.83,50.12,584865.0
2020-11-23,50.59,51.25,50.07,50.88,495071.0
2020-11-24,51.11,51.52,50.43,50.64,656636.0
2020-11-25,50.48,50.59,49.61,49.75,352177.0
2020-11-26,50.48,50.59,49.61,49.75,352177.0
2020-11-27,49.72,50.24,49.41,49.81,163376.0
2020-11-28,49.72,50.24,49.41,49.81,163376.0
2020-11-29,49.72,50.24,49.41,49.81,163376.0
2020-11-30,49.8,50.28,49.01,49.03,577120.0
2020-12-01,49.37,50.9,49.37,50.55,420462.0
2020-12-02,50.25,50.395,48.92,49.1,324944.0
2020-12-03,48.86,50.01,48.86,49.73,270628.0
2020-12-04,49.93,50.55,49.915,50.19,544656.0
2020-12-05,49.93,50.55,49.915,50.19,544656.0
2020-12-06,49.93,50.55,49.915,50.19,544656.0
2020-12-07,49.77,50.74,49.74,50.69,413361.0
2020-12-08,50.65,50.73,49.55,50.33,846563.0
2020-12-09,50.83,50.83,49.67,50.04,355009.0
2020-12-10,49.79,50.12,49.31,49.91,414988.0
2020-12-11,49.88,50.67,49.51,49.75,414336.0
2020-12-12,49.88,50.67,49.51,49.75,414336.0
2020-12-13,49.88,50.67,49.51,49.75,414336.0
2020-12-14,49.65,50.38,49.3,49.51,626354.0
2020-12-15,49.54,50.7,49.0,50.7,1790548.0
2020-12-16,50.99,51.29,49.33,49.7,1139319.0
2020-12-17,49.82,51.31,49.625,51.22,531262.0
2020-12-18,51.03,51.92,51.0,51.67,1158064.0
2020-12-19,51.03,51.92,51.0,51.67,1158064.0
2020-12-20,51.03,51.92,51.0,51.67,1158064.0
2020-12-21,50.98,51.25,50.13,51.15,656009.0
2020-12-22,51.35,51.4,50.58,51.33,353986.0
2020-12-23,51.4,51.74,51.15,51.45,337685.0
2020-12-24,51.4,51.565,50.78,51.13,141849.0
2020-12-25,51.4,51.565,50.78,51.13,141849.0
2020-12-26,51.4,51.565,50.78,51.13,141849.0
2020-12-27,51.4,51.565,50.78,51.13,141849.0
2020-12-28,51.29,51.55,50.5,50.59,377575.0
2020-12-29,50.81,50.86,49.57,49.89,242099.0
2020-12-30,50.07,51.04,50.07,50.69,260390.0
2020-12-31,50.78,51.43,50.34,51.01,367528.0
2021-01-01,50.78,51.43,50.34,51.01,367528.0
2021-01-02,50.78,51.43,50.34,51.01,367528.0
2021-01-03,50.78,51.43,50.34,51.01,367528.0
2021-01-04,51.0,51.09,49.44,49.65,532760.0
2021-01-05,49.16,50.79,49.11,50.74,460310.0
2021-01-06,51.01,52.875,50.74,52.43,389735.0
2021-01-07,52.64,53.45,52.27,52.96,433876.0
2021-01-08,52.73,53.67,52.68,53.44,347051.0
2021-01-09,52.73,53.67,52.68,53.44,347051.0
2021-01-10,52.73,53.67,52.68,53.44,347051.0
2021-01-11,52.77,53.87,52.77,53.6,325620.0
2021-01-12,53.69,54.66,53.66,54.58,509207.0
2021-01-13,55.0,55.0,53.16,53.4,547508.0
2021-01-14,53.45,53.85,52.03,52.11,546668.0
2021-01-15,52.01,52.39,51.275,52.05,532575.0
2021-01-16,52.01,52.39,51.275,52.05,532575.0
2021-01-17,52.01,52.39,51.275,52.05,532575.0
2021-01-18,52.01,52.39,51.275,52.05,532575.0
2021-01-19,52.29,52.83,51.33,52.07,427012.0
2021-01-20,52.41,52.83,52.0,52.44,468849.0
2021-01-21,52.77,53.54,52.48,52.77,449138.0
2021-01-22,52.27,52.625,50.02,50.34,531143.0
2021-01-23,52.27,52.625,50.02,50.34,531143.0
2021-01-24,52.27,52.625,50.02,50.34,531143.0
2021-01-25,50.32,50.6,48.84,49.11,568844.0
2021-01-26,49.48,49.75,48.41,48.76,654043.0
2021-01-27,48.02,48.85,46.79,47.5,738018.0
2021-01-28,48.04,49.36,47.42,48.71,580895.0
2021-01-29,48.52,49.12,47.68,47.68,462546.0
2021-01-30,48.52,49.12,47.68,47.68,462546.0
2021-01-31,48.52,49.12,47.68,47.68,462546.0
2021-02-01,47.86,48.82,47.75,48.12,563223.0
2021-02-02,48.62,49.45,48.62,48.86,641353.0
2021-02-03,49.0,49.19,47.81,48.11,469713.0
2021-02-04,48.0,49.19,47.87,49.17,439278.0
2021-02-05,49.59,49.59,47.94,48.17,506300.0
2021-02-06,49.59,49.59,47.94,48.17,506300.0
2021-02-07,49.59,49.59,47.94,48.17,506300.0
2021-02-08,48.29,49.33,48.29,48.71,821385.0
2021-02-09,48.73,49.23,48.24,49.02,526615.0
2021-02-10,49.15,50.23,48.95,49.85,744514.0
2021-02-11,50.04,50.1778,49.37,49.88,335693.0
2021-02-12,49.74,50.13,49.73,50.0,202858.0
2021-02-13,49.74,50.13,49.73,50.0,202858.0
2021-02-14,49.74,50.13,49.73,50.0,202858.0
2021-02-15,49.74,50.13,49.73,50.0,202858.0
2021-02-16,50.35,50.57,49.39,50.01,460013.0
2021-02-17,49.74,50.62,49.53,50.52,387632.0
2021-02-18,50.62,50.845,49.845,49.91,539865.0
2021-02-19,49.77,50.13,49.28,49.6,627380.0
2021-02-20,49.77,50.13,49.28,49.6,627380.0
2021-02-21,49.77,50.13,49.28,49.6,627380.0
2021-02-22,49.24,49.67,48.77,48.95,592103.0
2021-02-23,48.47,49.49,48.06,49.27,717980.0
2021-02-24,49.35,49.595,47.71,48.01,1088336.0
2021-02-25,47.99,49.55,45.91,46.2,1248846.0
2021-02-26,46.41,46.73,44.375,45.01,1531405.0
2021-02-27,46.41,46.73,44.375,45.01,1531405.0
2021-02-28,46.41,46.73,44.375,45.01,1531405.0
2021-03-01,45.55,46.24,45.29,45.97,588070.0
2021-03-02,46.14,46.46,45.59,45.96,621989.0
2021-03-03,45.8,46.365,45.19,45.62,772969.0
2021-03-04,45.48,46.4162,45.14,45.57,797556.0
2021-03-05,45.88,47.05,45.27,46.92,812764.0
2021-03-06,45.88,47.05,45.27,46.92,812764.0
2021-03-07,45.88,47.05,45.27,46.92,812764.0
2021-03-08,46.89,47.76,46.73,46.77,1249174.0
2021-03-09,47.26,48.56,46.72,47.53,1031830.0
2021-03-10,48.02,49.37,47.82,48.5,808676.0
2021-03-11,49.0,50.63,48.805,50.55,849279.0
2021-03-12,50.37,51.71,49.69,50.38,1010537.0
2021-03-13,50.37,51.71,49.69,50.38,1010537.0
2021-03-14,50.37,51.71,49.69,50.38,1010537.0
2021-03-15,50.2,50.34,49.4,50.22,527912.0
2021-03-16,49.96,50.05,49.26,49.33,658452.0
2021-03-17,49.19,49.56,48.43,48.88,504742.0
2021-03-18,48.39,49.63,48.1,49.19,541846.0
2021-03-19,48.92,50.05,48.54,50.05,958743.0
2021-03-20,48.92,50.05,48.54,50.05,958743.0
2021-03-21,48.92,50.05,48.54,50.05,958743.0
2021-03-22,49.88,50.43,48.6555,48.96,795038.0
2021-03-23,48.73,48.775,47.11,47.62,859311.0
2021-03-24,47.85,48.52,47.52,47.66,556921.0
2021-03-25,47.29,48.61,47.1,48.54,477396.0
2021-03-26,48.84,49.54,48.34,48.85,707635.0
2021-03-27,48.84,49.54,48.34,48.85,707635.0
2021-03-28,48.84,49.54,48.34,48.85,707635.0
2021-03-29,48.6,49.045,46.28,46.39,932072.0
2021-03-30,46.05,47.4,46.05,47.12,769622.0
2021-03-31,46.94,48.3,46.52,47.67,960964.0
2021-04-01,47.93,49.0,47.51,48.61,609139.0
2021-04-02,47.93,49.0,47.51,48.61,609139.0
2021-04-03,47.93,49.0,47.51,48.61,609139.0
2021-04-04,47.93,49.0,47.51,48.61,609139.0
2021-04-05,49.12,49.23,48.5,48.6,327817.0
2021-04-06,48.36,49.13,48.36,48.75,632403.0
2021-04-07,48.85,49.1866,47.86,48.01,452956.0
2021-04-08,48.11,48.13,47.22,48.11,506326.0
2021-04-09,48.19,48.54,47.86,48.32,312507.0
2021-04-10,48.19,48.54,47.86,48.32,312507.0
2021-04-11,48.19,48.54,47.86,48.32,312507.0
2021-04-12,48.34,48.95,48.105,48.75,527820.0
2021-04-13,48.74,48.74,47.9,48.1,366149.0
2021-04-14,48.17,48.81,48.11,48.33,356338.0
2021-04-15,48.55,48.78,48.33,48.74,332382.0
2021-04-16,49.08,49.08,48.46,48.82,303188.0
2021-04-17,49.08,49.08,48.46,48.82,303188.0
2021-04-18,49.08,49.08,48.46,48.82,303188.0
2021-04-19,48.74,48.74,48.09,48.35,254864.0
2021-04-20,48.55,48.59,47.81,47.94,430591.0
2021-04-21,47.65,48.24,47.65,48.14,374558.0
2021-04-22,48.22,48.73,48.12,48.4,485992.0
2021-04-23,48.45,49.4,48.45,49.04,463773.0
2021-04-24,48.45,49.4,48.45,49.04,463773.0
2021-04-25,48.45,49.4,48.45,49.04,463773.0
2021-04-26,49.24,49.69,48.77,48.83,336262.0
2021-04-27,48.61,49.185,48.43,48.95,299324.0
2021-04-28,49.15,50.02,48.94,50.02,710007.0
2021-04-29,50.25,50.9,49.93,50.82,495236.0
2021-04-30,50.57,51.11,50.2,50.89,502137.0
2021-05-01,50.57,51.11,50.2,50.89,502137.0
