,KRO US Equity,KRO US Equity,KRO US Equity,KRO US Equity,KRO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,10.1239,10.2459,10.1239,10.2154,598249.0
2020-01-02,10.3755,10.4517,9.8723,9.8876,411604.0
2020-01-03,9.8342,9.8418,9.6884,9.7503,270364.0
2020-01-04,9.8342,9.8418,9.6884,9.7503,270364.0
2020-01-05,9.8342,9.8418,9.6884,9.7503,270364.0
2020-01-06,9.7198,9.7198,9.5216,9.5521,251625.0
2020-01-07,9.5293,9.5597,9.331,9.3844,246744.0
2020-01-08,9.4225,9.453,9.2701,9.3234,225816.0
2020-01-09,9.331,9.3463,9.1786,9.2243,288586.0
2020-01-10,9.2624,9.3352,9.171,9.2701,370962.0
2020-01-11,9.2624,9.3352,9.171,9.2701,370962.0
2020-01-12,9.2624,9.3352,9.171,9.2701,370962.0
2020-01-13,9.2853,9.4835,9.2396,9.4149,613034.0
2020-01-14,9.4149,9.758,9.3844,9.636,422663.0
2020-01-15,9.6284,9.7503,9.6131,9.6817,217849.0
2020-01-16,9.7122,9.8342,9.7024,9.7808,123451.0
2020-01-17,9.8342,9.8342,9.5445,9.6131,311011.0
2020-01-18,9.8342,9.8342,9.5445,9.6131,311011.0
2020-01-19,9.8342,9.8342,9.5445,9.6131,311011.0
2020-01-20,9.8342,9.8342,9.5445,9.6131,311011.0
2020-01-21,9.5826,9.6055,9.3844,9.4073,216119.0
2020-01-22,9.3387,9.4225,9.0947,9.1557,357336.0
2020-01-23,9.0795,9.1062,8.8127,9.0261,272016.0
2020-01-24,9.1405,9.1405,8.805,8.8355,225662.0
2020-01-25,9.1405,9.1405,8.805,8.8355,225662.0
2020-01-26,9.1405,9.1405,8.805,8.8355,225662.0
2020-01-27,8.6297,8.7288,8.462,8.5382,401908.0
2020-01-28,8.6221,8.7593,8.6144,8.6907,441459.0
2020-01-29,8.744,8.8656,8.5458,8.5535,115992.0
2020-01-30,8.4239,8.5992,8.401,8.5992,335096.0
2020-01-31,8.4925,8.6678,8.1952,8.2638,373505.0
2020-02-01,8.4925,8.6678,8.1952,8.2638,373505.0
2020-02-02,8.4925,8.6678,8.1952,8.2638,373505.0
2020-02-03,8.3095,8.6221,8.2485,8.5458,193883.0
2020-02-04,8.7135,8.8203,8.5153,8.5382,178936.0
2020-02-05,8.6754,8.8203,8.6754,8.7898,190806.0
2020-02-06,8.8431,8.8889,8.5687,8.5916,183454.0
2020-02-07,8.4925,8.5382,8.2866,8.3705,227410.0
2020-02-08,8.4925,8.5382,8.2866,8.3705,227410.0
2020-02-09,8.4925,8.5382,8.2866,8.3705,227410.0
2020-02-10,8.3324,8.4848,8.3324,8.4315,166265.0
2020-02-11,8.4848,8.7364,8.4658,8.5763,207751.0
2020-02-12,8.7135,8.744,8.5382,8.6144,211106.0
2020-02-13,8.5001,8.5763,8.401,8.5001,165443.0
2020-02-14,8.5382,8.9041,8.5378,8.6373,306512.0
2020-02-15,8.5382,8.9041,8.5378,8.6373,306512.0
2020-02-16,8.5382,8.9041,8.5378,8.6373,306512.0
2020-02-17,8.5382,8.9041,8.5378,8.6373,306512.0
2020-02-18,8.5916,8.8889,8.5306,8.7059,286203.0
2020-02-19,8.7364,8.8508,8.5992,8.6221,247820.0
2020-02-20,8.6373,9.11,8.6373,8.9194,408324.0
2020-02-21,8.8431,8.9232,8.6983,8.7364,255805.0
2020-02-22,8.8431,8.9232,8.6983,8.7364,255805.0
2020-02-23,8.8431,8.9232,8.6983,8.7364,255805.0
2020-02-24,8.3629,8.6495,8.34,8.584,249458.0
2020-02-25,8.584,8.5992,7.8064,7.8978,334490.0
2020-02-26,7.9665,8.1723,7.9131,7.9893,279936.0
2020-02-27,7.692,7.9207,7.5853,7.5929,384811.0
2020-02-28,7.3108,7.631,7.3108,7.6158,456207.0
2020-02-29,7.3108,7.631,7.3108,7.6158,456207.0
2020-03-01,7.3108,7.631,7.3108,7.6158,456207.0
2020-03-02,7.6468,7.7322,7.2587,7.5692,435754.0
2020-03-03,7.5692,7.8564,7.4139,7.5459,330281.0
2020-03-04,7.6934,7.7167,7.3984,7.7089,389969.0
2020-03-05,7.5381,7.6313,7.1733,7.282,293162.0
2020-03-06,7.1112,7.3402,6.8123,6.9404,287317.0
2020-03-07,7.1112,7.3402,6.8123,6.9404,287317.0
2020-03-08,7.1112,7.3402,6.8123,6.9404,287317.0
