,CBRL US Equity,CBRL US Equity,CBRL US Equity,CBRL US Equity,CBRL US Equity
2019-03-01,130.972,131.197,129.03,129.656,471585.0
2019-03-02,130.972,131.197,129.03,129.656,471585.0
2019-03-03,130.972,131.197,129.03,129.656,471585.0
2019-03-04,129.672,129.8,127.745,128.171,516848.0
2019-03-05,128.428,128.428,126.846,126.854,317165.0
2019-03-06,127.207,127.633,124.791,125.016,340260.0
2019-03-07,124.702,126.87,124.638,126.742,563815.0
2019-03-08,126.324,127.472,125.297,126.814,583151.0
2019-03-09,126.324,127.472,125.297,126.814,583151.0
2019-03-10,126.324,127.472,125.297,126.814,583151.0
2019-03-11,126.91,127.227,125.052,126.42,416707.0
2019-03-12,126.115,126.236,123.466,124.157,412073.0
2019-03-13,124.494,125.313,124.189,124.446,278281.0
2019-03-14,124.486,125.802,124.349,125.272,254535.0
2019-03-15,125.369,126.445,124.092,124.863,667025.0
2019-03-16,125.369,126.445,124.092,124.863,667025.0
2019-03-17,125.369,126.445,124.092,124.863,667025.0
2019-03-18,124.51,125.891,124.454,125.634,283931.0
2019-03-19,125.859,125.859,124.714,125.714,226118.0
2019-03-20,125.417,125.714,122.695,123.177,289843.0
2019-03-21,122.92,127.027,122.912,126.412,469788.0
2019-03-22,126.356,128.981,126.059,128.291,555695.0
2019-03-23,126.356,128.981,126.059,128.291,555695.0
2019-03-24,126.356,128.981,126.059,128.291,555695.0
2019-03-25,128.564,129.792,128.139,129.343,378653.0
2019-03-26,129.335,130.033,127.825,128.636,285665.0
2019-03-27,128.933,130.114,128.476,129.479,300731.0
2019-03-28,129.768,130.322,129.383,129.985,166672.0
2019-03-29,130.25,130.623,129.339,129.744,262835.0
2019-03-30,130.25,130.623,129.339,129.744,262835.0
2019-03-31,130.25,130.623,129.339,129.744,262835.0
2019-04-01,130.202,130.515,125.321,125.939,447450.0
2019-04-02,125.979,125.979,124.31,124.662,334452.0
2019-04-03,125.321,125.529,123.458,123.715,304581.0
2019-04-04,124.068,124.219,123.297,123.9,322381.0
2019-04-05,123.988,126.252,123.402,125.794,514106.0
2019-04-06,123.988,126.252,123.402,125.794,514106.0
2019-04-07,123.988,126.252,123.402,125.794,514106.0
2019-04-08,125.626,125.626,121.636,122.527,382324.0
2019-04-09,122.334,122.503,120.769,121.949,394695.0
2019-04-10,122.27,122.824,121.652,122.615,277387.0
2019-04-11,124.943,125.867,122.719,123.771,440166.0
2019-04-12,123.779,125.602,123.771,124.654,390416.0
2019-04-13,123.779,125.602,123.771,124.654,390416.0
2019-04-14,123.779,125.602,123.771,124.654,390416.0
2019-04-15,124.871,125.497,123.723,125.16,341987.0
2019-04-16,125.634,126.011,124.285,124.999,451712.0
2019-04-17,125.307,125.566,123.122,123.769,280938.0
2019-04-18,124.044,126.06,123.907,125.558,341444.0
2019-04-19,124.044,126.06,123.907,125.558,341444.0
2019-04-20,124.044,126.06,123.907,125.558,341444.0
2019-04-21,124.044,126.06,123.907,125.558,341444.0
2019-04-22,125.485,127.5,124.425,127.168,433543.0
2019-04-23,127.16,129.702,127.136,129.046,484440.0
2019-04-24,129.046,132.761,129.042,132.105,477211.0
2019-04-25,132.194,136.419,131.927,136.273,644589.0
2019-04-26,136.646,137.686,135.367,136.726,387340.0
2019-04-27,136.646,137.686,135.367,136.726,387340.0
2019-04-28,136.646,137.686,135.367,136.726,387340.0
2019-04-29,136.71,139.049,136.354,138.92,365124.0
2019-04-30,138.895,138.895,135.334,136.565,477304.0
2019-05-01,136.977,137.309,134.97,135.326,305237.0
2019-05-02,135.893,138.709,135.893,137.35,390354.0
2019-05-03,137.01,137.101,134.655,136.435,349477.0
2019-05-04,137.01,137.101,134.655,136.435,349477.0
2019-05-05,137.01,137.101,134.655,136.435,349477.0
2019-05-06,135.618,137.762,135.618,137.382,222534.0
2019-05-07,137.382,137.382,135.31,135.974,293133.0
2019-05-08,135.626,136.338,134.007,135.982,204417.0
2019-05-09,135.682,136.864,133.704,136.767,233744.0
2019-05-10,137.18,137.86,136.322,137.204,232112.0
2019-05-11,137.18,137.86,136.322,137.204,232112.0
2019-05-12,137.18,137.86,136.322,137.204,232112.0
2019-05-13,135.958,137.325,135.254,135.925,257609.0
2019-05-14,135.974,137.418,134.549,134.8,289904.0
2019-05-15,134.541,135.909,133.991,134.825,310995.0
2019-05-16,134.711,136.225,131.62,132.105,447041.0
2019-05-17,131.733,135.209,131.49,133.975,396426.0
2019-05-18,131.733,135.209,131.49,133.975,396426.0
2019-05-19,131.733,135.209,131.49,133.975,396426.0
2019-05-20,133.538,134.638,131.288,134.226,421278.0
2019-05-21,134.671,137.495,134.462,136.872,313275.0
2019-05-22,136.905,137.997,136.265,136.832,235648.0
2019-05-23,136.832,136.832,132.041,132.68,456530.0
2019-05-24,132.923,135.278,131.709,132.486,303499.0
2019-05-25,132.923,135.278,131.709,132.486,303499.0
2019-05-26,132.923,135.278,131.709,132.486,303499.0
2019-05-27,132.923,135.278,131.709,132.486,303499.0
2019-05-28,132.486,132.85,130.782,130.948,473204.0
2019-05-29,130.705,131.041,127.67,128.107,588273.0
2019-05-30,128.221,129.119,126.699,127.646,436170.0
2019-05-31,127.565,129.993,126.157,127.136,409146.0
2019-06-01,127.565,129.993,126.157,127.136,409146.0
2019-06-02,127.565,129.993,126.157,127.136,409146.0
2019-06-03,127.144,130.972,126.489,130.341,975504.0
2019-06-04,133.287,136.743,130.673,135.059,1092678.0
2019-06-05,131.604,134.97,130.835,134.687,584326.0
2019-06-06,135.051,136.581,134.509,136.468,401825.0
2019-06-07,136.816,136.816,132.34,132.429,366197.0
2019-06-08,136.816,136.816,132.34,132.429,366197.0
2019-06-09,136.816,136.816,132.34,132.429,366197.0
2019-06-10,133.19,134.549,133.141,134.129,372276.0
2019-06-11,134.226,135.383,133.4,133.481,286653.0
2019-06-12,133.635,133.926,132.728,133.36,263810.0
2019-06-13,133.813,136.306,133.554,135.019,289122.0
2019-06-14,135.011,137.253,135.011,136.225,272379.0
2019-06-15,135.011,137.253,135.011,136.225,272379.0
2019-06-16,135.011,137.253,135.011,136.225,272379.0
2019-06-17,136.985,137.884,136.233,137.56,441983.0
2019-06-18,137.795,138.467,136.886,137.35,286967.0
2019-06-19,137.746,138.208,136.209,136.629,283851.0
2019-06-20,136.087,136.767,134.42,134.59,374270.0
2019-06-21,134.145,136.872,134.104,135.877,504754.0
2019-06-22,134.145,136.872,134.104,135.877,504754.0
2019-06-23,134.145,136.872,134.104,135.877,504754.0
2019-06-24,136.387,137.609,136.387,137.495,295378.0
2019-06-25,138.232,139.446,137.649,138.345,458525.0
2019-06-26,138.337,138.475,136.864,137.406,315832.0
2019-06-27,137.35,138.653,136.921,138.005,412202.0
2019-06-28,138.086,139.074,137.746,138.175,410220.0
2019-06-29,138.086,139.074,137.746,138.175,410220.0
2019-06-30,138.086,139.074,137.746,138.175,410220.0
2019-07-01,138.798,139.43,137.592,138.879,332960.0
2019-07-02,139.349,139.567,138.07,139.551,451977.0
2019-07-03,140.093,140.797,139.868,140.004,330260.0
2019-07-04,140.093,140.797,139.868,140.004,330260.0
2019-07-05,139.697,140.093,138.669,139.972,282176.0
2019-07-06,139.697,140.093,138.669,139.972,282176.0
2019-07-07,139.697,140.093,138.669,139.972,282176.0
2019-07-08,139.794,140.126,138.163,138.895,320946.0
2019-07-09,137.924,140.134,137.86,139.996,526733.0
2019-07-10,140.093,142.529,138.969,142.165,600476.0
2019-07-11,142.351,143.104,141.461,142.756,562790.0
2019-07-12,143.298,145.5,142.999,144.488,558743.0
2019-07-13,143.298,145.5,142.999,144.488,558743.0
2019-07-14,143.298,145.5,142.999,144.488,558743.0
2019-07-15,144.86,145.168,143.985,144.609,392168.0
2019-07-16,144.844,145.985,144.399,145.362,424301.0
2019-07-17,145.605,146.43,144.075,144.569,651870.0
2019-07-18,145.307,146.626,140.862,142.006,497893.0
2019-07-19,141.849,143.325,140.912,141.136,354204.0
2019-07-20,141.849,143.325,140.912,141.136,354204.0
2019-07-21,141.849,143.325,140.912,141.136,354204.0
2019-07-22,141.666,141.824,138.722,140.157,403967.0
2019-07-23,140.671,141.061,139.038,140.986,332647.0
2019-07-24,141.227,142.197,140.149,141.36,278705.0
2019-07-25,141.351,142.562,141.343,142.131,222923.0
2019-07-26,142.985,143.889,141.99,143.466,266007.0
2019-07-27,142.985,143.889,141.99,143.466,266007.0
2019-07-28,142.985,143.889,141.99,143.466,266007.0
2019-07-29,143.507,145.398,143.507,145.141,392455.0
2019-07-30,145.058,146.153,144.096,145.249,307873.0
2019-07-31,145.581,145.856,143.275,144.055,241258.0
2019-08-01,144.486,145.235,141.38,142.264,271420.0
2019-08-02,142.404,143.624,142.338,142.844,336980.0
2019-08-03,142.404,143.624,142.338,142.844,336980.0
2019-08-04,142.404,143.624,142.338,142.844,336980.0
2019-08-05,141.774,142.579,136.973,137.404,463220.0
2019-08-06,137.42,139.875,137.114,138.897,294894.0
2019-08-07,138.208,140.34,137.661,140.041,403835.0
2019-08-08,140.555,141.666,139.83,140.92,391554.0
2019-08-09,141.044,143.284,140.767,142.38,538717.0
2019-08-10,141.044,143.284,140.767,142.38,538717.0
2019-08-11,141.044,143.284,140.767,142.38,538717.0
2019-08-12,141.807,142.313,140.315,142.015,279306.0
2019-08-13,142.056,144.187,141.326,142.72,304620.0
2019-08-14,142.255,142.637,137.371,138.026,345054.0
2019-08-15,137.785,138.026,135.422,135.944,410316.0
2019-08-16,136.857,137.487,135.886,136.782,293158.0
2019-08-17,136.857,137.487,135.886,136.782,293158.0
2019-08-18,136.857,137.487,135.886,136.782,293158.0
2019-08-19,137.462,139.191,136.463,138.739,312889.0
2019-08-20,138.781,139.087,136.641,137.105,191541.0
2019-08-21,137.719,139.56,135.629,136.11,320172.0
2019-08-22,136.616,137.528,136.11,136.633,255014.0
2019-08-23,136.674,137.644,133.407,133.747,341813.0
2019-08-24,136.674,137.644,133.407,133.747,341813.0
2019-08-25,136.674,137.644,133.407,133.747,341813.0
2019-08-26,134.427,135.252,133.813,134.866,283151.0
2019-08-27,135.223,135.613,133.05,133.15,217512.0
2019-08-28,132.818,133.316,131.823,132.362,439730.0
2019-08-29,132.984,136.674,132.984,135.613,300939.0
2019-08-30,136.508,138.159,136.492,137.163,426232.0
2019-08-31,136.508,138.159,136.492,137.163,426232.0
2019-09-01,136.508,138.159,136.492,137.163,426232.0
2019-09-02,136.508,138.159,136.492,137.163,426232.0
2019-09-03,137.031,138.797,134.435,135.331,422273.0
2019-09-04,135.745,136.533,134.783,135.322,276302.0
2019-09-05,136.069,137.736,136.003,136.956,256419.0
2019-09-06,137.852,138.382,135.662,135.895,235776.0
2019-09-07,137.852,138.382,135.662,135.895,235776.0
2019-09-08,137.852,138.382,135.662,135.895,235776.0
2019-09-09,136.119,136.517,134.758,135.181,267490.0
2019-09-10,134.982,136.881,134.12,136.832,304109.0
2019-09-11,136.732,138.416,135.43,138.009,468106.0
2019-09-12,138.076,139.075,133.241,134.36,458117.0
2019-09-13,134.651,136.881,134.634,136.243,468459.0
2019-09-14,134.651,136.881,134.634,136.243,468459.0
2019-09-15,134.651,136.881,134.634,136.243,468459.0
2019-09-16,135.621,138.001,134.982,136.699,666552.0
2019-09-17,141.907,145.0,137.072,139.245,1852977.0
2019-09-18,138.664,138.955,135.613,137.213,658655.0
2019-09-19,136.832,138.648,135.745,137.877,371028.0
2019-09-20,137.636,138.664,136.681,137.761,585891.0
2019-09-21,137.636,138.664,136.681,137.761,585891.0
2019-09-22,137.636,138.664,136.681,137.761,585891.0
2019-09-23,138.059,140.049,137.586,139.004,450997.0
2019-09-24,139.825,139.825,136.143,136.616,363678.0
2019-09-25,137.039,137.669,135.783,136.699,343025.0
2019-09-26,137.08,137.155,134.866,136.475,364513.0
2019-09-27,137.379,137.62,132.354,133.357,432506.0
2019-09-28,137.379,137.62,132.354,133.357,432506.0
2019-09-29,137.379,137.62,132.354,133.357,432506.0
2019-09-30,133.855,135.339,133.722,134.883,362315.0
2019-10-01,134.767,135.609,131.864,132.727,391400.0
2019-10-02,132.155,132.155,130.123,131.798,351813.0
2019-10-03,132.138,133.0,131.242,132.155,230311.0
2019-10-04,132.08,133.942,131.989,133.813,247429.0
2019-10-05,132.08,133.942,131.989,133.813,247429.0
2019-10-06,132.08,133.942,131.989,133.813,247429.0
2019-10-07,133.813,134.568,133.15,133.979,230254.0
2019-10-08,133.83,134.029,132.553,132.801,200966.0
2019-10-09,133.316,133.316,131.902,132.254,218162.0
2019-10-10,132.271,132.917,131.193,131.549,199205.0
2019-10-11,132.818,133.896,131.508,131.698,305285.0
2019-10-12,132.818,133.896,131.508,131.698,305285.0
2019-10-13,132.818,133.896,131.508,131.698,305285.0
2019-10-14,132.262,132.262,128.464,128.622,443056.0
2019-10-15,129.161,129.634,127.718,128.008,455955.0
2019-10-16,128.522,129.526,127.436,129.426,367430.0
2019-10-17,130.003,130.212,129.2,129.485,255738.0
2019-10-18,129.184,132.968,128.928,132.688,369422.0
2019-10-19,129.184,132.968,128.928,132.688,369422.0
2019-10-20,129.184,132.968,128.928,132.688,369422.0
2019-10-21,133.741,135.631,133.382,133.858,388390.0
2019-10-22,133.49,135.238,132.571,135.029,382137.0
2019-10-23,135.029,136.409,134.628,135.615,342960.0
2019-10-24,136.183,136.183,134.327,134.653,186235.0
2019-10-25,134.845,135.401,134.327,134.937,230193.0
2019-10-26,134.845,135.401,134.327,134.937,230193.0
2019-10-27,134.845,135.401,134.327,134.937,230193.0
2019-10-28,135.397,136.049,131.517,131.81,375400.0
2019-10-29,132.612,132.993,131.496,131.835,225742.0
2019-10-30,131.918,131.918,129.259,130.856,259419.0
2019-10-31,131.224,131.818,129.502,130.037,342218.0
2019-11-01,130.848,131.525,129.977,130.396,277797.0
2019-11-02,130.848,131.525,129.977,130.396,277797.0
2019-11-03,130.848,131.525,129.977,130.396,277797.0
2019-11-04,130.605,133.449,129.895,132.704,378907.0
2019-11-05,132.663,134.879,132.479,134.778,204868.0
2019-11-06,135.138,136.375,134.059,135.941,274318.0
2019-11-07,136.585,136.936,135.418,136.794,239416.0
2019-11-08,136.66,138.516,136.66,138.282,250465.0
2019-11-09,136.66,138.516,136.66,138.282,250465.0
2019-11-10,136.66,138.516,136.66,138.282,250465.0
2019-11-11,138.132,138.575,136.074,136.342,227220.0
2019-11-12,136.576,136.576,133.691,134.26,254408.0
2019-11-13,134.059,136.275,133.808,135.757,209267.0
2019-11-14,135.523,135.64,133.8,134.77,246472.0
2019-11-15,135.33,135.447,133.44,133.909,256771.0
2019-11-16,135.33,135.447,133.44,133.909,256771.0
2019-11-17,135.33,135.447,133.44,133.909,256771.0
2019-11-18,133.925,134.77,132.989,133.892,199179.0
2019-11-19,134.185,134.82,131.86,132.562,213171.0
2019-11-20,132.437,133.783,131.818,132.913,322285.0
2019-11-21,133.791,133.8,130.049,130.12,422149.0
2019-11-22,131.049,131.549,128.715,129.577,525594.0
2019-11-23,131.049,131.549,128.715,129.577,525594.0
2019-11-24,131.049,131.549,128.715,129.577,525594.0
2019-11-25,129.702,132.746,129.585,131.709,769566.0
2019-11-26,128.782,130.873,126.169,126.382,1065423.0
2019-11-27,126.341,127.135,125.02,126.934,695017.0
2019-11-28,126.341,127.135,125.02,126.934,695017.0
2019-11-29,126.658,129.05,126.499,128.565,365040.0
2019-11-30,126.658,129.05,126.499,128.565,365040.0
2019-12-01,126.658,129.05,126.499,128.565,365040.0
2019-12-02,128.339,131.851,128.189,131.743,631850.0
2019-12-03,129.736,129.786,126.102,128.682,711076.0
2019-12-04,128.975,129.527,127.712,128.281,507561.0
2019-12-05,128.908,129.481,127.143,127.603,432832.0
2019-12-06,128.49,130.003,128.222,129.234,380041.0
2019-12-07,128.49,130.003,128.222,129.234,380041.0
2019-12-08,128.49,130.003,128.222,129.234,380041.0
2019-12-09,128.933,129.368,126.274,126.616,554814.0
2019-12-10,126.909,127.528,125.78,127.377,456781.0
2019-12-11,127.804,128.741,126.892,128.456,297485.0
2019-12-12,128.256,129.443,127.612,127.879,314522.0
2019-12-13,127.779,129.092,127.311,129.0,241979.0
2019-12-14,127.779,129.092,127.311,129.0,241979.0
2019-12-15,127.779,129.092,127.311,129.0,241979.0
2019-12-16,129.585,129.777,128.364,128.649,326908.0
2019-12-17,129.033,129.828,128.623,129.635,332983.0
2019-12-18,129.869,129.995,128.728,129.401,281209.0
2019-12-19,128.95,130.501,128.381,129.794,373521.0
2019-12-20,130.053,131.642,129.527,131.216,1295281.0
2019-12-21,130.053,131.642,129.527,131.216,1295281.0
2019-12-22,130.053,131.642,129.527,131.216,1295281.0
2019-12-23,131.35,131.412,129.552,130.204,280728.0
2019-12-24,130.873,131.5,130.547,131.408,173448.0
2019-12-25,130.873,131.5,130.547,131.408,173448.0
2019-12-26,131.174,131.333,129.384,129.66,302690.0
2019-12-27,129.995,130.718,129.083,129.476,264946.0
2019-12-28,129.995,130.718,129.083,129.476,264946.0
2019-12-29,129.995,130.718,129.083,129.476,264946.0
2019-12-30,129.803,130.84,128.925,130.664,323914.0
2019-12-31,130.263,131.082,128.222,128.565,364599.0
2020-01-01,130.263,131.082,128.222,128.565,364599.0
2020-01-02,128.866,129.351,127.327,129.267,364058.0
2020-01-03,128.649,130.313,128.039,129.978,226272.0
2020-01-04,128.649,130.313,128.039,129.978,226272.0
2020-01-05,128.649,130.313,128.039,129.978,226272.0
2020-01-06,129.844,131.199,129.426,130.63,252797.0
2020-01-07,129.97,130.211,128.833,129.51,280070.0
2020-01-08,129.552,131.483,129.309,131.049,252287.0
2020-01-09,131.157,131.325,129.426,129.56,296147.0
2020-01-10,130.003,132.462,129.713,132.395,441247.0
2020-01-11,130.003,132.462,129.713,132.395,441247.0
2020-01-12,130.003,132.462,129.713,132.395,441247.0
2020-01-13,132.545,133.725,132.027,132.545,521644.0
2020-01-14,132.253,135.769,132.253,135.715,556663.0
2020-01-15,135.623,137.12,135.171,135.999,471234.0
2020-01-16,135.873,136.269,134.263,134.355,422755.0
2020-01-17,134.878,135.557,133.732,134.381,290120.0
2020-01-18,134.878,135.557,133.732,134.381,290120.0
2020-01-19,134.878,135.557,133.732,134.381,290120.0
2020-01-20,134.878,135.557,133.732,134.381,290120.0
2020-01-21,134.785,134.861,131.515,133.125,287989.0
2020-01-22,134.094,134.575,133.31,133.795,274215.0
2020-01-23,133.774,134.701,132.121,134.499,241659.0
2020-01-24,134.811,135.198,132.012,132.998,264941.0
2020-01-25,134.811,135.198,132.012,132.998,264941.0
2020-01-26,134.811,135.198,132.012,132.998,264941.0
2020-01-27,131.683,133.108,130.967,131.624,229047.0
2020-01-28,132.577,133.226,132.02,132.231,198024.0
2020-01-29,132.518,132.838,131.498,132.265,193514.0
2020-01-30,131.683,132.733,130.539,131.329,197582.0
2020-01-31,131.279,131.523,128.549,128.918,440997.0
2020-02-01,131.279,131.523,128.549,128.918,440997.0
2020-02-02,131.279,131.523,128.549,128.918,440997.0
2020-02-03,129.407,130.174,127.881,128.252,256086.0
2020-02-04,129.415,130.174,128.589,128.691,214554.0
2020-02-05,129.593,132.054,128.994,131.852,236543.0
2020-02-06,132.273,133.976,131.607,133.605,200984.0
2020-02-07,133.538,134.701,133.226,133.529,164821.0
2020-02-08,133.538,134.701,133.226,133.529,164821.0
2020-02-09,133.538,134.701,133.226,133.529,164821.0
2020-02-10,133.529,135.498,133.036,135.375,257661.0
2020-02-11,135.713,135.713,134.001,135.266,278093.0
2020-02-12,135.603,136.623,134.752,136.404,221799.0
2020-02-13,136.092,139.683,135.392,139.169,407265.0
2020-02-14,139.413,139.734,137.365,139.0,241670.0
2020-02-15,139.413,139.734,137.365,139.0,241670.0
2020-02-16,139.413,139.734,137.365,139.0,241670.0
2020-02-17,139.413,139.734,137.365,139.0,241670.0
2020-02-18,138.806,139.713,137.31,137.466,309460.0
2020-02-19,138.048,138.857,136.707,137.651,224551.0
2020-02-20,137.963,140.644,137.871,140.383,318113.0
2020-02-21,140.282,142.594,139.599,142.296,412136.0
2020-02-22,140.282,142.594,139.599,142.296,412136.0
2020-02-23,140.282,142.594,139.599,142.296,412136.0
2020-02-24,140.248,142.305,139.0,139.961,602481.0
2020-02-25,143.308,143.392,134.65,134.819,861868.0
2020-02-26,135.468,138.039,131.16,131.835,854965.0
2020-02-27,130.183,130.663,125.276,125.394,762036.0
2020-02-28,122.537,124.324,119.553,120.825,830722.0
2020-02-29,122.537,124.324,119.553,120.825,830722.0
2020-03-01,122.537,124.324,119.553,120.825,830722.0
2020-03-02,122.031,126.052,120.202,125.858,494021.0
2020-03-03,125.428,126.406,121.146,121.365,554173.0
2020-03-04,122.562,124.686,121.913,124.071,401779.0
2020-03-05,121.559,121.584,114.478,115.683,519743.0
2020-03-06,111.848,115.582,109.829,111.746,532263.0
2020-03-07,111.848,115.582,109.829,111.746,532263.0
2020-03-08,111.848,115.582,109.829,111.746,532263.0
2020-03-09,106.469,108.664,100.745,102.179,638087.0
2020-03-10,106.579,106.831,100.299,104.75,435453.0
2020-03-11,101.9,102.845,91.667,92.021,764394.0
2020-03-12,82.503,85.749,74.183,78.845,1417466.0
2020-03-13,83.549,84.678,78.212,83.692,778627.0
2020-03-14,83.549,84.678,78.212,83.692,778627.0
2020-03-15,83.549,84.678,78.212,83.692,778627.0
2020-03-16,75.228,76.267,62.398,65.365,1144451.0
2020-03-17,66.604,67.372,57.323,58.486,1282080.0
2020-03-18,52.451,53.778,46.794,47.814,1356820.0
2020-03-19,46.17,59.557,45.193,58.959,1363574.0
2020-03-20,60.704,63.587,54.988,55.502,1150312.0
2020-03-21,60.704,63.587,54.988,55.502,1150312.0
2020-03-22,60.704,63.587,54.988,55.502,1150312.0
2020-03-23,55.308,67.7,51.578,67.65,1278175.0
2020-03-24,73.905,88.708,73.568,80.016,1214185.0
2020-03-25,79.291,94.406,77.159,77.833,1374760.0
2020-03-26,78.929,80.497,69.8,71.915,1089457.0
2020-03-27,68.712,68.855,59.279,61.681,1675471.0
2020-03-28,68.712,68.855,59.279,61.681,1675471.0
2020-03-29,68.712,68.855,59.279,61.681,1675471.0
2020-03-30,61.681,65.677,58.596,64.573,856559.0
2020-03-31,65.163,72.8,64.623,70.153,1174592.0
2020-04-01,66.478,67.439,60.088,61.842,785165.0
2020-04-02,60.602,61.842,56.75,59.296,979796.0
2020-04-03,59.363,61.091,57.037,58.959,629495.0
2020-04-04,59.363,61.091,57.037,58.959,629495.0
2020-04-05,59.363,61.091,57.037,58.959,629495.0
2020-04-06,62.381,67.447,61.319,65.601,1168797.0
2020-04-07,71.561,74.183,63.553,65.053,1198392.0
2020-04-08,67.422,69.909,64.219,69.041,751821.0
2020-04-09,72.632,78.061,70.891,74.781,775997.0
2020-04-10,72.632,78.061,70.891,74.781,775997.0
2020-04-11,72.632,78.061,70.891,74.781,775997.0
2020-04-12,72.632,78.061,70.891,74.781,775997.0
2020-04-13,77.361,77.872,71.654,73.475,515920.0
2020-04-14,75.658,76.712,73.416,73.955,601651.0
2020-04-15,70.786,75.372,70.01,74.596,808316.0
2020-04-16,73.492,76.703,72.371,73.677,958480.0
2020-04-17,78.288,79.106,73.812,77.285,912827.0
2020-04-18,78.288,79.106,73.812,77.285,912827.0
2020-04-19,78.288,79.106,73.812,77.285,912827.0
2020-04-20,74.84,78.077,72.168,72.893,592508.0
2020-04-21,71.485,72.075,68.054,69.192,855063.0
2020-04-22,71.199,77.133,70.845,76.206,1426822.0
2020-04-23,78.642,78.853,72.084,74.486,721855.0
2020-04-24,74.663,75.852,73.306,74.68,570862.0
2020-04-25,74.663,75.852,73.306,74.68,570862.0
2020-04-26,74.663,75.852,73.306,74.68,570862.0
2020-04-27,75.978,81.142,75.456,79.764,688400.0
2020-04-28,83.785,86.052,80.025,81.879,905883.0
2020-04-29,85.976,88.868,84.144,85.875,1181341.0
2020-04-30,84.341,85.015,81.424,82.107,1295976.0
2020-05-01,79.089,80.59,76.94,79.013,509156.0
2020-05-02,79.089,80.59,76.94,79.013,509156.0
2020-05-03,79.089,80.59,76.94,79.013,509156.0
2020-05-04,76.518,77.976,74.04,76.796,582985.0
2020-05-05,78.398,79.35,73.095,73.247,745933.0
2020-05-06,73.736,75.072,70.389,70.516,586021.0
2020-05-07,71.73,74.899,71.683,73.391,521135.0
2020-05-08,74.942,80.659,74.667,80.0,641462.0
