,CBRL US Equity,CBRL US Equity,CBRL US Equity,CBRL US Equity,CBRL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,128.354,129.175,126.649,127.39,487719.0
2019-01-02,125.111,128.291,124.727,128.043,740018.0
2019-01-03,127.438,129.558,126.904,128.625,439971.0
2019-01-04,128.992,132.614,128.132,129.765,569509.0
2019-01-05,128.992,132.614,128.132,129.765,569509.0
2019-01-06,128.992,132.614,128.132,129.765,569509.0
2019-01-07,129.334,132.92,128.641,131.335,403041.0
2019-01-08,131.351,132.574,130.498,132.243,400638.0
2019-01-09,131.43,133.749,130.41,131.263,446295.0
2019-01-10,131.088,133.586,130.422,133.383,328453.0
2019-01-11,132.777,135.211,132.339,134.857,488683.0
2019-01-12,132.777,135.211,132.339,134.857,488683.0
2019-01-13,132.777,135.211,132.339,134.857,488683.0
2019-01-14,135.016,135.144,134.068,134.921,357545.0
2019-01-15,134.825,135.941,134.187,135.024,304261.0
2019-01-16,135.176,135.558,134.179,134.682,287471.0
2019-01-17,134.665,135.717,134.497,135.605,242186.0
2019-01-18,135.356,136.006,134.758,135.243,237037.0
2019-01-19,135.356,136.006,134.758,135.243,237037.0
2019-01-20,135.356,136.006,134.758,135.243,237037.0
2019-01-21,135.356,136.006,134.758,135.243,237037.0
2019-01-22,135.011,135.982,133.461,134.248,263430.0
2019-01-23,134.802,135.484,133.582,134.36,212489.0
2019-01-24,134.706,136.384,134.176,135.492,354617.0
2019-01-25,136.183,136.48,133.901,134.946,331639.0
2019-01-26,136.183,136.48,133.901,134.946,331639.0
2019-01-27,136.183,136.48,133.901,134.946,331639.0
2019-01-28,134.69,136.681,134.398,136.367,421992.0
2019-01-29,136.319,136.319,134.015,135.645,342810.0
2019-01-30,135.508,136.119,132.729,133.236,361285.0
2019-01-31,133.188,134.561,131.703,134.296,375192.0
2019-02-01,134.384,134.569,133.132,134.112,301266.0
2019-02-02,134.384,134.569,133.132,134.112,301266.0
2019-02-03,134.384,134.569,133.132,134.112,301266.0
2019-02-04,134.754,135.974,134.336,135.926,318991.0
2019-02-05,136.127,137.01,135.894,136.616,312848.0
2019-02-06,137.01,137.263,136.255,136.48,191477.0
2019-02-07,136.343,136.921,133.999,134.866,299611.0
2019-02-08,134.425,136.416,134.425,135.533,312831.0
2019-02-09,134.425,136.416,134.425,135.533,312831.0
2019-02-10,134.425,136.416,134.425,135.533,312831.0
2019-02-11,136.175,136.713,135.131,135.822,267212.0
2019-02-12,136.167,136.576,135.412,135.516,256367.0
2019-02-13,135.46,135.773,134.168,135.733,173280.0
2019-02-14,135.492,137.106,134.453,136.753,361095.0
2019-02-15,137.419,138.367,136.416,136.986,550142.0
2019-02-16,137.419,138.367,136.416,136.986,550142.0
2019-02-17,137.419,138.367,136.416,136.986,550142.0
2019-02-18,137.419,138.367,136.416,136.986,550142.0
2019-02-19,137.596,138.776,136.994,138.318,261959.0
2019-02-20,138.792,138.796,136.697,136.954,258935.0
2019-02-21,136.801,138.077,135.677,137.853,225199.0
2019-02-22,137.62,137.62,135.739,136.937,420641.0
2019-02-23,137.62,137.62,135.739,136.937,420641.0
2019-02-24,137.62,137.62,135.739,136.937,420641.0
2019-02-25,137.146,137.973,135.87,136.086,624289.0
2019-02-26,135.677,135.685,129.254,131.695,1322341.0
2019-02-27,131.213,132.666,129.656,130.218,600713.0
2019-02-28,130.097,130.523,129.455,130.049,441320.0
