,SO US Equity,SO US Equity,SO US Equity,SO US Equity,SO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,53.2441,53.5889,53.1348,53.5721,3767483.0
2020-01-02,53.5301,53.5469,52.4956,52.6638,4344982.0
2020-01-03,52.5881,52.9035,52.4998,52.6134,3531817.0
2020-01-04,52.5881,52.9035,52.4998,52.6134,3531817.0
2020-01-05,52.5881,52.9035,52.4998,52.6134,3531817.0
2020-01-06,52.6134,52.9834,52.5671,52.8236,3507936.0
2020-01-07,52.6134,52.7563,52.3442,52.6638,3199086.0
2020-01-08,52.7311,52.8488,52.462,52.647,3413575.0
2020-01-09,52.7311,53.2147,52.605,53.2021,3114698.0
2020-01-10,53.3366,53.6616,53.2434,53.5385,4427851.0
2020-01-11,53.3366,53.6616,53.2434,53.5385,4427851.0
2020-01-12,53.3366,53.6616,53.2434,53.5385,4427851.0
2020-01-13,53.6142,54.5098,53.5805,54.2786,5262286.0
2020-01-14,54.287,54.5981,54.1692,54.5981,5153316.0
2020-01-15,54.6654,55.2541,54.6065,55.1532,3772436.0
2020-01-16,55.2457,55.662,55.1784,55.6326,3146095.0
2020-01-17,55.7924,56.6292,55.6914,56.5661,6072694.0
2020-01-18,55.7924,56.6292,55.6914,56.5661,6072694.0
2020-01-19,55.7924,56.6292,55.6914,56.5661,6072694.0
2020-01-20,55.7924,56.6292,55.6914,56.5661,6072694.0
2020-01-21,56.6334,57.4365,56.5661,57.2894,4546617.0
2020-01-22,57.3987,57.6762,57.2978,57.4407,3369810.0
2020-01-23,57.1632,58.021,57.1043,57.9958,3481587.0
2020-01-24,58.0294,58.4668,57.9117,58.3995,5049065.0
2020-01-25,58.0294,58.4668,57.9117,58.3995,5049065.0
2020-01-26,58.0294,58.4668,57.9117,58.3995,5049065.0
2020-01-27,58.3743,58.9293,58.3154,58.6518,4412299.0
2020-01-28,58.6602,59.2424,58.4626,58.9125,4714571.0
2020-01-29,58.9125,59.148,58.5761,58.9545,3252148.0
2020-01-30,58.9209,59.6274,58.6434,59.5853,3755428.0
2020-01-31,59.5937,59.7956,58.963,59.2069,5468989.0
2020-02-01,59.5937,59.7956,58.963,59.2069,5468989.0
2020-02-02,59.5937,59.7956,58.963,59.2069,5468989.0
2020-02-03,59.4339,59.5222,59.0302,59.4592,3144607.0
2020-02-04,59.2489,59.5097,58.3743,58.4836,5504430.0
2020-02-05,58.3658,58.492,57.693,58.0547,6441968.0
2020-02-06,57.8192,58.3911,57.6594,57.8949,5625664.0
2020-02-07,58.0547,58.1472,57.4491,57.508,3732436.0
2020-02-08,58.0547,58.1472,57.4491,57.508,3732436.0
2020-02-09,58.0547,58.1472,57.4491,57.508,3732436.0
2020-02-10,57.6426,57.693,57.264,57.5585,3659805.0
2020-02-11,57.6678,57.8444,57.4155,57.6846,3341918.0
2020-02-12,57.4744,57.9453,57.3314,57.7099,3545001.0
2020-02-13,57.693,58.5929,57.6426,58.4836,4513560.0
2020-02-14,58.6533,58.7467,58.3478,58.5685,5032133.0
2020-02-15,58.6533,58.7467,58.3478,58.5685,5032133.0
2020-02-16,58.6533,58.7467,58.3478,58.5685,5032133.0
2020-02-17,58.6533,58.7467,58.3478,58.5685,5032133.0
2020-02-18,58.6957,59.0182,58.6788,58.8909,5167521.0
2020-02-19,58.8739,58.9164,58.2121,58.2205,4894346.0
2020-02-20,57.3211,59.3322,57.3041,59.2388,5046866.0
2020-02-21,59.0861,59.7152,58.5175,58.543,5386374.0
2020-02-22,59.0861,59.7152,58.5175,58.543,5386374.0
2020-02-23,59.0861,59.7152,58.5175,58.543,5386374.0
2020-02-24,58.3309,58.9503,57.4483,57.5332,5644286.0
2020-02-25,57.6181,57.8132,56.5064,56.7355,5246595.0
2020-02-26,56.6677,57.3191,56.1331,56.167,5026437.0
2020-02-27,55.8191,56.2434,53.3497,53.3582,8529125.0
2020-02-28,52.3569,52.4927,50.1252,51.2198,15575383.0
2020-02-29,52.3569,52.4927,50.1252,51.2198,15575383.0
2020-03-01,52.3569,52.4927,50.1252,51.2198,15575383.0
2020-03-02,51.4744,54.4359,51.1435,54.2492,7744633.0
2020-03-03,54.9281,56.0058,53.9777,54.2238,9656733.0
