,REGI US Equity,REGI US Equity,REGI US Equity,REGI US Equity,REGI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,26.59,27.15,26.5,26.95,818061.0
2020-01-02,27.21,27.95,26.62,27.89,781052.0
2020-01-03,28.16,28.945,27.73,28.815,1405130.0
2020-01-04,28.16,28.945,27.73,28.815,1405130.0
2020-01-05,28.16,28.945,27.73,28.815,1405130.0
2020-01-06,28.53,28.81,28.0,28.39,716793.0
2020-01-07,28.17,28.28,26.08,26.44,1378862.0
2020-01-08,26.37,26.4,24.86,25.19,1195851.0
2020-01-09,25.18,25.5,24.68,25.31,684355.0
2020-01-10,25.36,25.55,25.12,25.28,537292.0
2020-01-11,25.36,25.55,25.12,25.28,537292.0
2020-01-12,25.36,25.55,25.12,25.28,537292.0
2020-01-13,25.31,25.39,24.31,25.31,939779.0
2020-01-14,25.51,26.88,25.26,26.36,801974.0
2020-01-15,26.34,26.8566,25.92,26.2,510318.0
2020-01-16,26.3,26.71,26.22,26.43,391912.0
2020-01-17,26.6,26.76,25.31,25.395,620334.0
2020-01-18,26.6,26.76,25.31,25.395,620334.0
2020-01-19,26.6,26.76,25.31,25.395,620334.0
2020-01-20,26.6,26.76,25.31,25.395,620334.0
2020-01-21,25.29,25.73,24.63,25.52,616760.0
2020-01-22,25.54,25.72,25.17,25.59,373376.0
2020-01-23,25.39,26.61,25.15,26.495,538930.0
2020-01-24,26.53,26.56,25.6827,25.99,565249.0
2020-01-25,26.53,26.56,25.6827,25.99,565249.0
2020-01-26,26.53,26.56,25.6827,25.99,565249.0
2020-01-27,25.44,26.08,25.09,25.67,693237.0
2020-01-28,25.86,26.36,25.735,26.14,463783.0
2020-01-29,26.33,26.64,25.85,25.98,385194.0
2020-01-30,25.7,26.54,25.48,26.0,561257.0
2020-01-31,25.68,26.55,25.602,26.28,589217.0
2020-02-01,25.68,26.55,25.602,26.28,589217.0
2020-02-02,25.68,26.55,25.602,26.28,589217.0
2020-02-03,26.35,27.59,26.25,26.52,920598.0
2020-02-04,26.98,27.62,26.34,27.34,703577.0
2020-02-05,27.77,28.03,27.3,27.89,675819.0
2020-02-06,27.95,28.565,27.65,28.14,559005.0
2020-02-07,27.94,28.28,26.4221,26.85,429476.0
2020-02-08,27.94,28.28,26.4221,26.85,429476.0
2020-02-09,27.94,28.28,26.4221,26.85,429476.0
2020-02-10,26.79,27.49,26.43,27.48,332699.0
2020-02-11,27.85,28.13,27.025,27.56,466255.0
2020-02-12,27.97,28.005,27.5,27.76,472212.0
2020-02-13,27.79,29.08,27.64,28.39,844548.0
2020-02-14,28.4,29.1499,28.14,29.09,606471.0
2020-02-15,28.4,29.1499,28.14,29.09,606471.0
2020-02-16,28.4,29.1499,28.14,29.09,606471.0
2020-02-17,28.4,29.1499,28.14,29.09,606471.0
2020-02-18,28.95,29.81,28.8,29.4,575547.0
2020-02-19,29.65,31.0,29.5,30.62,1040340.0
2020-02-20,30.57,31.505,30.08,30.86,624822.0
2020-02-21,30.74,30.83,30.03,30.25,508972.0
2020-02-22,30.74,30.83,30.03,30.25,508972.0
2020-02-23,30.74,30.83,30.03,30.25,508972.0
2020-02-24,29.16,29.4677,28.08,29.07,581899.0
2020-02-25,29.4,29.4,26.8283,27.6,708009.0
2020-02-26,27.59,28.93,27.3,27.84,692757.0
2020-02-27,27.13,27.56,25.85,25.89,1017916.0
2020-02-28,24.9,26.6602,24.51,26.45,838888.0
2020-02-29,24.9,26.6602,24.51,26.45,838888.0
2020-03-01,24.9,26.6602,24.51,26.45,838888.0
2020-03-02,26.65,27.13,25.25,27.0,560272.0
2020-03-03,27.13,27.82,25.73,26.06,510931.0
2020-03-04,26.58,27.61,26.19,27.48,622041.0
2020-03-05,26.66,27.93,26.33,27.15,946542.0
2020-03-06,27.0,28.13,25.39,26.99,1554837.0
2020-03-07,27.0,28.13,25.39,26.99,1554837.0
2020-03-08,27.0,28.13,25.39,26.99,1554837.0
2020-03-09,23.44,24.03,20.3101,23.36,1892954.0
2020-03-10,25.05,25.81,23.08,23.85,1342771.0
2020-03-11,22.95,23.63,19.84,20.88,1360939.0
2020-03-12,19.12,20.99,18.63,19.41,1490315.0
2020-03-13,21.15,28.5,19.26,28.5,1170400.0
2020-03-14,21.15,28.5,19.26,28.5,1170400.0
2020-03-15,21.15,28.5,19.26,28.5,1170400.0
2020-03-16,22.8,24.14,18.8001,20.92,1683743.0
2020-03-17,21.2,21.2,18.79,18.97,1225040.0
2020-03-18,17.96,20.9573,16.35,17.16,1056761.0
2020-03-19,17.14,19.64,16.05,19.06,1047497.0
2020-03-20,19.94,20.55,18.29,19.76,1130789.0
2020-03-21,19.94,20.55,18.29,19.76,1130789.0
2020-03-22,19.94,20.55,18.29,19.76,1130789.0
2020-03-23,19.56,20.21,18.19,18.83,730919.0
2020-03-24,19.31,22.11,19.31,20.9,947548.0
2020-03-25,20.9,22.1644,19.28,20.06,1166319.0
2020-03-26,20.36,20.47,18.73,19.6,1103911.0
2020-03-27,18.99,19.22,18.16,18.28,770803.0
2020-03-28,18.99,19.22,18.16,18.28,770803.0
2020-03-29,18.99,19.22,18.16,18.28,770803.0
2020-03-30,17.85,19.4,16.94,18.7,805543.0
2020-03-31,19.43,20.59,18.37,20.53,853650.0
2020-04-01,19.65,20.37,18.83,18.99,720932.0
2020-04-02,18.9,20.27,18.725,19.42,800022.0
2020-04-03,19.49,20.84,18.99,19.91,567271.0
2020-04-04,19.49,20.84,18.99,19.91,567271.0
2020-04-05,19.49,20.84,18.99,19.91,567271.0
2020-04-06,20.56,21.79,20.1,21.61,675996.0
2020-04-07,22.22,23.19,21.96,22.7,724347.0
2020-04-08,23.1,24.38,22.86,23.5,975798.0
2020-04-09,24.35,24.76,22.55,23.44,633754.0
