,HA US Equity,HA US Equity,HA US Equity,HA US Equity,HA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,25.5481,26.2529,25.4209,25.8516,472598.0
2019-01-02,25.5383,26.3019,25.0587,26.2529,432298.0
2019-01-03,26.0278,26.0865,24.8727,25.0489,513355.0
2019-01-04,25.3524,26.4487,25.3524,26.1355,537905.0
2019-01-05,25.3524,26.4487,25.3524,26.1355,537905.0
2019-01-06,25.3524,26.4487,25.3524,26.1355,537905.0
2019-01-07,26.1257,27.2318,25.8222,26.85,446179.0
2019-01-08,27.1241,28.2694,27.0066,28.103,803830.0
2019-01-09,28.1519,28.8077,28.0344,28.7784,601547.0
2019-01-10,28.2498,28.9468,27.7799,28.8762,597077.0
2019-01-11,29.121,30.1585,29.0231,29.9921,658575.0
2019-01-12,29.121,30.1585,29.0231,29.9921,658575.0
2019-01-13,29.121,30.1585,29.0231,29.9921,658575.0
2019-01-14,30.0019,30.2466,29.3755,29.9628,580469.0
2019-01-15,30.3347,30.4799,29.7866,30.1585,393002.0
2019-01-16,30.648,31.2157,30.3054,30.6186,386979.0
2019-01-17,30.4228,33.4279,30.3104,32.7819,3075435.0
2019-01-18,33.1245,33.4212,32.312,32.8112,1246819.0
2019-01-19,33.1245,33.4212,32.312,32.8112,1246819.0
2019-01-20,33.1245,33.4212,32.312,32.8112,1246819.0
2019-01-21,33.1245,33.4212,32.312,32.8112,1246819.0
2019-01-22,32.8602,33.2028,31.8226,32.0282,653112.0
2019-01-23,32.0673,32.3218,30.3739,30.4914,820509.0
2019-01-24,31.0493,31.5583,30.5207,30.834,1002027.0
2019-01-25,30.3445,30.5795,29.8845,30.2956,1133376.0
2019-01-26,30.3445,30.5795,29.8845,30.2956,1133376.0
2019-01-27,30.3445,30.5795,29.8845,30.2956,1133376.0
2019-01-28,30.2858,32.0061,30.2858,31.9205,1215131.0
2019-01-29,31.9205,32.9679,31.5192,32.3022,1162831.0
2019-01-30,29.8649,30.9416,27.8975,30.139,3330003.0
2019-01-31,29.9921,31.4702,29.9628,31.343,1235615.0
2019-02-01,31.3625,31.5094,30.2662,30.3445,787238.0
2019-02-02,31.3625,31.5094,30.2662,30.3445,787238.0
2019-02-03,31.3625,31.5094,30.2662,30.3445,787238.0
2019-02-04,30.6773,30.9612,29.2384,29.5321,1144781.0
2019-02-05,29.6202,30.0215,29.5614,29.6593,693114.0
2019-02-06,29.63,30.1488,29.4831,30.0802,496631.0
2019-02-07,30.0115,30.3063,29.6872,30.2276,541059.0
2019-02-08,30.208,30.4242,29.7402,30.1195,336074.0
2019-02-09,30.208,30.4242,29.7402,30.1195,336074.0
2019-02-10,30.208,30.4242,29.7402,30.1195,336074.0
2019-02-11,30.3554,30.5126,30.0311,30.1883,535231.0
2019-02-12,30.4438,30.6109,29.9721,30.0213,490139.0
2019-02-13,30.0606,30.4291,29.9918,30.1982,405595.0
2019-02-14,30.0802,30.7681,29.638,30.7386,851063.0
2019-02-15,30.8762,31.6132,30.778,31.0629,709856.0
2019-02-16,30.8762,31.6132,30.778,31.0629,709856.0
2019-02-17,30.8762,31.6132,30.778,31.0629,709856.0
2019-02-18,30.8762,31.6132,30.778,31.0629,709856.0
2019-02-19,31.2202,32.3208,31.0924,31.8786,659581.0
2019-02-20,31.0433,31.2005,29.7854,30.2473,1397367.0
2019-02-21,30.208,31.5445,30.1687,31.1514,779061.0
2019-02-22,31.0433,31.171,30.4635,30.9057,596681.0
2019-02-23,31.0433,31.171,30.4635,30.9057,596681.0
2019-02-24,31.0433,31.171,30.4635,30.9057,596681.0
2019-02-25,31.004,31.2988,30.8271,30.8467,588912.0
2019-02-26,30.8173,30.8762,29.923,29.9427,831826.0
2019-02-27,29.9328,30.0409,28.8617,28.9698,1014899.0
2019-02-28,28.9895,29.2941,28.4097,29.2351,814630.0
2019-03-01,29.4611,29.5299,28.7634,29.1074,721348.0
2019-03-02,29.4611,29.5299,28.7634,29.1074,721348.0
2019-03-03,29.4611,29.5299,28.7634,29.1074,721348.0
2019-03-04,28.2524,28.2524,25.9136,25.9234,2969101.0
2019-03-05,25.9628,26.2674,24.9702,25.7367,1932617.0
2019-03-06,25.7466,26.5032,25.648,25.7466,1085079.0
2019-03-07,25.8154,26.1888,25.3486,25.4321,644246.0
2019-03-08,25.2257,25.4911,24.754,25.1766,710464.0
2019-03-09,25.2257,25.4911,24.754,25.1766,710464.0
2019-03-10,25.2257,25.4911,24.754,25.1766,710464.0
2019-03-11,25.2061,25.8447,24.8916,25.1963,896287.0
2019-03-12,25.1963,25.4124,24.5968,25.1275,569791.0
2019-03-13,25.3437,26.5966,25.1569,26.5131,1261559.0
2019-03-14,26.5622,27.4958,25.8841,26.1102,1238940.0
2019-03-15,26.1789,26.405,25.4812,25.5205,1182267.0
2019-03-16,26.1789,26.405,25.4812,25.5205,1182267.0
2019-03-17,26.1789,26.405,25.4812,25.5205,1182267.0
2019-03-18,25.55,25.6581,25.0685,25.5205,554813.0
2019-03-19,25.5893,26.0315,25.3535,25.4419,536202.0
2019-03-20,25.4223,25.4223,24.6066,24.8916,725858.0
2019-03-21,24.8425,25.3731,24.7629,25.098,619863.0
2019-03-22,24.9408,25.1795,24.0367,24.0662,901012.0
2019-03-23,24.9408,25.1795,24.0367,24.0662,901012.0
2019-03-24,24.9408,25.1795,24.0367,24.0662,901012.0
2019-03-25,24.076,24.3413,23.8205,24.1841,664734.0
2019-03-26,24.2725,25.2749,24.2578,24.5379,781636.0
2019-03-27,24.7049,25.6581,24.7049,25.3928,638830.0
2019-03-28,25.4616,25.7466,25.2061,25.7171,490484.0
2019-03-29,25.6974,26.3362,25.5992,25.7957,898119.0
2019-03-30,25.6974,26.3362,25.5992,25.7957,898119.0
2019-03-31,25.6974,26.3362,25.5992,25.7957,898119.0
2019-04-01,25.9136,26.8177,25.8448,26.4443,905612.0
2019-04-02,26.7784,26.916,26.1003,26.6605,541947.0
2019-04-03,26.9061,27.4466,26.6506,27.0732,662116.0
2019-04-04,27.0437,27.2992,26.1102,27.2009,567251.0
2019-04-05,27.2599,27.8004,27.0339,27.7316,509850.0
2019-04-06,27.2599,27.8004,27.0339,27.7316,509850.0
2019-04-07,27.2599,27.8004,27.0339,27.7316,509850.0
2019-04-08,27.5744,27.6726,27.0486,27.0732,909868.0
2019-04-09,27.1027,28.9403,26.9356,28.8126,1189188.0
2019-04-10,29.0189,29.0975,26.857,28.1935,1277036.0
2019-04-11,28.5964,29.3629,28.4981,29.1172,923643.0
2019-04-12,29.2253,29.5201,28.8027,29.0779,604212.0
2019-04-13,29.2253,29.5201,28.8027,29.0779,604212.0
2019-04-14,29.2253,29.5201,28.8027,29.0779,604212.0
2019-04-15,29.2646,29.4808,28.6701,29.0681,553964.0
2019-04-16,29.0091,29.5398,29.0091,29.3924,743511.0
2019-04-17,29.638,30.1589,29.5216,30.0901,626615.0
2019-04-18,29.982,30.0802,29.2548,29.9328,693045.0
