,EBAY US Equity,EBAY US Equity,EBAY US Equity,EBAY US Equity,EBAY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,26.0022,26.1122,25.5533,25.7182,7629321.0
2019-01-02,25.3334,26.529,25.2509,26.4328,11190377.0
2019-01-03,26.2313,26.4054,25.906,25.9472,10803896.0
2019-01-04,26.2038,26.6436,25.9564,26.5428,14593722.0
2019-01-05,26.2038,26.6436,25.9564,26.5428,14593722.0
2019-01-06,26.2038,26.6436,25.9564,26.5428,14593722.0
2019-01-07,26.5336,27.1658,26.5061,27.0009,13419444.0
2019-01-08,27.2483,27.5598,26.9322,27.4865,8179686.0
2019-01-09,27.4773,27.8484,27.2483,27.7522,10607476.0
2019-01-10,27.6056,28.0729,27.4956,28.0087,8741425.0
2019-01-11,27.6239,27.9767,26.9551,27.8621,13390884.0
2019-01-12,27.6239,27.9767,26.9551,27.8621,13390884.0
2019-01-13,27.6239,27.9767,26.9551,27.8621,13390884.0
2019-01-14,27.6514,27.743,27.4773,27.6789,7523141.0
2019-01-15,27.7614,28.1736,27.7339,28.1004,7154657.0
2019-01-16,28.0912,28.1278,27.7339,27.7522,12725717.0
2019-01-17,27.6239,27.9904,27.5415,27.8346,12818475.0
2019-01-18,28.0454,28.4209,27.8896,28.4027,13839748.0
2019-01-19,28.0454,28.4209,27.8896,28.4027,13839748.0
2019-01-20,28.0454,28.4209,27.8896,28.4027,13839748.0
2019-01-21,28.0454,28.4209,27.8896,28.4027,13839748.0
2019-01-22,31.4629,31.8385,29.9878,30.1435,56378653.0
2019-01-23,30.6016,30.7207,29.7404,29.8778,19280576.0
2019-01-24,29.9603,30.1069,29.6213,29.9145,11974821.0
2019-01-25,30.1893,30.9315,30.0519,30.8948,17029714.0
2019-01-26,30.1893,30.9315,30.0519,30.8948,17029714.0
2019-01-27,30.1893,30.9315,30.0519,30.8948,17029714.0
2019-01-28,30.6841,31.3621,30.6016,31.1697,22325483.0
2019-01-29,31.4904,31.5453,30.7299,30.8673,19304039.0
2019-01-30,31.1239,31.4445,30.1252,31.2246,27338550.0
2019-01-31,30.9315,31.1422,30.0244,30.8307,24996875.0
2019-02-01,30.9223,31.5911,30.8124,31.4354,19113790.0
2019-02-02,30.9223,31.5911,30.8124,31.4354,19113790.0
2019-02-03,30.9223,31.5911,30.8124,31.4354,19113790.0
2019-02-04,31.6553,32.2462,31.3346,32.1134,19798506.0
2019-02-05,32.3149,32.5532,32.1271,32.3699,13738223.0
2019-02-06,32.1775,32.7181,32.0676,32.5074,11339952.0
2019-02-07,32.2691,32.4249,31.9026,32.2966,9211019.0
2019-02-08,32.0676,32.3608,31.9831,32.3058,10228012.0
2019-02-09,32.0676,32.3608,31.9831,32.3058,10228012.0
2019-02-10,32.0676,32.3608,31.9831,32.3058,10228012.0
2019-02-11,32.5074,32.8922,32.3608,32.6081,9638437.0
2019-02-12,32.6081,33.2266,32.26,33.1579,12684831.0
2019-02-13,33.1762,33.4785,33.1304,33.222,7377994.0
2019-02-14,33.0204,33.4969,32.9655,33.277,6874462.0
2019-02-15,33.5427,33.7442,33.3686,33.5152,10273127.0
2019-02-16,33.5427,33.7442,33.3686,33.5152,10273127.0
2019-02-17,33.5427,33.7442,33.3686,33.5152,10273127.0
2019-02-18,33.5427,33.7442,33.3686,33.5152,10273127.0
