,OMC US Equity,OMC US Equity,OMC US Equity,OMC US Equity,OMC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,68.7831,69.0901,68.5017,69.0901,1148725.0
2020-01-02,69.2009,69.2137,67.3334,68.1094,1910602.0
2020-01-03,67.3675,68.2288,67.2652,68.1606,1018271.0
2020-01-04,67.3675,68.2288,67.2652,68.1606,1018271.0
2020-01-05,67.3675,68.2288,67.2652,68.1606,1018271.0
2020-01-06,67.7001,67.9389,67.3334,67.8195,1437551.0
2020-01-07,68.0497,68.2544,67.3419,67.4613,1598272.0
2020-01-08,67.666,68.1776,67.5807,67.6404,1737407.0
2020-01-09,67.7939,68.2373,67.7025,68.0071,1838683.0
2020-01-10,68.0071,68.297,67.521,67.5807,1278648.0
2020-01-11,68.0071,68.297,67.521,67.5807,1278648.0
2020-01-12,68.0071,68.297,67.521,67.5807,1278648.0
2020-01-13,67.5978,67.9474,67.2055,67.9474,1622486.0
2020-01-14,67.7427,68.0753,67.6063,67.9048,1521201.0
2020-01-15,67.8621,68.1862,67.6404,67.7598,1181542.0
2020-01-16,67.99,68.1265,67.6916,67.9645,1572102.0
2020-01-17,68.0668,68.8513,67.8451,68.6381,2673227.0
2020-01-18,68.0668,68.8513,67.8451,68.6381,2673227.0
2020-01-19,68.0668,68.8513,67.8451,68.6381,2673227.0
2020-01-20,68.0668,68.8513,67.8451,68.6381,2673227.0
2020-01-21,68.5699,69.073,68.3397,68.4505,2218956.0
2020-01-22,68.5187,68.6125,67.5551,67.7683,1806497.0
2020-01-23,67.4272,67.5295,66.3527,67.1543,1586967.0
2020-01-24,67.2396,67.2396,66.1566,66.2589,1714990.0
2020-01-25,67.2396,67.2396,66.1566,66.2589,1714990.0
2020-01-26,67.2396,67.2396,66.1566,66.2589,1714990.0
2020-01-27,65.3124,66.0202,64.869,65.5512,2306815.0
2020-01-28,65.9775,66.1609,65.2783,65.4574,2490274.0
2020-01-29,65.5853,65.662,64.8945,64.9883,1318485.0
2020-01-30,64.5364,64.9031,63.8201,64.8007,2364163.0
2020-01-31,64.886,65.1163,63.9991,64.2209,3829181.0
2020-02-01,64.886,65.1163,63.9991,64.2209,3829181.0
2020-02-02,64.886,65.1163,63.9991,64.2209,3829181.0
2020-02-03,64.5108,65.5085,64.3061,64.5023,1944082.0
2020-02-04,65.2101,65.7729,64.9969,65.4318,2085967.0
2020-02-05,65.9605,66.7621,65.8368,66.3186,1801462.0
