,TSCO US Equity,TSCO US Equity,TSCO US Equity,TSCO US Equity,TSCO US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,77.217,77.5219,76.5057,77.0877,1044093.0
2019-01-02,75.5818,77.6143,74.7041,75.9698,1517139.0
2019-01-03,75.8312,76.1361,74.196,74.5378,2162087.0
2019-01-04,75.7573,77.0738,74.7364,76.0714,2043503.0
2019-01-05,75.7573,77.0738,74.7364,76.0714,2043503.0
2019-01-06,75.7573,77.0738,74.7364,76.0714,2043503.0
2019-01-07,75.979,78.0762,75.785,77.1893,2540088.0
2019-01-08,77.7252,78.1224,76.1546,77.1431,2002775.0
2019-01-09,77.679,79.5452,77.679,78.1779,1308857.0
2019-01-10,77.217,78.2518,76.053,78.224,1266455.0
2019-01-11,78.1594,79.7392,77.9654,78.8153,1204551.0
2019-01-12,78.1594,79.7392,77.9654,78.8153,1204551.0
2019-01-13,78.1594,79.7392,77.9654,78.8153,1204551.0
2019-01-14,78.2425,80.8571,78.0947,79.3696,2405070.0
2019-01-15,79.3142,80.7832,78.6028,80.3305,1663807.0
2019-01-16,80.2935,81.4391,80.1919,80.4968,1292200.0
2019-01-17,79.8408,81.8456,79.1849,81.7625,1215468.0
2019-01-18,82.2521,83.273,81.9565,82.6679,1255447.0
2019-01-19,82.2521,83.273,81.9565,82.6679,1255447.0
2019-01-20,82.2521,83.273,81.9565,82.6679,1255447.0
2019-01-21,82.2521,83.273,81.9565,82.6679,1255447.0
2019-01-22,82.326,83.6102,82.1505,82.557,1169547.0
2019-01-23,83.1483,83.2314,81.319,82.2429,1025948.0
2019-01-24,81.6978,82.1413,79.6376,80.9217,1323622.0
2019-01-25,81.6516,82.8157,81.4299,82.7787,1490593.0
2019-01-26,81.6516,82.8157,81.4299,82.7787,1490593.0
2019-01-27,81.6516,82.8157,81.4299,82.7787,1490593.0
2019-01-28,82.1505,82.557,81.3421,82.326,1192368.0
2019-01-29,82.6863,83.3792,81.7163,83.0559,1059023.0
2019-01-30,83.3515,83.758,82.5385,82.7972,1774342.0
2019-01-31,79.8593,80.9033,76.3301,78.8985,6677068.0
2019-02-01,79.4251,81.7439,78.2425,80.3489,2541095.0
2019-02-02,79.4251,81.7439,78.2425,80.3489,2541095.0
2019-02-03,79.4251,81.7439,78.2425,80.3489,2541095.0
2019-02-04,80.3028,82.1228,79.4528,82.0951,1441446.0
2019-02-05,82.2059,83.2684,81.7763,82.7695,1542615.0
2019-02-06,82.7695,84.1922,81.7994,84.0999,1233488.0
2019-02-07,83.7026,83.8504,82.3999,83.8412,1573153.0
2019-02-08,83.333,85.5965,83.1021,85.2917,1880338.0
2019-02-09,83.333,85.5965,83.1021,85.2917,1880338.0
