,CB US Equity,CB US Equity,CB US Equity,CB US Equity,CB US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,115.884,117.251,115.594,116.952,1616006.0
2019-01-02,115.567,116.436,114.136,115.241,1391924.0
2019-01-03,114.471,115.205,112.67,112.869,1746168.0
2019-01-04,114.453,116.707,114.453,116.246,1977761.0
2019-01-05,114.453,116.707,114.453,116.246,1977761.0
2019-01-06,114.453,116.707,114.453,116.246,1977761.0
2019-01-07,115.748,116.59,114.788,115.304,1398944.0
2019-01-08,115.802,116.191,113.602,114.417,1627515.0
2019-01-09,115.413,116.237,114.915,115.847,2402028.0
2019-01-10,116.273,117.359,115.684,117.269,1307329.0
2019-01-11,116.789,117.64,116.101,117.26,1300381.0
2019-01-12,116.789,117.64,116.101,117.26,1300381.0
2019-01-13,116.789,117.64,116.101,117.26,1300381.0
2019-01-14,116.879,118.6,116.481,118.455,1877726.0
2019-01-15,119.224,120.528,117.993,119.912,2143897.0
2019-01-16,120.845,121.234,119.713,120.374,1803631.0
2019-01-17,120.428,121.017,119.686,120.284,2090823.0
2019-01-18,120.89,121.506,120.347,120.944,2240671.0
2019-01-19,120.89,121.506,120.347,120.944,2240671.0
2019-01-20,120.89,121.506,120.347,120.944,2240671.0
2019-01-21,120.89,121.506,120.347,120.944,2240671.0
2019-01-22,120.519,120.85,118.283,118.735,2432110.0
2019-01-23,118.763,119.831,117.848,119.559,1212559.0
2019-01-24,119.215,120.166,118.473,119.876,1270127.0
2019-01-25,120.51,121.705,119.505,119.768,1579376.0
2019-01-26,120.51,121.705,119.505,119.768,1579376.0
2019-01-27,120.51,121.705,119.505,119.768,1579376.0
2019-01-28,119.242,119.958,118.346,119.496,1323205.0
2019-01-29,119.17,119.596,118.337,118.962,1128127.0
2019-01-30,119.143,120.447,118.473,120.229,1317574.0
2019-01-31,119.813,120.655,119.043,120.456,2602456.0
2019-02-01,120.591,121.135,119.976,120.926,1331321.0
2019-02-02,120.591,121.135,119.976,120.926,1331321.0
2019-02-03,120.591,121.135,119.976,120.926,1331321.0
2019-02-04,120.564,121.261,119.985,121.252,1560503.0
2019-02-05,121.316,121.777,120.32,121.777,1903117.0
2019-02-06,119.161,119.505,117.305,117.586,3748755.0
2019-02-07,117.631,118.754,117.115,118.256,2225983.0
2019-02-08,117.803,118.111,116.409,118.011,1883241.0
2019-02-09,117.803,118.111,116.409,118.011,1883241.0
2019-02-10,117.803,118.111,116.409,118.011,1883241.0
2019-02-11,118.373,118.545,117.079,118.21,1444319.0
2019-02-12,118.844,120.021,118.21,119.722,1425207.0
2019-02-13,119.912,121.008,119.65,119.967,1490112.0
2019-02-14,119.224,119.224,117.595,118.346,1787100.0
2019-02-15,119.414,120.628,119.414,120.6,1420148.0
2019-02-16,119.414,120.628,119.414,120.6,1420148.0
2019-02-17,119.414,120.628,119.414,120.6,1420148.0
2019-02-18,119.414,120.628,119.414,120.6,1420148.0
2019-02-19,120.401,121.379,119.876,121.098,1070626.0
2019-02-20,121.307,122.058,120.582,122.049,1166519.0
2019-02-21,122.103,122.864,121.515,121.958,1499804.0
2019-02-22,122.393,122.538,121.515,121.777,1414432.0
2019-02-23,122.393,122.538,121.515,121.777,1414432.0
2019-02-24,122.393,122.538,121.515,121.777,1414432.0
2019-02-25,122.275,123.072,121.85,122.556,1339613.0
2019-02-26,122.167,123.19,121.814,122.375,1290125.0
2019-02-27,121.596,122.248,120.437,120.437,1505223.0
2019-02-28,120.51,121.243,120.41,121.225,2090416.0
2019-03-01,121.958,122.583,121.343,121.424,1670908.0
2019-03-02,121.958,122.583,121.343,121.424,1670908.0
2019-03-03,121.958,122.583,121.343,121.424,1670908.0
2019-03-04,121.642,122.065,119.921,120.926,1301413.0
2019-03-05,121.098,121.379,120.211,120.899,1314560.0
2019-03-06,120.763,121.823,120.41,120.673,922658.0
2019-03-07,120.211,120.555,119.505,120.121,1245242.0
2019-03-08,119.514,120.275,119.17,119.831,1048044.0
2019-03-09,119.514,120.275,119.17,119.831,1048044.0
2019-03-10,119.514,120.275,119.17,119.831,1048044.0
2019-03-11,120.437,121.035,120.093,120.782,1367858.0
