,BBSI US Equity,BBSI US Equity,BBSI US Equity,BBSI US Equity,BBSI US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,52.4986,53.2892,52.1861,52.6273,14035.0
2019-01-02,52.0114,54.5853,52.0114,52.7836,33440.0
2019-01-03,52.3975,52.7193,50.3843,51.0738,31274.0
2019-01-04,51.4875,53.7212,51.4875,53.4087,18246.0
2019-01-05,51.4875,53.7212,51.4875,53.4087,18246.0
2019-01-06,51.4875,53.7212,51.4875,53.4087,18246.0
2019-01-07,53.5374,54.8794,52.324,52.5814,51367.0
2019-01-08,53.0318,54.1809,52.7376,53.5925,62355.0
2019-01-09,53.5834,54.2912,53.2248,53.6937,120460.0
2019-01-10,53.4179,54.7508,52.4067,54.5578,46767.0
2019-01-11,54.282,55.2421,53.8591,54.6037,43248.0
2019-01-12,54.282,55.2421,53.8591,54.6037,43248.0
2019-01-13,54.282,55.2421,53.8591,54.6037,43248.0
2019-01-14,54.2176,54.5578,53.0686,53.4455,46361.0
2019-01-15,53.087,53.9648,53.087,53.3076,20664.0
2019-01-16,53.3627,54.4842,52.756,53.28,61648.0
2019-01-17,53.1145,54.5899,53.1145,53.712,103722.0
2019-01-18,54.0706,54.6957,53.5098,54.1533,125709.0
2019-01-19,54.0706,54.6957,53.5098,54.1533,125709.0
2019-01-20,54.0706,54.6957,53.5098,54.1533,125709.0
2019-01-21,54.0706,54.6957,53.5098,54.1533,125709.0
2019-01-22,53.9786,57.6097,53.9786,57.1225,41526.0
2019-01-23,57.766,59.0621,57.5917,58.0142,35163.0
2019-01-24,58.244,58.244,56.7456,57.6373,38189.0
2019-01-25,57.6465,58.244,57.0398,58.2072,13841.0
2019-01-26,57.6465,58.244,57.0398,58.2072,13841.0
2019-01-27,57.6465,58.244,57.0398,58.2072,13841.0
2019-01-28,57.8211,57.8211,56.4882,56.8283,22484.0
2019-01-29,57.0673,57.3155,56.4698,56.9294,66695.0
2019-01-30,57.2328,58.3083,57.2328,57.7384,23870.0
2019-01-31,57.7476,58.1612,57.4166,57.5913,21030.0
2019-02-01,57.6097,58.8138,56.8743,57.72,26103.0
2019-02-02,57.6097,58.8138,56.8743,57.72,26103.0
2019-02-03,57.6097,58.8138,56.8743,57.72,26103.0
2019-02-04,57.72,59.5401,54.7184,59.5401,39141.0
2019-02-05,59.8159,62.5093,58.6668,59.2368,21990.0
2019-02-06,59.2184,59.2919,58.6484,59.1081,26312.0
2019-02-07,58.8599,59.154,58.2761,58.8507,20905.0
2019-02-08,58.6852,59.6872,57.9959,58.2532,22322.0
2019-02-09,58.6852,59.6872,57.9959,58.2532,22322.0
2019-02-10,58.6852,59.6872,57.9959,58.2532,22322.0
2019-02-11,58.3635,60.3766,57.8719,60.2296,26542.0
2019-02-12,60.5053,61.5901,60.4134,61.112,26089.0
2019-02-13,61.4246,62.5001,60.487,62.114,20213.0
2019-02-14,62.0681,63.5481,61.227,63.0241,26393.0
2019-02-15,63.208,65.2855,62.9985,65.074,43864.0
2019-02-16,63.208,65.2855,62.9985,65.074,43864.0
2019-02-17,63.208,65.2855,62.9985,65.074,43864.0
2019-02-18,63.208,65.2855,62.9985,65.074,43864.0
2019-02-19,64.8442,66.122,63.9801,65.8646,53336.0
2019-02-20,65.8646,66.4897,65.074,65.9198,56093.0
2019-02-21,65.9381,67.4365,65.4969,66.9769,44603.0
2019-02-22,66.9861,68.1076,66.3978,68.0524,36009.0
2019-02-23,66.9861,68.1076,66.3978,68.0524,36009.0
2019-02-24,66.9861,68.1076,66.3978,68.0524,36009.0
2019-02-25,68.5396,68.9257,68.0248,68.5764,33486.0
