,PPL US Equity,PPL US Equity,PPL US Equity,PPL US Equity,PPL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,29.504,29.6361,29.4132,29.6195,4720783.0
2020-01-02,29.7186,29.7516,29.0912,29.2398,5976488.0
2020-01-03,29.0252,29.3022,28.9839,29.2068,4105082.0
2020-01-04,29.0252,29.3022,28.9839,29.2068,4105082.0
2020-01-05,29.0252,29.3022,28.9839,29.2068,4105082.0
2020-01-06,29.1407,29.3389,29.083,29.2398,6201967.0
2020-01-07,29.2728,29.3389,28.9839,29.0417,4289322.0
2020-01-08,29.2398,29.3884,29.1284,29.2068,5247149.0
2020-01-09,29.1738,29.3967,29.1738,29.3141,3266935.0
2020-01-10,29.2976,29.5948,29.2439,29.2563,3422494.0
2020-01-11,29.2976,29.5948,29.2439,29.2563,3422494.0
2020-01-12,29.2976,29.5948,29.2439,29.2563,3422494.0
2020-01-13,29.2646,29.4627,29.1738,29.2481,3974544.0
2020-01-14,29.083,29.3801,28.9963,29.3719,3894768.0
2020-01-15,29.4462,29.7269,29.3801,29.5948,4044764.0
2020-01-16,29.6361,29.7516,29.4875,29.6856,4074446.0
2020-01-17,29.6856,29.8012,29.4916,29.7929,3887193.0
2020-01-18,29.6856,29.8012,29.4916,29.7929,3887193.0
2020-01-19,29.6856,29.8012,29.4916,29.7929,3887193.0
2020-01-20,29.6856,29.8012,29.4916,29.7929,3887193.0
2020-01-21,29.7434,29.7846,29.4008,29.7434,6298563.0
2020-01-22,29.7269,29.8961,29.6113,29.8589,3838357.0
2020-01-23,29.8589,30.3543,29.7681,30.3047,4516629.0
2020-01-24,30.2965,30.3955,29.9415,30.1561,3157189.0
2020-01-25,30.2965,30.3955,29.9415,30.1561,3157189.0
2020-01-26,30.2965,30.3955,29.9415,30.1561,3157189.0
2020-01-27,30.0653,30.2139,29.7516,29.8755,4128141.0
2020-01-28,29.991,30.379,29.991,30.2469,4266296.0
2020-01-29,30.313,30.4038,30.0983,30.3295,3994133.0
2020-01-30,30.28,30.3047,29.8094,30.1066,5710511.0
2020-01-31,30.0488,30.1726,29.7351,29.8755,6017946.0
2020-02-01,30.0488,30.1726,29.7351,29.8755,6017946.0
2020-02-02,30.0488,30.1726,29.7351,29.8755,6017946.0
2020-02-03,29.9332,30.0571,29.7145,29.925,5398174.0
2020-02-04,29.9663,30.2304,29.7516,29.7681,3999298.0
2020-02-05,29.7846,30.1107,29.7681,30.0653,3704585.0
2020-02-06,30.0983,30.2139,29.7846,29.7846,2665636.0
2020-02-07,29.7681,29.8589,29.5783,29.7351,3241262.0
2020-02-08,29.7681,29.8589,29.5783,29.7351,3241262.0
2020-02-09,29.7681,29.8589,29.5783,29.7351,3241262.0
2020-02-10,29.7846,29.8507,29.6796,29.8177,2824856.0
2020-02-11,29.9085,30.0571,29.7929,29.8589,3845132.0
2020-02-12,29.8589,30.0818,29.8177,29.9497,2643889.0
2020-02-13,29.9085,30.0653,29.8052,29.9497,3251415.0
2020-02-14,30.024,30.0571,28.8683,29.1985,8120964.0
2020-02-15,30.024,30.0571,28.8683,29.1985,8120964.0
2020-02-16,30.024,30.0571,28.8683,29.1985,8120964.0
2020-02-17,30.024,30.0571,28.8683,29.1985,8120964.0
2020-02-18,29.2398,29.6443,29.0747,29.6443,7968931.0
2020-02-19,29.6443,29.6443,28.9756,28.9756,4390665.0
2020-02-20,28.9756,29.2976,28.8724,29.2315,4594709.0
2020-02-21,29.2646,29.5906,29.083,29.4049,4901091.0
2020-02-22,29.2646,29.5906,29.083,29.4049,4901091.0
2020-02-23,29.2646,29.5906,29.083,29.4049,4901091.0
2020-02-24,29.2646,29.3967,28.9674,28.9921,5466833.0
2020-02-25,29.0252,29.116,28.5216,28.5381,4924348.0
2020-02-26,28.5216,28.5546,27.4237,27.4402,7950930.0
2020-02-27,27.2586,27.3659,25.5828,25.5828,10721457.0
2020-02-28,25.1205,25.3929,24.4229,24.7738,21535667.0
2020-02-29,25.1205,25.3929,24.4229,24.7738,21535667.0
2020-03-01,25.1205,25.3929,24.4229,24.7738,21535667.0
2020-03-02,25.0214,26.2762,24.9471,26.2597,9559335.0
2020-03-03,26.3175,26.9036,25.5209,25.624,8267218.0
2020-03-04,25.8717,26.5816,25.8512,26.5651,5742732.0
2020-03-05,26.3753,26.3753,25.8222,26.1524,6269295.0
2020-03-06,25.4507,26.1771,25.104,26.012,8122058.0
2020-03-07,25.4507,26.1771,25.104,26.012,8122058.0
2020-03-08,25.4507,26.1771,25.104,26.012,8122058.0
2020-03-09,24.8451,25.4139,23.9416,24.3515,8590457.0
2020-03-10,24.8451,25.2382,23.8496,24.9538,8955272.0
2020-03-11,24.7363,24.7363,24.0922,24.4686,8795741.0
2020-03-12,23.1218,23.9249,22.0008,22.2769,8893133.0
2020-03-13,23.2556,23.5233,21.0639,22.9378,10610141.0
2020-03-14,23.2556,23.5233,21.0639,22.9378,10610141.0
2020-03-15,23.2556,23.5233,21.0639,22.9378,10610141.0
2020-03-16,20.9133,21.4906,19.6335,19.7924,10176847.0
2020-03-17,20.2859,21.5491,19.2403,21.3734,10047796.0
2020-03-18,20.127,20.311,17.6676,19.0813,9380923.0
2020-03-19,18.8471,19.2235,17.1878,18.0608,7016657.0
2020-03-20,18.5125,19.2235,16.3626,16.4546,15117743.0
2020-03-21,18.5125,19.2235,16.3626,16.4546,15117743.0
2020-03-22,18.5125,19.2235,16.3626,16.4546,15117743.0
2020-03-23,16.3375,16.647,15.158,15.5512,12818560.0
2020-03-24,16.5132,17.8516,16.267,17.768,9848833.0
2020-03-25,17.8182,19.5833,17.7345,18.5961,8497866.0
2020-03-26,18.9559,20.905,18.6965,20.6373,8471650.0
2020-03-27,19.9346,21.7457,19.9095,21.2647,6977902.0
2020-03-28,19.9346,21.7457,19.9095,21.2647,6977902.0
2020-03-29,19.9346,21.7457,19.9095,21.2647,6977902.0
2020-03-30,21.4571,21.7164,20.723,21.6077,6449883.0
2020-03-31,21.4153,21.616,20.5411,20.6457,5682875.0
2020-04-01,19.8509,20.0266,18.7216,19.1566,6263202.0
2020-04-02,18.7384,19.7004,18.6965,19.2152,6068194.0
2020-04-03,19.0061,19.2235,17.9018,18.2113,7589480.0
2020-04-04,19.0061,19.2235,17.9018,18.2113,7589480.0
2020-04-05,19.0061,19.2235,17.9018,18.2113,7589480.0
2020-04-06,19.1148,20.1856,19.0395,20.0099,6120983.0
2020-04-07,21.5742,21.7499,20.5369,20.5704,8724056.0
2020-04-08,20.5787,21.7833,20.5787,21.5909,6783938.0
2020-04-09,21.9674,23.2222,21.8335,22.3355,7492257.0
2020-04-10,21.9674,23.2222,21.8335,22.3355,7492257.0
2020-04-11,21.9674,23.2222,21.8335,22.3355,7492257.0
2020-04-12,21.9674,23.2222,21.8335,22.3355,7492257.0
2020-04-13,22.1681,22.2518,21.34,21.6662,3829564.0
2020-04-14,21.9757,22.3438,21.6328,22.1849,6457464.0
2020-04-15,21.3818,21.5491,20.8339,21.1308,4824396.0
2020-04-16,21.1643,21.3818,20.7377,21.1559,5262422.0
2020-04-17,21.7248,22.1849,21.5407,22.0761,3907276.0
2020-04-18,21.7248,22.1849,21.5407,22.0761,3907276.0
2020-04-19,21.7248,22.1849,21.5407,22.0761,3907276.0
2020-04-20,21.7415,21.7708,21.0472,21.1225,4663023.0
2020-04-21,20.4951,20.9803,20.3361,20.5536,5006879.0
2020-04-22,20.9468,21.3734,20.6206,21.1727,4091390.0
2020-04-23,21.2229,21.5689,20.9217,21.0723,3410587.0
2020-04-24,21.1894,21.4404,20.8213,21.3232,3399440.0
2020-04-25,21.1894,21.4404,20.8213,21.3232,3399440.0
2020-04-26,21.1894,21.4404,20.8213,21.3232,3399440.0
2020-04-27,21.4153,21.6341,21.3316,21.3734,4496278.0
2020-04-28,21.8754,22.2769,21.5826,21.6913,4335853.0
2020-04-29,22.118,22.2434,21.5265,21.9256,4301435.0
2020-04-30,21.7081,21.7499,20.9819,21.2647,5810871.0
2020-05-01,20.9719,20.997,20.5034,20.8046,4325323.0
2020-05-02,20.9719,20.997,20.5034,20.8046,4325323.0
2020-05-03,20.9719,20.997,20.5034,20.8046,4325323.0
2020-05-04,20.7209,20.9803,20.4951,20.8799,4552160.0
2020-05-05,21.0388,21.4906,21.0388,21.1978,4361575.0
2020-05-06,21.2563,21.3149,20.2776,20.311,4921605.0
2020-05-07,20.5118,20.746,20.2692,20.3194,5782412.0
2020-05-08,20.8255,21.9674,20.7305,21.8419,6217482.0
2020-05-09,20.8255,21.9674,20.7305,21.8419,6217482.0
2020-05-10,20.8255,21.9674,20.7305,21.8419,6217482.0
2020-05-11,21.2814,21.4762,20.6875,21.1225,4747370.0
2020-05-12,21.1894,21.4822,20.7628,20.7879,5317271.0
2020-05-13,20.6875,20.7209,20.0935,20.5369,7588032.0
2020-05-14,20.2441,21.1434,19.8342,21.1141,6427586.0
2020-05-15,20.8632,20.8966,20.173,20.5034,9986846.0
2020-05-16,20.8632,20.8966,20.173,20.5034,9986846.0
2020-05-17,20.8632,20.8966,20.173,20.5034,9986846.0
2020-05-18,21.2563,22.1514,21.1643,21.8586,5355007.0
2020-05-19,21.7332,21.8084,21.1978,21.2061,4268736.0
2020-05-20,21.432,21.683,21.315,21.4069,3336119.0
2020-05-21,21.3232,21.7708,21.3147,21.4989,4960015.0
2020-05-22,21.4822,21.524,21.2563,21.4571,3520992.0
2020-05-23,21.4822,21.524,21.2563,21.4571,3520992.0
2020-05-24,21.4822,21.524,21.2563,21.4571,3520992.0
2020-05-25,21.4822,21.524,21.2563,21.4571,3520992.0
2020-05-26,22.1431,22.3773,21.9172,21.9841,4326659.0
2020-05-27,22.4777,22.6712,22.0176,22.3689,5485460.0
2020-05-28,22.7035,23.2515,22.5446,22.9545,6211777.0
2020-05-29,23.0298,23.5819,22.7814,23.3728,8687480.0
2020-05-30,23.0298,23.5819,22.7814,23.3728,8687480.0
2020-05-31,23.0298,23.5819,22.7814,23.3728,8687480.0
2020-06-01,23.3309,23.9918,23.2556,23.8496,5800063.0
2020-06-02,24.0253,24.4184,23.7325,24.3682,5398830.0
2020-06-03,24.6108,25.2131,24.5355,25.0291,5244214.0
2020-06-04,24.8869,25.2466,24.6945,25.1044,5500231.0
2020-06-05,25.5477,25.8824,25.0458,25.1295,6795003.0
2020-06-06,25.5477,25.8824,25.0458,25.1295,6795003.0
2020-06-07,25.5477,25.8824,25.0458,25.1295,6795003.0
2020-06-08,25.1295,25.7025,24.9036,25.6398,9484973.0
2020-06-09,25.1267,25.2115,23.9565,24.0582,8350185.0
2020-06-10,24.0582,24.0964,23.3544,23.6257,8063447.0
2020-06-11,22.8456,22.8964,21.9467,22.3537,8606030.0
2020-06-12,22.8964,23.0491,22.0739,22.5148,6626610.0
2020-06-13,22.8964,23.0491,22.0739,22.5148,6626610.0
2020-06-14,22.8964,23.0491,22.0739,22.5148,6626610.0
2020-06-15,22.0484,22.871,21.8679,22.7184,5071628.0
2020-06-16,23.4561,23.8208,22.8964,23.0491,6370720.0
2020-06-17,23.1932,23.2017,22.5827,22.7608,4130409.0
2020-06-18,22.5827,22.8964,22.4809,22.7947,3672387.0
2020-06-19,23.2356,23.2424,22.0484,22.0484,12899221.0
2020-06-20,23.2356,23.2424,22.0484,22.0484,12899221.0
2020-06-21,23.2356,23.2424,22.0484,22.0484,12899221.0
2020-06-22,22.1332,22.6251,22.0145,22.3452,7532108.0
2020-06-23,22.5742,22.642,21.7559,21.8449,8388890.0
2020-06-24,21.6668,21.7686,21.2937,21.6414,5697349.0
2020-06-25,21.5311,21.8746,21.4209,21.7007,7480780.0
2020-06-26,21.6159,21.9327,21.1241,21.2598,9984084.0
2020-06-27,21.6159,21.9327,21.1241,21.2598,9984084.0
2020-06-28,21.6159,21.9327,21.1241,21.2598,9984084.0
2020-06-29,21.5311,21.9043,21.4887,21.8449,5352661.0
2020-06-30,21.8788,22.0399,21.5226,21.9127,7302256.0
2020-07-01,21.9212,22.3749,21.794,22.218,4034672.0
2020-07-02,22.4979,22.6675,22.1078,22.2011,3536836.0
2020-07-03,22.4979,22.6675,22.1078,22.2011,3536836.0
2020-07-04,22.4979,22.6675,22.1078,22.2011,3536836.0
2020-07-05,22.4979,22.6675,22.1078,22.2011,3536836.0
2020-07-06,22.447,22.6039,21.8279,21.9467,4126185.0
2020-07-07,21.6923,21.7601,21.4209,21.565,4530306.0
2020-07-08,21.5566,21.9127,21.4633,21.811,3578026.0
2020-07-09,21.4378,21.5057,20.522,20.6916,8025652.0
2020-07-10,20.7594,21.4887,20.7594,21.4124,4173089.0
2020-07-11,20.7594,21.4887,20.7594,21.4124,4173089.0
2020-07-12,20.7594,21.4887,20.7594,21.4124,4173089.0
2020-07-13,21.4378,21.599,21.2513,21.4124,3818214.0
2020-07-14,21.4718,21.9212,21.4294,21.6583,4800989.0
2020-07-15,21.9806,22.1745,21.7601,21.7855,3817047.0
2020-07-16,21.8449,22.129,21.7347,21.9212,5182715.0
2020-07-17,22.0993,22.2477,21.9255,22.0484,3771529.0
2020-07-18,22.0993,22.2477,21.9255,22.0484,3771529.0
2020-07-19,22.0993,22.2477,21.9255,22.0484,3771529.0
2020-07-20,21.8958,21.9467,21.4124,21.5057,3881614.0
2020-07-21,21.565,21.8449,21.4039,21.5057,4366600.0
2020-07-22,21.37,22.218,21.158,22.1841,5110004.0
2020-07-23,22.0484,22.2859,21.8279,21.9721,3848464.0
2020-07-24,22.0823,22.2943,21.6244,21.8025,3350223.0
2020-07-25,22.0823,22.2943,21.6244,21.8025,3350223.0
2020-07-26,22.0823,22.2943,21.6244,21.8025,3350223.0
2020-07-27,21.7431,21.794,21.2937,21.4124,4141849.0
2020-07-28,21.2937,22.1078,21.2937,21.9806,4699490.0
2020-07-29,22.0993,22.235,21.6923,22.2265,5001711.0
2020-07-30,21.9043,22.5148,21.7686,22.4724,5192404.0
2020-07-31,22.2604,22.6039,22.0951,22.5742,5851417.0
2020-08-01,22.2604,22.6039,22.0951,22.5742,5851417.0
2020-08-02,22.2604,22.6039,22.0951,22.5742,5851417.0
2020-08-03,22.6166,22.6929,22.3368,22.4894,3289428.0
2020-08-04,22.4131,22.9388,22.3876,22.7692,3692671.0
2020-08-05,22.9134,22.9431,22.4555,22.5657,3204418.0
2020-08-06,22.3961,22.5232,22.2774,22.4724,6572068.0
2020-08-07,22.4046,23.1593,22.4046,23.0152,4940681.0
2020-08-08,22.4046,23.1593,22.4046,23.0152,4940681.0
2020-08-09,22.4046,23.1593,22.4046,23.0152,4940681.0
2020-08-10,23.4052,24.6179,23.3204,24.2957,8966943.0
2020-08-11,24.5925,24.8087,23.9395,24.1091,7984287.0
2020-08-12,24.2533,24.6518,23.9565,24.4653,5107234.0
2020-08-13,24.2702,24.7621,24.1854,24.6942,7152720.0
2020-08-14,24.5925,24.779,24.4992,24.6349,4047049.0
2020-08-15,24.5925,24.779,24.4992,24.6349,4047049.0
2020-08-16,24.5925,24.779,24.4992,24.6349,4047049.0
2020-08-17,24.6179,24.9133,24.3381,24.4229,7927337.0
2020-08-18,24.3635,24.4059,23.9056,24.0328,4538820.0
2020-08-19,23.8293,24.1769,23.6681,24.0328,4253890.0
2020-08-20,23.9056,24.1049,23.7529,23.7614,3633470.0
2020-08-21,23.8038,24.0073,23.6512,23.7784,3869388.0
2020-08-22,23.8038,24.0073,23.6512,23.7784,3869388.0
2020-08-23,23.8038,24.0073,23.6512,23.7784,3869388.0
2020-08-24,23.8293,24.0837,23.5664,24.0582,3185143.0
