,PNW US Equity,PNW US Equity,PNW US Equity,PNW US Equity,PNW US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,74.1165,74.6559,74.0751,74.6144,882473.0
2020-01-02,74.7803,74.8799,73.3449,73.6021,707637.0
2020-01-03,73.4694,74.0668,73.4196,73.8345,1058507.0
2020-01-04,73.4694,74.0668,73.4196,73.8345,1058507.0
2020-01-05,73.4694,74.0668,73.4196,73.8345,1058507.0
2020-01-06,73.9174,74.1746,73.6768,73.7598,909261.0
2020-01-07,73.3366,73.6063,73.096,73.5772,931276.0
2020-01-08,73.6851,73.9174,73.3989,73.4362,797170.0
2020-01-09,73.4362,74.5978,73.2869,74.5812,779272.0
2020-01-10,74.6227,75.1661,74.5729,75.1371,808525.0
2020-01-11,74.6227,75.1661,74.5729,75.1371,808525.0
2020-01-12,74.6227,75.1661,74.5729,75.1371,808525.0
2020-01-13,75.1122,76.2572,75.0375,75.693,1074917.0
2020-01-14,75.6349,76.365,75.5084,76.365,758269.0
2020-01-15,76.4978,77.0952,76.4065,76.8628,1034128.0
2020-01-16,77.0454,77.5432,76.9707,77.3607,1204233.0
2020-01-17,77.4353,77.7838,76.7633,77.4436,935066.0
2020-01-18,77.4353,77.7838,76.7633,77.4436,935066.0
2020-01-19,77.4353,77.7838,76.7633,77.4436,935066.0
2020-01-20,77.4353,77.7838,76.7633,77.4436,935066.0
2020-01-21,77.7174,78.4807,77.3524,78.3065,700621.0
2020-01-22,78.5886,78.9951,78.3895,78.4558,761523.0
2020-01-23,78.4641,79.5925,78.3978,79.5179,701139.0
2020-01-24,79.3187,80.6462,79.2897,80.5799,763107.0
2020-01-25,79.3187,80.6462,79.2897,80.5799,763107.0
2020-01-26,79.3187,80.6462,79.2897,80.5799,763107.0
2020-01-27,80.7126,81.3598,80.4554,81.0362,1228350.0
2020-01-28,81.1938,81.6083,80.5218,80.5218,840075.0
2020-01-29,80.472,81.393,80.3973,81.3515,816274.0
2020-01-30,81.0694,81.9779,80.7873,81.9572,743983.0
2020-01-31,82.0011,82.4945,81.5077,81.7,2172599.0
2020-02-01,82.0011,82.4945,81.5077,81.7,2172599.0
