,KRNY US Equity,KRNY US Equity,KRNY US Equity,KRNY US Equity,KRNY US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,11.6253,11.6841,11.5833,11.6169,214069.0
2020-01-02,11.6001,11.6505,11.4153,11.4237,229759.0
2020-01-03,11.3817,11.4573,11.3061,11.4363,226112.0
2020-01-04,11.3817,11.4573,11.3061,11.4363,226112.0
2020-01-05,11.3817,11.4573,11.3061,11.4363,226112.0
2020-01-06,11.3481,11.5413,11.2809,11.3691,250472.0
2020-01-07,11.3733,11.5198,10.9197,11.3145,235500.0
2020-01-08,11.3061,11.3985,11.2977,11.2977,189575.0
2020-01-09,11.3061,11.3733,11.2305,11.2473,153426.0
2020-01-10,11.2557,11.2809,11.1213,11.1885,182723.0
2020-01-11,11.2557,11.2809,11.1213,11.1885,182723.0
2020-01-12,11.2557,11.2809,11.1213,11.1885,182723.0
2020-01-13,11.1801,11.2053,11.0709,11.1969,312459.0
2020-01-14,11.2221,11.2893,11.1129,11.2725,343997.0
2020-01-15,11.2893,11.3187,11.2137,11.2725,200067.0
2020-01-16,11.2809,11.3733,11.2557,11.2725,312164.0
2020-01-17,11.3397,11.3397,11.1549,11.1801,255559.0
2020-01-18,11.3397,11.3397,11.1549,11.1801,255559.0
2020-01-19,11.3397,11.3397,11.1549,11.1801,255559.0
2020-01-20,11.3397,11.3397,11.1549,11.1801,255559.0
2020-01-21,11.1633,11.1633,10.9197,10.9533,331778.0
2020-01-22,10.9953,11.0121,10.9029,10.9449,280946.0
2020-01-23,10.9197,11.0373,10.8105,10.9953,270158.0
2020-01-24,10.9869,11.0457,10.9281,11.0373,195201.0
2020-01-25,10.9869,11.0457,10.9281,11.0373,195201.0
2020-01-26,10.9869,11.0457,10.9281,11.0373,195201.0
2020-01-27,10.9617,11.0793,10.9533,11.0373,165087.0
2020-01-28,11.0625,11.0835,11.0037,11.0457,156024.0
2020-01-29,11.0121,11.0457,10.9197,10.9365,182817.0
2020-01-30,10.8945,11.0373,10.8441,11.0289,195153.0
2020-01-31,10.1638,10.609,10.1554,10.3738,1061791.0
2020-02-01,10.1638,10.609,10.1554,10.3738,1061791.0
2020-02-02,10.1638,10.609,10.1554,10.3738,1061791.0
2020-02-03,10.4074,10.525,10.2898,10.3066,408802.0
2020-02-04,10.3654,10.3822,10.1638,10.189,405826.0
2020-02-05,10.2478,10.2562,10.168,10.1974,375990.0
2020-02-06,10.1974,10.2813,10.1554,10.1638,213975.0
2020-02-07,10.1638,10.2226,10.1134,10.1806,364422.0
2020-02-08,10.1638,10.2226,10.1134,10.1806,364422.0
2020-02-09,10.1638,10.2226,10.1134,10.1806,364422.0
2020-02-10,10.1722,10.2058,10.1596,10.189,282134.0
2020-02-11,10.2058,10.2998,10.1974,10.2268,177813.0
2020-02-12,10.2058,10.2562,10.1974,10.2226,242195.0
2020-02-13,10.2058,10.2814,10.1638,10.1806,190694.0
2020-02-14,10.1722,10.189,10.1554,10.1638,241537.0
2020-02-15,10.1722,10.189,10.1554,10.1638,241537.0
2020-02-16,10.1722,10.189,10.1554,10.1638,241537.0
2020-02-17,10.1722,10.189,10.1554,10.1638,241537.0
2020-02-18,10.1554,10.1806,10.1134,10.1386,352120.0
2020-02-19,10.1302,10.1638,10.0714,10.0966,199854.0
2020-02-20,10.0798,10.189,10.0714,10.1638,198007.0
2020-02-21,10.1806,10.1806,10.063,10.1134,392695.0
2020-02-22,10.1806,10.1806,10.063,10.1134,392695.0
