,PEG US Equity,PEG US Equity,PEG US Equity,PEG US Equity,PEG US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,50.7211,51.1345,50.4628,50.8503,2877577.0
2020-01-02,50.9106,50.9364,50.3508,50.5575,2557787.0
2020-01-03,50.4197,50.8675,50.3422,50.5489,2992187.0
2020-01-04,50.4197,50.8675,50.3422,50.5489,2992187.0
2020-01-05,50.4197,50.8675,50.3422,50.5489,2992187.0
2020-01-06,50.5575,50.6781,50.0408,50.0581,3607084.0
2020-01-07,49.8944,49.9461,49.4122,49.6016,4150975.0
2020-01-08,49.6964,50.0236,49.6619,49.9117,3250853.0
2020-01-09,49.9375,50.3336,49.8255,50.3078,2081320.0
2020-01-10,50.3595,50.6781,50.17,50.2044,1499385.0
2020-01-11,50.3595,50.6781,50.17,50.2044,1499385.0
2020-01-12,50.3595,50.6781,50.17,50.2044,1499385.0
2020-01-13,50.1528,50.325,50.0753,50.1614,1484865.0
2020-01-14,50.1528,50.2992,49.9375,50.2733,2290450.0
2020-01-15,50.4542,50.9795,50.4068,50.8847,1528605.0
2020-01-16,50.9536,51.0484,50.7814,50.8245,2255302.0
2020-01-17,50.7297,50.9622,50.4111,50.945,2976831.0
2020-01-18,50.7297,50.9622,50.4111,50.945,2976831.0
2020-01-19,50.7297,50.9622,50.4111,50.945,2976831.0
2020-01-20,50.7297,50.9622,50.4111,50.945,2976831.0
2020-01-21,50.9192,51.3412,50.6695,51.2809,2894632.0
2020-01-22,51.4531,52.2066,51.2981,51.9267,4059039.0
2020-01-23,51.8923,53.2012,51.8406,53.1668,3560581.0
2020-01-24,53.0893,53.5026,52.9084,53.0979,2549524.0
2020-01-25,53.0893,53.5026,52.9084,53.0979,2549524.0
2020-01-26,53.0893,53.5026,52.9084,53.0979,2549524.0
2020-01-27,53.1065,53.2701,51.9267,52.0301,2514586.0
2020-01-28,52.0731,52.1592,51.2895,51.3842,3555309.0
2020-01-29,51.4617,51.8406,51.4488,51.7545,1830089.0
2020-01-30,51.8492,52.0128,51.3239,51.6684,3091939.0
2020-01-31,51.4875,51.6598,50.6695,50.9795,3023095.0
2020-02-01,51.4875,51.6598,50.6695,50.9795,3023095.0
2020-02-02,51.4875,51.6598,50.6695,50.9795,3023095.0
2020-02-03,51.1861,51.41,50.9278,51.0914,1778217.0
2020-02-04,51.1603,51.3584,50.7814,50.8675,1952807.0
2020-02-05,50.7986,51.522,50.635,51.0484,2582746.0
2020-02-06,51.0914,51.3239,50.1226,50.2303,2771426.0
2020-02-07,50.4025,50.4714,49.6533,49.6878,2728279.0
2020-02-08,50.4025,50.4714,49.6533,49.6878,2728279.0
2020-02-09,50.4025,50.4714,49.6533,49.6878,2728279.0
2020-02-10,49.7308,50.0408,49.2314,49.4639,2217288.0
2020-02-11,49.6447,50.1614,49.5775,49.7911,2396208.0
2020-02-12,49.748,50.3681,49.748,50.1269,1876783.0
2020-02-13,50.1011,50.4326,49.9978,50.2561,2190249.0
2020-02-14,50.4197,50.5317,50.2303,50.3595,2228977.0
2020-02-15,50.4197,50.5317,50.2303,50.3595,2228977.0
2020-02-16,50.4197,50.5317,50.2303,50.3595,2228977.0
2020-02-17,50.4197,50.5317,50.2303,50.3595,2228977.0
2020-02-18,50.5145,50.945,50.3767,50.8245,3242540.0
2020-02-19,50.8072,50.8503,50.5661,50.7211,2226570.0
2020-02-20,50.6609,51.057,50.5747,50.9622,3453517.0
2020-02-21,50.8072,51.7889,50.7384,51.6339,4165309.0
2020-02-22,50.8072,51.7889,50.7384,51.6339,4165309.0
2020-02-23,50.8072,51.7889,50.7384,51.6339,4165309.0
2020-02-24,51.4187,51.8062,50.8934,50.902,3336176.0
2020-02-25,50.8675,50.9364,49.438,49.438,3657816.0
2020-02-26,50.5489,50.8072,47.8105,47.8535,3943141.0
2020-02-27,47.7933,47.8794,45.5198,45.5285,5722950.0
2020-02-28,44.6932,44.9084,43.1775,44.1851,6031778.0
2020-02-29,44.6932,44.9084,43.1775,44.1851,6031778.0
2020-03-01,44.6932,44.9084,43.1775,44.1851,6031778.0
2020-03-02,44.2195,46.2949,44.1506,46.2518,4264151.0
2020-03-03,46.2604,47.5952,45.5543,45.6835,5192505.0
2020-03-04,46.1829,47.888,46.071,47.8708,2751387.0
2020-03-05,47.0441,47.5005,45.9978,46.4929,3736901.0
2020-03-06,45.2529,47.3971,44.4004,47.1302,5261095.0
2020-03-07,45.2529,47.3971,44.4004,47.1302,5261095.0
2020-03-08,45.2529,47.3971,44.4004,47.1302,5261095.0
2020-03-09,44.5408,45.6269,43.3504,44.1063,4713570.0
