,CVBF US Equity,CVBF US Equity,CVBF US Equity,CVBF US Equity,CVBF US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,18.1164,18.251,18.1164,18.1501,589277.0
2020-01-02,18.2688,18.2688,18.0822,18.2519,531457.0
2020-01-03,18.0653,18.2603,17.9423,18.2349,637206.0
2020-01-04,18.0653,18.2603,17.9423,18.2349,637206.0
2020-01-05,18.0653,18.2603,17.9423,18.2349,637206.0
2020-01-06,18.0907,18.184,17.9889,18.1289,345701.0
2020-01-07,18.0144,18.0568,17.8956,17.9677,416802.0
2020-01-08,17.9635,18.201,17.9296,18.1077,693845.0
2020-01-09,18.2264,18.2391,18.0653,18.1077,478568.0
2020-01-10,18.1246,18.2519,17.9804,17.9889,545633.0
2020-01-11,18.1246,18.2519,17.9804,17.9889,545633.0
2020-01-12,18.1246,18.2519,17.9804,17.9889,545633.0
2020-01-13,17.972,18.0313,17.9041,18.0229,428796.0
2020-01-14,17.9804,18.1755,17.8787,18.0907,527730.0
2020-01-15,17.9465,18.0737,17.8872,17.9635,544593.0
2020-01-16,18.1077,18.3367,18.0992,18.2646,437108.0
2020-01-17,18.4384,18.4808,18.3112,18.4554,502605.0
2020-01-18,18.4384,18.4808,18.3112,18.4554,502605.0
2020-01-19,18.4384,18.4808,18.3112,18.4554,502605.0
2020-01-20,18.4384,18.4808,18.3112,18.4554,502605.0
2020-01-21,18.3367,18.3876,18.0313,18.0525,449520.0
2020-01-22,18.1246,18.3536,18.0229,18.0992,304215.0
2020-01-23,18.4724,18.5572,18.0907,18.3367,734238.0
2020-01-24,18.2773,18.2773,17.8108,17.9041,525949.0
2020-01-25,18.2773,18.2773,17.8108,17.9041,525949.0
2020-01-26,18.2773,18.2773,17.8108,17.9041,525949.0
2020-01-27,17.6582,17.9465,17.5819,17.7769,782409.0
2020-01-28,17.8447,17.9804,17.7769,17.8023,516717.0
2020-01-29,17.7939,17.8787,17.6497,17.6666,469070.0
2020-01-30,17.514,17.8702,17.497,17.8532,424351.0
2020-01-31,17.726,17.7939,17.4758,17.6157,786288.0
2020-02-01,17.726,17.7939,17.4758,17.6157,786288.0
2020-02-02,17.726,17.7939,17.4758,17.6157,786288.0
2020-02-03,17.7515,17.9126,17.7175,17.8617,578344.0
2020-02-04,18.0059,18.2222,18.0059,18.1161,359527.0
2020-02-05,18.3367,18.5826,18.3282,18.5317,458630.0
2020-02-06,18.6505,18.6674,18.3876,18.4045,412033.0
2020-02-07,18.3197,18.3621,18.1161,18.1586,400766.0
2020-02-08,18.3197,18.3621,18.1161,18.1586,400766.0
2020-02-09,18.3197,18.3621,18.1161,18.1586,400766.0
2020-02-10,18.0992,18.1755,17.9592,18.0653,266703.0
2020-02-11,18.1331,18.3367,18.0992,18.1416,288120.0
2020-02-12,18.2603,18.2773,18.0907,18.201,223687.0
2020-02-13,18.167,18.3027,18.1246,18.2943,208095.0
2020-02-14,18.3027,18.4384,18.0992,18.1925,213879.0
2020-02-15,18.3027,18.4384,18.0992,18.1925,213879.0
2020-02-16,18.3027,18.4384,18.0992,18.1925,213879.0
2020-02-17,18.3027,18.4384,18.0992,18.1925,213879.0
2020-02-18,18.0822,18.1925,17.938,18.0568,361572.0
2020-02-19,18.1246,18.1925,17.9889,18.0398,316032.0
2020-02-20,17.9635,18.2349,17.9635,18.1331,236024.0
2020-02-21,18.0992,18.1246,17.8363,17.8872,292633.0
2020-02-22,18.0992,18.1246,17.8363,17.8872,292633.0
2020-02-23,18.0992,18.1246,17.8363,17.8872,292633.0
2020-02-24,17.48,17.514,17.3019,17.4546,416528.0
2020-02-25,17.4631,17.5309,16.9203,16.9881,553070.0
2020-02-26,17.1323,17.2086,16.8948,16.9542,518649.0
2020-02-27,16.7167,17.1238,16.4538,16.4538,900988.0
2020-02-28,16.0382,16.3181,15.3936,15.7244,1239037.0
2020-02-29,16.0382,16.3181,15.3936,15.7244,1239037.0
2020-03-01,16.0382,16.3181,15.3936,15.7244,1239037.0
2020-03-02,15.7244,16.6658,15.6566,16.6489,798911.0
2020-03-03,16.5217,17.0221,16.1146,16.263,1101088.0
2020-03-04,16.4199,16.615,16.0382,16.5895,833515.0
2020-03-05,16.123,16.4114,15.805,16.0128,933664.0
2020-03-06,15.436,16.0297,15.4106,15.8092,765137.0
2020-03-07,15.436,16.0297,15.4106,15.8092,765137.0
2020-03-08,15.436,16.0297,15.4106,15.8092,765137.0
2020-03-09,14.7066,15.3936,14.2402,14.3165,1044620.0
2020-03-10,14.7575,15.0289,14.1638,14.6982,1222045.0
2020-03-11,14.3165,14.5201,13.7991,13.9094,1263596.0
2020-03-12,13.0019,14.079,12.6499,12.8408,1500070.0
2020-03-13,13.6295,14.4437,13.4175,14.4268,1899450.0
