,OMF US Equity,OMF US Equity,OMF US Equity,OMF US Equity,OMF US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,12.7942,12.8935,12.3445,12.7,765783.0
2019-01-02,12.4857,13.1131,12.2556,12.8569,638271.0
2019-01-03,12.7889,13.087,12.6321,12.8412,496386.0
2019-01-04,13.202,13.7248,13.0504,13.5628,656635.0
2019-01-05,13.202,13.7248,13.0504,13.5628,656635.0
2019-01-06,13.202,13.7248,13.0504,13.5628,656635.0
2019-01-07,13.4634,13.866,13.4425,13.683,542047.0
2019-01-08,13.8503,14.0438,13.5523,13.7092,1217211.0
2019-01-09,13.8503,14.2111,13.7248,14.2059,498879.0
2019-01-10,14.1431,14.3366,14.0072,14.1797,523476.0
2019-01-11,14.1065,14.3784,13.9863,14.3784,568860.0
2019-01-12,14.1065,14.3784,13.9863,14.3784,568860.0
2019-01-13,14.1065,14.3784,13.9863,14.3784,568860.0
2019-01-14,14.2581,14.6032,14.2398,14.3836,459577.0
2019-01-15,14.3836,14.5248,14.2529,14.4987,512867.0
2019-01-16,14.6607,14.9117,14.4725,14.7026,629811.0
2019-01-17,14.6764,14.9901,14.6346,14.896,381189.0
2019-01-18,14.9797,15.1418,14.8228,15.0842,418356.0
2019-01-19,14.9797,15.1418,14.8228,15.0842,418356.0
2019-01-20,14.9797,15.1418,14.8228,15.0842,418356.0
2019-01-21,14.9797,15.1418,14.8228,15.0842,418356.0
2019-01-22,14.9117,15.0895,14.7836,14.9274,346745.0
2019-01-23,14.9797,15.1339,14.781,14.8803,233691.0
2019-01-24,14.7915,15.1888,14.7496,15.1156,469696.0
2019-01-25,15.1731,15.4241,15.1731,15.3509,444452.0
2019-01-26,15.1731,15.4241,15.1731,15.3509,444452.0
2019-01-27,15.1731,15.4241,15.1731,15.3509,444452.0
2019-01-28,15.2254,15.4659,15.0947,15.4293,466995.0
2019-01-29,15.4659,15.5078,15.2359,15.2725,228167.0
2019-01-30,15.3352,15.5496,15.1156,15.398,273929.0
2019-01-31,15.2672,15.6332,15.2672,15.628,631044.0
2019-02-01,15.7378,15.9731,15.6986,15.7692,676097.0
2019-02-02,15.7378,15.9731,15.6986,15.7692,676097.0
2019-02-03,15.7378,15.9731,15.6986,15.7692,676097.0
2019-02-04,15.6908,15.7953,15.5078,15.6908,370494.0
2019-02-05,15.7587,15.8738,15.5731,15.6855,330282.0
2019-02-06,15.6855,15.8476,15.5705,15.8058,276806.0
2019-02-07,15.8058,15.8528,15.5078,15.6855,513828.0
2019-02-08,15.5182,15.7274,15.4032,15.7169,842225.0
2019-02-09,15.5182,15.7274,15.4032,15.7169,842225.0
2019-02-10,15.5182,15.7274,15.4032,15.7169,842225.0
2019-02-11,15.7117,15.8476,15.56,15.6489,626266.0
2019-02-12,16.9561,18.0906,16.8354,17.6253,2796870.0
2019-02-13,17.8135,17.8135,17.3743,17.6933,753811.0
