,SYK US Equity,SYK US Equity,SYK US Equity,SYK US Equity,SYK US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,146.522,149.1119,146.5031,147.8901,1186182.0
2019-01-02,147.0598,148.8052,144.7577,145.7672,1749957.0
2019-01-03,146.2578,146.9749,143.0595,143.8425,2320100.0
2019-01-04,145.5219,149.8808,145.5219,148.1825,1785159.0
2019-01-05,145.5219,149.8808,145.5219,148.1825,1785159.0
2019-01-06,145.5219,149.8808,145.5219,148.1825,1785159.0
2019-01-07,147.9184,150.6574,147.5143,148.1259,1617581.0
2019-01-08,149.1166,150.4516,147.6919,149.9185,1499782.0
2019-01-09,150.9847,152.7301,150.4186,150.7677,1216154.0
2019-01-10,150.0223,152.3244,149.2675,152.2206,1015672.0
2019-01-11,151.013,151.5368,149.9185,150.4752,1116072.0
2019-01-12,151.013,151.5368,149.9185,150.4752,1116072.0
2019-01-13,151.013,151.5368,149.9185,150.4752,1116072.0
2019-01-14,149.2864,150.3997,148.6448,148.7486,1327213.0
2019-01-15,148.6165,153.0509,148.5316,152.9754,1700682.0
2019-01-16,152.6924,155.0463,152.3904,154.1642,1792609.0
2019-01-17,153.5509,155.5888,153.5321,155.1171,1164182.0
2019-01-18,156.3814,158.6834,155.5039,158.0796,2021972.0
2019-01-19,156.3814,158.6834,155.5039,158.0796,2021972.0
2019-01-20,156.3814,158.6834,155.5039,158.0796,2021972.0
2019-01-21,156.3814,158.6834,155.5039,158.0796,2021972.0
2019-01-22,157.4286,158.24,155.2209,156.504,2400559.0
2019-01-23,156.5984,157.8909,155.0511,156.4097,1177013.0
2019-01-24,156.6927,157.9853,156.0181,157.8437,1209895.0
2019-01-25,158.5797,158.6174,156.0889,156.3908,1467200.0
2019-01-26,158.5797,158.6174,156.0889,156.3908,1467200.0
2019-01-27,158.5797,158.6174,156.0889,156.3908,1467200.0
2019-01-28,155.4096,155.8719,152.7395,152.8433,1927266.0
2019-01-29,152.966,154.1925,151.7017,151.9659,1823085.0
2019-01-30,166.0614,170.9392,164.9104,169.2504,5426212.0
2019-01-31,168.2597,169.3353,166.854,167.5333,2909618.0
2019-02-01,167.8352,168.873,166.4954,167.288,1546844.0
2019-02-02,167.8352,168.873,166.4954,167.288,1546844.0
2019-02-03,167.8352,168.873,166.4954,167.288,1546844.0
2019-02-04,166.9766,167.6748,165.8067,167.1276,1376818.0
2019-02-05,167.8446,169.6844,167.4483,169.2126,1261782.0
2019-02-06,169.0145,170.5807,168.4107,170.4863,950225.0
2019-02-07,169.1089,170.5901,168.9297,170.5335,1351867.0
2019-02-08,169.4674,172.3639,169.4108,172.3356,1317717.0
2019-02-09,169.4674,172.3639,169.4108,172.3356,1317717.0
2019-02-10,169.4674,172.3639,169.4108,172.3356,1317717.0
2019-02-11,173.2319,173.5621,172.2271,173.1564,1480372.0
2019-02-12,174.4112,175.3075,172.7696,175.166,1372195.0
2019-02-13,175.3924,175.6472,173.0526,174.8169,1256967.0
2019-02-14,174.5433,176.1944,173.9347,175.0528,866866.0
2019-02-15,176.8076,177.0812,175.7981,176.2699,1802792.0
2019-02-16,176.8076,177.0812,175.7981,176.2699,1802792.0
2019-02-17,176.8076,177.0812,175.7981,176.2699,1802792.0
2019-02-18,176.8076,177.0812,175.7981,176.2699,1802792.0
2019-02-19,176.2793,176.8076,175.232,175.5906,1356942.0
2019-02-20,175.7132,177.4586,175.5929,177.0341,1157260.0
2019-02-21,176.3736,177.6285,175.9962,176.9775,1010536.0
2019-02-22,177.2322,178.1191,176.8265,178.0059,813101.0
2019-02-23,177.2322,178.1191,176.8265,178.0059,813101.0
2019-02-24,177.2322,178.1191,176.8265,178.0059,813101.0
2019-02-25,178.4493,178.9682,175.7038,176.8831,1868977.0
2019-02-26,176.7322,176.7322,173.7696,174.7697,2152791.0
2019-02-27,173.9112,176.9586,173.9112,176.2132,1140439.0
2019-02-28,175.9396,178.855,175.5528,177.8549,1358453.0
2019-03-01,178.9022,180.9967,178.4021,180.7514,1344179.0
2019-03-02,178.9022,180.9967,178.4021,180.7514,1344179.0
2019-03-03,178.9022,180.9967,178.4021,180.7514,1344179.0
2019-03-04,181.742,182.0911,176.8548,179.8928,1111492.0
2019-03-05,179.789,179.8928,178.0342,179.1946,828609.0
2019-03-06,179.2701,179.572,176.8738,177.6945,764379.0
2019-03-07,177.6851,178.2795,176.034,176.4869,1168694.0
2019-03-08,175.5906,176.751,174.0668,176.6472,968816.0
2019-03-09,175.5906,176.751,174.0668,176.6472,968816.0
2019-03-10,175.5906,176.751,174.0668,176.6472,968816.0
2019-03-11,177.7417,178.7512,176.6755,178.5248,819745.0
2019-03-12,179.0531,180.4212,178.6285,180.0155,891435.0
2019-03-13,180.6759,182.0438,180.2513,180.9967,842829.0
2019-03-14,181.9402,182.4213,180.3174,182.4213,998374.0
2019-03-15,182.1572,183.7894,182.0062,183.0723,1734335.0
2019-03-16,182.1572,183.7894,182.0062,183.0723,1734335.0
2019-03-17,182.1572,183.7894,182.0062,183.0723,1734335.0
2019-03-18,183.6101,183.6101,181.6194,182.6383,1801072.0
2019-03-19,183.8648,185.1763,182.3553,185.0348,1212562.0
2019-03-20,185.0442,187.5161,184.346,185.9971,1265201.0
2019-03-21,184.9781,187.4784,184.9781,186.8085,897176.0
2019-03-22,185.9877,186.5349,183.412,183.4497,932722.0
2019-03-23,185.9877,186.5349,183.412,183.4497,932722.0
2019-03-24,185.9877,186.5349,183.412,183.4497,932722.0
2019-03-25,183.7233,184.3555,182.393,184.1385,916094.0
2019-03-26,185.6386,186.1669,184.3177,184.997,800589.0
2019-03-27,184.8272,185.6575,182.6289,185.1102,917377.0
2019-03-28,185.6115,185.8197,183.8615,185.5264,555169.0
2019-03-29,186.3683,187.1819,185.2804,186.8508,1023774.0
2019-03-30,186.3683,187.1819,185.2804,186.8508,1023774.0
2019-03-31,186.3683,187.1819,185.2804,186.8508,1023774.0
2019-04-01,188.4873,189.0549,184.8973,185.5075,1625942.0
2019-04-02,185.4129,185.8102,184.3061,184.6277,919683.0
2019-04-03,185.6683,186.2454,183.6061,184.3155,1154670.0
2019-04-04,184.6466,184.8926,182.8776,183.2466,729266.0
2019-04-05,183.8047,185.4129,183.3128,184.6939,640145.0
2019-04-06,183.8047,185.4129,183.3128,184.6939,640145.0
2019-04-07,183.8047,185.4129,183.3128,184.6939,640145.0
2019-04-08,184.8737,185.4507,182.3763,185.1669,1162140.0
2019-04-09,184.5331,186.0656,184.0034,185.3845,701925.0
2019-04-10,185.0818,187.144,184.3061,185.5453,774545.0
2019-04-11,185.6588,185.6588,184.1831,184.7791,667172.0
2019-04-12,185.621,185.7629,182.1209,182.2628,1457745.0
2019-04-13,185.621,185.7629,182.1209,182.2628,1457745.0
