,HZNP US Equity,HZNP US Equity,HZNP US Equity,HZNP US Equity,HZNP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,35.96,36.33,35.86,36.2,828871.0
2020-01-02,36.0,36.45,35.41,36.38,2560860.0
2020-01-03,35.99,36.24,35.55,36.1,2117598.0
2020-01-04,35.99,36.24,35.55,36.1,2117598.0
2020-01-05,35.99,36.24,35.55,36.1,2117598.0
2020-01-06,36.1,36.27,35.34,36.22,2101396.0
2020-01-07,36.27,36.64,35.75,36.37,1359232.0
2020-01-08,36.62,36.68,36.0,36.18,1398523.0
2020-01-09,36.22,36.58,35.9,36.28,1572539.0
2020-01-10,36.49,36.69,35.95,36.6,1195255.0
2020-01-11,36.49,36.69,35.95,36.6,1195255.0
2020-01-12,36.49,36.69,35.95,36.6,1195255.0
2020-01-13,37.51,38.61,36.82,38.26,2349749.0
2020-01-14,38.25,38.5,37.32,38.4,1436102.0
2020-01-15,38.47,38.78,37.67,37.74,1465338.0
2020-01-16,37.78,38.5,37.755,38.29,1409355.0
2020-01-17,38.44,38.5,37.954,38.4,1339644.0
2020-01-18,38.44,38.5,37.954,38.4,1339644.0
2020-01-19,38.44,38.5,37.954,38.4,1339644.0
2020-01-20,38.44,38.5,37.954,38.4,1339644.0
2020-01-21,38.46,38.85,37.73,38.25,2108405.0
2020-01-22,39.01,39.1,38.18,38.56,1741274.0
2020-01-23,38.13,38.25,37.04,37.11,1857439.0
2020-01-24,37.53,37.63,35.67,36.06,2473231.0
2020-01-25,37.53,37.63,35.67,36.06,2473231.0
2020-01-26,37.53,37.63,35.67,36.06,2473231.0
2020-01-27,34.96,36.19,34.61,36.03,1350089.0
2020-01-28,36.21,36.54,36.0,36.36,742507.0
2020-01-29,36.42,36.46,35.84,35.87,775619.0
2020-01-30,35.64,36.1,34.88,35.0,1089067.0
2020-01-31,34.87,34.98,34.15,34.49,1473949.0
2020-02-01,34.87,34.98,34.15,34.49,1473949.0
2020-02-02,34.87,34.98,34.15,34.49,1473949.0
2020-02-03,34.7,35.04,33.89,34.23,2034536.0
2020-02-04,34.64,34.96,34.33,34.72,1110275.0
2020-02-05,35.12,36.13,34.94,35.57,1994625.0
2020-02-06,35.67,35.8209,34.53,35.29,1061980.0
2020-02-07,35.07,35.525,34.82,35.34,788962.0
