,ACN US Equity,ACN US Equity,ACN US Equity,ACN US Equity,ACN US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,129.9211,130.7447,128.9865,130.4856,1826426.0
2019-01-02,128.5608,130.6522,127.9593,130.0969,2059602.0
2019-01-03,128.7459,129.1531,125.4609,125.6552,2801252.0
2019-01-04,127.8113,130.791,127.2376,130.5411,2296417.0
2019-01-05,127.8113,130.791,127.2376,130.5411,2296417.0
2019-01-06,127.8113,130.791,127.2376,130.5411,2296417.0
2019-01-07,130.319,131.7441,129.4122,130.9945,2315636.0
2019-01-08,133.8354,135.8527,132.0402,134.3073,2647835.0
2019-01-09,134.4184,136.2136,134.3073,134.9829,2181498.0
2019-01-10,133.8632,136.1488,133.5024,136.047,1836305.0
2019-01-11,132.3364,136.4264,132.3364,135.316,2004135.0
2019-01-12,132.3364,136.4264,132.3364,135.316,2004135.0
2019-01-13,132.3364,136.4264,132.3364,135.316,2004135.0
2019-01-14,133.9742,134.7885,133.3912,134.113,1484464.0
2019-01-15,134.2518,136.4912,134.1878,135.9267,1543778.0
2019-01-16,137.6757,138.3049,136.6948,136.8428,2677121.0
2019-01-17,136.2506,138.4529,136.2506,137.9903,1814674.0
2019-01-18,138.8046,140.1001,137.981,139.221,2470548.0
2019-01-19,138.8046,140.1001,137.981,139.221,2470548.0
2019-01-20,138.8046,140.1001,137.981,139.221,2470548.0
2019-01-21,138.8046,140.1001,137.981,139.221,2470548.0
2019-01-22,138.3419,139.1748,136.8706,137.8515,1950252.0
2019-01-23,138.6751,139.6652,136.4357,137.3425,1989430.0
2019-01-24,137.7034,139.0915,137.5739,138.9434,1947456.0
2019-01-25,140.2667,140.8589,139.693,140.5165,1742762.0
2019-01-26,140.2667,140.8589,139.693,140.5165,1742762.0
2019-01-27,140.2667,140.8589,139.693,140.5165,1742762.0
2019-01-28,139.4709,140.8774,138.9897,140.8774,2046501.0
2019-01-29,140.6739,141.0347,139.8318,140.6739,1963230.0
