,ADP US Equity,ADP US Equity,ADP US Equity,ADP US Equity,ADP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,116.4962,117.4813,115.8424,117.4276,2509069.0
2019-01-02,115.6723,117.1231,115.1797,116.5499,2190104.0
2019-01-03,115.0901,115.7977,112.896,113.0303,3854018.0
2019-01-04,114.9827,117.6694,114.2186,117.5351,2161258.0
2019-01-05,114.9827,117.6694,114.2186,117.5351,2161258.0
2019-01-06,114.9827,117.6694,114.2186,117.5351,2161258.0
2019-01-07,117.3112,118.3535,115.9768,116.8992,3455834.0
2019-01-08,117.75,118.5986,115.5827,117.5888,2275635.0
2019-01-09,118.0903,118.0903,115.9499,117.6963,1844526.0
2019-01-10,116.8903,118.7351,116.88,118.6277,2051891.0
2019-01-11,118.0366,118.2157,117.0246,117.9022,1185704.0
2019-01-12,118.0366,118.2157,117.0246,117.9022,1185704.0
2019-01-13,118.0366,118.2157,117.0246,117.9022,1185704.0
2019-01-14,116.5678,117.9022,116.4246,117.2306,1787819.0
2019-01-15,117.2753,119.3083,117.2753,118.5112,3286146.0
2019-01-16,118.8068,119.6038,118.0724,118.8963,2080991.0
2019-01-17,118.3321,119.783,118.26,119.0575,2194832.0
2019-01-18,120.2307,121.2427,119.1471,121.0636,2281016.0
2019-01-19,120.2307,121.2427,119.1471,121.0636,2281016.0
2019-01-20,120.2307,121.2427,119.1471,121.0636,2281016.0
2019-01-21,120.2307,121.2427,119.1471,121.0636,2281016.0
2019-01-22,119.9979,120.4725,118.2515,119.2635,2908933.0
2019-01-23,119.6665,120.571,118.7978,120.383,1923032.0
2019-01-24,120.5979,121.5428,119.8904,120.6785,1903188.0
2019-01-25,121.8159,122.4607,121.1353,122.1652,1710183.0
2019-01-26,121.8159,122.4607,121.1353,122.1652,1710183.0
2019-01-27,121.8159,122.4607,121.1353,122.1652,1710183.0
2019-01-28,120.8666,121.5562,120.2666,121.3502,1930622.0
2019-01-29,121.2338,121.6905,119.7919,120.0068,1726504.0
2019-01-30,122.6936,126.0878,120.9114,124.8519,3734452.0
2019-01-31,124.3325,126.4102,123.7011,125.237,5836557.0
2019-02-01,125.1206,126.8938,125.1206,126.8311,2940936.0
2019-02-02,125.1206,126.8938,125.1206,126.8311,2940936.0
2019-02-03,125.1206,126.8938,125.1206,126.8311,2940936.0
2019-02-04,126.9296,128.685,126.6251,128.6312,2848005.0
2019-02-05,129.8761,130.297,129.0701,130.1179,2802391.0
2019-02-06,129.8582,130.8343,129.4999,130.3418,2039649.0
