,STBA US Equity,STBA US Equity,STBA US Equity,STBA US Equity,STBA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,33.7141,34.1002,33.7141,33.8232,153296.0
2020-01-02,34.0079,34.2471,33.563,34.0583,308513.0
2020-01-03,33.6385,34.1338,33.4396,33.9995,196571.0
2020-01-04,33.6385,34.1338,33.4396,33.9995,196571.0
2020-01-05,33.6385,34.1338,33.4396,33.9995,196571.0
2020-01-06,34.8684,34.8684,33.5134,33.8484,123644.0
2020-01-07,33.756,33.8232,33.4056,33.4916,100781.0
2020-01-08,33.4958,34.0667,33.4958,33.8484,206590.0
2020-01-09,33.9323,34.1569,33.7686,33.819,138090.0
2020-01-10,33.6973,33.7728,33.3783,33.5839,139449.0
2020-01-11,33.6973,33.7728,33.3783,33.5839,139449.0
2020-01-12,33.6973,33.7728,33.3783,33.5839,139449.0
2020-01-13,33.6049,33.8904,33.479,33.8904,110829.0
2020-01-14,33.756,33.882,33.5378,33.6007,256684.0
2020-01-15,33.437,33.5714,33.1516,33.3699,144218.0
2020-01-16,33.5797,33.8232,33.2398,33.7057,168441.0
2020-01-17,33.7896,33.9743,33.5294,33.5714,137618.0
2020-01-18,33.7896,33.9743,33.5294,33.5714,137618.0
2020-01-19,33.7896,33.9743,33.5294,33.5714,137618.0
2020-01-20,33.7896,33.9743,33.5294,33.5714,137618.0
2020-01-21,33.3783,33.4958,32.9753,33.0425,102755.0
2020-01-22,33.1348,33.1348,32.8662,32.9501,71038.0
2020-01-23,32.9082,33.1852,32.5321,33.1516,185352.0
2020-01-24,33.2607,33.2607,32.4296,32.6983,82239.0
2020-01-25,33.2607,33.2607,32.4296,32.6983,82239.0
2020-01-26,33.2607,33.2607,32.4296,32.6983,82239.0
2020-01-27,32.1442,32.522,32.1442,32.245,74727.0
2020-01-28,32.4045,32.5136,31.8084,32.0351,163741.0
2020-01-29,32.1778,32.3121,31.7497,31.8756,154332.0
2020-01-30,31.7077,32.4968,31.3299,32.4296,148629.0
2020-01-31,32.161,32.161,31.4726,31.5566,137093.0
2020-02-01,32.161,32.161,31.4726,31.5566,137093.0
2020-02-02,32.161,32.161,31.4726,31.5566,137093.0
2020-02-03,31.7329,31.8966,31.6237,31.8042,202067.0
2020-02-04,32.1946,32.4129,31.9847,32.2198,109333.0
2020-02-05,32.5975,32.9585,31.2208,32.8914,93506.0
2020-02-06,33.0173,33.1852,32.6479,32.6647,87311.0
2020-02-07,32.5388,32.7235,32.0938,32.2114,65265.0
2020-02-08,32.5388,32.7235,32.0938,32.2114,65265.0
2020-02-09,32.5388,32.7235,32.0938,32.2114,65265.0
2020-02-10,32.0938,32.245,32.0099,32.2114,189865.0
2020-02-11,32.4129,32.6773,32.4129,32.48,58666.0
2020-02-12,32.48,32.5984,32.2771,32.4885,71740.0
2020-02-13,32.3701,32.5561,32.2139,32.5392,56891.0
2020-02-14,32.5054,32.5984,32.1079,32.184,84332.0
2020-02-15,32.5054,32.5984,32.1079,32.184,84332.0
2020-02-16,32.5054,32.5984,32.1079,32.184,84332.0
2020-02-17,32.5054,32.5984,32.1079,32.184,84332.0
2020-02-18,32.0657,32.201,31.7612,31.8923,65400.0
2020-02-19,31.9135,32.053,31.7951,31.8373,42271.0
2020-02-20,31.6767,32.1333,31.5033,32.0657,61843.0
2020-02-21,32.0318,32.0826,31.6787,31.8965,98983.0
2020-02-22,32.0318,32.0826,31.6787,31.8965,98983.0
2020-02-23,32.0318,32.0826,31.6787,31.8965,98983.0
2020-02-24,30.9833,31.2623,30.8564,31.0594,63543.0
2020-02-25,31.034,31.1033,30.0193,30.3152,118959.0
2020-02-26,30.4675,30.6958,29.8163,29.8248,228966.0
2020-02-27,29.3851,30.1991,29.1272,29.1483,176698.0
2020-02-28,28.3365,28.7689,27.2203,27.7953,225977.0
2020-02-29,28.3365,28.7689,27.2203,27.7953,225977.0
2020-03-01,28.3365,28.7689,27.2203,27.7953,225977.0
2020-03-02,27.8376,29.2159,27.622,29.2075,156917.0
2020-03-03,28.8862,29.2667,27.9813,28.1505,202009.0
2020-03-04,28.4211,28.7678,27.7277,28.6832,140652.0
2020-03-05,27.8376,28.0913,27.1019,27.567,200970.0
2020-03-06,26.5523,27.4545,26.121,26.9328,199978.0
2020-03-07,26.5523,27.4545,26.121,26.9328,199978.0
2020-03-08,26.5523,27.4545,26.121,26.9328,199978.0
2020-03-09,25.1655,26.214,24.1676,24.3875,190666.0
2020-03-10,24.9625,25.2669,23.9478,24.768,233638.0
