,COR US Equity,COR US Equity,COR US Equity,COR US Equity,COR US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,68.393,69.3068,67.7237,68.6791,1028353.0
2019-01-02,68.0699,69.0161,67.4883,68.7253,1149663.0
2019-01-03,68.393,68.9653,67.3037,67.7283,1499504.0
2019-01-04,67.996,68.6422,66.9714,68.513,2417659.0
2019-01-05,67.996,68.6422,66.9714,68.513,2417659.0
2019-01-06,67.996,68.6422,66.9714,68.513,2417659.0
2019-01-07,68.7068,70.3776,68.1437,69.0022,1608306.0
2019-01-08,69.3253,70.0915,68.4068,69.7407,1689498.0
2019-01-09,70.0822,70.9869,69.7776,70.4515,1151406.0
2019-01-10,70.1099,70.4607,69.0299,70.1561,1623068.0
2019-01-11,69.8238,70.7284,69.1176,70.673,978562.0
2019-01-12,69.8238,70.7284,69.1176,70.673,978562.0
2019-01-13,69.8238,70.7284,69.1176,70.673,978562.0
2019-01-14,70.1838,71.6515,70.1653,70.95,1466203.0
2019-01-15,71.07,71.7623,70.5161,71.3192,1667421.0
2019-01-16,71.31,71.79,70.7746,71.3561,988893.0
2019-01-17,71.8085,72.1223,70.1561,70.2299,1369660.0
2019-01-18,70.913,73.8024,70.6178,73.7193,2245558.0
2019-01-19,70.913,73.8024,70.6178,73.7193,2245558.0
2019-01-20,70.913,73.8024,70.6178,73.7193,2245558.0
2019-01-21,70.913,73.8024,70.6178,73.7193,2245558.0
2019-01-22,73.1562,73.7654,72.2054,73.5808,1400212.0
2019-01-23,73.6731,73.8301,71.6977,73.2577,1044009.0
2019-01-24,73.2023,73.8024,72.2792,72.6485,670020.0
2019-01-25,73.1193,74.3378,72.8977,73.5347,924327.0
2019-01-26,73.1193,74.3378,72.8977,73.5347,924327.0
2019-01-27,73.1193,74.3378,72.8977,73.5347,924327.0
2019-01-28,73.3593,74.1347,72.8146,73.9593,838769.0
2019-01-29,73.8854,73.9501,72.4823,73.4239,1040897.0
2019-01-30,73.5993,73.9778,72.3069,72.4916,1833360.0
2019-01-31,74.2916,79.2579,74.2916,76.9594,4542407.0
2019-02-01,75.5286,77.3748,73.5716,77.3194,4283306.0
2019-02-02,75.5286,77.3748,73.5716,77.3194,4283306.0
2019-02-03,75.5286,77.3748,73.5716,77.3194,4283306.0
2019-02-04,77.3102,78.464,76.865,77.9563,1871979.0
2019-02-05,78.2333,79.7102,77.984,79.1748,1594565.0
2019-02-06,78.8518,80.5595,78.6394,79.9779,1132685.0
2019-02-07,80.1256,80.7949,78.9071,79.2025,1470724.0
2019-02-08,78.741,78.8748,77.264,77.8271,1519856.0
2019-02-09,78.741,78.8748,77.264,77.8271,1519856.0
2019-02-10,78.741,78.8748,77.264,77.8271,1519856.0
2019-02-11,77.7717,77.864,76.8855,77.2086,1304768.0
2019-02-12,77.6702,79.2302,77.6031,79.1933,1024750.0
2019-02-13,79.3041,80.0979,78.9164,79.7656,752171.0
2019-02-14,79.4056,80.2826,78.9441,79.8026,735825.0
2019-02-15,80.4054,81.0082,79.6611,80.3683,920782.0
2019-02-16,80.4054,81.0082,79.6611,80.3683,920782.0
2019-02-17,80.4054,81.0082,79.6611,80.3683,920782.0
2019-02-18,80.4054,81.0082,79.6611,80.3683,920782.0
2019-02-19,80.1271,80.9804,79.7562,80.5445,1545961.0
2019-02-20,79.9324,80.8041,79.2276,80.0622,728250.0
