,COP US Equity,COP US Equity,COP US Equity,COP US Equity,COP US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,54.3984,55.2633,54.1864,55.1446,3639833.0
2020-01-02,55.3566,55.6958,54.992,55.5092,4123124.0
2020-01-03,56.8491,56.9254,55.176,55.7128,6334244.0
2020-01-04,56.8491,56.9254,55.176,55.7128,6334244.0
2020-01-05,56.8491,56.9254,55.176,55.7128,6334244.0
2020-01-06,56.2046,56.7643,55.8654,56.3742,8829435.0
2020-01-07,56.3403,56.3827,55.7467,56.3742,5982076.0
2020-01-08,56.3487,56.5014,54.7121,55.0683,6470305.0
2020-01-09,54.7545,56.0944,54.5171,56.0265,6005716.0
2020-01-10,55.8484,56.1367,55.399,55.4753,7233215.0
2020-01-11,55.8484,56.1367,55.399,55.4753,7233215.0
2020-01-12,55.8484,56.1367,55.399,55.4753,7233215.0
2020-01-13,55.4244,55.5516,55.0174,55.2294,3675516.0
2020-01-14,55.3057,55.399,54.8308,55.2379,6119455.0
2020-01-15,55.1192,55.399,54.6443,55.1192,3933291.0
2020-01-16,55.4499,55.6407,54.9114,55.1785,4315229.0
2020-01-17,55.3566,55.4838,54.9835,55.1785,4765539.0
2020-01-18,55.3566,55.4838,54.9835,55.1785,4765539.0
2020-01-19,55.3566,55.4838,54.9835,55.1785,4765539.0
2020-01-20,55.3566,55.4838,54.9835,55.1785,4765539.0
2020-01-21,54.7545,54.992,54.2203,54.2966,6974018.0
2020-01-22,54.1016,54.1016,53.279,53.4317,6755778.0
2020-01-23,52.5837,53.7242,52.2545,53.5419,6199850.0
2020-01-24,53.1688,53.1688,52.6176,53.101,5689585.0
2020-01-25,53.1688,53.1688,52.6176,53.101,5689585.0
2020-01-26,53.1688,53.1688,52.6176,53.101,5689585.0
2020-01-27,52.041,52.431,51.5915,51.7611,7321369.0
2020-01-28,52.2445,52.3038,51.6424,51.8799,4824981.0
2020-01-29,52.2275,52.3038,51.1082,51.2947,4102475.0
2020-01-30,50.6672,51.7187,50.5316,51.6339,6931500.0
2020-01-31,50.8792,51.2269,50.1288,50.3959,7673016.0
2020-02-01,50.8792,51.2269,50.1288,50.3959,7673016.0
2020-02-02,50.8792,51.2269,50.1288,50.3959,7673016.0
2020-02-03,50.3789,51.1675,49.9125,50.1839,7016036.0
2020-02-04,49.9719,50.7266,47.8519,47.9028,13402954.0
2020-02-05,48.5727,49.9888,48.1826,49.8447,12891934.0
2020-02-06,50.0906,50.0906,49.1239,49.5309,5901913.0
2020-02-07,49.0221,49.497,48.8101,49.1748,5081817.0
2020-02-08,49.0221,49.497,48.8101,49.1748,5081817.0
2020-02-09,49.0221,49.497,48.8101,49.1748,5081817.0
2020-02-10,48.7253,49.3003,48.5133,49.073,6756299.0
2020-02-11,49.904,50.0397,49.3613,49.7853,6143314.0
2020-02-12,50.7944,51.8544,50.4892,50.6757,5906772.0
2020-02-13,50.4622,50.7696,50.0438,50.2316,5995649.0
2020-02-14,50.2743,50.4665,49.6851,50.0608,4204529.0
2020-02-15,50.2743,50.4665,49.6851,50.0608,4204529.0
2020-02-16,50.2743,50.4665,49.6851,50.0608,4204529.0
2020-02-17,50.2743,50.4665,49.6851,50.0608,4204529.0
2020-02-18,49.8815,50.0181,49.2837,49.7876,3938161.0
2020-02-19,50.1719,50.6928,50.1157,50.6074,5267411.0
2020-02-20,50.5988,50.855,50.0267,50.2829,5755134.0
2020-02-21,49.8046,50.048,49.3349,49.9071,5216418.0
2020-02-22,49.8046,50.048,49.3349,49.9071,5216418.0
2020-02-23,49.8046,50.048,49.3349,49.9071,5216418.0
2020-02-24,47.9515,48.6261,47.8148,48.1479,10350167.0
2020-02-25,48.2675,48.4084,45.7226,45.9702,10447903.0
2020-02-26,46.1325,46.3289,43.6474,43.6986,11647437.0
2020-02-27,42.3579,42.3666,40.2485,40.2485,14676126.0
2020-02-28,38.7882,41.3672,38.532,41.3501,16559107.0
2020-02-29,38.7882,41.3672,38.532,41.3501,16559107.0
2020-03-01,38.7882,41.3672,38.532,41.3501,16559107.0
2020-03-02,42.1187,42.17,40.035,42.0419,10672955.0
2020-03-03,42.2981,43.9719,40.5218,41.094,11785601.0
2020-03-04,41.632,42.3152,40.7694,42.2127,8924530.0
2020-03-05,40.9744,41.538,39.9496,40.7353,9603759.0
2020-03-06,39.2664,39.7019,38.1562,38.7113,14504778.0
2020-03-07,39.2664,39.7019,38.1562,38.7113,14504778.0
2020-03-08,39.2664,39.7019,38.1562,38.7113,14504778.0
2020-03-09,28.9929,30.9144,27.3276,29.0954,29828634.0
2020-03-10,31.2902,31.9563,28.1816,29.7871,20329906.0
2020-03-11,28.6855,28.9887,26.9083,27.8059,18460935.0
2020-03-12,25.91,26.8238,23.758,24.0825,16581680.0
2020-03-13,26.1321,27.1056,23.5573,26.7982,17506905.0
2020-03-14,26.1321,27.1056,23.5573,26.7982,17506905.0
2020-03-15,26.1321,27.1056,23.5573,26.7982,17506905.0
2020-03-16,23.4762,26.6018,22.1269,22.272,13774149.0
2020-03-17,22.5111,22.9296,20.8288,22.4172,18693192.0
2020-03-18,20.7092,21.8621,17.7971,19.3599,17039701.0
2020-03-19,19.7528,22.1952,17.9338,21.8536,15655071.0
2020-03-20,23.1089,24.2447,22.1098,22.9211,23790610.0
2020-03-21,23.1089,24.2447,22.1098,22.9211,23790610.0
2020-03-22,23.1089,24.2447,22.1098,22.9211,23790610.0
2020-03-23,22.8442,23.0321,19.9406,20.9654,16239416.0
2020-03-24,22.588,26.3626,22.588,26.2516,16724435.0
2020-03-25,26.6701,27.8059,25.1841,26.4224,14295901.0
2020-03-26,26.5761,27.7189,25.9594,27.4045,13577607.0
2020-03-27,25.7221,25.8502,24.5949,24.9792,10647227.0
2020-03-28,25.7221,25.8502,24.5949,24.9792,10647227.0
2020-03-29,25.7221,25.8502,24.5949,24.9792,10647227.0
2020-03-30,24.3472,25.7392,23.5018,25.0133,11089570.0
2020-03-31,25.6453,27.2593,25.372,26.3029,13487040.0
2020-04-01,25.039,26.0723,24.6162,25.2952,11101366.0
2020-04-02,26.6872,30.2483,26.226,28.9161,14693161.0
2020-04-03,29.5566,29.8725,26.9983,28.1048,11504950.0
2020-04-04,29.5566,29.8725,26.9983,28.1048,11504950.0
2020-04-05,29.5566,29.8725,26.9983,28.1048,11504950.0
2020-04-06,28.5916,28.8648,27.1483,28.0108,13532885.0
2020-04-07,29.7871,30.6924,28.1987,28.4122,11704205.0
2020-04-08,29.0783,30.6497,28.9203,30.4703,8171141.0
2020-04-09,32.3918,32.4345,28.4275,29.659,14200217.0
2020-04-10,32.3918,32.4345,28.4275,29.659,14200217.0
2020-04-11,32.3918,32.4345,28.4275,29.659,14200217.0
2020-04-12,32.3918,32.4345,28.4275,29.659,14200217.0
2020-04-13,30.6924,30.7265,28.8392,29.2918,10221957.0
2020-04-14,29.3516,29.437,28.7538,29.1039,11082188.0
2020-04-15,27.4728,28.1816,26.2431,27.4984,11354743.0
2020-04-16,27.191,27.5241,26.0637,26.5334,13220644.0
2020-04-17,27.3106,30.2013,27.1995,30.1117,13162636.0
2020-04-18,27.3106,30.2013,27.1995,30.1117,13162636.0
2020-04-19,27.3106,30.2013,27.1995,30.1117,13162636.0
2020-04-20,27.729,30.4618,27.6692,29.5224,13226406.0
2020-04-21,28.1389,29.1466,27.8486,28.3439,13639499.0
2020-04-22,30.0604,30.3422,29.4968,29.8725,12049942.0
2020-04-23,31.2645,31.7655,30.2056,30.8973,9849555.0
2020-04-24,31.572,31.8538,30.5557,30.8205,8686357.0
2020-04-25,31.572,31.8538,30.5557,30.8205,8686357.0
2020-04-26,31.572,31.8538,30.5557,30.8205,8686357.0
2020-04-27,30.6326,31.9477,29.6163,31.7257,8302505.0
2020-04-28,32.3576,33.297,32.0758,32.8615,9445657.0
2020-04-29,34.2193,36.333,33.8521,36.0469,12958092.0
2020-04-30,36.3629,37.2168,34.8769,35.9529,11760719.0
2020-05-01,34.6207,35.2697,33.0579,33.4251,9256689.0
2020-05-02,34.6207,35.2697,33.0579,33.4251,9256689.0
2020-05-03,34.6207,35.2697,33.0579,33.4251,9256689.0
2020-05-04,32.9811,34.5012,32.5797,34.467,12515610.0
2020-05-05,36.8069,37.2083,34.7189,34.9452,10096694.0
2020-05-06,35.0904,35.7224,34.0058,34.578,8212987.0
2020-05-07,35.8675,37.0204,35.7907,36.2262,9521420.0
2020-05-08,37.1922,37.3906,36.278,37.1577,6975560.0
2020-05-09,37.1922,37.3906,36.278,37.1577,6975560.0
2020-05-10,37.1922,37.3906,36.278,37.1577,6975560.0
2020-05-11,36.4246,37.3303,36.2952,36.4591,7076751.0
2020-05-12,36.761,37.217,35.8208,35.864,7375857.0
2020-05-13,35.3809,35.5189,34.1044,34.4063,7666364.0
2020-05-14,33.5782,34.8979,32.5863,34.4408,6718736.0
2020-05-15,34.389,35.8381,34.2596,35.2516,7242459.0
2020-05-16,34.389,35.8381,34.2596,35.2516,7242459.0
2020-05-17,34.389,35.8381,34.2596,35.2516,7242459.0
2020-05-18,37.4769,38.4774,37.2311,37.6063,9049922.0
2020-05-19,37.6925,37.8476,36.7524,36.8041,6126664.0
2020-05-20,37.5976,38.6413,37.3475,38.0807,7202999.0
