,DECK US Equity,DECK US Equity,DECK US Equity,DECK US Equity,DECK US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,129.41,130.17,127.11,127.95,550627.0
2019-01-02,125.99,132.18,124.45,129.44,931723.0
2019-01-03,128.58,129.48,125.33,125.81,699929.0
2019-01-04,127.37,127.83,121.24,121.79,1007038.0
2019-01-05,127.37,127.83,121.24,121.79,1007038.0
2019-01-06,127.37,127.83,121.24,121.79,1007038.0
2019-01-07,122.04,127.49,120.14,125.1,845028.0
2019-01-08,126.36,127.27,122.48,126.02,418051.0
2019-01-09,126.59,128.2686,125.11,126.62,611698.0
2019-01-10,124.61,125.825,112.645,113.61,1330775.0
2019-01-11,113.6,115.26,110.8701,113.3,750371.0
2019-01-12,113.6,115.26,110.8701,113.3,750371.0
2019-01-13,113.6,115.26,110.8701,113.3,750371.0
2019-01-14,113.07,115.94,112.67,113.76,564845.0
2019-01-15,114.3,115.18,112.6,113.87,593680.0
2019-01-16,113.79,115.1,112.64,114.86,518293.0
2019-01-17,114.82,118.65,114.06,117.57,596152.0
2019-01-18,118.92,119.78,116.24,118.87,532454.0
2019-01-19,118.92,119.78,116.24,118.87,532454.0
2019-01-20,118.92,119.78,116.24,118.87,532454.0
2019-01-21,118.92,119.78,116.24,118.87,532454.0
2019-01-22,118.75,122.56,117.545,121.08,692701.0
2019-01-23,121.45,124.63,121.45,123.55,788050.0
2019-01-24,123.04,123.17,119.8,122.93,545775.0
2019-01-25,124.48,126.85,123.975,125.36,643722.0
2019-01-26,124.48,126.85,123.975,125.36,643722.0
2019-01-27,124.48,126.85,123.975,125.36,643722.0
2019-01-28,123.72,127.45,123.72,125.99,542524.0
2019-01-29,126.48,127.15,124.54,125.02,459941.0
2019-01-30,125.68,127.35,124.78,127.13,423639.0
2019-01-31,127.23,128.5,125.4008,128.45,1097664.0
2019-02-01,145.0,146.8955,138.57,141.88,3776827.0
2019-02-02,145.0,146.8955,138.57,141.88,3776827.0
2019-02-03,145.0,146.8955,138.57,141.88,3776827.0
2019-02-04,141.96,143.13,139.15,139.53,989831.0
2019-02-05,140.35,141.48,138.89,139.35,571439.0
2019-02-06,139.32,141.37,136.68,141.31,750019.0
2019-02-07,140.36,142.92,138.8,140.71,806821.0
2019-02-08,140.57,142.84,140.01,141.06,543309.0
2019-02-09,140.57,142.84,140.01,141.06,543309.0
2019-02-10,140.57,142.84,140.01,141.06,543309.0
2019-02-11,142.31,144.37,141.29,143.86,605437.0
2019-02-12,143.77,146.69,142.99,144.06,439217.0
2019-02-13,143.68,146.26,143.33,143.78,547564.0
