,CTRA US Equity,CTRA US Equity,CTRA US Equity,CTRA US Equity,CTRA US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,17.9594,18.0688,17.311,17.4595,8639067.0
2019-01-02,17.2642,18.4047,17.1157,18.3813,8578725.0
2019-01-03,18.4047,18.5403,18.2016,18.2641,5446616.0
2019-01-04,18.5141,18.6781,17.9047,18.0688,11585038.0
2019-01-05,18.5141,18.6781,17.9047,18.0688,11585038.0
2019-01-06,18.5141,18.6781,17.9047,18.0688,11585038.0
2019-01-07,18.2407,19.1273,18.1469,18.8031,9121306.0
2019-01-08,18.9515,19.3343,18.8812,19.0765,7175115.0
2019-01-09,19.1703,19.2874,18.5609,18.6312,6196835.0
2019-01-10,18.5766,18.9047,18.4672,18.8422,5038925.0
2019-01-11,18.7484,18.9672,18.6469,18.889,4698456.0
2019-01-12,18.7484,18.9672,18.6469,18.889,4698456.0
2019-01-13,18.7484,18.9672,18.6469,18.889,4698456.0
2019-01-14,18.6781,19.3577,18.6234,19.264,6754496.0
2019-01-15,19.2249,19.6624,19.1,19.3734,5487572.0
2019-01-16,19.3499,19.9093,19.3031,19.553,7422869.0
2019-01-17,19.4515,19.8147,19.3968,19.7327,4924398.0
2019-01-18,19.9124,20.221,19.7952,20.0139,7347744.0
2019-01-19,19.9124,20.221,19.7952,20.0139,7347744.0
2019-01-20,19.9124,20.221,19.7952,20.0139,7347744.0
2019-01-21,19.9124,20.221,19.7952,20.0139,7347744.0
2019-01-22,19.8108,19.9202,19.5999,19.6937,6114949.0
2019-01-23,19.819,20.0697,19.443,19.5527,4458764.0
2019-01-24,19.5213,19.9874,19.3882,19.96,9736568.0
2019-01-25,19.96,20.4614,19.8738,20.2968,7969513.0
2019-01-26,19.96,20.4614,19.8738,20.2968,7969513.0
2019-01-27,19.96,20.4614,19.8738,20.2968,7969513.0
2019-01-28,20.0853,20.148,19.8542,19.9835,5564922.0
2019-01-29,20.1558,20.2107,19.9913,20.0697,3851914.0
2019-01-30,20.0775,20.2655,19.7877,19.8582,5694396.0
2019-01-31,19.8347,19.9678,19.4587,19.5448,5556341.0
2019-02-01,19.5997,19.772,19.4038,19.6388,3524024.0
2019-02-02,19.5997,19.772,19.4038,19.6388,3524024.0
2019-02-03,19.5997,19.772,19.4038,19.6388,3524024.0
2019-02-04,19.49,19.5652,19.3333,19.4978,3129043.0
2019-02-05,19.4273,19.6427,19.3568,19.396,4015263.0
