,BLK US Equity,BLK US Equity,BLK US Equity,BLK US Equity,BLK US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,339.174,343.27,336.298,342.373,612340.0
2019-01-02,336.673,340.923,335.644,339.409,926981.0
2019-01-03,335.583,336.908,328.828,329.439,781082.0
2019-01-04,335.705,342.469,332.934,341.501,647807.0
2019-01-05,335.705,342.469,332.934,341.501,647807.0
2019-01-06,335.705,342.469,332.934,341.501,647807.0
2019-01-07,340.734,347.044,339.409,342.451,714596.0
2019-01-08,346.678,349.372,343.053,346.809,642949.0
2019-01-09,348.195,351.376,344.534,348.796,640547.0
2019-01-10,347.864,349.433,344.46,348.195,487124.0
2019-01-11,344.282,348.304,339.627,346.809,706493.0
2019-01-12,344.282,348.304,339.627,346.809,706493.0
2019-01-13,344.282,348.304,339.627,346.809,706493.0
2019-01-14,342.416,348.583,340.882,345.51,919688.0
2019-01-15,345.624,349.607,342.878,349.249,846997.0
2019-01-16,350.452,367.657,349.873,359.996,1331488.0
2019-01-17,358.218,363.395,351.847,359.543,917150.0
2019-01-18,363.517,366.55,360.475,365.583,1031832.0
2019-01-19,363.517,366.55,360.475,365.583,1031832.0
2019-01-20,363.517,366.55,360.475,365.583,1031832.0
2019-01-21,363.517,366.55,360.475,365.583,1031832.0
2019-01-22,362.933,365.365,358.296,360.484,905609.0
2019-01-23,359.987,361.329,351.908,356.022,660154.0
2019-01-24,355.525,358.506,350.201,354.348,838386.0
2019-01-25,358.41,360.894,356.606,357.303,572987.0
2019-01-26,358.41,360.894,356.606,357.303,572987.0
2019-01-27,358.41,360.894,356.606,357.303,572987.0
2019-01-28,353.729,355.499,350.722,353.302,640436.0
2019-01-29,358.654,359.09,354.113,355.272,602780.0
2019-01-30,356.649,358.166,350.218,355.891,869856.0
2019-01-31,354.052,362.541,354.052,361.774,750070.0
2019-02-01,363.831,363.953,359.194,363.282,585852.0
2019-02-02,363.831,363.953,359.194,363.282,585852.0
2019-02-03,363.831,363.953,359.194,363.282,585852.0
2019-02-04,363.012,364.964,360.111,364.302,534750.0
2019-02-05,364.424,365.313,360.876,363.936,523368.0
2019-02-06,364.703,366.742,361.765,362.916,424661.0
2019-02-07,361.138,364.214,357.355,361.713,469360.0
2019-02-08,359.22,360.872,353.973,358.88,567035.0
2019-02-09,359.22,360.872,353.973,358.88,567035.0
2019-02-10,359.22,360.872,353.973,358.88,567035.0
2019-02-11,360.615,361.591,358.218,359.7,595642.0
2019-02-12,362.741,371.074,362.075,370.865,617426.0
2019-02-13,371.902,378.046,371.379,372.555,803494.0
2019-02-14,369.906,370.655,364.275,369.008,542539.0
2019-02-15,370.586,377.07,370.586,376.478,600252.0
2019-02-16,370.586,377.07,370.586,376.478,600252.0
2019-02-17,370.586,377.07,370.586,376.478,600252.0
2019-02-18,370.586,377.07,370.586,376.478,600252.0
2019-02-19,373.41,377.393,373.183,375.711,438014.0
2019-02-20,376.329,381.306,374.578,381.071,563283.0
2019-02-21,380.53,381.393,377.262,379.153,451887.0
2019-02-22,379.589,380.835,377.785,380.635,400264.0
2019-02-23,379.589,380.835,377.785,380.635,400264.0
2019-02-24,379.589,380.835,377.785,380.635,400264.0
