,XEL US Equity,XEL US Equity,XEL US Equity,XEL US Equity,XEL US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2020-01-01,55.8289,56.0583,55.6922,56.0053,2136879.0
2020-01-02,56.0583,56.0847,54.8674,55.0262,2829941.0
2020-01-03,54.938,55.4981,54.938,55.2908,2422522.0
2020-01-04,54.938,55.4981,54.938,55.2908,2422522.0
2020-01-05,54.938,55.4981,54.938,55.2908,2422522.0
2020-01-06,55.3614,55.5202,54.9821,55.2114,2218932.0
2020-01-07,54.8233,55.1469,54.6645,55.0968,1861698.0
2020-01-08,55.2114,55.2555,54.7969,55.0438,4828886.0
2020-01-09,54.8233,55.3614,54.788,55.1673,4494780.0
2020-01-10,55.1762,55.4408,55.1321,55.2555,5295949.0
2020-01-11,55.1762,55.4408,55.1321,55.2555,5295949.0
2020-01-12,55.1762,55.4408,55.1321,55.2555,5295949.0
2020-01-13,55.1762,56.0583,55.1762,55.8995,2737546.0
2020-01-14,55.8377,56.12,55.4805,55.9877,2443952.0
2020-01-15,56.2612,56.9801,56.2126,56.8698,1949564.0
2020-01-16,57.0639,57.4344,56.9183,57.3638,1919404.0
2020-01-17,57.4785,57.7608,57.1168,57.6637,2384308.0
2020-01-18,57.4785,57.7608,57.1168,57.6637,2384308.0
2020-01-19,57.4785,57.7608,57.1168,57.6637,2384308.0
2020-01-20,57.4785,57.7608,57.1168,57.6637,2384308.0
2020-01-21,57.6725,58.2283,57.4873,58.2194,4549272.0
2020-01-22,58.3077,58.5723,58.2371,58.4047,2659219.0
2020-01-23,58.3782,59.0751,58.3253,59.0134,2486869.0
2020-01-24,58.8722,59.525,58.7399,59.2515,1851014.0
2020-01-25,58.8722,59.525,58.7399,59.2515,1851014.0
2020-01-26,58.8722,59.525,58.7399,59.2515,1851014.0
2020-01-27,59.2251,59.7102,58.7928,59.031,1656126.0
2020-01-28,59.0486,59.5073,59.0045,59.2956,2040237.0
2020-01-29,59.2515,59.472,58.8987,59.472,2345676.0
2020-01-30,59.3309,60.7423,59.0575,60.6541,3486420.0
2020-01-31,60.8746,61.4127,60.6453,61.0334,5165661.0
2020-02-01,60.8746,61.4127,60.6453,61.0334,5165661.0
2020-02-02,60.8746,61.4127,60.6453,61.0334,5165661.0
2020-02-03,61.4392,61.5891,61.0951,61.2627,3880215.0
2020-02-04,61.2098,61.5406,60.8834,61.1304,3705734.0
2020-02-05,61.5803,61.5803,60.6453,61.1304,3021001.0
2020-02-06,60.9805,61.3421,60.8746,61.1304,4507501.0
2020-02-07,61.298,61.3421,60.6012,60.61,2316874.0
2020-02-08,61.298,61.3421,60.6012,60.61,2316874.0
2020-02-09,61.298,61.3421,60.6012,60.61,2316874.0
2020-02-10,60.7864,60.9716,60.46,60.9187,2306273.0
2020-02-11,60.9187,61.0687,60.7246,60.8305,2176206.0
2020-02-12,60.6453,61.0863,60.4688,60.8923,2032486.0
2020-02-13,60.9364,61.6509,60.7952,61.5891,2430705.0
2020-02-14,61.7391,62.1007,61.545,61.9772,1959554.0
2020-02-15,61.7391,62.1007,61.545,61.9772,1959554.0
2020-02-16,61.7391,62.1007,61.545,61.9772,1959554.0
2020-02-17,61.7391,62.1007,61.545,61.9772,1959554.0
2020-02-18,62.3036,63.0093,62.2507,62.7712,3552166.0
2020-02-19,62.5771,62.8417,62.4227,62.4448,2284483.0
