,MPC US Equity,MPC US Equity,MPC US Equity,MPC US Equity,MPC US Equity
,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,PX_VOLUME
2019-01-01,48.2662,48.8519,47.7708,48.6787,4358124.0
2019-01-02,47.9858,49.7263,47.6723,49.1984,6608102.0
2019-01-03,49.2561,49.5284,47.8785,48.4807,6290620.0
2019-01-04,49.4294,50.9142,48.8767,50.8565,6297550.0
2019-01-05,49.4294,50.9142,48.8767,50.8565,6297550.0
2019-01-06,49.4294,50.9142,48.8767,50.8565,6297550.0
2019-01-07,51.038,52.0279,50.4523,51.3597,6333113.0
2019-01-08,51.6484,52.4981,51.0545,51.8629,5884769.0
2019-01-09,52.1021,53.8345,51.6567,52.9765,7195797.0
2019-01-10,52.9188,53.2075,51.5577,52.4898,8083322.0
2019-01-11,52.3413,54.5604,52.1516,53.5127,6863910.0
2019-01-12,52.3413,54.5604,52.1516,53.5127,6863910.0
2019-01-13,52.3413,54.5604,52.1516,53.5127,6863910.0
2019-01-14,53.0343,53.9905,53.0343,53.521,4772878.0
2019-01-15,54.0159,54.0737,52.7373,53.0673,4285312.0
2019-01-16,52.7951,53.264,52.5063,53.0755,5277936.0
2019-01-17,52.6301,54.2964,52.3578,54.2717,4533113.0
2019-01-18,54.7089,54.7915,53.5086,54.5191,5746118.0
2019-01-19,54.7089,54.7915,53.5086,54.5191,5746118.0
2019-01-20,54.7089,54.7915,53.5086,54.5191,5746118.0
2019-01-21,54.7089,54.7915,53.5086,54.5191,5746118.0
2019-01-22,54.1727,54.8821,53.3478,53.4715,6166288.0
2019-01-23,53.62,54.3129,52.7786,53.4962,4357718.0
2019-01-24,53.5127,53.6818,51.9289,52.0609,7318651.0
2019-01-25,52.5311,53.5045,51.9866,52.8611,7914722.0
2019-01-26,52.5311,53.5045,51.9866,52.8611,7914722.0
2019-01-27,52.5311,53.5045,51.9866,52.8611,7914722.0
2019-01-28,52.4898,53.1415,52.0609,52.5641,11002710.0
2019-01-29,52.4403,53.1085,51.9701,52.9105,5923227.0
2019-01-30,53.4302,54.2964,52.9518,53.8922,5745807.0
2019-01-31,54.5521,55.3606,54.1562,54.6594,8782237.0
2019-02-01,55.0058,55.4348,53.9005,54.0077,5216929.0
2019-02-02,55.0058,55.4348,53.9005,54.0077,5216929.0
2019-02-03,55.0058,55.4348,53.9005,54.0077,5216929.0
2019-02-04,53.9499,54.5851,53.7932,54.3707,5553672.0
2019-02-05,54.4449,55.4183,54.3315,55.4183,5403572.0
2019-02-06,55.1873,55.9183,55.0141,55.1626,5484156.0
2019-02-07,55.1378,56.7052,52.0196,52.5476,9498466.0
2019-02-08,52.2919,52.8785,51.0792,51.7392,8276518.0
2019-02-09,52.2919,52.8785,51.0792,51.7392,8276518.0
2019-02-10,52.2919,52.8785,51.0792,51.7392,8276518.0
2019-02-11,51.5082,52.3331,50.5018,50.9142,9648013.0
2019-02-12,51.4009,51.8794,50.906,51.038,6478790.0
2019-02-13,51.1865,52.6383,51.0215,52.5063,4140992.0
2019-02-14,52.2589,53.389,52.0031,52.8281,4824401.0
2019-02-15,53.5375,53.9994,53.2405,53.7437,5166334.0
2019-02-16,53.5375,53.9994,53.2405,53.7437,5166334.0
2019-02-17,53.5375,53.9994,53.2405,53.7437,5166334.0
2019-02-18,53.5375,53.9994,53.2405,53.7437,5166334.0
2019-02-19,53.6439,54.4091,53.4443,54.0681,3836549.0
2019-02-20,54.0514,54.8499,53.6273,54.1512,5470534.0
2019-02-21,54.0681,54.8748,53.619,53.777,7231796.0
2019-02-22,54.2926,54.7758,53.8685,54.0764,3544559.0
2019-02-23,54.2926,54.7758,53.8685,54.0764,3544559.0
2019-02-24,54.2926,54.7758,53.8685,54.0764,3544559.0
2019-02-25,54.0348,54.251,53.6023,53.8518,4054734.0
2019-02-26,53.8768,54.3176,53.6772,53.7188,3746388.0
2019-02-27,53.7687,53.9433,52.6708,52.7291,5805567.0
2019-02-28,52.7124,52.7623,51.2653,51.573,7499370.0
2019-03-01,51.6645,52.5626,51.6645,52.1302,6069801.0
2019-03-02,51.6645,52.5626,51.6645,52.1302,6069801.0
2019-03-03,51.6645,52.5626,51.6645,52.1302,6069801.0
2019-03-04,52.2966,52.2966,50.1841,51.573,7025329.0
2019-03-05,51.39,51.4732,50.1591,50.575,7254535.0
2019-03-06,50.2257,50.5168,49.5686,49.8431,8212525.0
2019-03-07,49.8514,50.0344,48.8076,48.9366,5830749.0
2019-03-08,48.0882,48.188,47.3064,47.8221,7630994.0
2019-03-09,48.0882,48.188,47.3064,47.8221,7630994.0
2019-03-10,48.0882,48.188,47.3064,47.8221,7630994.0
2019-03-11,48.1465,49.2526,48.0134,49.236,6670482.0
2019-03-12,49.2027,49.9013,48.9532,48.9532,5849105.0
2019-03-13,49.0779,49.5603,49.0114,49.5437,6243470.0
2019-03-14,49.6102,49.8431,48.9865,49.6435,5473419.0
2019-03-15,49.4439,50.9576,49.4023,50.2756,9173787.0
2019-03-16,49.4439,50.9576,49.4023,50.2756,9173787.0
2019-03-17,49.4439,50.9576,49.4023,50.2756,9173787.0
2019-03-18,50.575,51.731,50.5667,51.6312,7657908.0
2019-03-19,51.8974,52.4296,51.39,51.5896,6237087.0
2019-03-20,51.39,52.1801,50.5833,51.7227,8136000.0
2019-03-21,51.5896,52.6833,51.3235,52.2217,6306667.0
2019-03-22,51.6645,51.9778,50.4253,50.9825,4664623.0
2019-03-23,51.6645,51.9778,50.4253,50.9825,4664623.0
2019-03-24,51.6645,51.9778,50.4253,50.9825,4664623.0
2019-03-25,50.8411,51.0989,50.2007,50.8744,5190100.0
2019-03-26,51.415,52.255,50.9326,51.5314,4191643.0
2019-03-27,51.3152,51.9889,51.049,51.7227,4793360.0
2019-03-28,51.39,51.7976,50.4003,50.6914,5095532.0
2019-03-29,51.0657,51.1738,49.6601,49.7766,8244978.0
2019-03-30,51.0657,51.1738,49.6601,49.7766,8244978.0
2019-03-31,51.0657,51.1738,49.6601,49.7766,8244978.0
2019-04-01,50.2839,50.9374,49.6684,50.7746,6993505.0
2019-04-02,50.4752,50.6332,49.3814,49.8348,7284205.0
2019-04-03,50.2174,50.8661,50.0094,50.2174,6979439.0
2019-04-04,50.2589,51.4649,50.076,51.0241,5838988.0
2019-04-05,51.0574,52.8122,51.0574,52.7873,7359706.0
2019-04-06,51.0574,52.8122,51.0574,52.7873,7359706.0
2019-04-07,51.0574,52.8122,51.0574,52.7873,7359706.0
2019-04-08,52.8788,52.9536,52.097,52.6958,7353226.0
2019-04-09,52.4213,52.7291,51.4649,51.6978,6047181.0
2019-04-10,51.8558,53.2198,51.6063,52.8954,8247958.0
2019-04-11,53.1033,53.6689,52.4421,52.4879,5284921.0
2019-04-12,53.0784,53.1865,51.0657,51.2237,10104431.0
2019-04-13,53.0784,53.1865,51.0657,51.2237,10104431.0
2019-04-14,53.0784,53.1865,51.0657,51.2237,10104431.0
2019-04-15,51.1405,51.3817,50.1425,50.3504,7075912.0
2019-04-16,50.3088,50.4003,49.4772,49.9179,7899857.0
2019-04-17,50.4835,50.8494,50.051,50.1009,5500460.0
2019-04-18,50.1092,50.5791,49.6435,49.7433,6364147.0
2019-04-19,50.1092,50.5791,49.6435,49.7433,6364147.0
2019-04-20,50.1092,50.5791,49.6435,49.7433,6364147.0
2019-04-21,50.1092,50.5791,49.6435,49.7433,6364147.0
2019-04-22,50.2007,51.0615,50.1259,50.8411,6186994.0
2019-04-23,50.9742,51.1613,50.2257,50.7829,6804701.0
2019-04-24,50.7746,51.0241,49.4522,49.4855,7056455.0
2019-04-25,49.7017,51.1239,49.5271,50.4419,6554304.0
2019-04-26,50.1425,50.8744,49.9013,50.2257,6244836.0
2019-04-27,50.1425,50.8744,49.9013,50.2257,6244836.0
2019-04-28,50.1425,50.8744,49.9013,50.2257,6244836.0
2019-04-29,50.3172,51.0407,50.1259,50.7247,4506839.0
2019-04-30,51.1322,51.731,50.5833,50.6249,5005439.0
2019-05-01,50.8162,51.3401,49.8597,49.8597,4991312.0
2019-05-02,49.9263,50.4003,48.3876,48.8118,6849505.0
2019-05-03,49.2859,50.051,49.2526,49.868,5626661.0
2019-05-04,49.2859,50.051,49.2526,49.868,5626661.0
2019-05-05,49.2859,50.051,49.2526,49.868,5626661.0
2019-05-06,49.2775,49.6269,48.5706,49.4772,6409376.0
2019-05-07,48.8617,49.4855,47.847,49.4273,9697074.0
2019-05-08,48.1381,48.3544,45.7096,45.9342,16021737.0
2019-05-09,45.8843,46.3417,43.6636,44.0462,15870566.0
2019-05-10,44.0712,44.6783,43.2728,44.2042,10158965.0
2019-05-11,44.0712,44.6783,43.2728,44.2042,10158965.0
2019-05-12,44.0712,44.6783,43.2728,44.2042,10158965.0
2019-05-13,43.5056,43.9714,42.0834,42.1832,7505257.0
2019-05-14,42.4161,42.965,42.1583,42.6739,7644210.0
2019-05-15,42.5815,43.237,42.1781,43.0185,7209889.0
2019-05-16,43.1109,44.7496,43.1109,44.4219,11750671.0
2019-05-17,44.0017,44.2118,43.5059,43.6572,6239627.0
2019-05-18,44.0017,44.2118,43.5059,43.6572,6239627.0
2019-05-19,44.0017,44.2118,43.5059,43.6572,6239627.0
2019-05-20,43.4471,43.9597,43.1445,43.8,5315892.0
2019-05-21,44.195,45.195,44.1026,44.7748,6908666.0
2019-05-22,44.4807,44.6068,43.4807,43.6319,5547677.0
2019-05-23,42.926,42.9933,41.7747,42.1361,10246019.0
2019-05-24,42.3294,42.6655,41.8252,42.2621,4860835.0
2019-05-25,42.3294,42.6655,41.8252,42.2621,4860835.0
2019-05-26,42.3294,42.6655,41.8252,42.2621,4860835.0
2019-05-27,42.3294,42.6655,41.8252,42.2621,4860835.0
2019-05-28,42.5143,42.6487,41.136,41.1781,8418531.0
2019-05-29,40.5478,41.2621,40.3545,41.1697,5895143.0
2019-05-30,40.9596,41.0856,39.4553,39.5898,8278996.0
2019-05-31,38.8334,38.9931,38.2116,38.6486,12939031.0
2019-06-01,38.8334,38.9931,38.2116,38.6486,12939031.0
2019-06-02,38.8334,38.9931,38.2116,38.6486,12939031.0
2019-06-03,38.7494,39.7074,38.6738,39.6066,8684117.0
2019-06-04,39.9091,40.8923,39.615,40.7495,8225465.0
2019-06-05,41.0604,41.0604,39.5141,40.0772,7868303.0
2019-06-06,40.0436,40.5232,39.3335,40.4217,9358551.0
2019-06-07,40.6654,40.8839,38.9301,39.4889,10343184.0
2019-06-08,40.6654,40.8839,38.9301,39.4889,10343184.0
2019-06-09,40.6654,40.8839,38.9301,39.4889,10343184.0
2019-06-10,39.8923,40.7327,39.8503,40.0688,7440426.0
2019-06-11,40.4553,40.7327,40.1402,40.1444,5619134.0
2019-06-12,40.0352,40.2453,39.4175,39.4721,6602294.0
2019-06-13,39.8671,40.4217,39.6066,40.2537,6491445.0
2019-06-14,40.1696,40.3377,39.7747,40.3041,5463394.0
2019-06-15,40.1696,40.3377,39.7747,40.3041,5463394.0
2019-06-16,40.1696,40.3377,39.7747,40.3041,5463394.0
2019-06-17,40.3209,41.1781,40.1276,40.9344,8369109.0
2019-06-18,41.01,42.0605,41.01,41.7159,7502223.0
2019-06-19,41.8167,42.3546,41.4848,41.7327,7330485.0
2019-06-20,42.4638,43.9429,42.447,43.6572,10766098.0
2019-06-21,44.1866,44.6992,43.6151,44.2538,11668316.0
2019-06-22,44.1866,44.6992,43.6151,44.2538,11668316.0
2019-06-23,44.1866,44.6992,43.6151,44.2538,11668316.0
2019-06-24,43.8588,44.4471,43.3126,43.363,5949404.0
2019-06-25,43.1781,43.7328,42.9344,43.1865,5471794.0
2019-06-26,43.6235,45.6152,43.6235,45.5564,9095620.0
2019-06-27,45.59,46.485,45.237,45.6908,7700210.0
2019-06-28,45.7749,47.0186,45.5144,46.9598,10298999.0
2019-06-29,45.7749,47.0186,45.5144,46.9598,10298999.0
2019-06-30,45.7749,47.0186,45.5144,46.9598,10298999.0
2019-07-01,47.817,48.0096,46.1951,46.3211,8067857.0
2019-07-02,45.9934,46.2035,45.3631,45.7917,6677512.0
2019-07-03,45.7413,46.1528,45.4639,45.6488,3229466.0
2019-07-04,45.7413,46.1528,45.4639,45.6488,3229466.0
2019-07-05,45.4219,46.3295,45.3295,46.111,3413962.0
